"","source","target","cluster","pct","srcpop","tarpop"
"7503","Autauga County, Alabama","Montgomery County, Alabama",1,0.209378607685401,54571,229363
"1600","Shelby County, Alabama","Jefferson County, Alabama",1,0.207125099315683,195085,658466
"7625","Elmore County, Alabama","Montgomery County, Alabama",1,0.203989760790891,79303,229363
"5659","Russell County, Alabama","Muscogee County, Georgia",1,0.183579806221316,52947,189885
"1478","St. Clair County, Alabama","Jefferson County, Alabama",1,0.175481200578996,83593,658466
"1845","Blount County, Alabama","Jefferson County, Alabama",1,0.173615714734308,57322,658466
"7747","Lowndes County, Alabama","Montgomery County, Alabama",1,0.171342596689973,11299,229363
"3075","Lawrence County, Alabama","Morgan County, Alabama",1,0.170884417135036,34339,119490
"3321","Limestone County, Alabama","Madison County, Alabama",1,0.145937522649851,82782,334811
"8364","Henry County, Alabama","Houston County, Alabama",1,0.119292567333256,17302,101547
"861","Pickens County, Alabama","Tuscaloosa County, Alabama",1,0.110402106755799,19746,194656
"8486","Geneva County, Alabama","Houston County, Alabama",1,0.0971257932064203,26790,101547
"983","Hale County, Alabama","Tuscaloosa County, Alabama",1,0.0949238578680203,15760,194656
"1966","Chilton County, Alabama","Shelby County, Alabama",1,0.0887885800701143,43643,195085
"8608","Dale County, Alabama","Houston County, Alabama",1,0.0880778491970309,50251,101547
"136","Walker County, Alabama","Jefferson County, Alabama",1,0.0857765244766722,67023,658466
"6273","Coosa County, Alabama","Talladega County, Alabama",1,0.0839760811162146,11539,82291
"2954","Morgan County, Alabama","Madison County, Alabama",1,0.0818311155745251,119490,334811
"1112","Bibb County, Alabama","Jefferson County, Alabama",1,0.0790312022692559,22915,658466
"5412","Chambers County, Alabama","Lee County, Alabama",1,0.0750548005260851,34215,140247
"3690","Colbert County, Alabama","Lauderdale County, Alabama",1,0.0746858234732123,54428,92709
"5411","Chambers County, Alabama","Troup County, Georgia",1,0.0746748502118954,34215,67044
"9594","Baldwin County, Alabama","Mobile County, Alabama",1,0.0741996543494363,182265,412992
"8733","Coffee County, Alabama","Dale County, Alabama",1,0.0724953952110195,49948,50251
"1105","Bibb County, Alabama","Tuscaloosa County, Alabama",1,0.0705214924721798,22915,194656
"6272","Coosa County, Alabama","Tallapoosa County, Alabama",1,0.0697634110408181,11539,41616
"5534","Macon County, Alabama","Lee County, Alabama",1,0.0692709304493754,21452,140247
"6643","Cleburne County, Alabama","Calhoun County, Alabama",1,0.0665909698103126,14972,118572
"5293","Lee County, Alabama","Muscogee County, Georgia",1,0.0611920397584262,140247,189885
"3568","Lauderdale County, Alabama","Colbert County, Alabama",1,0.0608463040265778,92709,54428
"7258","Crenshaw County, Alabama","Montgomery County, Alabama",1,0.0601179347044441,13906,229363
"3931","Marshall County, Alabama","Madison County, Alabama",1,0.0588374418129629,93019,334811
"6155","Talladega County, Alabama","Calhoun County, Alabama",1,0.054817659282303,82291,118572
"369","Fayette County, Alabama","Marion County, Alabama",1,0.0548112058465286,17241,30776
"372","Fayette County, Alabama","Tuscaloosa County, Alabama",1,0.0515051331129285,17241,194656
"6644","Cleburne County, Alabama","Carroll County, Georgia",1,0.0502270905690623,14972,110527
"7869","Bullock County, Alabama","Montgomery County, Alabama",1,0.049660985889683,10914,229363
"1349","Greene County, Alabama","Tuscaloosa County, Alabama",1,0.0495301271420674,9045,194656
"4428","Cherokee County, Alabama","Floyd County, Georgia",1,0.048789872638424,25989,96317
"3813","Franklin County, Alabama","Colbert County, Alabama",1,0.0430860459248044,31704,54428
"5550","Macon County, Alabama","Montgomery County, Alabama",1,0.0420939772515383,21452,229363
"9227","Washington County, Alabama","Mobile County, Alabama",1,0.0402138672430465,17581,412992
"2215","Perry County, Alabama","Dallas County, Alabama",1,0.0399395713341516,10591,43820
"4059","DeKalb County, Alabama","Marshall County, Alabama",1,0.0391933510526094,71109,93019
"8611","Dale County, Alabama","Coffee County, Alabama",1,0.0377703926290024,50251,49948
"1967","Chilton County, Alabama","Jefferson County, Alabama",1,0.037073528400889,43643,658466
"4663","Jackson County, Alabama","Madison County, Alabama",1,0.0367294793995529,53227,334811
"615","Lamar County, Alabama","Lowndes County, Mississippi",1,0.0352238396045043,14564,59779
"9964","Conecuh County, Alabama","Escambia County, Alabama",1,0.0350771091623828,13228,38319
"9963","Conecuh County, Alabama","Monroe County, Alabama",1,0.0347747202902933,13228,23068
"1","Winston County, Alabama","Walker County, Alabama",1,0.0323068126123182,24484,67023
"6395","Clay County, Alabama","Talladega County, Alabama",1,0.0320844099913867,13932,82291
"3431","Cullman County, Alabama","Jefferson County, Alabama",1,0.0311419545805039,80406,658466
"7257","Crenshaw County, Alabama","Pike County, Alabama",1,0.0309219042140083,13906,32899
"9226","Washington County, Alabama","Clarke County, Alabama",1,0.0300324213639725,17581,25833
"6022","Tallapoosa County, Alabama","Lee County, Alabama",1,0.0292675893886967,41616,140247
"245","Marion County, Alabama","Winston County, Alabama",1,0.0290811021575253,30776,24484
"3319","Limestone County, Alabama","Morgan County, Alabama",1,0.0289918098137276,82782,119490
"1296","Marengo County, Alabama","Clarke County, Alabama",1,0.0283445094402435,21027,25833
"1722","Jefferson County, Alabama","Shelby County, Alabama",1,0.0283158128134179,658466,195085
"2012","Chilton County, Alabama","Montgomery County, Alabama",1,0.0277020369818757,43643,229363
"1111","Bibb County, Alabama","Shelby County, Alabama",1,0.0268819550512765,22915,195085
"6399","Clay County, Alabama","Calhoun County, Alabama",1,0.0267011197243755,13932,118572
"8113","Butler County, Alabama","Montgomery County, Alabama",1,0.026590919940803,20947,229363
"2461","Sumter County, Alabama","Lauderdale County, Mississippi",1,0.0263750635762552,13763,80261
"613","Lamar County, Alabama","Marion County, Alabama",1,0.0260917330403735,14564,30776
"859","Pickens County, Alabama","Lowndes County, Mississippi",1,0.0251696546135926,19746,59779
"746","Tuscaloosa County, Alabama","Jefferson County, Alabama",1,0.0251417885911557,194656,658466
"7504","Autauga County, Alabama","Elmore County, Alabama",1,0.0251232339520991,54571,79303
"4426","Cherokee County, Alabama","DeKalb County, Alabama",1,0.0248566701296702,25989,71109
"4181","Etowah County, Alabama","Marshall County, Alabama",1,0.0244948769510677,104430,93019
"6522","Randolph County, Alabama","Carroll County, Georgia",1,0.024309344040501,22913,110527
"8244","Houston County, Alabama","Dale County, Alabama",1,0.024126759037687,101547,50251
"986","Hale County, Alabama","Marengo County, Alabama",1,0.0231598984771574,15760,21027
"6761","Calhoun County, Alabama","Talladega County, Alabama",1,0.0213119454846001,118572,82291
"6115","Talladega County, Alabama","Jefferson County, Alabama",1,0.0210715631113974,82291,658466
"8489","Geneva County, Alabama","Coffee County, Alabama",1,0.0209779768570362,26790,49948
"1353","Greene County, Alabama","Marengo County, Alabama",1,0.0208955223880597,9045,21027
"4427","Cherokee County, Alabama","Etowah County, Alabama",1,0.020547154565393,25989,104430
"6394","Clay County, Alabama","Tallapoosa County, Alabama",1,0.0198105081826012,13932,41616
"3441","Cullman County, Alabama","Morgan County, Alabama",1,0.0196502748551103,80406,119490
"5656","Russell County, Alabama","Lee County, Alabama",1,0.0196422837932272,52947,140247
"8488","Geneva County, Alabama","Dale County, Alabama",1,0.0192609182530795,26790,50251
"7136","Pike County, Alabama","Montgomery County, Alabama",1,0.0189975379190857,32899,229363
"6509","Randolph County, Alabama","Troup County, Georgia",1,0.0189848557587396,22913,67044
"8368","Henry County, Alabama","Barbour County, Alabama",1,0.0188995491850653,17302,27457
"5292","Lee County, Alabama","Russell County, Alabama",1,0.0186528054076023,140247,52947
"614","Lamar County, Alabama","Fayette County, Alabama",1,0.0186075254051085,14564,17241
"4447","Cherokee County, Alabama","Calhoun County, Alabama",1,0.0183539189657163,25989,118572
"10087","Escambia County, Alabama","Escambia County, Florida",1,0.0182155066677105,38319,297619
"7626","Elmore County, Alabama","Autauga County, Alabama",1,0.0177294679898617,79303,54571
"4670","Jackson County, Alabama","DeKalb County, Alabama",1,0.0168147744565728,53227,71109
"1514","St. Clair County, Alabama","Talladega County, Alabama",1,0.0167119256397067,83593,82291
"7867","Bullock County, Alabama","Pike County, Alabama",1,0.0165842037749679,10914,32899
"6645","Cleburne County, Alabama","Haralson County, Georgia",1,0.0163638792412503,14972,28780
"3783","Franklin County, Alabama","Winston County, Alabama",1,0.0158339641685592,31704,24484
"6040","Tallapoosa County, Alabama","Elmore County, Alabama",1,0.0156189926951173,41616,79303
"8366","Henry County, Alabama","Dale County, Alabama",1,0.0156051323546411,17302,50251
"2","Winston County, Alabama","Marion County, Alabama",1,0.0156020258127757,24484,30776
"4203","Etowah County, Alabama","Calhoun County, Alabama",1,0.015551086852437,104430,118572
"4675","Jackson County, Alabama","Hamilton County, Tennessee",1,0.015480864974543,53227,336463
"6113","Talladega County, Alabama","St. Clair County, Alabama",1,0.0151049324956557,82291,83593
"3076","Lawrence County, Alabama","Madison County, Alabama",1,0.0149392818660998,34339,334811
