"","source","target","cluster","pct","srcpop","tarpop"
"2706","Autauga County, Alabama","Montgomery County, Alabama",1,0.209378607685401,54571,229363
"370","Shelby County, Alabama","Jefferson County, Alabama",1,0.207125099315683,195085,658466
"2828","Elmore County, Alabama","Montgomery County, Alabama",1,0.203989760790891,79303,229363
"2338","Russell County, Alabama","Muscogee County, Georgia",1,0.183579806221316,52947,189885
"248","St. Clair County, Alabama","Jefferson County, Alabama",1,0.175481200578996,83593,658466
"615","Blount County, Alabama","Jefferson County, Alabama",1,0.173615714734308,57322,658466
"2950","Lowndes County, Alabama","Montgomery County, Alabama",1,0.171342596689973,11299,229363
"5535","Lawrence County, Alabama","Morgan County, Alabama",1,0.170884417135036,34339,119490
"5781","Limestone County, Alabama","Madison County, Alabama",1,0.145937522649851,82782,334811
"7380","Henry County, Alabama","Houston County, Alabama",1,0.119292567333256,17302,101547
"1107","Pickens County, Alabama","Tuscaloosa County, Alabama",1,0.110402106755799,19746,194656
"7502","Geneva County, Alabama","Houston County, Alabama",1,0.0971257932064203,26790,101547
"1229","Hale County, Alabama","Tuscaloosa County, Alabama",1,0.0949238578680203,15760,194656
"736","Chilton County, Alabama","Shelby County, Alabama",1,0.0887885800701143,43643,195085
"7624","Dale County, Alabama","Houston County, Alabama",1,0.0880778491970309,50251,101547
"126","Walker County, Alabama","Jefferson County, Alabama",1,0.0857765244766722,67023,658466
"3690","Coosa County, Alabama","Talladega County, Alabama",1,0.0839760811162146,11539,82291
"5414","Morgan County, Alabama","Madison County, Alabama",1,0.0818311155745251,119490,334811
"859","Bibb County, Alabama","Jefferson County, Alabama",1,0.0790312022692559,22915,658466
"2091","Chambers County, Alabama","Lee County, Alabama",1,0.0750548005260851,34215,140247
"6888","Colbert County, Alabama","Lauderdale County, Alabama",1,0.0746858234732123,54428,92709
"2090","Chambers County, Alabama","Troup County, Georgia",1,0.0746748502118954,34215,67044
"5043","Baldwin County, Alabama","Mobile County, Alabama",1,0.0741996543494363,182265,412992
"7749","Coffee County, Alabama","Dale County, Alabama",1,0.0724953952110195,49948,50251
"862","Bibb County, Alabama","Tuscaloosa County, Alabama",1,0.0705214924721798,22915,194656
"3689","Coosa County, Alabama","Tallapoosa County, Alabama",1,0.0697634110408181,11539,41616
"2213","Macon County, Alabama","Lee County, Alabama",1,0.0692709304493754,21452,140247
"3814","Cleburne County, Alabama","Calhoun County, Alabama",1,0.0665909698103126,14972,118572
"1972","Lee County, Alabama","Muscogee County, Georgia",1,0.0611920397584262,140247,189885
"6766","Lauderdale County, Alabama","Colbert County, Alabama",1,0.0608463040265778,92709,54428
"3072","Crenshaw County, Alabama","Montgomery County, Alabama",1,0.0601179347044441,13906,229363
"5903","Marshall County, Alabama","Madison County, Alabama",1,0.0588374418129629,93019,334811
"3570","Talladega County, Alabama","Calhoun County, Alabama",1,0.054817659282303,82291,118572
"1476","Fayette County, Alabama","Marion County, Alabama",1,0.0548112058465286,17241,30776
"1473","Fayette County, Alabama","Tuscaloosa County, Alabama",1,0.0515051331129285,17241,194656
"3815","Cleburne County, Alabama","Carroll County, Georgia",1,0.0502270905690623,14972,110527
"3194","Bullock County, Alabama","Montgomery County, Alabama",1,0.049660985889683,10914,229363
"1595","Greene County, Alabama","Tuscaloosa County, Alabama",1,0.0495301271420674,9045,194656
"6396","Cherokee County, Alabama","Floyd County, Georgia",1,0.048789872638424,25989,96317
"7011","Franklin County, Alabama","Colbert County, Alabama",1,0.0430860459248044,31704,54428
"2217","Macon County, Alabama","Montgomery County, Alabama",1,0.0420939772515383,21452,229363
"4798","Washington County, Alabama","Mobile County, Alabama",1,0.0402138672430465,17581,412992
"7996","Perry County, Alabama","Dallas County, Alabama",1,0.0399395713341516,10591,43820
"6027","DeKalb County, Alabama","Marshall County, Alabama",1,0.0391933510526094,71109,93019
"7627","Dale County, Alabama","Coffee County, Alabama",1,0.0377703926290024,50251,49948
"737","Chilton County, Alabama","Jefferson County, Alabama",1,0.037073528400889,43643,658466
"6147","Jackson County, Alabama","Madison County, Alabama",1,0.0367294793995529,53227,334811
"4551","Lamar County, Alabama","Lowndes County, Mississippi",1,0.0352238396045043,14564,59779
"8610","Conecuh County, Alabama","Escambia County, Alabama",1,0.0350771091623828,13228,38319
"8609","Conecuh County, Alabama","Monroe County, Alabama",1,0.0347747202902933,13228,23068
"1","Winston County, Alabama","Walker County, Alabama",1,0.0323068126123182,24484,67023
"4178","Clay County, Alabama","Talladega County, Alabama",1,0.0320844099913867,13932,82291
"1713","Cullman County, Alabama","Jefferson County, Alabama",1,0.0311419545805039,80406,658466
"3077","Crenshaw County, Alabama","Pike County, Alabama",1,0.0309219042140083,13906,32899
"4800","Washington County, Alabama","Clarke County, Alabama",1,0.0300324213639725,17581,25833
"3433","Tallapoosa County, Alabama","Lee County, Alabama",1,0.0292675893886967,41616,140247
"1343","Marion County, Alabama","Winston County, Alabama",1,0.0290811021575253,30776,24484
"5779","Limestone County, Alabama","Morgan County, Alabama",1,0.0289918098137276,82782,119490
"5289","Marengo County, Alabama","Clarke County, Alabama",1,0.0283445094402435,21027,25833
"492","Jefferson County, Alabama","Shelby County, Alabama",1,0.0283158128134179,658466,195085
"753","Chilton County, Alabama","Montgomery County, Alabama",1,0.0277020369818757,43643,229363
"858","Bibb County, Alabama","Shelby County, Alabama",1,0.0268819550512765,22915,195085
"4181","Clay County, Alabama","Calhoun County, Alabama",1,0.0267011197243755,13932,118572
"4292","Butler County, Alabama","Montgomery County, Alabama",1,0.026590919940803,20947,229363
"8857","Sumter County, Alabama","Lauderdale County, Mississippi",1,0.0263750635762552,13763,80261
"4526","Lamar County, Alabama","Marion County, Alabama",1,0.0260917330403735,14564,30776
"1134","Pickens County, Alabama","Lowndes County, Mississippi",1,0.0251696546135926,19746,59779
"981","Tuscaloosa County, Alabama","Jefferson County, Alabama",1,0.0251417885911557,194656,658466
"2707","Autauga County, Alabama","Elmore County, Alabama",1,0.0251232339520991,54571,79303
