"","source","target","cluster","pct","srcpop","tarpop"
"1","Pinal County, Arizona","Maricopa County, Arizona",1,0.148678713042553,375770,3817117
"2","Mohave County, Arizona","Clark County, Nevada",1,0.0477755687210894,200186,1951269
"3","Graham County, Arizona","Greenlee County, Arizona",1,0.0211445459430414,37220,8437
"4","Apache County, Arizona","Navajo County, Arizona",1,0.0178276797449593,71518,107449
"5","Santa Cruz County, Arizona","Pima County, Arizona",1,0.0165541965415437,47420,980263
"7","Gila County, Arizona","Maricopa County, Arizona",1,0.00960874675821408,53597,3817117
"8","Yavapai County, Arizona","Coconino County, Arizona",1,0.00731639127529818,211033,134421
"10","Cochise County, Arizona","Pima County, Arizona",1,0.0127145097680934,131346,980263
"31","Apache County, Arizona","McKinley County, New Mexico",1,0.0115215749881149,71518,71492
"11","Navajo County, Arizona","Apache County, Arizona",1,0.00665431972377593,107449,71518
"14","La Paz County, Arizona","Riverside County, California",1,0.00492947435209137,20489,2189641
"15","Yuma County, Arizona","Imperial County, California",1,0.00413790989573489,195751,174528
"12","Mohave County, Arizona","San Bernardino County, California",1,0.00653392345119039,200186,2035210
"23","Yavapai County, Arizona","Maricopa County, Arizona",1,0.0148649737244886,211033,3817117
"61","Gila County, Arizona","Pinal County, Arizona",1,0.00720189562848667,53597,375770
"32","Coconino County, Arizona","Yavapai County, Arizona",1,0.00590681515537007,134421,211033
"41","Coconino County, Arizona","Maricopa County, Arizona",1,0.00374941415403843,134421,3817117
"24","Apache County, Arizona","San Juan County, New Mexico",1,0.00618026231158589,71518,130044
"101","Graham County, Arizona","Gila County, Arizona",1,0.0147501343363783,37220,53597
"91","Greenlee County, Arizona","Graham County, Arizona",1,0.0146971672395401,8437,37220
"62","Maricopa County, Arizona","Pinal County, Arizona",1,0.0027853482091327,3817117,375770
"44","La Paz County, Arizona","San Bernardino County, California",1,0.00419737420079067,20489,2035210
"35","Mohave County, Arizona","La Paz County, Arizona",1,0.00170341582328435,200186,20489
"63","Pinal County, Arizona","Pima County, Arizona",1,0.010008781967693,375770,980263
"131","Graham County, Arizona","Cochise County, Arizona",1,0.00349274583557227,37220,131346
"171","Pima County, Arizona","Maricopa County, Arizona",1,0.00208413456388745,980263,3817117
"181","Pima County, Arizona","Santa Cruz County, Arizona",1,0.00169444322595059,980263,47420
"19","Pima County, Arizona","Cochise County, Arizona",1,0.00163629556557781,980263,131346
"161","Pima County, Arizona","Pinal County, Arizona",1,0.00150367809455218,980263,375770
"151","Santa Cruz County, Arizona","Cochise County, Arizona",1,0.00149725854070013,47420,131346
"66","Yuma County, Arizona","Monterey County, California",1,0.000950186716798382,195751,415057
"113","Mohave County, Arizona","Washington County, Utah",1,0.00236779794790844,200186,138115
"46","Mohave County, Arizona","Riverside County, California",1,0.000504530786368677,200186,2189641
"76","Yuma County, Arizona","San Diego County, California",1,0.000848016102088878,195751,3095313
"56","Apache County, Arizona","Montezuma County, Colorado",1,0.00111859951340921,71518,25535
"57","Coconino County, Arizona","Navajo County, Arizona",1,0.00740211722870682,134421,107449
"331","Navajo County, Arizona","Coconino County, Arizona",1,0.00550028385559661,107449,134421
"341","Navajo County, Arizona","Maricopa County, Arizona",1,0.00156353246656553,107449,3817117
"371","Apache County, Arizona","Maricopa County, Arizona",1,0.00114656450124444,71518,3817117
"311","Cochise County, Arizona","Santa Cruz County, Arizona",1,0.000807028763723296,131346,47420
"30","Cochise County, Arizona","Graham County, Arizona",1,0.000746120932498896,131346,37220
"83","Pinal County, Arizona","Gila County, Arizona",1,0.00068925140378423,375770,53597
"291","Cochise County, Arizona","Maricopa County, Arizona",1,0.000563397438825697,131346,3817117
"122","Maricopa County, Arizona","Pima County, Arizona",1,0.000559584628922823,3817117,980263
"191","Graham County, Arizona","Maricopa County, Arizona",1,0.000537345513164965,37220,3817117
"67","Coconino County, Arizona","Apache County, Arizona",1,0.00049099471064789,134421,71518
"361","Apache County, Arizona","Coconino County, Arizona",1,0.000475404793198915,71518,134421
"162","Gila County, Arizona","Graham County, Arizona",1,0.000354497453215665,53597,37220
"103","Maricopa County, Arizona","Yavapai County, Arizona",1,0.000317779098728176,3817117,211033
"172","Gila County, Arizona","Pima County, Arizona",1,0.000298524171128981,53597,980263
"132","Gila County, Arizona","Yavapai County, Arizona",1,0.00027986641043342,53597,211033
"68","Mohave County, Arizona","Los Angeles County, California",1,0.000599442518457834,200186,9818605
"84","La Paz County, Arizona","Mohave County, Arizona",1,0.000146420030260139,20489,200186
"79","Mohave County, Arizona","Orange County, California",1,0.000514521495009641,200186,3010232
"96","Coconino County, Arizona","Kane County, Utah",1,0.00109357912826121,134421,7125
"301","Santa Cruz County, Arizona","Maricopa County, Arizona",1,0.000189793336145086,47420,3817117
"153","Maricopa County, Arizona","Coconino County, Arizona",1,0.000160592405210529,3817117,134421
"133","Pinal County, Arizona","Cochise County, Arizona",1,0.000135721318891875,375770,131346
"173","Maricopa County, Arizona","Gila County, Arizona",1,0.000121819687476176,3817117,53597
"382","Cochise County, Arizona","Pinal County, Arizona",1,0.000114202183545749,131346,375770
"352","Pima County, Arizona","Graham County, Arizona",1,0.000105073842428001,980263,37220
"510","Coconino County, Arizona","Gila County, Arizona",1,9.67110793700389e-05,134421,53597
"610","Coconino County, Arizona","Pima County, Arizona",1,8.92717655723436e-05,134421,980263
"451","Navajo County, Arizona","Gila County, Arizona",1,8.3760667851725e-05,107449,53597
"282","Graham County, Arizona","Pima County, Arizona",1,8.06018269747448e-05,37220,980263
"472","Navajo County, Arizona","San Juan County, Utah",1,0.000763152751537939,107449,14746
"541","Apache County, Arizona","San Juan County, Utah",1,0.000167789927011382,71518,14746
"851","Mohave County, Arizona","Maricopa County, Arizona",1,0.000599442518457834,200186,3817117
"393","Maricopa County, Arizona","Los Angeles County, California",1,0.000339785235820647,3817117,9818605
"165","Coconino County, Arizona","Mohave County, Arizona",1,0.000275254610514726,134421,200186
"515","Yavapai County, Arizona","Mohave County, Arizona",1,0.00026062274620557,211033,200186
"712","Yavapai County, Arizona","Los Angeles County, California",1,0.000227452578506679,211033,9818605
"841","Mohave County, Arizona","Coconino County, Arizona",1,0.000219795590101206,200186,134421
"751","Navajo County, Arizona","Clark County, Nevada",1,0.00016752133570345,107449,1951269
"175","Coconino County, Arizona","Riverside County, California",1,0.000141346962156211,134421,2189641
"612","Pima County, Arizona","Los Angeles County, California",1,0.000130577202240623,980263,9818605
"374","Maricopa County, Arizona","Clark County, Nevada",1,0.000123915510056412,3817117,1951269
