"","source","target","cluster","pct","srcpop","tarpop"
"1","Lonoke County, Arkansas","Pulaski County, Arkansas",1,0.230250453508105,68356,382748
"2","Miller County, Arkansas","Bowie County, Texas",1,0.174083107082049,43462,92565
"3","Crawford County, Arkansas","Sebastian County, Arkansas",1,0.172822367146639,61948,125744
"4","Newton County, Arkansas","Boone County, Arkansas",1,0.15234093637455,8330,36903
"5","Madison County, Arkansas","Washington County, Arkansas",1,0.126614493860151,15717,203065
"11","Saline County, Arkansas","Pulaski County, Arkansas",1,0.229494576074983,107118,382748
"8","Crittenden County, Arkansas","Shelby County, Tennessee",1,0.114553455659895,50902,927644
"9","Yell County, Arkansas","Pope County, Arkansas",1,0.110975884606716,22185,61754
"10","Cleveland County, Arkansas","Jefferson County, Arkansas",1,0.104039590286569,8689,77435
"111","Poinsett County, Arkansas","Craighead County, Arkansas",1,0.0924215921571818,24583,96443
"12","Nevada County, Arkansas","Hempstead County, Arkansas",1,0.0891408247193509,8997,22609
"13","Calhoun County, Arkansas","Dallas County, Arkansas",1,0.0713487332339791,5368,8116
"14","Marion County, Arkansas","Baxter County, Arkansas",1,0.0704377589623491,16653,41513
"15","Conway County, Arkansas","Faulkner County, Arkansas",1,0.0681145113524186,21273,113237
"16","Hot Spring County, Arkansas","Garland County, Arkansas",1,0.0651823952859703,32923,96024
"17","Clay County, Arkansas","Greene County, Arkansas",1,0.0600012435490891,16083,42090
"18","Sharp County, Arkansas","Independence County, Arkansas",1,0.0576343836886006,17264,36647
"19","Lee County, Arkansas","St. Francis County, Arkansas",1,0.055353031465848,10424,28258
"20","Pike County, Arkansas","Howard County, Arkansas",1,0.0511026481268267,11291,13789
"211","Monroe County, Arkansas","Arkansas County, Arkansas",1,0.0509264940483495,8149,19019
"22","Lafayette County, Arkansas","Columbia County, Arkansas",1,0.0476128188358404,7645,24552
"23","Woodruff County, Arkansas","White County, Arkansas",1,0.0460055096418733,7260,77076
"110","Perry County, Arkansas","Faulkner County, Arkansas",1,0.0585926280516994,10445,113237
"27","Little River County, Arkansas","Bowie County, Texas",1,0.0778224888011541,13171,92565
"31","Grant County, Arkansas","Pulaski County, Arkansas",1,0.0965664034055901,17853,382748
"113","Lincoln County, Arkansas","Jefferson County, Arkansas",1,0.071671147587378,14134,77435
"114","Calhoun County, Arkansas","Ouachita County, Arkansas",1,0.0586810730253353,5368,26120
"115","Washington County, Arkansas","Benton County, Arkansas",1,0.0629059660699776,203065,221339
"32","Benton County, Arkansas","Washington County, Arkansas",1,0.0621535292018126,221339,203065
"38","Randolph County, Arkansas","Lawrence County, Arkansas",1,0.0339473537759475,17969,17415
"40","Franklin County, Arkansas","Sebastian County, Arkansas",1,0.0546206896551724,18125,125744
"116","Prairie County, Arkansas","Arkansas County, Arkansas",1,0.0483075157773953,8715,19019
"44","Cross County, Arkansas","St. Francis County, Arkansas",1,0.053105763850028,17870,28258
"213","Calhoun County, Arkansas","Union County, Arkansas",1,0.0497391952309985,5368,41639
"117","Ouachita County, Arkansas","Calhoun County, Arkansas",1,0.0248085758039816,26120,5368
"42","Logan County, Arkansas","Sebastian County, Arkansas",1,0.0469288238715161,22353,125744
"118","Sebastian County, Arkansas","Crawford County, Arkansas",1,0.0285898333121262,125744,61948
"54","Hot Spring County, Arkansas","Clark County, Arkansas",1,0.0229626704735291,32923,22995
"215","Lawrence County, Arkansas","Craighead County, Arkansas",1,0.0617858168245765,17415,96443
"120","Searcy County, Arkansas","Boone County, Arkansas",1,0.0353874313605857,8195,36903
"61","Izard County, Arkansas","Independence County, Arkansas",1,0.0276723130841122,13696,36647
"81","Faulkner County, Arkansas","Pulaski County, Arkansas",1,0.113770234110759,113237,382748
"51","Perry County, Arkansas","Pulaski County, Arkansas",1,0.0776448061273337,10445,382748
"7","Perry County, Arkansas","Conway County, Arkansas",1,0.0324557204404021,10445,21273
"91","Conway County, Arkansas","Pulaski County, Arkansas",1,0.0248201946128896,21273,382748
"36","Grant County, Arkansas","Saline County, Arkansas",1,0.0231893799361452,17853,107118
"73","Montgomery County, Arkansas","Pike County, Arkansas",1,0.0366817750606093,9487,11291
"74","Drew County, Arkansas","Desha County, Arkansas",1,0.0179912475012156,18509,13008
"76","Woodruff County, Arkansas","Jackson County, Arkansas",1,0.0174931129476584,7260,17997
"77","Fulton County, Arkansas","Oregon County, Missouri",1,0.0148632094732544,12245,10881
"78","Chicot County, Arkansas","Washington County, Mississippi",1,0.0134745762711864,11800,51137
"80","Clay County, Arkansas","Dunklin County, Missouri",1,0.0225082385127153,16083,31953
"811","Phillips County, Arkansas","Tunica County, Mississippi",1,0.0117663280783196,21757,10778
"37","Johnson County, Arkansas","Pope County, Arkansas",1,0.0209083790133125,25540,61754
"218","Pope County, Arkansas","Yell County, Arkansas",1,0.0125336010622794,61754,22185
"85","Van Buren County, Arkansas","Cleburne County, Arkansas",1,0.0108701936976005,17295,25970
"123","Lafayette County, Arkansas","Webster Parish, Louisiana",1,0.0146500981033355,7645,41207
"310","Cleveland County, Arkansas","Bradley County, Arkansas",1,0.0243986649787087,8689,11508
"71","Cross County, Arkansas","Crittenden County, Arkansas",1,0.016899832120873,17870,50902
"46","St. Francis County, Arkansas","Crittenden County, Arkansas",1,0.0158893056833463,28258,50902
"311","St. Francis County, Arkansas","Shelby County, Tennessee",1,0.00959020454384599,28258,927644
"221","St. Francis County, Arkansas","Cross County, Arkansas",1,0.00927171066600609,28258,17870
"125","St. Francis County, Arkansas","Lee County, Arkansas",1,0.00824545261518862,28258,10424
"83","Scott County, Arkansas","Sebastian County, Arkansas",1,0.028843585863082,11233,125744
"55","Franklin County, Arkansas","Logan County, Arkansas",1,0.0178758620689655,18125,22353
"710","Logan County, Arkansas","Franklin County, Arkansas",1,0.0128394398962108,22353,18125
"47","Franklin County, Arkansas","Crawford County, Arkansas",1,0.00904827586206896,18125,61948
"84","Drew County, Arkansas","Bradley County, Arkansas",1,0.0174509697984764,18509,11508
"64","Bradley County, Arkansas","Drew County, Arkansas",1,0.0157281890858533,11508,18509
"223","Lincoln County, Arkansas","Drew County, Arkansas",1,0.0107542097070893,14134,18509
"1110","Desha County, Arkansas","Jefferson County, Arkansas",1,0.0103782287822878,13008,77435
"102","Desha County, Arkansas","Lincoln County, Arkansas",1,0.0103013530135301,13008,14134
"128","Desha County, Arkansas","Drew County, Arkansas",1,0.00937884378843789,13008,18509
"711","Drew County, Arkansas","Jefferson County, Arkansas",1,0.00929277648711438,18509,77435
"313","Cleveland County, Arkansas","Lincoln County, Arkansas",1,0.00782598687996317,8689,14134
"314","Little River County, Arkansas","Sevier County, Arkansas",1,0.0172348341052312,13171,17058
"49","Little River County, Arkansas","Miller County, Arkansas",1,0.01222382507023,13171,43462
"129","Sevier County, Arkansas","Little River County, Arkansas",1,0.0117833274709814,17058,13171
"58","Montgomery County, Arkansas","Garland County, Arkansas",1,0.03077896068304,9487,96024
"93","Clark County, Arkansas","Garland County, Arkansas",1,0.0210045662100457,22995,96024
"225","Pike County, Arkansas","Garland County, Arkansas",1,0.018598884066956,11291,96024
"315","Pike County, Arkansas","Clark County, Arkansas",1,0.0139048799929147,11291,22995
