"","source","target","cluster","pct","srcpop","tarpop"
"763","Lonoke County, Arkansas","Pulaski County, Arkansas",1,0.230250453508105,68356,382748
"546","Saline County, Arkansas","Pulaski County, Arkansas",1,0.229494576074983,107118,382748
"4470","Miller County, Arkansas","Bowie County, Texas",1,0.174083107082049,43462,92565
"4905","Crawford County, Arkansas","Sebastian County, Arkansas",1,0.172822367146639,61948,125744
"6650","Newton County, Arkansas","Boone County, Arkansas",1,0.15234093637455,8330,36903
"8720","Madison County, Arkansas","Washington County, Arkansas",1,0.126614493860151,15717,203065
"5450","Crittenden County, Arkansas","Shelby County, Tennessee",1,0.114553455659895,50902,927644
"871","Faulkner County, Arkansas","Pulaski County, Arkansas",1,0.113770234110759,113237,382748
"1","Yell County, Arkansas","Pope County, Arkansas",1,0.110975884606716,22185,61754
"1526","Cleveland County, Arkansas","Jefferson County, Arkansas",1,0.104039590286569,8689,77435
"979","Grant County, Arkansas","Pulaski County, Arkansas",1,0.0965664034055901,17853,382748
"7522","Poinsett County, Arkansas","Craighead County, Arkansas",1,0.0924215921571818,24583,96443
"2835","Nevada County, Arkansas","Hempstead County, Arkansas",1,0.0891408247193509,8997,22609
"4687","Little River County, Arkansas","Bowie County, Texas",1,0.0778224888011541,13171,92565
"1087","Perry County, Arkansas","Pulaski County, Arkansas",1,0.0776448061273337,10445,382748
"1309","Lincoln County, Arkansas","Jefferson County, Arkansas",1,0.071671147587378,14134,77435
"2398","Calhoun County, Arkansas","Dallas County, Arkansas",1,0.0713487332339791,5368,8116
"6868","Marion County, Arkansas","Baxter County, Arkansas",1,0.0704377589623491,16653,41513
"1197","Conway County, Arkansas","Faulkner County, Arkansas",1,0.0681145113524186,21273,113237
"3053","Hot Spring County, Arkansas","Garland County, Arkansas",1,0.0651823952859703,32923,96024
"8613","Washington County, Arkansas","Benton County, Arkansas",1,0.0629059660699776,203065,221339
"8828","Benton County, Arkansas","Washington County, Arkansas",1,0.0621535292018126,221339,203065
"7739","Lawrence County, Arkansas","Craighead County, Arkansas",1,0.0617858168245765,17415,96443
"985","Grant County, Arkansas","Jefferson County, Arkansas",1,0.0608861255811348,17853,77435
"7957","Clay County, Arkansas","Greene County, Arkansas",1,0.0600012435490891,16083,42090
"2397","Calhoun County, Arkansas","Ouachita County, Arkansas",1,0.0586810730253353,5368,26120
"1089","Perry County, Arkansas","Faulkner County, Arkansas",1,0.0585926280516994,10445,113237
"6105","Sharp County, Arkansas","Independence County, Arkansas",1,0.0576343836886006,17264,36647
"3924","Lee County, Arkansas","St. Francis County, Arkansas",1,0.055353031465848,10424,28258
"5013","Franklin County, Arkansas","Sebastian County, Arkansas",1,0.0546206896551724,18125,125744
"4032","Cross County, Arkansas","St. Francis County, Arkansas",1,0.053105763850028,17870,28258
"2508","Pike County, Arkansas","Howard County, Arkansas",1,0.0511026481268267,11291,13789
"1745","Monroe County, Arkansas","Arkansas County, Arkansas",1,0.0509264940483495,8149,19019
"2396","Calhoun County, Arkansas","Union County, Arkansas",1,0.0497391952309985,5368,41639
"7847","Greene County, Arkansas","Craighead County, Arkansas",1,0.0497030173437871,42090,96443
"1637","Prairie County, Arkansas","Arkansas County, Arkansas",1,0.0483075157773953,8715,19019
"3489","Lafayette County, Arkansas","Columbia County, Arkansas",1,0.0476128188358404,7645,24552
