"","source","target","cluster","pct","srcpop","tarpop"
"1","El Dorado County, California","Sacramento County, California",1,0.124181201603906,181058,1418788
"2","San Benito County, California","Santa Clara County, California",1,0.120302520400224,55269,1781642
"3","San Mateo County, California","San Francisco County, California",1,0.102293684607579,718451,805235
"4","Contra Costa County, California","Alameda County, California",1,0.086229594146946,1049025,1510271
"5","Ventura County, California","Los Angeles County, California",1,0.07912616996106,823318,9818605
"6","Madera County, California","Fresno County, California",1,0.0713949557551453,150865,930450
"8","Placer County, California","Sacramento County, California",1,0.120961909353906,348432,1418788
"9","Yuba County, California","Sutter County, California",1,0.0675074492412168,72155,94737
"10","Calaveras County, California","San Joaquin County, California",1,0.0593488086357453,45578,685306
"12","Marin County, California","San Francisco County, California",1,0.0986058341818239,252409,805235
"13","Glenn County, California","Butte County, California",1,0.0504587155963303,28122,220000
"14","Sierra County, California","Nevada County, California",1,0.0466049382716049,3240,98764
"15","Tehama County, California","Shasta County, California",1,0.0406536091896065,63463,177223
"16","Riverside County, California","San Bernardino County, California",1,0.0399161323705575,2189641,2035210
"17","Yolo County, California","Sacramento County, California",1,0.103824265990869,200849,1418788
"18","Santa Cruz County, California","Santa Clara County, California",1,0.0630950293846377,262382,1781642
"221","Merced County, California","Stanislaus County, California",1,0.0363927081663689,255793,514453
"23","Mono County, California","Inyo County, California",1,0.0363329108576257,14202,18546
"19","Solano County, California","Contra Costa County, California",1,0.0456230161802276,413344,1049025
"27","Orange County, California","Los Angeles County, California",1,0.0584383529242929,3010232,9818605
"28","San Luis Obispo County, California","Santa Barbara County, California",1,0.0280302777437815,269637,423895
"29","Lake County, California","Sonoma County, California",1,0.0250831206989871,64665,483878
"32","San Benito County, California","Monterey County, California",1,0.0376160234489497,55269,415057
"33","San Bernardino County, California","Los Angeles County, California",1,0.0609715950688135,2035210,9818605
"41","San Bernardino County, California","Riverside County, California",1,0.0311053896158136,2035210,2189641
"61","Riverside County, California","Orange County, California",1,0.029667420367083,2189641,3010232
