"","source","target","cluster","pct","srcpop","tarpop"
"340","El Dorado County, California","Sacramento County, California",1,0.124181201603906,181058,1418788
"407","Placer County, California","Sacramento County, California",1,0.120961909353906,348432,1418788
"1020","San Benito County, California","Santa Clara County, California",1,0.120302520400224,55269,1781642
"205","Yolo County, California","Sacramento County, California",1,0.103824265990869,200849,1418788
"1089","San Mateo County, California","San Francisco County, California",1,0.102293684607579,718451,805235
"1224","Marin County, California","San Francisco County, California",1,0.0986058341818239,252409,805235
"1293","Contra Costa County, California","Alameda County, California",1,0.086229594146946,1049025,1510271
"2857","Ventura County, California","Los Angeles County, California",1,0.07912616996106,823318,9818605
"3537","Madera County, California","Fresno County, California",1,0.0713949557551453,150865,930450
"1087","San Mateo County, California","Santa Clara County, California",1,0.0677234773143889,718451,1781642
"69","Yuba County, California","Sutter County, California",1,0.0675074492412168,72155,94737
"885","Santa Cruz County, California","Santa Clara County, California",1,0.0630950293846377,262382,1781642
"2992","San Bernardino County, California","Los Angeles County, California",1,0.0609715950688135,2035210,9818605
"1564","Calaveras County, California","San Joaquin County, California",1,0.0593488086357453,45578,685306
"3059","Orange County, California","Los Angeles County, California",1,0.0584383529242929,3010232,9818605
"136","Sutter County, California","Yuba County, California",1,0.0581082364862725,94737,72155
"476","Nevada County, California","Placer County, California",1,0.0562148151148192,98764,348432
"1156","San Francisco County, California","San Mateo County, California",1,0.0519041025290754,805235,718451
"2721","Glenn County, California","Butte County, California",1,0.0504587155963303,28122,220000
"544","Sierra County, California","Nevada County, California",1,0.0466049382716049,3240,98764
"1358","Alameda County, California","San Francisco County, California",1,0.0462460048560821,1510271,805235
"823","Solano County, California","Contra Costa County, California",1,0.0456230161802276,413344,1049025
"1291","Contra Costa County, California","San Francisco County, California",1,0.0439646338266486,1049025,805235
"1355","Alameda County, California","Santa Clara County, California",1,0.0416024673717498,1510271,1781642
"2585","Tehama County, California","Shasta County, California",1,0.0406536091896065,63463,177223
"3127","Riverside County, California","San Bernardino County, California",1,0.0399161323705575,2189641,2035210
"71","Yuba County, California","Sacramento County, California",1,0.0378213568013305,72155,1418788
"1026","San Benito County, California","Monterey County, California",1,0.0376160234489497,55269,415057
"608","Amador County, California","Sacramento County, California",1,0.0373316531464125,38091,1418788
"546","Sierra County, California","Washoe County, Nevada",1,0.037037037037037,3240,421407
"1700","Merced County, California","Stanislaus County, California",1,0.0363927081663689,255793,514453
"4421","Mono County, California","Inyo County, California",1,0.0363329108576257,14202,18546
"1495","San Joaquin County, California","Alameda County, California",1,0.0362538778297578,685306,1510271
"138","Sutter County, California","Sacramento County, California",1,0.0361104953713966,94737,1418788
"755","Sonoma County, California","Marin County, California",1,0.0341780366125346,483878,252409
"1551","Calaveras County, California","Amador County, California",1,0.033503005836149,45578,38091
"1631","Stanislaus County, California","San Joaquin County, California",1,0.0312040166934589,514453,685306
"2994","San Bernardino County, California","Riverside County, California",1,0.0311053896158136,2035210,2189641
"3128","Riverside County, California","Orange County, California",1,0.029667420367083,2189641,3010232
"3672","Kings County, California","Fresno County, California",1,0.0293890784536743,152982,930450
"1755","Napa County, California","Solano County, California",1,0.0291682541543331,136484,413344
"73","Yuba County, California","Placer County, California",1,0.0283279052040746,72155,348432
"4488","Inyo County, California","Mono County, California",1,0.0283079909414429,18546,14202
"3332","San Luis Obispo County, California","Santa Barbara County, California",1,0.0280302777437815,269637,423895
"824","Solano County, California","Alameda County, California",1,0.0265178640551212,413344,1510271
"1159","San Francisco County, California","Alameda County, California",1,0.0260756176768273,805235,1510271
"1360","Alameda County, California","Contra Costa County, California",1,0.025396104407752,1510271,1049025
"1821","Lake County, California","Sonoma County, California",1,0.0250831206989871,64665,483878
"830","Solano County, California","Napa County, California",1,0.0241348610358442,413344,136484
"274","Sacramento County, California","Placer County, California",1,0.0234305618598409,1418788,348432
"3126","Riverside County, California","Los Angeles County, California",1,0.0225123661824016,2189641,9818605
"954","Santa Clara County, California","San Mateo County, California",1,0.0224607412712543,1781642,718451
"1154","San Francisco County, California","Santa Clara County, California",1,0.022294112898719,805235,1781642
"821","Solano County, California","San Francisco County, California",1,0.0222284586204227,413344,805235
"213","Yolo County, California","Solano County, California",1,0.022046412976913,200849,413344
"1357","Alameda County, California","San Mateo County, California",1,0.0219146100269422,1510271,718451
"958","Santa Clara County, California","Alameda County, California",1,0.0206696968302274,1781642,1510271
"2587","Tehama County, California","Butte County, California",1,0.0205631627877661,63463,220000
"1972","Alpine County, California","Douglas County, Nevada",1,0.0204255319148936,1175,46997
"137","Sutter County, California","Yolo County, California",1,0.0196966338389436,94737,200849
"272","Sacramento County, California","Yolo County, California",1,0.0196174481317857,1418788,200849
"363","El Dorado County, California","Douglas County, Nevada",1,0.0195406996653006,181058,46997
"2719","Glenn County, California","Tehama County, California",1,0.0194509636583458,28122,63463
"892","Santa Cruz County, California","Monterey County, California",1,0.0190028279378921,262382,415057
"1421","Monterey County, California","Santa Cruz County, California",1,0.0187781437248378,415057,262382
"3670","Kings County, California","Tulare County, California",1,0.0182701232824777,152982,442179
"2926","Los Angeles County, California","Orange County, California",1,0.0182207146534564,9818605,3010232
"1973","Alpine County, California","Carson City, Nevada",1,0.0178723404255319,1175,55274
"1092","San Mateo County, California","Alameda County, California",1,0.0176462973814498,718451,1510271
"2081","Colusa County, California","Yolo County, California",1,0.0175545076800971,21419,200849
"2170","Mariposa County, California","Merced County, California",1,0.017259328255986,18251,255793
"341","El Dorado County, California","Placer County, California",1,0.0172265240972506,181058,348432
"1842","Lake County, California","Mendocino County, California",1,0.0171963194927704,64665,87841
"3129","Riverside County, California","San Diego County, California",1,0.0170763152498515,2189641,3095313
"1949","Alpine County, California","El Dorado County, California",1,0.0170212765957447,1175,181058
"2449","Trinity County, California","Humboldt County, California",1,0.0166835920499057,13786,134623
"2993","San Bernardino County, California","Orange County, California",1,0.0165275327853145,2035210,3010232
"1575","Calaveras County, California","Tuolumne County, California",1,0.016148141647286,45578,55365
"3470","Tulare County, California","Fresno County, California",1,0.01574475495218,442179,930450
"1226","Marin County, California","Alameda County, California",1,0.0156729752108681,252409,1510271
"3265","Santa Barbara County, California","San Luis Obispo County, California",1,0.0154802486464808,423895,269637
"1836","Lake County, California","Napa County, California",1,0.0148148148148148,64665,136484
"1218","Marin County, California","Sonoma County, California",1,0.0147498702502684,252409,483878
"3808","Modoc County, California","Siskiyou County, California",1,0.014660334503407,9686,44900
"474","Nevada County, California","Sacramento County, California",1,0.0143777084767729,98764,1418788
"1629","Stanislaus County, California","Alameda County, California",1,0.0141937164327937,514453,1510271
"140","Sutter County, California","Placer County, California",1,0.0141549764083727,94737,348432
"1498","San Joaquin County, California","Stanislaus County, California",1,0.0136668874925945,685306,514453
