"","source","target","cluster","pct","srcpop","tarpop"
"1","Tolland County, Connecticut","Hartford County, Connecticut",1,0.226994387357474,152691,894014
"2","Middlesex County, Connecticut","New Haven County, Connecticut",1,0.0797460102851349,165676,862477
"3","Windham County, Connecticut","New London County, Connecticut",1,0.0680328976255615,118428,274055
"4","Litchfield County, Connecticut","Fairfield County, Connecticut",1,0.0614130692318628,189927,916829
"6","Middlesex County, Connecticut","Hartford County, Connecticut",1,0.114090151862672,165676,894014
"71","Litchfield County, Connecticut","New Haven County, Connecticut",1,0.0725752525970504,189927,862477
"61","Litchfield County, Connecticut","Hartford County, Connecticut",1,0.0688738304717076,189927,894014
"31","New Haven County, Connecticut","Fairfield County, Connecticut",1,0.0657339268177586,862477,916829
"21","New Haven County, Connecticut","Hartford County, Connecticut",1,0.0287045335701706,862477,894014
"12","Windham County, Connecticut","Worcester County, Massachusetts",1,0.0328807376633904,118428,798552
"32","Windham County, Connecticut","Tolland County, Connecticut",1,0.0360049988178471,118428,152691
"42","Windham County, Connecticut","Hartford County, Connecticut",1,0.0273415070760293,118428,894014
"62","New London County, Connecticut","Hartford County, Connecticut",1,0.0257503055955921,274055,894014
"25","Fairfield County, Connecticut","New Haven County, Connecticut",1,0.0243415075221224,916829,862477
"13","Hartford County, Connecticut","New Haven County, Connecticut",1,0.0205757404246466,894014,862477
"19","Middlesex County, Connecticut","New London County, Connecticut",1,0.0201417223979333,165676,274055
"81","Tolland County, Connecticut","Windham County, Connecticut",1,0.019169433692883,152691,118428
"72","New London County, Connecticut","Middlesex County, Connecticut",1,0.013778256189451,274055,165676
"14","Hartford County, Connecticut","Middlesex County, Connecticut",1,0.0127671378747984,894014,165676
"9","Tolland County, Connecticut","New London County, Connecticut",1,0.0109371213758506,152691,274055
"52","New London County, Connecticut","Windham County, Connecticut",1,0.00991406834394556,274055,118428
"16","New Haven County, Connecticut","Middlesex County, Connecticut",1,0.00952721058068795,862477,165676
"121","Hartford County, Connecticut","Tolland County, Connecticut",1,0.00891149355602932,894014,152691
"17","New Haven County, Connecticut","Litchfield County, Connecticut",1,0.008593852357802,862477,189927
"111","Tolland County, Connecticut","New Haven County, Connecticut",1,0.00804893543168884,152691,862477
"30","Fairfield County, Connecticut","New York County, New York",1,0.028476411631831,916829,1585873
"131","Tolland County, Connecticut","Middlesex County, Connecticut",1,0.00700761668991624,152691,165676
