"","source","target","cluster","pct","srcpop","tarpop"
"115","Kent County, Delaware","New Castle County, Delaware",1,0.050200234119894,162310,538479
"114","Kent County, Delaware","Sussex County, Delaware",1,0.0309654365103814,162310,197145
"77","Sussex County, Delaware","Kent County, Delaware",1,0.0288873671662989,197145,162310
"76","Sussex County, Delaware","Wicomico County, Maryland",1,0.0175454614623754,197145,98733
"153","New Castle County, Delaware","Delaware County, Pennsylvania",1,0.0153376454792109,538479,558979
"154","New Castle County, Delaware","Philadelphia County, Pennsylvania",1,0.0131815725404333,538479,1526006
"155","New Castle County, Delaware","Chester County, Pennsylvania",1,0.0113727740543271,538479,498886
"75","Sussex County, Delaware","Worcester County, Maryland",1,0.0104035101067742,197145,51454
"156","New Castle County, Delaware","Cecil County, Maryland",1,0.00740418846417409,538479,101108
"78","Sussex County, Delaware","New Castle County, Delaware",1,0.00613761444621979,197145,538479
"152","New Castle County, Delaware","Kent County, Delaware",1,0.00588138070379718,538479,162310
"158","New Castle County, Delaware","Montgomery County, Pennsylvania",1,0.0031291842393111,538479,799874
"83","Sussex County, Delaware","Caroline County, Maryland",1,0.00274924547921581,197145,33066
"160","New Castle County, Delaware","Salem County, New Jersey",1,0.00227864039266155,538479,66083
"87","Sussex County, Delaware","Dorchester County, Maryland",1,0.00179563265616678,197145,32618
"120","Kent County, Delaware","Caroline County, Maryland",1,0.00165116135789539,162310,33066
"85","Sussex County, Delaware","Talbot County, Maryland",1,0.001567374267671,197145,37782
"162","New Castle County, Delaware","Gloucester County, New Jersey",1,0.00153766442145376,538479,288288
"119","Kent County, Delaware","Cecil County, Maryland",1,0.00150945721150884,162310,101108
"117","Kent County, Delaware","Philadelphia County, Pennsylvania",1,0.00134310886575072,162310,1526006
"164","New Castle County, Delaware","Camden County, New Jersey",1,0.00121824620830153,538479,513657
"130","Kent County, Delaware","Queen Anne's County, Maryland",1,0.00104121742344896,162310,47798
"122","Kent County, Delaware","Talbot County, Maryland",1,0.00101657322407738,162310,37782
"89","Sussex County, Delaware","District of Columbia, District of Columbia",1,0.000953612823049025,197145,601723
"94","Sussex County, Delaware","Montgomery County, Maryland",1,0.000862309467650714,197145,971777
"133","Kent County, Delaware","Kent County, Maryland",1,0.000788614379890333,162310,20197
"151","New Castle County, Delaware","Sussex County, Delaware",1,0.000737261805938579,538479,197145
"169","New Castle County, Delaware","Harford County, Maryland",1,0.000709405566419489,538479,244826
"173","New Castle County, Delaware","Burlington County, New Jersey",1,0.000581266864631675,538479,448734
"91","Sussex County, Delaware","Baltimore city, Maryland",1,0.000568109766922823,197145,620961
"98","Sussex County, Delaware","Fairfax County, Virginia",1,0.000552892541023105,197145,1081726
