"","source","target","cluster","pct","srcpop","tarpop"
"1","Clay County, Florida","Duval County, Florida",1,0.20847719592382,190865,864263
"2","Wakulla County, Florida","Leon County, Florida",1,0.194697166623343,30776,275487
"3","Osceola County, Florida","Orange County, Florida",1,0.189113646091148,268685,1145956
"4","Santa Rosa County, Florida","Escambia County, Florida",1,0.131847369394604,151372,297619
"5","Gilchrist County, Florida","Alachua County, Florida",1,0.121199598559537,16939,247336
"6","Pasco County, Florida","Hillsborough County, Florida",1,0.104711241949055,464697,1229226
"11","Seminole County, Florida","Orange County, Florida",1,0.187929068551611,422718,1145956
"9","Walton County, Florida","Okaloosa County, Florida",1,0.0812819068728085,55043,180822
"12","St. Johns County, Florida","Duval County, Florida",1,0.153978920116397,190039,864263
"13","Gadsden County, Florida","Leon County, Florida",1,0.156136152967298,46389,275487
"14","Manatee County, Florida","Sarasota County, Florida",1,0.0774394191424049,322833,379448
"15","Martin County, Florida","Palm Beach County, Florida",1,0.0766549570114408,146318,1320134
"16","Washington County, Florida","Bay County, Florida",1,0.0717384318766067,24896,168852
"17","Broward County, Florida","Miami-Dade County, Florida",1,0.0700076541732406,1748066,2496435
"18","Flagler County, Florida","Volusia County, Florida",1,0.0697312322354121,95696,494593
"19","Levy County, Florida","Alachua County, Florida",1,0.0785274870713953,40801,247336
"211","Glades County, Florida","Hendry County, Florida",1,0.0512263272275691,12884,39140
"31","Nassau County, Florida","Duval County, Florida",1,0.150653354066072,73314,864263
"111","Pasco County, Florida","Pinellas County, Florida",1,0.0570522297324924,464697,916542
"27","Suwannee County, Florida","Columbia County, Florida",1,0.0496498279223123,41551,67531
"112","St. Lucie County, Florida","Martin County, Florida",1,0.0613991194755732,277789,146318
"32","Jefferson County, Florida","Leon County, Florida",1,0.134679222274914,14761,275487
"33","Sumter County, Florida","Lake County, Florida",1,0.040815671162492,93420,297052
"41","Baker County, Florida","Duval County, Florida",1,0.143647427623087,27115,864263
"38","Calhoun County, Florida","Jackson County, Florida",1,0.0358290598290598,14625,49746
"40","Gulf County, Florida","Bay County, Florida",1,0.0691546365756793,15863,168852
"411","Madison County, Florida","Lowndes County, Georgia",1,0.0324074074074074,19224,109233
"42","Hernando County, Florida","Pasco County, Florida",1,0.0443517114447441,172778,464697
"114","Pinellas County, Florida","Hillsborough County, Florida",1,0.043837598277002,916542,1229226
"51","Hernando County, Florida","Hillsborough County, Florida",1,0.0360867703064048,172778,1229226
"48","Hamilton County, Florida","Suwannee County, Florida",1,0.0341914994256369,14799,41551
"49","Lee County, Florida","Collier County, Florida",1,0.0275973973501585,618754,321520
"50","DeSoto County, Florida","Charlotte County, Florida",1,0.026131604612472,34862,159978
"511","Citrus County, Florida","Marion County, Florida",1,0.025843269421394,141236,331298
"52","Hardee County, Florida","Polk County, Florida",1,0.0208070390537665,27731,602095
"53","Bradford County, Florida","Union County, Florida",1,0.0192847124824684,28520,15535
"210","Lake County, Florida","Orange County, Florida",1,0.0933674912136596,297052,1145956
"54","Orange County, Florida","Seminole County, Florida",1,0.0307097305655715,1145956,422718
"37","Holmes County, Florida","Walton County, Florida",1,0.0365333467155116,19927,55043
"212","Okaloosa County, Florida","Walton County, Florida",1,0.0197099910409132,180822,55043
"117","Glades County, Florida","Okeechobee County, Florida",1,0.0356255821173549,12884,39996
"310","Bradford County, Florida","Alachua County, Florida",1,0.0576086956521739,28520,247336
"55","Gilchrist County, Florida","Levy County, Florida",1,0.0372513135368086,16939,40801
"118","Union County, Florida","Alachua County, Florida",1,0.0354682973929836,15535,247336
"73","Liberty County, Florida","Leon County, Florida",1,0.0416019127316198,8365,275487
"74","Liberty County, Florida","Gadsden County, Florida",1,0.018768679019725,8365,46389
"56","Charlotte County, Florida","Sarasota County, Florida",1,0.0430871744864919,159978,379448
"119","Sarasota County, Florida","Manatee County, Florida",1,0.0274635786721764,379448,322833
"215","Sarasota County, Florida","Charlotte County, Florida",1,0.0177969049777572,379448,159978
"46","Lafayette County, Florida","Suwannee County, Florida",1,0.0428410372040586,8870,41551
"313","Hamilton County, Florida","Columbia County, Florida",1,0.0223663761064937,14799,67531
"84","Indian River County, Florida","Brevard County, Florida",1,0.0123670559596604,138028,543376
"86","Hardee County, Florida","Highlands County, Florida",1,0.0122606469294292,27731,98786
