"","source","target","cluster","pct","srcpop","tarpop"
"2350","Clay County, Florida","Duval County, Florida",1,0.20847719592382,190865,864263
"941","Wakulla County, Florida","Leon County, Florida",1,0.194697166623343,30776,275487
"1881","Osceola County, Florida","Orange County, Florida",1,0.189113646091148,268685,1145956
"1788","Seminole County, Florida","Orange County, Florida",1,0.187929068551611,422718,1145956
"1128","Gadsden County, Florida","Leon County, Florida",1,0.156136152967298,46389,275487
"2163","St. Johns County, Florida","Duval County, Florida",1,0.153978920116397,190039,864263
"2443","Nassau County, Florida","Duval County, Florida",1,0.150653354066072,73314,864263
"2536","Baker County, Florida","Duval County, Florida",1,0.143647427623087,27115,864263
"1221","Jefferson County, Florida","Leon County, Florida",1,0.134679222274914,14761,275487
"471","Santa Rosa County, Florida","Escambia County, Florida",1,0.131847369394604,151372,297619
"3197","Gilchrist County, Florida","Alachua County, Florida",1,0.121199598559537,16939,247336
"4231","Pasco County, Florida","Hillsborough County, Florida",1,0.104711241949055,464697,1229226
"2068","Lake County, Florida","Orange County, Florida",1,0.0933674912136596,297052,1145956
"283","Walton County, Florida","Okaloosa County, Florida",1,0.0812819068728085,55043,180822
"3104","Levy County, Florida","Alachua County, Florida",1,0.0785274870713953,40801,247336
"5546","Manatee County, Florida","Sarasota County, Florida",1,0.0774394191424049,322833,379448
"5076","Martin County, Florida","Palm Beach County, Florida",1,0.0766549570114408,146318,1320134
"1","Washington County, Florida","Bay County, Florida",1,0.0717384318766067,24896,168852
"5264","Broward County, Florida","Miami-Dade County, Florida",1,0.0700076541732406,1748066,2496435
"1598","Flagler County, Florida","Volusia County, Florida",1,0.0697312322354121,95696,494593
"188","Gulf County, Florida","Bay County, Florida",1,0.0691546365756793,15863,168852
"4890","St. Lucie County, Florida","Martin County, Florida",1,0.0613991194755732,277789,146318
"470","Santa Rosa County, Florida","Okaloosa County, Florida",1,0.058993737282985,151372,180822
"3384","Bradford County, Florida","Alachua County, Florida",1,0.0576086956521739,28520,247336
