"","source","target","cluster","pct","srcpop","tarpop"
"427","Lee County, Georgia","Dougherty County, Georgia",1,0.287758852215704,28298,94565
"28330","Effingham County, Georgia","Chatham County, Georgia",1,0.238277511961723,52250,265128
"20874","Harris County, Georgia","Muscogee County, Georgia",1,0.236478890831876,32024,189885
"8308","Jones County, Georgia","Bibb County, Georgia",1,0.226586208099341,28669,155547
"26838","Columbia County, Georgia","Richmond County, Georgia",1,0.222259840552022,124053,200549
"28755","Bryan County, Georgia","Chatham County, Georgia",1,0.221645222108292,30233,265128
"2556","Echols County, Georgia","Lowndes County, Georgia",1,0.219881011403074,4034,109233
"19384","Oglethorpe County, Georgia","Clarke County, Georgia",1,0.210014094905698,14899,116714
"11715","Catoosa County, Georgia","Hamilton County, Tennessee",1,0.203403084044916,63942,336463
"19809","Oconee County, Georgia","Clarke County, Georgia",1,0.18702755425506,32808,116714
"2768","Brooks County, Georgia","Lowndes County, Georgia",1,0.178600012312996,16243,109233
"11927","Dade County, Georgia","Hamilton County, Tennessee",1,0.176155834786268,16633,336463
"20021","Madison County, Georgia","Clarke County, Georgia",1,0.16852773826458,28120,116714
"15123","DeKalb County, Georgia","Fulton County, Georgia",1,0.167531684812536,691893,920581
"11076","Murray County, Georgia","Whitfield County, Georgia",1,0.157969112748562,39628,102599
"14485","Paulding County, Georgia","Cobb County, Georgia",1,0.153642393412214,142324,688078
"27904","Long County, Georgia","Liberty County, Georgia",1,0.152170907079646,14464,63453
"15335","Clayton County, Georgia","Fulton County, Georgia",1,0.150040088812138,259424,920581
"31098","Pierce County, Georgia","Ware County, Georgia",1,0.143778654440772,18758,36312
"2980","Lanier County, Georgia","Lowndes County, Georgia",1,0.14318317126414,10078,109233
"6604","Quitman County, Georgia","Barbour County, Alabama",1,0.138877835256665,2513,27457
"11290","Walker County, Georgia","Hamilton County, Tennessee",1,0.137602536505905,68756,336463
"8096","Monroe County, Georgia","Bibb County, Georgia",1,0.136618225855283,26424,155547
"7884","Twiggs County, Georgia","Bibb County, Georgia",1,0.133547600576305,9023,155547
"215","Worth County, Georgia","Dougherty County, Georgia",1,0.132570690530006,21679,94565
"14271","Barrow County, Georgia","Gwinnett County, Georgia",1,0.132281920798074,69367,805321
"14698","Cobb County, Georgia","Fulton County, Georgia",1,0.128951950214947,688078,920581
"15547","Fayette County, Georgia","Fulton County, Georgia",1,0.126145992661893,106567,920581
"25134","Montgomery County, Georgia","Toombs County, Georgia",1,0.124301216705031,9123,27223
"8733","Crawford County, Georgia","Bibb County, Georgia",1,0.123911322248614,12630,155547
"15759","Forsyth County, Georgia","Fulton County, Georgia",1,0.122476653884942,175511,920581
"31737","Brantley County, Georgia","Glynn County, Georgia",1,0.11895062734235,18411,79626
"15971","Douglas County, Georgia","Fulton County, Georgia",1,0.116900674456017,132403,920581
"25987","Warren County, Georgia","McDuffie County, Georgia",1,0.115358244772026,5834,21875
"31312","McIntosh County, Georgia","Glynn County, Georgia",1,0.109328123909858,14333,79626
"13846","Walton County, Georgia","Gwinnett County, Georgia",1,0.103834399770796,83768,805321
"16182","Cherokee County, Georgia","Cobb County, Georgia",1,0.0994746811230441,214346,688078
"9160","Peach County, Georgia","Houston County, Georgia",1,0.0984654269723777,27695,139900
"22152","Pike County, Georgia","Spalding County, Georgia",1,0.0983826739045274,17869,64073
"21086","Chattahoochee County, Georgia","Muscogee County, Georgia",1,0.0974527380846721,11267,189885
"852","Terrell County, Georgia","Dougherty County, Georgia",1,0.0940418679549114,9315,94565
"23004","Schley County, Georgia","Sumter County, Georgia",1,0.0936127744510978,5010,32819
"16183","Cherokee County, Georgia","Fulton County, Georgia",1,0.0933910593153126,214346,920581
"16395","Coweta County, Georgia","Fulton County, Georgia",1,0.0925013941578894,127317,920581
"16611","Dawson County, Georgia","Forsyth County, Georgia",1,0.0913569189431258,22330,175511
"27050","Burke County, Georgia","Richmond County, Georgia",1,0.0898524618287871,23316,200549
"16819","Henry County, Georgia","Fulton County, Georgia",1,0.089666637243652,203922,920581
"22364","Lamar County, Georgia","Spalding County, Georgia",1,0.0884424305290168,18317,64073
"8948","Pulaski County, Georgia","Houston County, Georgia",1,0.0867610324729392,12010,139900
"18958","Haralson County, Georgia","Carroll County, Georgia",1,0.0853022932592078,28780,110527
"14062","Gwinnett County, Georgia","Fulton County, Georgia",1,0.080520686782041,805321,920581
"17253","Newton County, Georgia","Rockdale County, Georgia",1,0.078703055283219,99958,85215
"10225","Taliaferro County, Georgia","Greene County, Georgia",1,0.0786255096097845,1717,15994
"3192","Cook County, Georgia","Lowndes County, Georgia",1,0.0779107599349291,17212,109233
