"","source","target","cluster","pct","srcpop","tarpop"
"1261","Boise County, Idaho","Ada County, Idaho",1,0.165623221400114,7028,392365
"2521","Jefferson County, Idaho","Bonneville County, Idaho",1,0.150765110941086,26140,104234
"2160","Teton County, Idaho","Teton County, Wyoming",1,0.134611602753196,10170,21294
"2460","Fremont County, Idaho","Madison County, Idaho",1,0.130795952273071,13242,37536
"1202","Canyon County, Idaho","Ada County, Idaho",1,0.12560143550547,188923,392365
"1143","Gem County, Idaho","Ada County, Idaho",1,0.124528979005921,16719,392365
"1741","Lincoln County, Idaho","Blaine County, Idaho",1,0.120007680491551,5208,21376
"961","Payette County, Idaho","Malheur County, Oregon",1,0.111302656588428,22623,31313
"1082","Owyhee County, Idaho","Canyon County, Idaho",1,0.106454971369079,11526,188923
"1921","Minidoka County, Idaho","Cassia County, Idaho",1,0.106233494444168,20069,22952
"1860","Camas County, Idaho","Blaine County, Idaho",1,0.102059086839749,1117,21376
"1620","Jerome County, Idaho","Twin Falls County, Idaho",1,0.0966747117189595,22374,77230
"3181","Franklin County, Idaho","Cache County, Utah",1,0.0908806507117159,12786,112656
"2281","Power County, Idaho","Bannock County, Idaho",1,0.0770116412946143,7817,82839
"60","Latah County, Idaho","Whitman County, Washington",1,0.0729244979057029,37244,44776
"1500","Adams County, Idaho","Valley County, Idaho",1,0.0714285714285714,3976,9862
"2640","Bingham County, Idaho","Bonneville County, Idaho",1,0.0665468020260048,45607,104234
"3061","Oneida County, Idaho","Box Elder County, Utah",1,0.0615958936070929,4286,49975
"480","Kootenai County, Idaho","Spokane County, Washington",1,0.0561107340390197,138494,471221
"1980","Cassia County, Idaho","Minidoka County, Idaho",1,0.0508016730568142,22952,20069
"1679","Gooding County, Idaho","Twin Falls County, Idaho",1,0.0443610967408174,15464,77230
"241","Lewis County, Idaho","Idaho County, Idaho",1,0.0437058361685423,3821,16267
"1380","Elmore County, Idaho","Ada County, Idaho",1,0.0422368518381537,27038,392365
"2698","Clark County, Idaho","Jefferson County, Idaho",1,0.0397148676171079,982,26140
"121","Nez Perce County, Idaho","Asotin County, Washington",1,0.0395008277091557,39265,21623
"2403","Madison County, Idaho","Bonneville County, Idaho",1,0.0371643222506394,37536,104234
"902","Washington County, Idaho","Malheur County, Oregon",1,0.0353990978623259,10198,31313
"2940","Bear Lake County, Idaho","Caribou County, Idaho",1,0.031907784831273,5986,6963
"239","Lewis County, Idaho","Nez Perce County, Idaho",1,0.0306202564773619,3821,39265
"1141","Gem County, Idaho","Canyon County, Idaho",1,0.0304444045696513,16719,188923
"1680","Gooding County, Idaho","Jerome County, Idaho",1,0.0302638385928608,15464,22374
"540","Shoshone County, Idaho","Kootenai County, Idaho",1,0.0299255777516647,12765,138494
"300","Idaho County, Idaho","Lewis County, Idaho",1,0.0284010573553821,16267,3821
"661","Boundary County, Idaho","Bonner County, Idaho",1,0.0278891724389355,10972,40877
"2519","Jefferson County, Idaho","Madison County, Idaho",1,0.0276587605202754,26140,37536
"1084","Owyhee County, Idaho","Ada County, Idaho",1,0.0256810688877321,11526,392365
"599","Benewah County, Idaho","Kootenai County, Idaho",1,0.0252019386106624,9285,138494
"966","Payette County, Idaho","Ada County, Idaho",1,0.02263183485833,22623,392365
"1738","Lincoln County, Idaho","Twin Falls County, Idaho",1,0.0224654377880184,5208,77230
"2636","Bingham County, Idaho","Bannock County, Idaho",1,0.0219264586576622,45607,82839
"1561","Twin Falls County, Idaho","Jerome County, Idaho",1,0.0211964262592257,77230,22374
"1319","Ada County, Idaho","Canyon County, Idaho",1,0.0203280109082105,392365,188923
"2758","Butte County, Idaho","Bonneville County, Idaho",1,0.0190245589761328,2891,104234
"2820","Custer County, Idaho","Butte County, Idaho",1,0.0190018315018315,4368,2891
"901","Washington County, Idaho","Payette County, Idaho",1,0.0175524612669151,10198,22623
"964","Payette County, Idaho","Canyon County, Idaho",1,0.0173717013658666,22623,188923
"357","Clearwater County, Idaho","Nez Perce County, Idaho",1,0.016436479853898,8761,39265
"717","Bonner County, Idaho","Kootenai County, Idaho",1,0.0146047899796952,40877,138494
"61","Latah County, Idaho","Nez Perce County, Idaho",1,0.0141499301900977,37244,39265
"1739","Lincoln County, Idaho","Jerome County, Idaho",1,0.0124807987711214,5208,22374
"2581","Bonneville County, Idaho","Bingham County, Idaho",1,0.0123760001535008,104234,45607
"2345","Bannock County, Idaho","Bingham County, Idaho",1,0.0122768261326187,82839,45607
"1085","Owyhee County, Idaho","Elmore County, Idaho",1,0.0121464515009544,11526,27038
"242","Lewis County, Idaho","Clearwater County, Idaho",1,0.0120387333158859,3821,8761
"2462","Fremont County, Idaho","Bonneville County, Idaho",1,0.0120072496601722,13242,104234
"2402","Madison County, Idaho","Jefferson County, Idaho",1,0.0116421568627451,37536,26140
"905","Washington County, Idaho","Canyon County, Idaho",1,0.0102961364973524,10198,188923
"721","Bonner County, Idaho","Pend Oreille County, Washington",1,0.010103481175233,40877,13001
"1621","Jerome County, Idaho","Gooding County, Idaho",1,0.00992223116116921,22374,15464
"2872","Caribou County, Idaho","Bannock County, Idaho",1,0.00990952175786299,6963,82839
"1915","Minidoka County, Idaho","Twin Falls County, Idaho",1,0.00986596242961782,20069,77230
"1491","Adams County, Idaho","Washington County, Idaho",1,0.00905432595573441,3976,10198
"1974","Cassia County, Idaho","Twin Falls County, Idaho",1,0.00871383757406762,22952,77230
"716","Bonner County, Idaho","Spokane County, Washington",1,0.00861119945201458,40877,471221
"2583","Bonneville County, Idaho","Butte County, Idaho",1,0.00836579235182378,104234,2891
"2580","Bonneville County, Idaho","Jefferson County, Idaho",1,0.00798204040907957,104234,26140
"2286","Power County, Idaho","Bingham County, Idaho",1,0.00793143149545861,7817,45607
"120","Nez Perce County, Idaho","Latah County, Idaho",1,0.00758945625875462,39265,37244
"907","Washington County, Idaho","Ada County, Idaho",1,0.00745244165522652,10198,392365
"1138","Gem County, Idaho","Payette County, Idaho",1,0.00735689933608469,16719,22623
"2757","Butte County, Idaho","Jefferson County, Idaho",1,0.00726392251815981,2891,26140
"541","Shoshone County, Idaho","Benewah County, Idaho",1,0.00658049353701528,12765,9285
"2344","Bannock County, Idaho","Bonneville County, Idaho",1,0.00618066369705091,82839,104234
"301","Idaho County, Idaho","Clearwater County, Idaho",1,0.00590151841150796,16267,8761
"960","Payette County, Idaho","Washington County, Idaho",1,0.00583476992441321,22623,10198
"2642","Bingham County, Idaho","Butte County, Idaho",1,0.0057447321683075,45607,2891
"1682","Gooding County, Idaho","Blaine County, Idaho",1,0.00569063631660631,15464,21376
"2929","Bear Lake County, Idaho","Rich County, Utah",1,0.00567991981289676,5986,2264
"1740","Lincoln County, Idaho","Gooding County, Idaho",1,0.00556835637480799,5208,15464
"2578","Bonneville County, Idaho","Madison County, Idaho",1,0.00543968378839918,104234,37536
"1852","Camas County, Idaho","Ada County, Idaho",1,0.0053715308863026,1117,392365
"2941","Bear Lake County, Idaho","Lincoln County, Wyoming",1,0.00517875041764116,5986,18106
"2401","Madison County, Idaho","Fremont County, Idaho",1,0.00514173060528559,37536,13242
"1562","Twin Falls County, Idaho","Gooding County, Idaho",1,0.00512754111096724,77230,15464
"2524","Jefferson County, Idaho","Butte County, Idaho",1,0.00482019892884468,26140,2891
"298","Idaho County, Idaho","Nez Perce County, Idaho",1,0.00461056125899059,16267,39265
"1439","Valley County, Idaho","Ada County, Idaho",1,0.00436017035084161,9862,392365
"2817","Custer County, Idaho","Bonneville County, Idaho",1,0.00434981684981685,4368,104234
"2340","Bannock County, Idaho","Power County, Idaho",1,0.00421299146537259,82839,7817
"591","Benewah County, Idaho","Whitman County, Washington",1,0.0040926225094238,9285,44776
"2461","Fremont County, Idaho","Jefferson County, Idaho",1,0.00400241655339073,13242,26140
"2882","Caribou County, Idaho","Lincoln County, Wyoming",1,0.00373402269136866,6963,18106
"119","Nez Perce County, Idaho","Whitman County, Washington",1,0.00371832420730931,39265,44776
"2522","Jefferson County, Idaho","Bingham County, Idaho",1,0.00371078806426932,26140,45607
"2635","Bingham County, Idaho","Power County, Idaho",1,0.00366171859582959,45607,7817
"481","Kootenai County, Idaho","Shoshone County, Idaho",1,0.00356694152815284,138494,12765
"1568","Twin Falls County, Idaho","Elko County, Nevada",1,0.00340541240450602,77230,48818
"1198","Canyon County, Idaho","Malheur County, Oregon",1,0.00339820985269131,188923,31313
"1199","Canyon County, Idaho","Owyhee County, Idaho",1,0.00326058764681907,188923,11526
"1681","Gooding County, Idaho","Lincoln County, Idaho",1,0.00316864976720124,15464,5208
"3180","Franklin County, Idaho","Box Elder County, Utah",1,0.00305021116846551,12786,49975
"482","Kootenai County, Idaho","Benewah County, Idaho",1,0.00285932964604965,138494,9285
"2456","Fremont County, Idaho","Teton County, Idaho",1,0.00271862256456729,13242,10170
"1622","Jerome County, Idaho","Lincoln County, Idaho",1,0.00254759989273264,22374,5208
"2347","Bannock County, Idaho","Butte County, Idaho",1,0.00253503784449354,82839,2891
"598","Benewah County, Idaho","Spokane County, Washington",1,0.00247711362412493,9285,471221
"1623","Jerome County, Idaho","Blaine County, Idaho",1,0.00245821042281219,22374,21376
"1626","Jerome County, Idaho","Cassia County, Idaho",1,0.00245821042281219,22374,22952
"124","Nez Perce County, Idaho","Clearwater County, Idaho",1,0.00241945753215332,39265,8761
"3049","Oneida County, Idaho","Bannock County, Idaho",1,0.00233317778814746,4286,82839
"484","Kootenai County, Idaho","Bonner County, Idaho",1,0.00210117405808194,138494,40877
"1567","Twin Falls County, Idaho","Cassia County, Idaho",1,0.00207173378220899,77230,22952
"2577","Bonneville County, Idaho","Bannock County, Idaho",1,0.00195713490799547,104234,82839
"2349","Bannock County, Idaho","Caribou County, Idaho",1,0.0018831709701952,82839,6963
