"","source","target","cluster","pct","srcpop","tarpop"
"14507","Menard County, Illinois","Sangamon County, Illinois",1,0.283667847304211,12705,197465
"13856","Scott County, Illinois","Morgan County, Illinois",1,0.160971055088702,5355,35547
"19724","Piatt County, Illinois","Champaign County, Illinois",1,0.153565664415088,16729,201081
"164","Tazewell County, Illinois","Peoria County, Illinois",1,0.151048052350917,135394,186494
"6358","DuPage County, Illinois","Cook County, Illinois",1,0.149618725216048,916924,5194675
"2772","Henderson County, Illinois","Des Moines County, Iowa",1,0.146910380575638,7331,40325
"1957","Putnam County, Illinois","LaSalle County, Illinois",1,0.143856143856144,6006,113924
"5868","Grundy County, Illinois","Will County, Illinois",1,0.139843796816012,50063,677560
"5710","Will County, Illinois","Cook County, Illinois",1,0.135294291280477,677560,5194675
"4075","Boone County, Illinois","Winnebago County, Illinois",1,0.131099418443644,54165,295266
"13203","Jersey County, Illinois","Madison County, Illinois",1,0.129084185338264,22985,269282
"3423","Mercer County, Illinois","Rock Island County, Illinois",1,0.125532432761348,16434,147546
"10269","Massac County, Illinois","McCracken County, Kentucky",1,0.12502430488042,15429,65565
"19235","Cumberland County, Illinois","Coles County, Illinois",1,0.12400434467777,11048,53873
"20049","Ford County, Illinois","Champaign County, Illinois",1,0.123570769121511,14081,201081
"2","Woodford County, Illinois","Peoria County, Illinois",1,0.119982412580178,38664,186494
"1630","De Witt County, Illinois","McLean County, Illinois",1,0.119135317915585,16561,169572
"9617","Alexander County, Illinois","Cape Girardeau County, Missouri",1,0.118353969410051,8238,75674
"3585","Henry County, Illinois","Rock Island County, Illinois",1,0.114130650081211,50486,147546
"16463","Hancock County, Illinois","Lee County, Iowa",1,0.113641122278057,19104,35862
"6033","Kendall County, Illinois","DuPage County, Illinois",1,0.112588899735044,114736,916924
"6845","Lake County, Illinois","Cook County, Illinois",1,0.112503589390756,703462,5194675
"489","Marshall County, Illinois","Peoria County, Illinois",1,0.110838607594937,12640,186494
"651","Stark County, Illinois","Peoria County, Illinois",1,0.109943276609943,5994,186494
"6683","McHenry County, Illinois","Cook County, Illinois",1,0.104845187200415,308760,5194675
