"","source","target","cluster","pct","srcpop","tarpop"
"1471","Warren County, Iowa","Polk County, Iowa",1,0.284088696592753,46225,430640
"1764","Dallas County, Iowa","Polk County, Iowa",1,0.281757012172072,66135,430640
"4998","Benton County, Iowa","Linn County, Iowa",1,0.212532597024083,26076,211226
"1910","Madison County, Iowa","Polk County, Iowa",1,0.194272593915428,15679,430640
"10144","Pottawattamie County, Iowa","Douglas County, Nebraska",1,0.168702634234312,93158,517110
"5587","Grundy County, Iowa","Black Hawk County, Iowa",1,0.143579860274633,12453,131090
"5880","Bremer County, Iowa","Black Hawk County, Iowa",1,0.1422804415884,24276,131090
"148","Worth County, Iowa","Cerro Gordo County, Iowa",1,0.134640694919716,7598,44151
"5144","Jones County, Iowa","Linn County, Iowa",1,0.133055528636496,20638,211226
"4264","Washington County, Iowa","Johnson County, Iowa",1,0.130252488020641,21704,130882
"2499","Boone County, Iowa","Story County, Iowa",1,0.117349654071315,26306,89542
"4557","Cedar County, Iowa","Johnson County, Iowa",1,0.108762635818152,18499,130882
"14259","Plymouth County, Iowa","Woodbury County, Iowa",1,0.108340670775634,24986,102172
"10437","Mills County, Iowa","Douglas County, Nebraska",1,0.105651105651106,15059,517110
"6026","Butler County, Iowa","Black Hawk County, Iowa",1,0.104997645792695,14867,131090
"2056","Jasper County, Iowa","Polk County, Iowa",1,0.104174583355952,36842,430640
"6172","Buchanan County, Iowa","Black Hawk County, Iowa",1,0.0980532493558546,20958,131090
"10583","Harrison County, Iowa","Douglas County, Nebraska",1,0.0973338692390139,14928,517110
"6468","Louisa County, Iowa","Muscatine County, Iowa",1,0.0970404847633266,11387,42745
"7644","Davis County, Iowa","Wapello County, Iowa",1,0.0916257283217183,8753,35625
"2202","Guthrie County, Iowa","Polk County, Iowa",1,0.0905605258353113,10954,430640
"4703","Iowa County, Iowa","Johnson County, Iowa",1,0.0895139101192296,16355,130882
"7057","Jackson County, Iowa","Dubuque County, Iowa",1,0.0890769850866586,19848,93653
