"","source","target","cluster","pct","srcpop","tarpop"
"1","Butler County, Kansas","Sedgwick County, Kansas",1,0.214602307225258,65880,498365
"2","Miami County, Kansas","Johnson County, Kansas",1,0.189221337725318,32787,544179
"3","Osage County, Kansas","Shawnee County, Kansas",1,0.185578398281681,16295,177934
"4","Ottawa County, Kansas","Saline County, Kansas",1,0.174848136594976,6091,55606
"5","Doniphan County, Kansas","Buchanan County, Missouri",1,0.15959723096287,7945,89201
"6","Pottawatomie County, Kansas","Riley County, Kansas",1,0.155573042029254,21604,71115
"7","Kearny County, Kansas","Finney County, Kansas",1,0.0887603721398039,3977,36776
"8","Jefferson County, Kansas","Douglas County, Kansas",1,0.0852243019972812,19126,110826
"11","Sumner County, Kansas","Sedgwick County, Kansas",1,0.161528261229902,24132,498365
"111","Cherokee County, Kansas","Jasper County, Missouri",1,0.0792019626903671,21603,117404
"12","Hodgeman County, Kansas","Ford County, Kansas",1,0.0767223382045929,1916,33848
"13","Wabaunsee County, Kansas","Shawnee County, Kansas",1,0.150574223734581,7053,177934
"15","Chase County, Kansas","Lyon County, Kansas",1,0.0727598566308244,2790,33690
"16","Woodson County, Kansas","Allen County, Kansas",1,0.0640676941674222,3309,13371
"14","Wyandotte County, Kansas","Johnson County, Kansas",1,0.116624869051776,157505,544179
"19","Chautauqua County, Kansas","Montgomery County, Kansas",1,0.0591441809757427,3669,35471
"31","Johnson County, Kansas","Jackson County, Missouri",1,0.0888935442198247,544179,674158
"231","Marion County, Kansas","Harvey County, Kansas",1,0.0550552922590837,12660,34684
"241","Meade County, Kansas","Seward County, Kansas",1,0.0526775956284153,4575,22952
"25","Dickinson County, Kansas","Geary County, Kansas",1,0.0519388478282879,19754,34362
"26","Washington County, Kansas","Marshall County, Kansas",1,0.0506983962752199,5799,10117
"32","Jackson County, Kansas","Shawnee County, Kansas",1,0.145223592333977,13462,177934
"30","Rush County, Kansas","Ellis County, Kansas",1,0.0456607196855156,3307,28452
"311","Wilson County, Kansas","Neosho County, Kansas",1,0.041024550961845,9409,16512
"321","Logan County, Kansas","Thomas County, Kansas",1,0.0391872278664731,2756,7900
"33","Edwards County, Kansas","Pawnee County, Kansas",1,0.0381955877510701,3037,6973
"35","Gray County, Kansas","Ford County, Kansas",1,0.0759240759240759,6006,33848
"36","Stafford County, Kansas","Barton County, Kansas",1,0.0378634212305612,4437,27674
"37","Rice County, Kansas","Reno County, Kansas",1,0.0371913121094912,10083,64511
"61","Linn County, Kansas","Johnson County, Kansas",1,0.0751864125932063,9656,544179
"28","Wyandotte County, Kansas","Jackson County, Missouri",1,0.0583092600234913,157505,674158
"51","Linn County, Kansas","Miami County, Kansas",1,0.0481565865782933,9656,32787
"44","Osborne County, Kansas","Mitchell County, Kansas",1,0.0339554173146708,3858,6373
"45","Nemaha County, Kansas","Brown County, Kansas",1,0.0337001375515818,10178,9984
"39","Kingman County, Kansas","Sedgwick County, Kansas",1,0.0974802748791041,7858,498365
"49","Anderson County, Kansas","Franklin County, Kansas",1,0.0304862996790916,8102,25992
"113","Morris County, Kansas","Geary County, Kansas",1,0.0430525071754179,5923,34362
"53","Lincoln County, Kansas","Saline County, Kansas",1,0.0459734649799445,3241,55606
"54","Republic County, Kansas","Cloud County, Kansas",1,0.0275100401606426,4980,9533
"56","Cherokee County, Kansas","Crawford County, Kansas",1,0.041568300698977,21603,39134
"57","Phillips County, Kansas","Norton County, Kansas",1,0.0251683800070897,5642,5671
"59","Doniphan County, Kansas","Atchison County, Kansas",1,0.0317180616740088,7945,16924
"510","Geary County, Kansas","Riley County, Kansas",1,0.0831150689715383,34362,71115
"114","Riley County, Kansas","Geary County, Kansas",1,0.0535892568375167,71115,34362
"310","Morris County, Kansas","Riley County, Kansas",1,0.0317406719567787,5923,71115
"9","Leavenworth County, Kansas","Wyandotte County, Kansas",1,0.0464927125559185,76227,157505
"10","Leavenworth County, Kansas","Johnson County, Kansas",1,0.0462565757539979,76227,544179
"43","Miami County, Kansas","Jackson County, Missouri",1,0.030042394851618,32787,674158
"511","Johnson County, Kansas","Wyandotte County, Kansas",1,0.0290235382107726,544179,157505
"77","Rooks County, Kansas","Ellis County, Kansas",1,0.0449720131248794,5181,28452
"79","Rice County, Kansas","McPherson County, Kansas",1,0.0242983239115343,10083,29180
"46","Jefferson County, Kansas","Shawnee County, Kansas",1,0.124333368189899,19126,177934
"64","Douglas County, Kansas","Shawnee County, Kansas",1,0.0268348582462599,110826,177934
"86","Elk County, Kansas","Cowley County, Kansas",1,0.0197779319916724,2882,36311
"87","Trego County, Kansas","Gove County, Kansas",1,0.0193268910363212,3001,2695
"89","Haskell County, Kansas","Seward County, Kansas",1,0.0382988721804511,4256,22952
"91","Jewell County, Kansas","Mitchell County, Kansas",1,0.0328241793955151,3077,6373
"93","Greenwood County, Kansas","Lyon County, Kansas",1,0.0363283001943489,6689,33690
"94","Wichita County, Kansas","Scott County, Kansas",1,0.0174574753804834,2234,4936
"95","Morton County, Kansas","Stevens County, Kansas",1,0.0173213733374575,3233,5724
"96","Kiowa County, Kansas","Pratt County, Kansas",1,0.0168429298864081,2553,9656
