"","source","target","cluster","pct","srcpop","tarpop"
"5358","Butler County, Kansas","Sedgwick County, Kansas",1,0.214602307225258,65880,498365
"283","Miami County, Kansas","Johnson County, Kansas",1,0.189221337725318,32787,544179
"1269","Osage County, Kansas","Shawnee County, Kansas",1,0.185578398281681,16295,177934
"2679","Ottawa County, Kansas","Saline County, Kansas",1,0.174848136594976,6091,55606
"5077","Sumner County, Kansas","Sedgwick County, Kansas",1,0.161528261229902,24132,498365
"3949","Doniphan County, Kansas","Buchanan County, Missouri",1,0.15959723096287,7945,89201
"1974","Pottawatomie County, Kansas","Riley County, Kansas",1,0.155573042029254,21604,71115
"988","Wabaunsee County, Kansas","Shawnee County, Kansas",1,0.150574223734581,7053,177934
"1409","Jackson County, Kansas","Shawnee County, Kansas",1,0.145223592333977,13462,177934
"1549","Jefferson County, Kansas","Shawnee County, Kansas",1,0.124333368189899,19126,177934
"143","Wyandotte County, Kansas","Johnson County, Kansas",1,0.116624869051776,157505,544179
"5498","Kingman County, Kansas","Sedgwick County, Kansas",1,0.0974802748791041,7858,498365
"5638","Harvey County, Kansas","Sedgwick County, Kansas",1,0.096298004843732,34684,498365
"564","Franklin County, Kansas","Johnson County, Kansas",1,0.0901431209602955,25992,544179
"425","Johnson County, Kansas","Jackson County, Missouri",1,0.0888935442198247,544179,674158
"11704","Kearny County, Kansas","Finney County, Kansas",1,0.0887603721398039,3977,36776
"1552","Jefferson County, Kansas","Douglas County, Kansas",1,0.0852243019972812,19126,110826
"2114","Geary County, Kansas","Riley County, Kansas",1,0.0831150689715383,34362,71115
"15087","Cherokee County, Kansas","Jasper County, Missouri",1,0.0792019626903671,21603,117404
"10999","Hodgeman County, Kansas","Ford County, Kansas",1,0.0767223382045929,1916,33848
"11280","Gray County, Kansas","Ford County, Kansas",1,0.0759240759240759,6006,33848
"844","Linn County, Kansas","Johnson County, Kansas",1,0.0751864125932063,9656,544179
"6204","Chase County, Kansas","Lyon County, Kansas",1,0.0727598566308244,2790,33690
"4372","Woodson County, Kansas","Allen County, Kansas",1,0.0640676941674222,3309,13371
"6909","Chautauqua County, Kansas","Montgomery County, Kansas",1,0.0591441809757427,3669,35471
"145","Wyandotte County, Kansas","Jackson County, Missouri",1,0.0583092600234913,157505,674158
"5781","Marion County, Kansas","Harvey County, Kansas",1,0.0550552922590837,12660,34684
"1835","Riley County, Kansas","Geary County, Kansas",1,0.0535892568375167,71115,34362
"10434","Meade County, Kansas","Seward County, Kansas",1,0.0526775956284153,4575,22952
"2256","Dickinson County, Kansas","Geary County, Kansas",1,0.0519388478282879,19754,34362
"8320","Washington County, Kansas","Marshall County, Kansas",1,0.0506983962752199,5799,10117
"1684","Douglas County, Kansas","Johnson County, Kansas",1,0.0492844639344558,110826,544179
"11420","Clark County, Kansas","Ford County, Kansas",1,0.0487584650112867,2215,33848
"843","Linn County, Kansas","Miami County, Kansas",1,0.0481565865782933,9656,32787
"994","Wabaunsee County, Kansas","Pottawatomie County, Kansas",1,0.0479228697008365,7053,21604
"2382","Leavenworth County, Kansas","Wyandotte County, Kansas",1,0.0464927125559185,76227,157505
"2384","Leavenworth County, Kansas","Johnson County, Kansas",1,0.0462565757539979,76227,544179
"2819","Lincoln County, Kansas","Saline County, Kansas",1,0.0459734649799445,3241,55606
"7474","Rush County, Kansas","Ellis County, Kansas",1,0.0456607196855156,3307,28452
"2258","Dickinson County, Kansas","Saline County, Kansas",1,0.0452060342209173,19754,55606
"7755","Rooks County, Kansas","Ellis County, Kansas",1,0.0449720131248794,5181,28452
"7334","Russell County, Kansas","Ellis County, Kansas",1,0.0447632711621234,6970,28452
"2956","Morris County, Kansas","Geary County, Kansas",1,0.0430525071754179,5923,34362
"4513","Allen County, Kansas","Neosho County, Kansas",1,0.0420312616857378,13371,16512
"15088","Cherokee County, Kansas","Crawford County, Kansas",1,0.041568300698977,21603,39134
"3096","Clay County, Kansas","Geary County, Kansas",1,0.0413591095489162,8535,34362
"4794","Wilson County, Kansas","Neosho County, Kansas",1,0.041024550961845,9409,16512
"13254","Logan County, Kansas","Thomas County, Kansas",1,0.0391872278664731,2756,7900
"10574","Haskell County, Kansas","Seward County, Kansas",1,0.0382988721804511,4256,22952
"10857","Edwards County, Kansas","Pawnee County, Kansas",1,0.0381955877510701,3037,6973
"7476","Rush County, Kansas","Barton County, Kansas",1,0.0381009978832779,3307,27674
"7196","Stafford County, Kansas","Barton County, Kansas",1,0.0378634212305612,4437,27674
"3526","Rice County, Kansas","Reno County, Kansas",1,0.0371913121094912,10083,64511
"5918","Cowley County, Kansas","Sedgwick County, Kansas",1,0.0364627798738674,36311,498365
"6344","Greenwood County, Kansas","Lyon County, Kansas",1,0.0363283001943489,6689,33690
"6484","Coffey County, Kansas","Lyon County, Kansas",1,0.0355772584583188,8601,33690
"993","Wabaunsee County, Kansas","Riley County, Kansas",1,0.0345952077130299,7053,71115
"9025","Osborne County, Kansas","Mitchell County, Kansas",1,0.0339554173146708,3858,6373
"8602","Nemaha County, Kansas","Brown County, Kansas",1,0.0337001375515818,10178,9984
"6338","Greenwood County, Kansas","Sedgwick County, Kansas",1,0.033487815817013,6689,498365
"9306","Jewell County, Kansas","Mitchell County, Kansas",1,0.0328241793955151,3077,6373
"2954","Morris County, Kansas","Riley County, Kansas",1,0.0317406719567787,5923,71115
"3950","Doniphan County, Kansas","Atchison County, Kansas",1,0.0317180616740088,7945,16924
"1969","Pottawatomie County, Kansas","Shawnee County, Kansas",1,0.0305036104425106,21604,177934
"3225","Anderson County, Kansas","Franklin County, Kansas",1,0.0304862996790916,8102,25992
"10859","Edwards County, Kansas","Ford County, Kansas",1,0.030293052354297,3037,33848
"285","Miami County, Kansas","Jackson County, Missouri",1,0.030042394851618,32787,674158
"6339","Greenwood County, Kansas","Butler County, Kansas",1,0.0291523396621319,6689,65880
"422","Johnson County, Kansas","Wyandotte County, Kansas",1,0.0290235382107726,544179,157505
"6618","Harper County, Kansas","Sedgwick County, Kansas",1,0.0275107722903547,6034,498365
"12409","Republic County, Kansas","Cloud County, Kansas",1,0.0275100401606426,4980,9533
"7049","Elk County, Kansas","Montgomery County, Kansas",1,0.027411519777932,2882,35471
"4655","Neosho County, Kansas","Labette County, Kansas",1,0.0270712209302326,16512,21607
"8742","Brown County, Kansas","Nemaha County, Kansas",1,0.026943108974359,9984,10178
"1689","Douglas County, Kansas","Shawnee County, Kansas",1,0.0268348582462599,110826,177934
"3379","Ellsworth County, Kansas","Saline County, Kansas",1,0.0253963367708173,6497,55606
"3094","Clay County, Kansas","Riley County, Kansas",1,0.0253075571177504,8535,71115
"16639","Phillips County, Kansas","Norton County, Kansas",1,0.0251683800070897,5642,5671
"3527","Rice County, Kansas","McPherson County, Kansas",1,0.0242983239115343,10083,29180
