"","source","target","cluster","pct","srcpop","tarpop"
"10498","Bullitt County, Kentucky","Jefferson County, Kentucky",1,0.27185511107523,74319,741096
"10137","Oldham County, Kentucky","Jefferson County, Kentucky",1,0.246319384574574,60316,741096
"9957","Spencer County, Kentucky","Jefferson County, Kentucky",1,0.237793798722232,17061,741096
"182","Jessamine County, Kentucky","Fayette County, Kentucky",1,0.191763059317499,48586,295803
"13756","Edmonson County, Kentucky","Warren County, Kentucky",1,0.176136830852726,12161,113792
"2","Woodford County, Kentucky","Fayette County, Kentucky",1,0.156301375355868,24939,295803
"8145","Campbell County, Kentucky","Hamilton County, Ohio",1,0.149918083599008,90336,802374
"25521","Ballard County, Kentucky","McCracken County, Kentucky",1,0.148260395199418,8249,65565
"11223","Larue County, Kentucky","Hardin County, Kentucky",1,0.138448530965969,14193,105543
"2172","Anderson County, Kentucky","Franklin County, Kentucky",1,0.135007702721628,21421,49285
"25701","Livingston County, Kentucky","McCracken County, Kentucky",1,0.134993171551634,9519,65565
"1623","Clark County, Kentucky","Fayette County, Kentucky",1,0.131300367843203,35613,295803
"10678","Shelby County, Kentucky","Jefferson County, Kentucky",1,0.129581214051433,42074,741096
"723","Scott County, Kentucky","Fayette County, Kentucky",1,0.128717698683569,47173,295803
"11043","Meade County, Kentucky","Hardin County, Kentucky",1,0.124187119781833,28602,105543
"7604","Kenton County, Kentucky","Hamilton County, Ohio",1,0.119152266466316,159720,802374
"8324","Grant County, Kentucky","Boone County, Kentucky",1,0.108750304111589,24662,118811
"4164","Greenup County, Kentucky","Boyd County, Kentucky",1,0.1086155513411,36910,49542
"23531","McLean County, Kentucky","Daviess County, Kentucky",1,0.105025705592278,9531,96656
"1263","Bourbon County, Kentucky","Fayette County, Kentucky",1,0.102276707530648,19985,295803
"7603","Kenton County, Kentucky","Boone County, Kentucky",1,0.099511645379414,159720,118811
"2535","Lincoln County, Kentucky","Boyle County, Kentucky",1,0.099143157384205,24742,28432
"8504","Gallatin County, Kentucky","Boone County, Kentucky",1,0.0961695191524042,8589,118811
"24978","Fulton County, Kentucky","Obion County, Tennessee",1,0.096139732863643,6813,31807
"15024","Metcalfe County, Kentucky","Barren County, Kentucky",1,0.0958510743637984,10099,42173
"13936","Butler County, Kentucky","Warren County, Kentucky",1,0.0953506698187549,12690,113792
"11038","Meade County, Kentucky","Jefferson County, Kentucky",1,0.0937696664568911,28602,741096
"26789","Trigg County, Kentucky","Christian County, Kentucky",1,0.0888485947416138,14339,73955
"5973","Menifee County, Kentucky","Montgomery County, Kentucky",1,0.0886457342213765,6306,26499
"7783","Boone County, Kentucky","Kenton County, Kentucky",1,0.0863556404710002,118811,159720
"25881","Marshall County, Kentucky","McCracken County, Kentucky",1,0.0849020605443907,31448,65565
"7784","Boone County, Kentucky","Hamilton County, Ohio",1,0.0845628771746724,118811,802374
"12670","Green County, Kentucky","Taylor County, Kentucky",1,0.0835850062178007,11258,24512
"1087","Nicholas County, Kentucky","Bourbon County, Kentucky",1,0.0811492641906097,7135,19985
"6153","Bath County, Kentucky","Montgomery County, Kentucky",1,0.0809248554913295,11591,26499
"14116","Allen County, Kentucky","Warren County, Kentucky",1,0.0807777109641211,19956,113792
"3243","Madison County, Kentucky","Fayette County, Kentucky",1,0.0803222538472671,82916,295803
"18281","Knott County, Kentucky","Perry County, Kentucky",1,0.0795913373302337,16346,28712
"23892","Hancock County, Kentucky","Daviess County, Kentucky",1,0.0784588441330998,8565,96656
"22806","Henderson County, Kentucky","Vanderburgh County, Indiana",1,0.0773621621621622,46250,179703
"22083","Webster County, Kentucky","Hopkins County, Kentucky",1,0.0731958006020116,13621,46920
"9597","Nelson County, Kentucky","Jefferson County, Kentucky",1,0.0705159196077077,43437,741096
"3078","Rockcastle County, Kentucky","Madison County, Kentucky",1,0.069594277673546,17056,82916
"10857","Henry County, Kentucky","Oldham County, Kentucky",1,0.0694732745199792,15416,60316
"27150","Todd County, Kentucky","Christian County, Kentucky",1,0.0673354735152488,12460,73955
"8143","Campbell County, Kentucky","Kenton County, Kentucky",1,0.0661862380446334,90336,159720
"543","Garrard County, Kentucky","Fayette County, Kentucky",1,0.0645695364238411,16912,295803
