"","source","target","cluster","pct","srcpop","tarpop"
"5792","Bullitt County, Kentucky","Jefferson County, Kentucky",1,0.27185511107523,74319,741096
"5431","Oldham County, Kentucky","Jefferson County, Kentucky",1,0.246319384574574,60316,741096
"5251","Spencer County, Kentucky","Jefferson County, Kentucky",1,0.237793798722232,17061,741096
"182","Jessamine County, Kentucky","Fayette County, Kentucky",1,0.191763059317499,48586,295803
"8507","Edmonson County, Kentucky","Warren County, Kentucky",1,0.176136830852726,12161,113792
"2","Woodford County, Kentucky","Fayette County, Kentucky",1,0.156301375355868,24939,295803
"13213","Campbell County, Kentucky","Hamilton County, Ohio",1,0.149918083599008,90336,802374
"11584","Ballard County, Kentucky","McCracken County, Kentucky",1,0.148260395199418,8249,65565
"6336","Larue County, Kentucky","Hardin County, Kentucky",1,0.138448530965969,14193,105543
"1991","Anderson County, Kentucky","Franklin County, Kentucky",1,0.135007702721628,21421,49285
"11764","Livingston County, Kentucky","McCracken County, Kentucky",1,0.134993171551634,9519,65565
"543","Clark County, Kentucky","Fayette County, Kentucky",1,0.131300367843203,35613,295803
"5972","Shelby County, Kentucky","Jefferson County, Kentucky",1,0.129581214051433,42074,741096
"723","Scott County, Kentucky","Fayette County, Kentucky",1,0.128717698683569,47173,295803
"6156","Meade County, Kentucky","Hardin County, Kentucky",1,0.124187119781833,28602,105543
"12852","Kenton County, Kentucky","Hamilton County, Ohio",1,0.119152266466316,159720,802374
"13395","Grant County, Kentucky","Boone County, Kentucky",1,0.108750304111589,24662,118811
"14843","Greenup County, Kentucky","Boyd County, Kentucky",1,0.1086155513411,36910,49542
"18101","McLean County, Kentucky","Daviess County, Kentucky",1,0.105025705592278,9531,96656
"903","Bourbon County, Kentucky","Fayette County, Kentucky",1,0.102276707530648,19985,295803
"12855","Kenton County, Kentucky","Boone County, Kentucky",1,0.099511645379414,159720,118811
"3078","Lincoln County, Kentucky","Boyle County, Kentucky",1,0.099143157384205,24742,28432
"13756","Gallatin County, Kentucky","Boone County, Kentucky",1,0.0961695191524042,8589,118811
"16290","Fulton County, Kentucky","Obion County, Tennessee",1,0.096139732863643,6813,31807
"9594","Metcalfe County, Kentucky","Barren County, Kentucky",1,0.0958510743637984,10099,42173
"8687","Butler County, Kentucky","Warren County, Kentucky",1,0.0953506698187549,12690,113792
"6152","Meade County, Kentucky","Jefferson County, Kentucky",1,0.0937696664568911,28602,741096
"10137","Trigg County, Kentucky","Christian County, Kentucky",1,0.0888485947416138,14339,73955
"3620","Menifee County, Kentucky","Montgomery County, Kentucky",1,0.0886457342213765,6306,26499
"13572","Boone County, Kentucky","Kenton County, Kentucky",1,0.0863556404710002,118811,159720
"11944","Marshall County, Kentucky","McCracken County, Kentucky",1,0.0849020605443907,31448,65565
"13573","Boone County, Kentucky","Hamilton County, Ohio",1,0.0845628771746724,118811,802374
"19367","Green County, Kentucky","Taylor County, Kentucky",1,0.0835850062178007,11258,24512
"1086","Nicholas County, Kentucky","Bourbon County, Kentucky",1,0.0811492641906097,7135,19985
"3800","Bath County, Kentucky","Montgomery County, Kentucky",1,0.0809248554913295,11591,26499
"8867","Allen County, Kentucky","Warren County, Kentucky",1,0.0807777109641211,19956,113792
"1263","Madison County, Kentucky","Fayette County, Kentucky",1,0.0803222538472671,82916,295803
"21539","Knott County, Kentucky","Perry County, Kentucky",1,0.0795913373302337,16346,28712
"18462","Hancock County, Kentucky","Daviess County, Kentucky",1,0.0784588441330998,8565,96656
"17195","Henderson County, Kentucky","Vanderburgh County, Indiana",1,0.0773621621621622,46250,179703
"16653","Webster County, Kentucky","Hopkins County, Kentucky",1,0.0731958006020116,13621,46920
"6692","Nelson County, Kentucky","Jefferson County, Kentucky",1,0.0705159196077077,43437,741096
"1448","Rockcastle County, Kentucky","Madison County, Kentucky",1,0.069594277673546,17056,82916
"6871","Henry County, Kentucky","Oldham County, Kentucky",1,0.0694732745199792,15416,60316
"10498","Todd County, Kentucky","Christian County, Kentucky",1,0.0673354735152488,12460,73955
"13212","Campbell County, Kentucky","Kenton County, Kentucky",1,0.0661862380446334,90336,159720
"1623","Garrard County, Kentucky","Fayette County, Kentucky",1,0.0645695364238411,16912,295803
"12124","Graves County, Kentucky","McCracken County, Kentucky",1,0.063710568142022,37121,65565
"12304","Carlisle County, Kentucky","McCracken County, Kentucky",1,0.0632836990595611,5104,65565
"1983","Anderson County, Kentucky","Fayette County, Kentucky",1,0.0616217730264694,21421,295803
"2168","Estill County, Kentucky","Madison County, Kentucky",1,0.0616139585605235,14672,82916
"21719","Leslie County, Kentucky","Perry County, Kentucky",1,0.0609195402298851,11310,28712
"17921","Ohio County, Kentucky","Daviess County, Kentucky",1,0.0605234460196292,23842,96656
"9047","Simpson County, Kentucky","Warren County, Kentucky",1,0.0573094015120909,17327,113792
"16655","Webster County, Kentucky","Henderson County, Kentucky",1,0.0565303575361574,13621,46250
"5071","Trimble County, Kentucky","Jefferson County, Kentucky",1,0.0558519695765694,8809,741096
"6872","Henry County, Kentucky","Jefferson County, Kentucky",1,0.0538401660612351,15416,741096
"20997","Johnson County, Kentucky","Floyd County, Kentucky",1,0.0532625449563281,23356,39451
"2345","Harrison County, Kentucky","Scott County, Kentucky",1,0.0525841027273692,18846,47173
"17376","Union County, Kentucky","Henderson County, Kentucky",1,0.0518424735123609,15007,46250
"2524","Powell County, Kentucky","Clark County, Kentucky",1,0.0516134147308333,12613,35613
"4897","Washington County, Kentucky","Nelson County, Kentucky",1,0.0500128019117522,11717,43437
"4706","Knox County, Kentucky","Laurel County, Kentucky",1,0.0494620957877239,31883,58849
"2898","Mercer County, Kentucky","Boyle County, Kentucky",1,0.0492710140171581,21331,28432
"2708","Jackson County, Kentucky","Madison County, Kentucky",1,0.0488365199347858,13494,82916
"1622","Garrard County, Kentucky","Jessamine County, Kentucky",1,0.0486636707663198,16912,48586
"5079","Trimble County, Kentucky","Jefferson County, Indiana",1,0.0483596321943467,8809,32428
"9955","Hart County, Kentucky","Barren County, Kentucky",1,0.0480795648112534,18199,42173
"6874","Henry County, Kentucky","Shelby County, Kentucky",1,0.047677737415672,15416,42074
"15204","Carter County, Kentucky","Boyd County, Kentucky",1,0.0474025974025974,27720,49542
"14118","Bracken County, Kentucky","Mason County, Kentucky",1,0.0471253534401508,8488,17490
"13392","Grant County, Kentucky","Kenton County, Kentucky",1,0.0465898953856135,24662,159720
"9414","Monroe County, Kentucky","Barren County, Kentucky",1,0.0458816017513454,10963,42173
"2883","Mercer County, Kentucky","Fayette County, Kentucky",1,0.0457550044536121,21331,295803
"19729","Adair County, Kentucky","Russell County, Kentucky",1,0.0456153516295026,18656,17565
"5080","Trimble County, Kentucky","Carroll County, Kentucky",1,0.0455216256101714,8809,10811
"14298","Fleming County, Kentucky","Mason County, Kentucky",1,0.0455115695567326,14348,17490
"3423","Montgomery County, Kentucky","Fayette County, Kentucky",1,0.0446431940827956,26499,295803
"9227","Logan County, Kentucky","Warren County, Kentucky",1,0.0436370411775666,26835,113792
"3979","Casey County, Kentucky","Boyle County, Kentucky",1,0.0424318395487308,15955,28432
"12673","Pendleton County, Kentucky","Campbell County, Kentucky",1,0.0418095046044229,14877,90336
"7417","Grayson County, Kentucky","Hardin County, Kentucky",1,0.0417928998679406,25746,105543
"12675","Pendleton County, Kentucky","Boone County, Kentucky",1,0.0408684546615581,14877,118811
"4345","Whitley County, Kentucky","Laurel County, Kentucky",1,0.0404355024272526,35637,58849
"14478","Lewis County, Kentucky","Mason County, Kentucky",1,0.0397260273972603,13870,17490
"2343","Harrison County, Kentucky","Fayette County, Kentucky",1,0.0392656266581768,18846,295803
"23531","Owsley County, Kentucky","Lee County, Kentucky",1,0.0391167192429022,4755,7887
"13215","Campbell County, Kentucky","Boone County, Kentucky",1,0.0389767091746369,90336,118811
"1638","Garrard County, Kentucky","Boyle County, Kentucky",1,0.0389664143803217,16912,28432
"10861","Lyon County, Kentucky","Caldwell County, Kentucky",1,0.0388501323069521,8314,12984
"2523","Powell County, Kentucky","Fayette County, Kentucky",1,0.0388488067866487,12613,295803
"19911","Wayne County, Kentucky","Pulaski County, Kentucky",1,0.0386297025897276,20813,63063
"21176","Floyd County, Kentucky","Pike County, Kentucky",1,0.0383767204887075,39451,65024
"11766","Livingston County, Kentucky","Marshall County, Kentucky",1,0.0381342578001891,9519,31448
"9767","Barren County, Kentucky","Warren County, Kentucky",1,0.0372987456429469,42173,113792
"2163","Estill County, Kentucky","Fayette County, Kentucky",1,0.0371455834242094,14672,295803
"5253","Spencer County, Kentucky","Shelby County, Kentucky",1,0.0362229646562335,17061,42074
"5070","Trimble County, Kentucky","Oldham County, Kentucky",1,0.0358724032239755,8809,60316
"12672","Pendleton County, Kentucky","Hamilton County, Ohio",1,0.0357598978288633,14877,802374
"10499","Todd County, Kentucky","Montgomery County, Tennessee",1,0.034430176565008,12460,172331
"21899","Breathitt County, Kentucky","Perry County, Kentucky",1,0.0340106643608589,13878,28712
"18459","Hancock County, Kentucky","Perry County, Indiana",1,0.0338587273788675,8565,19338
"10","Woodford County, Kentucky","Franklin County, Kentucky",1,0.0337623802077068,24939,49285
"14114","Bracken County, Kentucky","Campbell County, Kentucky",1,0.0335768143261074,8488,90336
"14842","Greenup County, Kentucky","Scioto County, Ohio",1,0.0332159306421024,36910,79499
"4151","Owen County, Kentucky","Franklin County, Kentucky",1,0.0318236325062264,10841,49285
"2725","Jackson County, Kentucky","Laurel County, Kentucky",1,0.0310508374092189,13494,58849
"11222","Crittenden County, Kentucky","Caldwell County, Kentucky",1,0.0310252281266774,9315,12984
"1628","Garrard County, Kentucky","Madison County, Kentucky",1,0.0308656575212867,16912,82916
"5951","Shelby County, Kentucky","Franklin County, Kentucky",1,0.0306602652469459,42074,49285
"4902","Washington County, Kentucky","Marion County, Kentucky",1,0.0303832038917812,11717,19820
"3823","Bath County, Kentucky","Rowan County, Kentucky",1,0.0303683892675352,11591,23333
"1803","Franklin County, Kentucky","Fayette County, Kentucky",1,0.0300497108653749,49285,295803
"11949","Marshall County, Kentucky","Calloway County, Kentucky",1,0.0298270160264564,31448,37191
"3257","Boyle County, Kentucky","Mercer County, Kentucky",1,0.0296145188519978,28432,21331
"12671","Pendleton County, Kentucky","Kenton County, Kentucky",1,0.0295086374941184,14877,159720
"12853","Kenton County, Kentucky","Campbell County, Kentucky",1,0.0292574505384423,159720,90336
"905","Bourbon County, Kentucky","Scott County, Kentucky",1,0.0290718038528897,19985,47173
"20272","McCreary County, Kentucky","Pulaski County, Kentucky",1,0.0284606140063367,18306,63063
"7946","Clay County, Kentucky","Laurel County, Kentucky",1,0.0283479061205706,21730,58849
"6512","Hardin County, Kentucky","Jefferson County, Kentucky",1,0.0282159877964432,105543,741096
"8137","Breckinridge County, Kentucky","Hardin County, Kentucky",1,0.0280672017548233,20059,105543
"4525","Laurel County, Kentucky","Whitley County, Kentucky",1,0.0280038743224184,58849,35637
"17554","Muhlenberg County, Kentucky","Hopkins County, Kentucky",1,0.0274929362836915,31499,46920
"15023","Boyd County, Kentucky","Greenup County, Kentucky",1,0.0272294215009487,49542,36910
"22079","Letcher County, Kentucky","Perry County, Kentucky",1,0.02695868510135,24519,28712
"11038","Caldwell County, Kentucky","Christian County, Kentucky",1,0.0268022181146026,12984,73955
"9937","Hart County, Kentucky","Hardin County, Kentucky",1,0.0261003351832518,18199,105543
"4145","Owen County, Kentucky","Scott County, Kentucky",1,0.0253666635919196,10841,47173
"1981","Anderson County, Kentucky","Woodford County, Kentucky",1,0.0252555903085757,21421,24939
"2346","Harrison County, Kentucky","Bourbon County, Kentucky",1,0.0251512257242916,18846,19985
"4180","Owen County, Kentucky","Carroll County, Kentucky",1,0.0249976939396735,10841,10811
"11225","Crittenden County, Kentucky","Livingston County, Kentucky",1,0.0247987117552335,9315,9519
"8132","Breckinridge County, Kentucky","Jefferson County, Kentucky",1,0.0247270551871978,20059,741096
"16470","Hickman County, Kentucky","Obion County, Tennessee",1,0.0246838025295798,4902,31807
"10492","Todd County, Kentucky","Logan County, Kentucky",1,0.0243178170144462,12460,26835
"4346","Whitley County, Kentucky","Knox County, Kentucky",1,0.0240761006818756,35637,31883
"4214","Owen County, Kentucky","Grant County, Kentucky",1,0.0239830273959967,10841,24662
"18094","McLean County, Kentucky","Hopkins County, Kentucky",1,0.0239219389361032,9531,46920
"21538","Knott County, Kentucky","Floyd County, Kentucky",1,0.0236143398996696,16346,39451
"15164","Carter County, Kentucky","Rowan County, Kentucky",1,0.0234848484848485,27720,23333
"19727","Adair County, Kentucky","Taylor County, Kentucky",1,0.0234240994854202,18656,24512
"13393","Grant County, Kentucky","Hamilton County, Ohio",1,0.0233557700105425,24662,802374
"3424","Montgomery County, Kentucky","Clark County, Kentucky",1,0.023208422959357,26499,35613
"15384","Lawrence County, Kentucky","Boyd County, Kentucky",1,0.023139974779319,15860,49542
"13721","Gallatin County, Kentucky","Carroll County, Kentucky",1,0.0229363138898591,8589,10811
"15494","Robertson County, Kentucky","Harrison County, Kentucky",1,0.0227870289219982,2282,18846
"15704","Elliott County, Kentucky","Rowan County, Kentucky",1,0.0225420275089149,7852,23333
"8870","Allen County, Kentucky","Simpson County, Kentucky",1,0.0223491681699739,19956,17327
"12487","Calloway County, Kentucky","Marshall County, Kentucky",1,0.0221021214810035,37191,31448
"10319","Christian County, Kentucky","Montgomery County, Tennessee",1,0.0216753431140558,73955,172331
"13752","Gallatin County, Kentucky","Kenton County, Kentucky",1,0.0215391780183956,8589,159720
"15028","Boyd County, Kentucky","Cabell County, West Virginia",1,0.0213959872431472,49542,96319
"3243","Boyle County, Kentucky","Fayette County, Kentucky",1,0.0211381541924592,28432,295803
"14112","Bracken County, Kentucky","Kenton County, Kentucky",1,0.0209707822808671,8488,159720
"16448","Hickman County, Kentucky","Graves County, Kentucky",1,0.0206038351693186,4902,37121
"1083","Nicholas County, Kentucky","Fayette County, Kentucky",1,0.0204625087596356,7135,295803
"24616","Bell County, Kentucky","Claiborne County, Tennessee",1,0.0203896692342546,28691,32213
"6851","Henry County, Kentucky","Franklin County, Kentucky",1,0.0203684483653347,15416,49285
"9947","Hart County, Kentucky","Warren County, Kentucky",1,0.0203307874059014,18199,113792
"12308","Carlisle County, Kentucky","Graves County, Kentucky",1,0.0201802507836991,5104,37121
"7598","Marion County, Kentucky","Nelson County, Kentucky",1,0.0200302724520686,19820,43437
"730","Scott County, Kentucky","Franklin County, Kentucky",1,0.0196510715875607,47173,49285
"6693","Nelson County, Kentucky","Bullitt County, Kentucky",1,0.0194764831825402,43437,74319
"14264","Fleming County, Kentucky","Rowan County, Kentucky",1,0.0192361304711458,14348,23333
"15485","Robertson County, Kentucky","Scott County, Kentucky",1,0.0188431200701139,2282,47173
"20451","Clinton County, Kentucky","Wayne County, Kentucky",1,0.0184968847352025,10272,20813
"4705","Knox County, Kentucky","Whitley County, Kentucky",1,0.0184110654580811,31883,35637
"14113","Bracken County, Kentucky","Hamilton County, Ohio",1,0.0182610744580584,8488,802374
"4215","Owen County, Kentucky","Boone County, Kentucky",1,0.0179872705469975,10841,118811
"22258","Magoffin County, Kentucky","Floyd County, Kentucky",1,0.0176254406360159,13333,39451
"12674","Pendleton County, Kentucky","Grant County, Kentucky",1,0.0168716811185051,14877,24662
"8739","Butler County, Kentucky","Ohio County, Kentucky",1,0.0168636721828211,12690,23842
"4526","Laurel County, Kentucky","Knox County, Kentucky",1,0.0167377525531445,58849,31883
"2164","Estill County, Kentucky","Clark County, Kentucky",1,0.0164940021810251,14672,35613
"9103","Simpson County, Kentucky","Sumner County, Tennessee",1,0.0164483176545276,17327,160645
"20274","McCreary County, Kentucky","Scott County, Tennessee",1,0.0164426963836993,18306,22228
"12129","Graves County, Kentucky","Calloway County, Kentucky",1,0.0164058080331888,37121,37191
"4143","Owen County, Kentucky","Fayette County, Kentucky",1,0.016142422285767,10841,295803
"15558","Robertson County, Kentucky","Mason County, Kentucky",1,0.0157756354075372,2282,17490
"15745","Elliott County, Kentucky","Carter County, Kentucky",1,0.0155374426897606,7852,27720
"6332","Larue County, Kentucky","Jefferson County, Kentucky",1,0.015430141619108,14193,741096
"11041","Caldwell County, Kentucky","Lyon County, Kentucky",1,0.0154035736290819,12984,8314
"11406","McCracken County, Kentucky","Marshall County, Kentucky",1,0.0153435522001068,65565,31448
"18764","Morgan County, Kentucky","Rowan County, Kentucky",1,0.0152984270631329,13923,23333
"10545","Todd County, Kentucky","Robertson County, Tennessee",1,0.0151685393258427,12460,66283
"1085","Nicholas County, Kentucky","Scott County, Kentucky",1,0.0151366503153469,7135,47173
"1443","Rockcastle County, Kentucky","Fayette County, Kentucky",1,0.0151266416510319,17056,295803
"19123","Taylor County, Kentucky","Marion County, Kentucky",1,0.0149722584856397,24512,19820
"9775","Barren County, Kentucky","Hart County, Kentucky",1,0.0148910440329121,42173,18199
"12305","Carlisle County, Kentucky","Ballard County, Kentucky",1,0.0148902821316614,5104,8249
"16798","Hopkins County, Kentucky","Christian County, Kentucky",1,0.0148550724637681,46920,73955
"7229","Carroll County, Kentucky","Trimble County, Kentucky",1,0.0147997410045324,10811,8809
"11073","Caldwell County, Kentucky","Hopkins County, Kentucky",1,0.0147874306839187,12984,46920
"364","Fayette County, Kentucky","Scott County, Kentucky",1,0.014769965145722,295803,47173
"19551","Russell County, Kentucky","Pulaski County, Kentucky",1,0.0146883005977797,17565,63063
"15416","Lawrence County, Kentucky","Johnson County, Kentucky",1,0.0139344262295082,15860,23356
"21004","Johnson County, Kentucky","Martin County, Kentucky",1,0.0138294228463778,23356,12929
"2539","Powell County, Kentucky","Montgomery County, Kentucky",1,0.0137952905732181,12613,26499
"5078","Trimble County, Kentucky","Henry County, Kentucky",1,0.0137359518674083,8809,15416
"7588","Marion County, Kentucky","Washington County, Kentucky",1,0.01372351160444,19820,11717
