"","source","target","cluster","pct","srcpop","tarpop"
"1","West Baton Rouge Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.1858500084076,23788,440171
"2","Cameron Parish, Louisiana","Calcasieu Parish, Louisiana",1,0.180728176634011,6839,192768
"3","Bossier Parish, Louisiana","Caddo Parish, Louisiana",1,0.177561784593816,116979,254969
"4","Grant Parish, Louisiana","Rapides Parish, Louisiana",1,0.172845040118338,22309,131613
"5","St. Martin Parish, Louisiana","Lafayette Parish, Louisiana",1,0.151744631901841,52160,221578
"6","St. Charles Parish, Louisiana","Jefferson Parish, Louisiana",1,0.140185676392573,52780,432552
"7","St. Bernard Parish, Louisiana","Orleans Parish, Louisiana",1,0.111680641836365,35897,343829
"9","Livingston Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.18538421883055,128026,440171
"11","De Soto Parish, Louisiana","Caddo Parish, Louisiana",1,0.163790516206483,26656,254969
"12","Union Parish, Louisiana","Ouachita Parish, Louisiana",1,0.0864398574006426,22721,153720
"13","Lafourche Parish, Louisiana","Terrebonne Parish, Louisiana",1,0.0807741024522934,96318,111860
"14","St. John the Baptist Parish, Louisiana","Jefferson Parish, Louisiana",1,0.0989896350492117,45924,432552
"16","Jackson Parish, Louisiana","Lincoln Parish, Louisiana",1,0.0718938183605752,16274,46735
"17","Beauregard Parish, Louisiana","Vernon Parish, Louisiana",1,0.0651259325741852,35654,52334
"18","Concordia Parish, Louisiana","Adams County, Mississippi",1,0.0649313226395159,20822,32297
"15","Vermilion Parish, Louisiana","Lafayette Parish, Louisiana",1,0.115277849618097,57999,221578
"231","Ascension Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.146789161964277,107215,440171
"24","St. Helena Parish, Louisiana","Tangipahoa Parish, Louisiana",1,0.0536463447290904,11203,121097
"25","Assumption Parish, Louisiana","St. Mary Parish, Louisiana",1,0.0494428077366466,23421,54650
"26","Washington Parish, Louisiana","St. Tammany Parish, Louisiana",1,0.0480622455902307,47168,233740
"27","Evangeline Parish, Louisiana","St. Landry Parish, Louisiana",1,0.0398128531073446,33984,83384
"29","Morehouse Parish, Louisiana","Ouachita Parish, Louisiana",1,0.0692662353908288,27979,153720
"30","Madison Parish, Louisiana","Warren County, Mississippi",1,0.0385346894897875,12093,48773
"19","Jefferson Davis Parish, Louisiana","Calcasieu Parish, Louisiana",1,0.0739064379312528,31594,192768
"51","Iberville Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.0912930182406326,33387,440171
"212","West Baton Rouge Parish, Louisiana","Iberville Parish, Louisiana",1,0.0429208004035648,23788,33387
"52","Jefferson Parish, Louisiana","Orleans Parish, Louisiana",1,0.122829162736503,432552,343829
