"","source","target","cluster","pct","srcpop","tarpop"
"1787","West Baton Rouge Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.1858500084076,23788,440171
"1974","Livingston Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.18538421883055,128026,440171
"4701","Cameron Parish, Louisiana","Calcasieu Parish, Louisiana",1,0.180728176634011,6839,192768
"470","Bossier Parish, Louisiana","Caddo Parish, Louisiana",1,0.177561784593816,116979,254969
"5264","Grant Parish, Louisiana","Rapides Parish, Louisiana",1,0.172845040118338,22309,131613
"283","De Soto Parish, Louisiana","Caddo Parish, Louisiana",1,0.163790516206483,26656,254969
"3949","St. Martin Parish, Louisiana","Lafayette Parish, Louisiana",1,0.151744631901841,52160,221578
"2067","Ascension Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.146789161964277,107215,440171
"2160","East Feliciana Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.14397789510041,20267,440171
"2915","St. Charles Parish, Louisiana","Jefferson Parish, Louisiana",1,0.140185676392573,52780,432552
"3009","Jefferson Parish, Louisiana","Orleans Parish, Louisiana",1,0.122829162736503,432552,343829
"3856","Vermilion Parish, Louisiana","Lafayette Parish, Louisiana",1,0.115277849618097,57999,221578
"3196","St. Bernard Parish, Louisiana","Orleans Parish, Louisiana",1,0.111680641836365,35897,343829
"2253","Pointe Coupee Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.105824050521884,22802,440171
"2822","St. John the Baptist Parish, Louisiana","Jefferson Parish, Louisiana",1,0.0989896350492117,45924,432552
"2346","Iberville Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.0912930182406326,33387,440171
"4136","Acadia Parish, Louisiana","Lafayette Parish, Louisiana",1,0.0901850322956632,61773,221578
"847","Union Parish, Louisiana","Ouachita Parish, Louisiana",1,0.0864398574006426,22721,153720
"4229","St. Landry Parish, Louisiana","Lafayette Parish, Louisiana",1,0.0817662860980524,83384,221578
"3760","Lafourche Parish, Louisiana","Terrebonne Parish, Louisiana",1,0.0807741024522934,96318,111860
"4608","Jefferson Davis Parish, Louisiana","Calcasieu Parish, Louisiana",1,0.0739064379312528,31594,192768
"1410","Jackson Parish, Louisiana","Lincoln Parish, Louisiana",1,0.0718938183605752,16274,46735
"1034","Richland Parish, Louisiana","Ouachita Parish, Louisiana",1,0.070832328106152,20725,153720
"1127","Morehouse Parish, Louisiana","Ouachita Parish, Louisiana",1,0.0692662353908288,27979,153720
"3102","Orleans Parish, Louisiana","Jefferson Parish, Louisiana",1,0.0688074595220299,343829,432552
"4888","Beauregard Parish, Louisiana","Calcasieu Parish, Louisiana",1,0.0673697200875077,35654,192768
"4885","Beauregard Parish, Louisiana","Vernon Parish, Louisiana",1,0.0651259325741852,35654,52334
"5641","Concordia Parish, Louisiana","Adams County, Mississippi",1,0.0649313226395159,20822,32297
"1220","Caldwell Parish, Louisiana","Ouachita Parish, Louisiana",1,0.0618831425187525,10132,153720
"1694","West Feliciana Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.059264,15625,440171
"2439","St. Helena Parish, Louisiana","East Baton Rouge Parish, Louisiana",1,0.0579309113630278,11203,440171
