"","source","target","cluster","pct","srcpop","tarpop"
"1","Sagadahoc County, Maine","Cumberland County, Maine",1,0.191341059133539,35293,281674
"2","Somerset County, Maine","Kennebec County, Maine",1,0.0723558244619744,52228,122151
"3","Piscataquis County, Maine","Penobscot County, Maine",1,0.0630168234958654,17535,153923
"4","Oxford County, Maine","Androscoggin County, Maine",1,0.0540176024069303,57833,107702
"11","York County, Maine","Cumberland County, Maine",1,0.0993958332276507,197131,281674
"7","Waldo County, Maine","Knox County, Maine",1,0.0400144381993503,38786,39736
"9","Hancock County, Maine","Penobscot County, Maine",1,0.0457936712117314,54418,153923
"5","Androscoggin County, Maine","Cumberland County, Maine",1,0.068940223951273,107702,281674
"31","Oxford County, Maine","Cumberland County, Maine",1,0.0400809226566147,57833,281674
"16","Lincoln County, Maine","Kennebec County, Maine",1,0.0345648199204806,34457,122151
"6","Lincoln County, Maine","Knox County, Maine",1,0.0309371100211858,34457,39736
"23","Waldo County, Maine","Kennebec County, Maine",1,0.0292889186819987,38786,122151
"32","Knox County, Maine","Lincoln County, Maine",1,0.0161566337829676,39736,34457
"51","Kennebec County, Maine","Somerset County, Maine",1,0.0160702736776613,122151,52228
"33","Waldo County, Maine","Penobscot County, Maine",1,0.0557417624916207,38786,153923
"91","Somerset County, Maine","Penobscot County, Maine",1,0.0273416558168032,52228,153923
"43","Waldo County, Maine","Hancock County, Maine",1,0.0137420718816068,38786,54418
"52","Knox County, Maine","Waldo County, Maine",1,0.0115260720756996,39736,38786
"131","Piscataquis County, Maine","Somerset County, Maine",1,0.0107784431137725,17535,52228
"61","Knox County, Maine","Kennebec County, Maine",1,0.00825447956512986,39736,122151
"151","Penobscot County, Maine","Hancock County, Maine",1,0.00804298253022615,153923,54418
"25","York County, Maine","Rockingham County, New Hampshire",1,0.0357579477606262,197131,295223
"53","Cumberland County, Maine","York County, Maine",1,0.0193415082684238,281674,197131
"44","Sagadahoc County, Maine","Androscoggin County, Maine",1,0.0190689371830108,35293,107702
"101","Androscoggin County, Maine","Sagadahoc County, Maine",1,0.0131473881636367,107702,35293
"73","Cumberland County, Maine","Androscoggin County, Maine",1,0.0113500003550203,281674,107702
"62","Cumberland County, Maine","Sagadahoc County, Maine",1,0.00897491426258725,281674,35293
"122","Androscoggin County, Maine","Oxford County, Maine",1,0.00834710590332584,107702,57833
"162","Franklin County, Maine","Androscoggin County, Maine",1,0.0204758190327613,30768,107702
"152","Franklin County, Maine","Oxford County, Maine",1,0.00880785231409256,30768,57833
"83","Oxford County, Maine","York County, Maine",1,0.00646689606280151,57833,197131
"141","Androscoggin County, Maine","Franklin County, Maine",1,0.00520881692076285,107702,30768
"124","Oxford County, Maine","Carroll County, New Hampshire",1,0.0244497086438539,57833,47818
"114","Oxford County, Maine","Franklin County, Maine",1,0.00439195614960317,57833,30768
"37","York County, Maine","Strafford County, New Hampshire",1,0.0242681262713627,197131,123143
"48","Lincoln County, Maine","Sagadahoc County, Maine",1,0.0373218794439446,34457,35293
"49","Lincoln County, Maine","Cumberland County, Maine",1,0.0301245030037438,34457,281674
"66","Sagadahoc County, Maine","Kennebec County, Maine",1,0.0290992548097356,35293,122151
"421","Kennebec County, Maine","Androscoggin County, Maine",1,0.0218663784987434,122151,107702
"261","Franklin County, Maine","Kennebec County, Maine",1,0.0179407176287051,30768,122151
"411","Kennebec County, Maine","Cumberland County, Maine",1,0.015202495272245,122151,281674
"221","Androscoggin County, Maine","Kennebec County, Maine",1,0.0151250673153702,107702,122151
"361","Somerset County, Maine","Franklin County, Maine",1,0.0100903729800107,52228,30768
"251","Franklin County, Maine","Somerset County, Maine",1,0.00952288091523661,30768,52228
"40","Kennebec County, Maine","Sagadahoc County, Maine",1,0.00947188316100564,122151,35293
"77","Sagadahoc County, Maine","Lincoln County, Maine",1,0.0092652934009577,35293,34457
"551","Penobscot County, Maine","Somerset County, Maine",1,0.00736082326877725,153923,52228
"281","Waldo County, Maine","Somerset County, Maine",1,0.00613623472386944,38786,52228
"126","Cumberland County, Maine","Kennebec County, Maine",1,0.00500933703501211,281674,122151
"57","Penobscot County, Maine","Piscataquis County, Maine",1,0.00389155616769424,153923,17535
"431","Kennebec County, Maine","Franklin County, Maine",1,0.00378220399341798,122151,30768
"461","Kennebec County, Maine","Lincoln County, Maine",1,0.00362665880754149,122151,34457
"38","Somerset County, Maine","Piscataquis County, Maine",1,0.00361874856398866,52228,17535
"561","Penobscot County, Maine","Kennebec County, Maine",1,0.00344328008159924,153923,122151
"351","Somerset County, Maine","Cumberland County, Maine",1,0.00340813356820097,52228,281674
"441","Kennebec County, Maine","Waldo County, Maine",1,0.00309453054006926,122151,38786
"471","Kennebec County, Maine","Penobscot County, Maine",1,0.00295535853165345,122151,153923
"105","Cumberland County, Maine","Oxford County, Maine",1,0.00294666884412477,281674,57833
"541","Penobscot County, Maine","Waldo County, Maine",1,0.00285857214321446,153923,38786
"1641","Aroostook County, Maine","Washington County, Maine",1,0.0011826909698066,71870,32856
"861","Washington County, Maine","Hancock County, Maine",1,0.0126917457998539,32856,54418
"87","Aroostook County, Maine","Penobscot County, Maine",1,0.00641435925977459,71870,153923
"851","Washington County, Maine","Penobscot County, Maine",1,0.00246530314097882,32856,153923
"80","Penobscot County, Maine","Aroostook County, Maine",1,0.00239080579250664,153923,71870
"621","Kennebec County, Maine","Knox County, Maine",1,0.00217763260227096,122151,39736
"262","Androscoggin County, Maine","York County, Maine",1,0.00204267330225994,107702,197131
"811","Hancock County, Maine","Waldo County, Maine",1,0.00200301370869933,54418,38786
"381","Waldo County, Maine","Cumberland County, Maine",1,0.00195946991182385,38786,281674
"252","Oxford County, Maine","Kennebec County, Maine",1,0.00195390175159511,57833,122151
"322","Franklin County, Maine","Cumberland County, Maine",1,0.00165756630265211,30768,281674
"831","Hancock County, Maine","Washington County, Maine",1,0.00159873571244809,54418,32856
"372","Waldo County, Maine","Sagadahoc County, Maine",1,0.00146960243386789,38786,35293
"710","Sagadahoc County, Maine","York County, Maine",1,0.00136004306803049,35293,197131
"741","Penobscot County, Maine","Cumberland County, Maine",1,0.00135132501315593,153923,281674
"422","Waldo County, Maine","Lincoln County, Maine",1,0.00131490744082916,38786,34457
"166","Cumberland County, Maine","Rockingham County, New Hampshire",1,0.00131002506443619,281674,295223
"491","Knox County, Maine","Penobscot County, Maine",1,0.00128347090799275,39736,153923
"512","Somerset County, Maine","Androscoggin County, Maine",1,0.00118710270353067,52228,107702
"452","Knox County, Maine","Sagadahoc County, Maine",1,0.00113247433058184,39736,35293
"532","Somerset County, Maine","Waldo County, Maine",1,0.0010530749789385,52228,38786
"68","Lincoln County, Maine","Androscoggin County, Maine",1,0.000928693734219462,34457,107702
"841","Washington County, Maine","Knox County, Maine",1,0.000852203554906258,32856,39736
"721","Piscataquis County, Maine","Kennebec County, Maine",1,0.000798403193612775,17535,122151
"513","York County, Maine","Carroll County, New Hampshire",1,0.000755842561545368,197131,47818
"213","York County, Maine","Oxford County, Maine",1,0.000745697023806504,197131,57833
"201","Oxford County, Maine","Sagadahoc County, Maine",1,0.000743520135562741,57833,35293
"313","York County, Maine","Androscoggin County, Maine",1,0.000715260410589912,197131,107702
"184","Cumberland County, Maine","Lincoln County, Maine",1,0.000695839871624644,281674,34457
"1010","York County, Maine","Essex County, Massachusetts",1,0.00433721738336436,197131,743159
"713","Kennebec County, Maine","York County, Maine",1,0.000597620977314963,122151,197131
"99","Penobscot County, Maine","Washington County, Maine",1,0.000591204693255719,153923,32856
"563","Knox County, Maine","Cumberland County, Maine",1,0.000553654117173344,39736,281674
"810","York County, Maine","Kennebec County, Maine",1,0.000542786269029224,197131,122151
"941","Penobscot County, Maine","Knox County, Maine",1,0.000526237144546299,153923,39736
"871","Piscataquis County, Maine","Waldo County, Maine",1,0.000513259195893926,17535,38786
"343","Oxford County, Maine","Penobscot County, Maine",1,0.000432279148582989,57833,153923
"109","Washington County, Maine","Aroostook County, Maine",1,0.000426101777453129,32856,71870
"463","Franklin County, Maine","Penobscot County, Maine",1,0.000422516900676027,30768,153923
"910","York County, Maine","Penobscot County, Maine",1,0.000415967047293424,197131,153923
"223","Cumberland County, Maine","Carroll County, New Hampshire",1,0.000411823597492136,281674,47818
"146","Sagadahoc County, Maine","Knox County, Maine",1,0.000396679228175559,35293,39736
"1011","Hancock County, Maine","Cumberland County, Maine",1,0.000367525451137491,54418,281674
"701","Somerset County, Maine","Hancock County, Maine",1,0.000363789538178755,52228,54418
"622","Somerset County, Maine","York County, Maine",1,0.000363789538178755,52228,197131
"263","Cumberland County, Maine","Essex County, Massachusetts",1,0.000351470139238978,281674,743159
"911","Piscataquis County, Maine","Aroostook County, Maine",1,0.000342172797262618,17535,71870
"120","York County, Maine","Sagadahoc County, Maine",1,0.000319584438774216,197131,35293
"613","Knox County, Maine","Hancock County, Maine",1,0.000301993154821824,39736,54418
"862","Piscataquis County, Maine","Cumberland County, Maine",1,0.000285143997718848,17535,281674
"253","Cumberland County, Maine","Penobscot County, Maine",1,0.000273365663852539,281674,153923
"1031","Hancock County, Maine","Kennebec County, Maine",1,0.000257267815796244,54418,122151
"1113","York County, Maine","Middlesex County, Massachusetts",1,0.0024247835195885,197131,1503085
"284","Cumberland County, Maine","Middlesex County, Massachusetts",1,0.000450875835185356,281674,1503085
"932","Lincoln County, Maine","Middlesex County, Massachusetts",1,0.00031923847113794,34457,1503085
"534","Waldo County, Maine","Androscoggin County, Maine",1,0.000232042489558088,38786,107702
