"","source","target","cluster","pct","srcpop","tarpop"
"32","Sagadahoc County, Maine","Cumberland County, Maine",1,0.191341059133539,35293,281674
"2","York County, Maine","Cumberland County, Maine",1,0.0993958332276507,197131,281674
"218","Somerset County, Maine","Kennebec County, Maine",1,0.0723558244619744,52228,122151
"93","Androscoggin County, Maine","Cumberland County, Maine",1,0.068940223951273,107702,281674
"311","Piscataquis County, Maine","Penobscot County, Maine",1,0.0630168234958654,17535,153923
"281","Waldo County, Maine","Penobscot County, Maine",1,0.0557417624916207,38786,153923
"124","Oxford County, Maine","Androscoggin County, Maine",1,0.0540176024069303,57833,107702
"372","Hancock County, Maine","Penobscot County, Maine",1,0.0457936712117314,54418,153923
"123","Oxford County, Maine","Cumberland County, Maine",1,0.0400809226566147,57833,281674
"283","Waldo County, Maine","Knox County, Maine",1,0.0400144381993503,38786,39736
"152","Lincoln County, Maine","Sagadahoc County, Maine",1,0.0373218794439446,34457,35293
"6","York County, Maine","Rockingham County, New Hampshire",1,0.0357579477606262,197131,295223
"158","Lincoln County, Maine","Kennebec County, Maine",1,0.0345648199204806,34457,122151
"163","Lincoln County, Maine","Knox County, Maine",1,0.0309371100211858,34457,39736
"153","Lincoln County, Maine","Cumberland County, Maine",1,0.0301245030037438,34457,281674
"279","Waldo County, Maine","Kennebec County, Maine",1,0.0292889186819987,38786,122151
"38","Sagadahoc County, Maine","Kennebec County, Maine",1,0.0290992548097356,35293,122151
"221","Somerset County, Maine","Penobscot County, Maine",1,0.0273416558168032,52228,153923
"134","Oxford County, Maine","Carroll County, New Hampshire",1,0.0244497086438539,57833,47818
"15","York County, Maine","Strafford County, New Hampshire",1,0.0242681262713627,197131,123143
"244","Kennebec County, Maine","Androscoggin County, Maine",1,0.0218663784987434,122151,107702
"484","Franklin County, Maine","Androscoggin County, Maine",1,0.0204758190327613,30768,107702
"61","Cumberland County, Maine","York County, Maine",1,0.0193415082684238,281674,197131
"33","Sagadahoc County, Maine","Androscoggin County, Maine",1,0.0190689371830108,35293,107702
