"","source","target","cluster","pct","srcpop","tarpop"
"1","Prince George's County, Maryland","District of Columbia, District of Columbia",1,0.154855111069931,863420,601723
"2","Baltimore County, Maryland","Baltimore city, Maryland",1,0.142443315706639,805029,620961
"3","Cecil County, Maryland","New Castle County, Delaware",1,0.113818886734976,101108,538479
"4","Frederick County, Maryland","Montgomery County, Maryland",1,0.107521905863702,233385,971777
"6","Charles County, Maryland","District of Columbia, District of Columbia",1,0.0964647119432825,146551,601723
"7","Caroline County, Maryland","Talbot County, Maryland",1,0.0910905461803665,33066,37782
"8","Queen Anne's County, Maryland","Anne Arundel County, Maryland",1,0.0905686430394577,47798,537656
"11","Harford County, Maryland","Baltimore County, Maryland",1,0.101153472261933,244826,805029
"31","Baltimore city, Maryland","Baltimore County, Maryland",1,0.092015440583225,620961,805029
"12","Somerset County, Maryland","Wicomico County, Maryland",1,0.0802040045334341,26470,98733
"41","Calvert County, Maryland","Prince George's County, Maryland",1,0.09833553083832,88737,863420
"22","Charles County, Maryland","Prince George's County, Maryland",1,0.0935032855456462,146551,863420
"17","Garrett County, Maryland","Allegany County, Maryland",1,0.0488420772834502,30097,75087
"14","Washington County, Maryland","Frederick County, Maryland",1,0.0683782133894051,147430,233385
"20","Carroll County, Maryland","Howard County, Maryland",1,0.0437253939952374,167134,287085
"221","Dorchester County, Maryland","Talbot County, Maryland",1,0.0585259672573426,32618,37782
"42","Carroll County, Maryland","Baltimore County, Maryland",1,0.0893654193641031,167134,805029
"61","Harford County, Maryland","Baltimore city, Maryland",1,0.0701110176206775,244826,620961
"24","Howard County, Maryland","Baltimore city, Maryland",1,0.0522980998658934,287085,620961
"15","Howard County, Maryland","Baltimore County, Maryland",1,0.0392044168103523,287085,805029
"16","Worcester County, Maryland","Wicomico County, Maryland",1,0.0525129241652738,51454,98733
"25","Wicomico County, Maryland","Worcester County, Maryland",1,0.0394903426412648,98733,51454
"72","Calvert County, Maryland","District of Columbia, District of Columbia",1,0.0548700091280976,88737,601723
"52","Calvert County, Maryland","St. Mary's County, Maryland",1,0.0437247146060831,88737,105151
"18","St. Mary's County, Maryland","Charles County, Maryland",1,0.0342364789683408,105151,146551
"36","Caroline County, Maryland","Queen Anne's County, Maryland",1,0.0433375672896631,33066,47798
"44","Caroline County, Maryland","Anne Arundel County, Maryland",1,0.0233774874493437,33066,537656
"19","Talbot County, Maryland","Queen Anne's County, Maryland",1,0.0207770896193955,37782,47798
"63","Dorchester County, Maryland","Caroline County, Maryland",1,0.0203262002575265,32618,33066
"28","Worcester County, Maryland","Sussex County, Delaware",1,0.0250126326427489,51454,197145
"54","Somerset County, Maryland","Worcester County, Maryland",1,0.0221382697393275,26470,51454
"45","Wicomico County, Maryland","Sussex County, Delaware",1,0.0217252590319346,98733,197145
"46","Montgomery County, Maryland","District of Columbia, District of Columbia",1,0.108176052736379,971777,601723
"111","Prince George's County, Maryland","Montgomery County, Maryland",1,0.0489668990757685,863420,971777
"38","Montgomery County, Maryland","Prince George's County, Maryland",1,0.0285363823181656,971777,863420
"74","St. Mary's County, Maryland","Prince George's County, Maryland",1,0.0277600783634963,105151,863420
"112","Washington County, Maryland","Montgomery County, Maryland",1,0.0206945669131113,147430,971777
"82","St. Mary's County, Maryland","District of Columbia, District of Columbia",1,0.0176032562695552,105151,601723
"10","St. Mary's County, Maryland","Calvert County, Maryland",1,0.0160435944498864,105151,88737
"65","Frederick County, Maryland","District of Columbia, District of Columbia",1,0.0155108511686698,233385,601723
"191","Calvert County, Maryland","Charles County, Maryland",1,0.0145148021682049,88737,146551
"131","Charles County, Maryland","St. Mary's County, Maryland",1,0.0139337159077727,146551,105151
"741","Kent County, Maryland","New Castle County, Delaware",1,0.0180719908897361,20197,538479
"56","Montgomery County, Maryland","Fairfax County, Virginia",1,0.021565647262695,971777,1081726
"192","Charles County, Maryland","Fairfax County, Virginia",1,0.0203819830639163,146551,1081726
"152","Prince George's County, Maryland","Fairfax County, Virginia",1,0.0194737207847861,863420,1081726
"83","Frederick County, Maryland","Fairfax County, Virginia",1,0.011440323928273,233385,1081726
"99","Allegany County, Maryland","Mineral County, West Virginia",1,0.0147295803534567,75087,28212
"173","Howard County, Maryland","Anne Arundel County, Maryland",1,0.0502185763798178,287085,537656
"163","Anne Arundel County, Maryland","Baltimore city, Maryland",1,0.0384427961373071,537656,620961
"232","Carroll County, Maryland","Baltimore city, Maryland",1,0.0341103545657975,167134,620961
"143","Anne Arundel County, Maryland","Howard County, Maryland",1,0.031016114392846,537656,287085
"281","Baltimore County, Maryland","Anne Arundel County, Maryland",1,0.0283679221493884,805029,537656
"291","Baltimore County, Maryland","Howard County, Maryland",1,0.0277182561125127,805029,287085
"321","Baltimore city, Maryland","Anne Arundel County, Maryland",1,0.0234877874777965,620961,537656
"202","Carroll County, Maryland","Anne Arundel County, Maryland",1,0.0222994722797276,167134,537656
"153","Anne Arundel County, Maryland","Baltimore County, Maryland",1,0.0212068683321678,537656,805029
"115","Queen Anne's County, Maryland","Talbot County, Maryland",1,0.0178877777312858,47798,37782
"331","Baltimore city, Maryland","Howard County, Maryland",1,0.015232840709803,620961,287085
"67","Caroline County, Maryland","Dorchester County, Maryland",1,0.0142744813403496,33066,32618
"48","Talbot County, Maryland","Anne Arundel County, Maryland",1,0.0140807792070298,37782,537656
"241","Harford County, Maryland","Anne Arundel County, Maryland",1,0.0140140344571247,244826,537656
"116","Talbot County, Maryland","Caroline County, Maryland",1,0.0138690381663226,37782,33066
"214","Talbot County, Maryland","Dorchester County, Maryland",1,0.0131014768937589,37782,32618
"30","Baltimore County, Maryland","Harford County, Maryland",1,0.0100704446672107,805029,244826
"133","Queen Anne's County, Maryland","Baltimore city, Maryland",1,0.00972844052052387,47798,620961
"251","Harford County, Maryland","Howard County, Maryland",1,0.0095537238691969,244826,287085
"242","Charles County, Maryland","Arlington County, Virginia",1,0.0177617348226897,146551,207627
"184","Prince George's County, Maryland","Arlington County, Virginia",1,0.0175441847536541,863420,207627
"194","Charles County, Maryland","Montgomery County, Maryland",1,0.010255815381676,146551,971777
"68","Montgomery County, Maryland","Arlington County, Virginia",1,0.00887652208274121,971777,207627
"252","Calvert County, Maryland","Montgomery County, Maryland",1,0.00771944059411519,88737,971777
"77","Frederick County, Maryland","Washington County, Maryland",1,0.00714698888103349,233385,147430
"70","Howard County, Maryland","Montgomery County, Maryland",1,0.0459480641621819,287085,971777
"641","Anne Arundel County, Maryland","Prince George's County, Maryland",1,0.0455942089365691,537656,863420
"711","Howard County, Maryland","Prince George's County, Maryland",1,0.0448752111743909,287085,863420
"721","Howard County, Maryland","District of Columbia, District of Columbia",1,0.0324015535468589,287085,601723
"651","Anne Arundel County, Maryland","District of Columbia, District of Columbia",1,0.0314011189310637,537656,601723
"411","Calvert County, Maryland","Anne Arundel County, Maryland",1,0.024183824109447,88737,537656
"561","Queen Anne's County, Maryland","Prince George's County, Maryland",1,0.0236620779112097,47798,863420
"771","Carroll County, Maryland","Montgomery County, Maryland",1,0.0216353345220003,167134,971777
"78","Carroll County, Maryland","Frederick County, Maryland",1,0.0152213194203454,167134,233385
"571","Queen Anne's County, Maryland","District of Columbia, District of Columbia",1,0.0143939076948826,47798,601723
"243","Prince George's County, Maryland","Anne Arundel County, Maryland",1,0.0132855389034305,863420,537656
"631","Anne Arundel County, Maryland","Montgomery County, Maryland",1,0.0120225571741039,537656,971777
"79","Carroll County, Maryland","Prince George's County, Maryland",1,0.0107159524692761,167134,863420
"155","Frederick County, Maryland","Carroll County, Maryland",1,0.00984639115624397,233385,167134
"253","Prince George's County, Maryland","Howard County, Maryland",1,0.009217993560492,863420,287085
"145","Frederick County, Maryland","Howard County, Maryland",1,0.00851811384621977,233385,287085
"97","Baltimore city, Maryland","District of Columbia, District of Columbia",1,0.00712605139453202,620961,601723
"541","Dorchester County, Maryland","Queen Anne's County, Maryland",1,0.0070819792752468,32618,47798
"263","Prince George's County, Maryland","Baltimore city, Maryland",1,0.0069757476083482,863420,620961
"60","Queen Anne's County, Maryland","Howard County, Maryland",1,0.00633917737143814,47798,287085
"810","Montgomery County, Maryland","Howard County, Maryland",1,0.00627818933767727,971777,287085
"611","Queen Anne's County, Maryland","Baltimore County, Maryland",1,0.00621364910665718,47798,805029
"1110","Frederick County, Maryland","Prince George's County, Maryland",1,0.00590012211581721,233385,863420
"89","Baltimore County, Maryland","Prince George's County, Maryland",1,0.00583954118423063,805029,863420
"90","Baltimore County, Maryland","District of Columbia, District of Columbia",1,0.00571035329162055,805029,601723
