"","source","target","cluster","pct","srcpop","tarpop"
"409","Prince George's County, Maryland","District of Columbia, District of Columbia",1,0.154855111069931,863420,601723
"1157","Baltimore County, Maryland","Baltimore city, Maryland",1,0.142443315706639,805029,620961
"1020","Cecil County, Maryland","New Castle County, Delaware",1,0.113818886734976,101108,538479
"544","Montgomery County, Maryland","District of Columbia, District of Columbia",1,0.108176052736379,971777,601723
"612","Frederick County, Maryland","Montgomery County, Maryland",1,0.107521905863702,233385,971777
"1089","Harford County, Maryland","Baltimore County, Maryland",1,0.101153472261933,244826,805029
"677","Calvert County, Maryland","Prince George's County, Maryland",1,0.09833553083832,88737,863420
"745","Charles County, Maryland","District of Columbia, District of Columbia",1,0.0964647119432825,146551,601723
"744","Charles County, Maryland","Prince George's County, Maryland",1,0.0935032855456462,146551,863420
"1224","Baltimore city, Maryland","Baltimore County, Maryland",1,0.092015440583225,620961,805029
"1564","Caroline County, Maryland","Talbot County, Maryland",1,0.0910905461803665,33066,37782
"817","Queen Anne's County, Maryland","Anne Arundel County, Maryland",1,0.0905686430394577,47798,537656
"1291","Carroll County, Maryland","Baltimore County, Maryland",1,0.0893654193641031,167134,805029
"204","Somerset County, Maryland","Wicomico County, Maryland",1,0.0802040045334341,26470,98733
"1090","Harford County, Maryland","Baltimore city, Maryland",1,0.0701110176206775,244826,620961
"344","Washington County, Maryland","Frederick County, Maryland",1,0.0683782133894051,147430,233385
"1631","Dorchester County, Maryland","Talbot County, Maryland",1,0.0585259672573426,32618,37782
"678","Calvert County, Maryland","District of Columbia, District of Columbia",1,0.0548700091280976,88737,601723
"1021","Cecil County, Maryland","Harford County, Maryland",1,0.0548027851406417,101108,244826
"69","Worcester County, Maryland","Wicomico County, Maryland",1,0.0525129241652738,51454,98733
"1359","Howard County, Maryland","Baltimore city, Maryland",1,0.0522980998658934,287085,620961
"1354","Howard County, Maryland","Anne Arundel County, Maryland",1,0.0502185763798178,287085,537656
"410","Prince George's County, Maryland","Montgomery County, Maryland",1,0.0489668990757685,863420,971777
"2381","Garrett County, Maryland","Allegany County, Maryland",1,0.0488420772834502,30097,75087
"1349","Howard County, Maryland","Montgomery County, Maryland",1,0.0459480641621819,287085,971777
"878","Anne Arundel County, Maryland","Prince George's County, Maryland",1,0.0455942089365691,537656,863420
"1347","Howard County, Maryland","Prince George's County, Maryland",1,0.0448752111743909,287085,863420
"1293","Carroll County, Maryland","Howard County, Maryland",1,0.0437253939952374,167134,287085
"691","Calvert County, Maryland","St. Mary's County, Maryland",1,0.0437247146060831,88737,105151
"1554","Caroline County, Maryland","Queen Anne's County, Maryland",1,0.0433375672896631,33066,47798
"136","Wicomico County, Maryland","Worcester County, Maryland",1,0.0394903426412648,98733,51454
