"","source","target","cluster","pct","srcpop","tarpop"
"117","Norfolk County, Massachusetts","Suffolk County, Massachusetts",1,0.131369158530223,670850,722023
"391","Hampshire County, Massachusetts","Hampden County, Massachusetts",1,0.122488613360324,158080,463490
"467","Franklin County, Massachusetts","Hampshire County, Massachusetts",1,0.0954155691307516,71372,158080
"156","Plymouth County, Massachusetts","Norfolk County, Massachusetts",1,0.0880406692812359,494919,670850
"193","Middlesex County, Massachusetts","Suffolk County, Massachusetts",1,0.0868799835006004,1503085,722023
"81","Suffolk County, Massachusetts","Middlesex County, Massachusetts",1,0.0866565192521568,722023,1503085
"234","Essex County, Massachusetts","Middlesex County, Massachusetts",1,0.0844852851139527,743159,1503085
"43","Worcester County, Massachusetts","Middlesex County, Massachusetts",1,0.0774890050992296,798552,1503085
"119","Norfolk County, Massachusetts","Middlesex County, Massachusetts",1,0.0689528210479243,670850,1503085
"155","Plymouth County, Massachusetts","Suffolk County, Massachusetts",1,0.0596319801826157,494919,722023
"231","Essex County, Massachusetts","Suffolk County, Massachusetts",1,0.0536426256023274,743159,722023
"270","Bristol County, Massachusetts","Norfolk County, Massachusetts",1,0.0464429995349134,548285,670850
"79","Suffolk County, Massachusetts","Norfolk County, Massachusetts",1,0.0411482736699523,722023,670850
"428","Hampden County, Massachusetts","Hartford County, Connecticut",1,0.0383978079354463,463490,894014
"271","Bristol County, Massachusetts","Plymouth County, Massachusetts",1,0.0337579908259391,548285,494919
"274","Bristol County, Massachusetts","Providence County, Rhode Island",1,0.0302470430524271,548285,626667
"159","Plymouth County, Massachusetts","Bristol County, Massachusetts",1,0.0296149470923525,494919,548285
"118","Norfolk County, Massachusetts","Plymouth County, Massachusetts",1,0.0260669300141611,670850,494919
"458","Franklin County, Massachusetts","Worcester County, Massachusetts",1,0.0247996413159222,71372,798552
"194","Middlesex County, Massachusetts","Norfolk County, Massachusetts",1,0.0229354959965671,1503085,670850
"468","Franklin County, Massachusetts","Hampden County, Massachusetts",1,0.0224317659586392,71372,463490
"196","Middlesex County, Massachusetts","Essex County, Massachusetts",1,0.0215776220240372,1503085,743159
"429","Hampden County, Massachusetts","Hampshire County, Massachusetts",1,0.0215517055384151,463490,158080
"269","Bristol County, Massachusetts","Suffolk County, Massachusetts",1,0.0211240504482158,548285,722023
"157","Plymouth County, Massachusetts","Middlesex County, Massachusetts",1,0.0200840945690103,494919,1503085
"499","Barnstable County, Massachusetts","Plymouth County, Massachusetts",1,0.019236826502631,215888,494919
"41","Worcester County, Massachusetts","Norfolk County, Massachusetts",1,0.0143334435327944,798552,670850
"192","Middlesex County, Massachusetts","Worcester County, Massachusetts",1,0.0137264359633687,1503085,798552
"272","Bristol County, Massachusetts","Middlesex County, Massachusetts",1,0.0137045514650228,548285,1503085
"392","Hampshire County, Massachusetts","Franklin County, Massachusetts",1,0.0128479251012146,158080,71372
"242","Essex County, Massachusetts","Rockingham County, New Hampshire",1,0.0122638627803741,743159,295223
"121","Norfolk County, Massachusetts","Bristol County, Massachusetts",1,0.0111351270775881,670850,548285
"40","Worcester County, Massachusetts","Suffolk County, Massachusetts",1,0.0109448101062924,798552,722023
"82","Suffolk County, Massachusetts","Essex County, Massachusetts",1,0.00964650710572932,722023,743159
"471","Franklin County, Massachusetts","Windham County, Vermont",1,0.00958359020344112,71372,44513
"497","Barnstable County, Massachusetts","Suffolk County, Massachusetts",1,0.00948176832431631,215888,722023
"390","Hampshire County, Massachusetts","Hartford County, Connecticut",1,0.00944458502024292,158080,894014
"116","Norfolk County, Massachusetts","Worcester County, Massachusetts",1,0.00905418498919282,670850,798552
"165","Plymouth County, Massachusetts","Barnstable County, Massachusetts",1,0.00855897631733678,494919,215888
"420","Hampden County, Massachusetts","Worcester County, Massachusetts",1,0.00720619646594317,463490,798552
"382","Hampshire County, Massachusetts","Worcester County, Massachusetts",1,0.00689524291497976,158080,798552
"498","Barnstable County, Massachusetts","Norfolk County, Massachusetts",1,0.0066701252501297,215888,670850
"282","Bristol County, Massachusetts","Newport County, Rhode Island",1,0.00662976371777451,548285,82888
"500","Barnstable County, Massachusetts","Middlesex County, Massachusetts",1,0.00600774475654043,215888,1503085
"232","Essex County, Massachusetts","Norfolk County, Massachusetts",1,0.00573228609220907,743159,670850
"658","Berkshire County, Massachusetts","Hampden County, Massachusetts",1,0.0056851523026391,131219,463490
"502","Barnstable County, Massachusetts","Bristol County, Massachusetts",1,0.00533610020010376,215888,548285
"208","Middlesex County, Massachusetts","Hillsborough County, New Hampshire",1,0.004969778821557,1503085,400721
"122","Norfolk County, Massachusetts","Providence County, Rhode Island",1,0.00440784079898636,670850,626667
"268","Bristol County, Massachusetts","Worcester County, Massachusetts",1,0.00420037024540157,548285,798552
"46","Worcester County, Massachusetts","Providence County, Rhode Island",1,0.00393587393181659,798552,626667
"397","Hampshire County, Massachusetts","Berkshire County, Massachusetts",1,0.00389043522267207,158080,131219
"80","Suffolk County, Massachusetts","Plymouth County, Massachusetts",1,0.00344448861047363,722023,494919
"49","Worcester County, Massachusetts","Hampden County, Massachusetts",1,0.00329346116470812,798552,463490
"665","Berkshire County, Massachusetts","Litchfield County, Connecticut",1,0.00320075598808099,131219,189927
"246","Essex County, Massachusetts","Hillsborough County, New Hampshire",1,0.00315948538603448,743159,400721
"120","Norfolk County, Massachusetts","Essex County, Massachusetts",1,0.00292166654244615,670850,743159
"286","Bristol County, Massachusetts","Kent County, Rhode Island",1,0.0028926561915792,548285,166158
"386","Hampshire County, Massachusetts","Middlesex County, Massachusetts",1,0.0027580971659919,158080,1503085
"477","Franklin County, Massachusetts","Cheshire County, New Hampshire",1,0.00270414168021073,71372,77117
"288","Bristol County, Massachusetts","Bristol County, Rhode Island",1,0.00268108739068185,548285,49875
"462","Franklin County, Massachusetts","Middlesex County, Massachusetts",1,0.0026480972930561,71372,1503085
"44","Worcester County, Massachusetts","Essex County, Massachusetts",1,0.00262349853234354,798552,743159
"279","Bristol County, Massachusetts","Barnstable County, Massachusetts",1,0.00249870049335656,548285,215888
"78","Suffolk County, Massachusetts","Worcester County, Massachusetts",1,0.00242236050652126,722023,798552
"473","Franklin County, Massachusetts","Berkshire County, Massachusetts",1,0.00231183097012834,71372,131219
"496","Barnstable County, Massachusetts","Worcester County, Massachusetts",1,0.00226506336618988,215888,798552
"657","Berkshire County, Massachusetts","Hampshire County, Massachusetts",1,0.0022633917344287,131219,158080
"888","Dukes County, Massachusetts","Barnstable County, Massachusetts",1,0.00223767765346235,16535,215888
"442","Hampden County, Massachusetts","Tolland County, Connecticut",1,0.00213165332585385,463490,152691
"671","Berkshire County, Massachusetts","Bennington County, Vermont",1,0.0020423871542993,131219,37125
"230","Essex County, Massachusetts","Worcester County, Massachusetts",1,0.00192287249431145,743159,798552
"466","Franklin County, Massachusetts","Hartford County, Connecticut",1,0.00187748696967999,71372,894014
"672","Berkshire County, Massachusetts","Columbia County, New York",1,0.00187472850730458,131219,63096
"154","Plymouth County, Massachusetts","Worcester County, Massachusetts",1,0.00186697217120377,494919,798552
"45","Worcester County, Massachusetts","Bristol County, Massachusetts",1,0.00186086817139022,798552,548285
"430","Hampden County, Massachusetts","Franklin County, Massachusetts",1,0.00182528209885866,463490,71372
"673","Berkshire County, Massachusetts","Albany County, New York",1,0.0016003779940405,131219,304204
"424","Hampden County, Massachusetts","Middlesex County, Massachusetts",1,0.00157932209972168,463490,1503085
"204","Middlesex County, Massachusetts","Rockingham County, New Hampshire",1,0.00153750453234514,1503085,295223
"160","Plymouth County, Massachusetts","Providence County, Rhode Island",1,0.00153358428348881,494919,626667
"48","Worcester County, Massachusetts","Hampshire County, Massachusetts",1,0.00140003406165159,798552,158080
"435","Hampden County, Massachusetts","Berkshire County, Massachusetts",1,0.00137219788992211,463490,131219
"66","Worcester County, Massachusetts","Windham County, Connecticut",1,0.00134743886434446,798552,118428
"195","Middlesex County, Massachusetts","Plymouth County, Massachusetts",1,0.00130531540132461,1503085,494919
"50","Worcester County, Massachusetts","Franklin County, Massachusetts",1,0.00127230286819143,798552,71372
"56","Worcester County, Massachusetts","Hillsborough County, New Hampshire",1,0.00120718500485879,798552,400721
"503","Barnstable County, Massachusetts","Providence County, Rhode Island",1,0.00114874379307789,215888,626667
"83","Suffolk County, Massachusetts","Bristol County, Massachusetts",1,0.00104567306027647,722023,548285
"158","Plymouth County, Massachusetts","Essex County, Massachusetts",1,0.00100622526110333,494919,743159
"675","Berkshire County, Massachusetts","New York County, New York",1,0.000990710186786974,131219,1585873
"384","Hampshire County, Massachusetts","Norfolk County, Massachusetts",1,0.000942560728744939,158080,670850
"47","Worcester County, Massachusetts","Hartford County, Connecticut",1,0.000922920486079804,798552,894014
"880","Dukes County, Massachusetts","Middlesex County, Massachusetts",1,0.000907166616268522,16535,1503085
"273","Bristol County, Massachusetts","Essex County, Massachusetts",1,0.000855394548455639,548285,743159
"197","Middlesex County, Massachusetts","Bristol County, Massachusetts",1,0.000849586018089463,1503085,548285
"676","Berkshire County, Massachusetts","Rensselaer County, New York",1,0.000823051539792256,131219,159429
"59","Worcester County, Massachusetts","Cheshire County, New Hampshire",1,0.000803955158837496,798552,77117
"297","Bristol County, Massachusetts","Washington County, Rhode Island",1,0.000802502348231303,548285,126979
"42","Worcester County, Massachusetts","Plymouth County, Massachusetts",1,0.000761378094350775,798552,494919
"383","Hampshire County, Massachusetts","Suffolk County, Massachusetts",1,0.000721153846153846,158080,722023
"233","Essex County, Massachusetts","Plymouth County, Massachusetts",1,0.000690296423780106,743159,494919
"459","Franklin County, Massachusetts","Suffolk County, Massachusetts",1,0.000686543742644174,71372,722023
"84","Suffolk County, Massachusetts","Providence County, Rhode Island",1,0.000662028771936628,722023,626667
"198","Middlesex County, Massachusetts","Providence County, Rhode Island",1,0.000596772637608652,1503085,626667
"127","Norfolk County, Massachusetts","Barnstable County, Massachusetts",1,0.000585823954684356,670850,215888
"421","Hampden County, Massachusetts","Suffolk County, Massachusetts",1,0.000558803857688408,463490,722023
"450","Hampden County, Massachusetts","New Haven County, Connecticut",1,0.00055448876998425,463490,862477
"527","Barnstable County, Massachusetts","Nantucket County, Massachusetts",1,0.00050952345660713,215888,10172
"501","Barnstable County, Massachusetts","Essex County, Massachusetts",1,0.000500259393759727,215888,743159
"517","Barnstable County, Massachusetts","Dukes County, Massachusetts",1,0.000458571110946417,215888,16535
"452","Hampden County, Massachusetts","Middlesex County, Connecticut",1,0.000437981401971995,463490,165676
"168","Plymouth County, Massachusetts","Newport County, Rhode Island",1,0.000418250259133313,494919,82888
"229","Essex County, Massachusetts","York County, Maine",1,0.000417138189808641,743159,197131
"143","Norfolk County, Massachusetts","New York County, New York",1,0.00040545576507416,670850,1585873
"134","Norfolk County, Massachusetts","Kent County, Rhode Island",1,0.000400983826488783,670850,166158
"94","Suffolk County, Massachusetts","Hillsborough County, New Hampshire",1,0.000390569275493994,722023,400721
"181","Plymouth County, Massachusetts","New York County, New York",1,0.000377839606076954,494919,1585873
"235","Essex County, Massachusetts","Bristol County, Massachusetts",1,0.000364659514316586,743159,548285
"422","Hampden County, Massachusetts","Norfolk County, Massachusetts",1,0.000345207016332607,463490,670850
