"","source","target","cluster","pct","srcpop","tarpop"
"3300","Clinton County, Michigan","Ingham County, Michigan",1,0.212093072616805,75382,280895
"8801","Keweenaw County, Michigan","Houghton County, Michigan",1,0.210111317254174,2156,36628
"3409","Eaton County, Michigan","Ingham County, Michigan",1,0.186722222737776,107759,280895
"771","Leelanau County, Michigan","Grand Traverse County, Michigan",1,0.166021743136171,21708,86986
"990","Benzie County, Michigan","Grand Traverse County, Michigan",1,0.154921540656205,17525,86986
"330","Missaukee County, Michigan","Wexford County, Michigan",1,0.154421173142973,14849,32735
"9461","Menominee County, Michigan","Marinette County, Wisconsin",1,0.1475300678347,24029,41749
"1099","Kalkaska County, Michigan","Grand Traverse County, Michigan",1,0.118055150702501,17153,86986
"4731","Ottawa County, Michigan","Kent County, Michigan",1,0.117334657563845,263801,602622
"4511","Van Buren County, Michigan","Kalamazoo County, Michigan",1,0.107713289097537,76258,250331
"4950","Barry County, Michigan","Kent County, Michigan",1,0.107464553090092,59173,602622
"2200","Macomb County, Michigan","Oakland County, Michigan",1,0.104489059166827,840978,1202362
"5059","Ionia County, Michigan","Kent County, Michigan",1,0.0951255770284015,63905,602622
"5168","Montcalm County, Michigan","Kent County, Michigan",1,0.0946765179501752,63342,602622
"4070","Bay County, Michigan","Saginaw County, Michigan",1,0.0928171771626876,107771,200169
"1982","St. Clair County, Michigan","Macomb County, Michigan",1,0.0916155544651619,163040,840978
"2309","Lapeer County, Michigan","Oakland County, Michigan",1,0.0907958649894134,88319,1202362
"2418","Livingston County, Michigan","Oakland County, Michigan",1,0.0906905678935939,180967,1202362
"5277","Newaygo County, Michigan","Kent County, Michigan",1,0.0855138258357408,48460,602622
"5385","Allegan County, Michigan","Ottawa County, Michigan",1,0.0847335918425966,111408,263801
"2089","Oakland County, Michigan","Wayne County, Michigan",1,0.0842940811502692,1202362,1820584
"6050","Cass County, Michigan","Elkhart County, Indiana",1,0.0837014514370948,52293,197559
"2525","Monroe County, Michigan","Wayne County, Michigan",1,0.083100361134317,152021,1820584
"1320","Charlevoix County, Michigan","Emmet County, Michigan",1,0.0829704420208871,25949,32694
"5501","Oceana County, Michigan","Muskegon County, Michigan",1,0.0823108769288671,26570,172188
"6049","Cass County, Michigan","St. Joseph County, Indiana",1,0.0797238636146329,52293,266931
"2531","Monroe County, Michigan","Lucas County, Ohio",1,0.0744568184658698,152021,441815
"3081","Shiawassee County, Michigan","Ingham County, Michigan",1,0.0725852111878609,70648,280895
"5386","Allegan County, Michigan","Kent County, Michigan",1,0.0717812006319115,111408,602622
"2970","Lenawee County, Michigan","Washtenaw County, Michigan",1,0.0653605894365915,99892,344791
"2744","Sanilac County, Michigan","St. Clair County, Michigan",1,0.0650368789720276,43114,163040
"2198","Macomb County, Michigan","Wayne County, Michigan",1,0.0649660276487613,840978,1820584
"7040","Alcona County, Michigan","Iosco County, Michigan",1,0.0647048071650521,10942,25887
"1429","Cheboygan County, Michigan","Emmet County, Michigan",1,0.0619837870908535,26152,32694
"3851","Tuscola County, Michigan","Saginaw County, Michigan",1,0.0618708392398931,55729,200169
"2424","Livingston County, Michigan","Washtenaw County, Michigan",1,0.0613150463896733,180967,344791
"4290","Gladwin County, Michigan","Midland County, Michigan",1,0.0580336291452592,25692,83629
"6051","Cass County, Michigan","Berrien County, Michigan",1,0.0574837932419253,52293,156813
"6711","Presque Isle County, Michigan","Alpena County, Michigan",1,0.0571172248803828,13376,29598
"2416","Livingston County, Michigan","Wayne County, Michigan",1,0.0569330319892577,180967,1820584
"2852","Washtenaw County, Michigan","Wayne County, Michigan",1,0.056628508284729,344791,1820584
"1872","Wayne County, Michigan","Oakland County, Michigan",1,0.0562511809397424,1820584,1202362
"5603","Muskegon County, Michigan","Ottawa County, Michigan",1,0.0533370502009432,172188,263801
"439","Osceola County, Michigan","Wexford County, Michigan",1,0.0527031621897314,23528,32735
"3084","Shiawassee County, Michigan","Genesee County, Michigan",1,0.0492441399614993,70648,425790
"441","Osceola County, Michigan","Mecosta County, Michigan",1,0.0486654199251955,23528,42798
"6600","Crawford County, Michigan","Roscommon County, Michigan",1,0.0485292027852778,14074,24449
"2310","Lapeer County, Michigan","Macomb County, Michigan",1,0.0458225296934974,88319,840978
"1539","Antrim County, Michigan","Charlevoix County, Michigan",1,0.0442748091603053,23580,25949
"7920","Clare County, Michigan","Isabella County, Michigan",1,0.0441376188320507,30926,70311
"3508","Genesee County, Michigan","Oakland County, Michigan",1,0.0428990817069447,425790,1202362
"3301","Clinton County, Michigan","Eaton County, Michigan",1,0.0423310604653631,75382,107759
"659","Lake County, Michigan","Osceola County, Michigan",1,0.0419447092469018,11539,23528
