"","source","target","cluster","pct","srcpop","tarpop"
"1","Clay County, Minnesota","Cass County, North Dakota",1,0.25275004661096,58999,149778
"2","Benton County, Minnesota","Stearns County, Minnesota",1,0.21999427843229,38451,150642
"3","Carver County, Minnesota","Hennepin County, Minnesota",1,0.219590958019376,91042,1152425
"4","Dodge County, Minnesota","Olmsted County, Minnesota",1,0.21710559068054,20087,144248
"5","Houston County, Minnesota","La Crosse County, Wisconsin",1,0.195774425815946,19027,114638
"6","Nicollet County, Minnesota","Blue Earth County, Minnesota",1,0.168515293182999,32727,64013
"7","Washington County, Minnesota","Ramsey County, Minnesota",1,0.162365203077233,238136,508640
"8","Red Lake County, Minnesota","Pennington County, Minnesota",1,0.158473954512106,4089,13930
"9","Wilkin County, Minnesota","Richland County, North Dakota",1,0.151611922141119,6576,16321
"10","Carlton County, Minnesota","St. Louis County, Minnesota",1,0.123664726162889,35386,200226
"11","Polk County, Minnesota","Grand Forks County, North Dakota",1,0.119018987341772,31600,66861
"12","Cass County, Minnesota","Crow Wing County, Minnesota",1,0.105226310078062,28567,62500
"13","Scott County, Minnesota","Hennepin County, Minnesota",1,0.185902961640293,129928,1152425
"15","Rock County, Minnesota","Minnehaha County, South Dakota",1,0.0976566532466192,9687,169468
"16","Isanti County, Minnesota","Anoka County, Minnesota",1,0.0851755870530992,37816,330844
"17","Hubbard County, Minnesota","Beltrami County, Minnesota",1,0.0843939690620717,20428,44442
"18","Yellow Medicine County, Minnesota","Lyon County, Minnesota",1,0.0829660854569841,10438,25857
"19","Lake of the Woods County, Minnesota","Roseau County, Minnesota",1,0.0828182941903585,4045,15629
"31","Dakota County, Minnesota","Hennepin County, Minnesota",1,0.152991328609567,398552,1152425
"110","Wabasha County, Minnesota","Olmsted County, Minnesota",1,0.143292120317402,21676,144248
"25","Pope County, Minnesota","Douglas County, Minnesota",1,0.0682128240109141,10995,36009
"27","Chisago County, Minnesota","Ramsey County, Minnesota",1,0.0859205374208993,53887,508640
"28","Kittson County, Minnesota","Pembina County, North Dakota",1,0.0588752196836555,4552,7413
"29","Lac qui Parle County, Minnesota","Chippewa County, Minnesota",1,0.0588235294117647,7259,12441
"311","Marshall County, Minnesota","Pennington County, Minnesota",1,0.114948617438288,9439,13930
"32","Meeker County, Minnesota","McLeod County, Minnesota",1,0.0576394849785408,23300,36651
"111","Wright County, Minnesota","Hennepin County, Minnesota",1,0.199005613472334,124700,1152425
"33","Scott County, Minnesota","Dakota County, Minnesota",1,0.0755803214087802,129928,398552
"38","Swift County, Minnesota","Kandiyohi County, Minnesota",1,0.0522334662169069,9783,42239
"39","Grant County, Minnesota","Otter Tail County, Minnesota",1,0.0510136257892988,6018,57303
"40","Waseca County, Minnesota","Steele County, Minnesota",1,0.0492788461538462,19136,36576
"411","Murray County, Minnesota","Nobles County, Minnesota",1,0.0491690544412607,8725,21378
"43","Blue Earth County, Minnesota","Nicollet County, Minnesota",1,0.0739693499757862,64013,32727
"44","Le Sueur County, Minnesota","Blue Earth County, Minnesota",1,0.056997437100675,27703,64013
"46","Lincoln County, Minnesota","Lyon County, Minnesota",1,0.0781886024423338,5896,25857
"34","Fillmore County, Minnesota","Olmsted County, Minnesota",1,0.133135243937506,20866,144248
"50","Mille Lacs County, Minnesota","Sherburne County, Minnesota",1,0.0441046863624171,26097,88499
"52","Morrison County, Minnesota","Stearns County, Minnesota",1,0.0629254774383999,33198,150642
"53","Renville County, Minnesota","Redwood County, Minnesota",1,0.0411315956770502,15730,16059
"54","Mahnomen County, Minnesota","Becker County, Minnesota",1,0.0376870496951783,5413,32504
"55","Jackson County, Minnesota","Cottonwood County, Minnesota",1,0.0371127995324372,10266,11687
"57","Clearwater County, Minnesota","Beltrami County, Minnesota",1,0.0663599769982749,8695,44442
"59","Lake County, Minnesota","St. Louis County, Minnesota",1,0.0712313638873551,10866,200226
"113","Norman County, Minnesota","Cass County, North Dakota",1,0.0485989492119089,6852,149778
"114","Kanabec County, Minnesota","Isanti County, Minnesota",1,0.0429213621528419,16239,37816
"64","Big Stone County, Minnesota","Grant County, South Dakota",1,0.0320743974188651,5269,7356
"115","Todd County, Minnesota","Stearns County, Minnesota",1,0.0545089375376582,24895,150642
"213","Todd County, Minnesota","Morrison County, Minnesota",1,0.0366338622213296,24895,33198
"35","Stearns County, Minnesota","Benton County, Minnesota",1,0.0356806202785412,150642,38451
"70","Freeborn County, Minnesota","Mower County, Minnesota",1,0.030619100943849,31255,39163
"117","Ramsey County, Minnesota","Hennepin County, Minnesota",1,0.131314878892734,508640,1152425
"81","Washington County, Minnesota","Hennepin County, Minnesota",1,0.0830533812611281,238136,1152425
"71","Dakota County, Minnesota","Ramsey County, Minnesota",1,0.0668720769184448,398552,508640
"121","Chisago County, Minnesota","Hennepin County, Minnesota",1,0.0542988104737692,53887,1152425
"131","Chisago County, Minnesota","Washington County, Minnesota",1,0.0455768552712157,53887,238136
"48","Hennepin County, Minnesota","Ramsey County, Minnesota",1,0.0393439920168341,1152425,508640
"91","Washington County, Minnesota","Dakota County, Minnesota",1,0.0357022877683341,238136,398552
