"","source","target","cluster","pct","srcpop","tarpop"
"1","DeSoto County, Mississippi","Shelby County, Tennessee",1,0.228908788728202,161252,927644
"2","Lamar County, Mississippi","Forrest County, Mississippi",1,0.175733946602465,55658,74934
"3","Madison County, Mississippi","Hinds County, Mississippi",1,0.15233763641902,95203,245285
"4","Itawamba County, Mississippi","Lee County, Mississippi",1,0.13922481945216,23401,82910
"5","Carroll County, Mississippi","Leflore County, Mississippi",1,0.136453713315089,10597,32317
"6","Clarke County, Mississippi","Lauderdale County, Mississippi",1,0.115467367917762,16732,80261
"7","Jackson County, Mississippi","Harrison County, Mississippi",1,0.0997937967179311,139668,187105
"9","Marshall County, Mississippi","Shelby County, Tennessee",1,0.1437648072367,37144,927644
"11","Rankin County, Mississippi","Hinds County, Mississippi",1,0.15220630291561,141617,245285
"12","Jasper County, Mississippi","Jones County, Mississippi",1,0.0920173484937288,17062,67761
"13","Claiborne County, Mississippi","Warren County, Mississippi",1,0.0835068721366097,9604,48773
"14","Amite County, Mississippi","Pike County, Mississippi",1,0.0736425253217577,13131,40404
"15","Yalobusha County, Mississippi","Lafayette County, Mississippi",1,0.0689383183467424,12678,47351
"16","Webster County, Mississippi","Oktibbeha County, Mississippi",1,0.066517116941383,10253,47671
"17","Perry County, Mississippi","Forrest County, Mississippi",1,0.128571428571429,12250,74934
"19","Montgomery County, Mississippi","Grenada County, Mississippi",1,0.0643478260869565,10925,21906
"18","Pontotoc County, Mississippi","Lee County, Mississippi",1,0.0991087225022532,29957,82910
"221","Lawrence County, Mississippi","Lincoln County, Mississippi",1,0.0460205739036275,12929,34869
"24","Tate County, Mississippi","DeSoto County, Mississippi",1,0.0674028941355674,28886,161252
"110","Tate County, Mississippi","Shelby County, Tennessee",1,0.063006300630063,28886,927644
"51","Marshall County, Mississippi","DeSoto County, Mississippi",1,0.0541137195778591,37144,161252
"28","Issaquena County, Mississippi","Sharkey County, Mississippi",1,0.042674253200569,1406,4916
"30","Hancock County, Mississippi","Harrison County, Mississippi",1,0.0791049193016003,43929,187105
"311","Quitman County, Mississippi","Tunica County, Mississippi",1,0.0396448984555515,8223,10778
"33","Choctaw County, Mississippi","Oktibbeha County, Mississippi",1,0.0395460395460396,8547,47671
"34","Noxubee County, Mississippi","Lowndes County, Mississippi",1,0.0382849718492854,11545,59779
"35","Tippah County, Mississippi","Union County, Mississippi",1,0.0373785534364879,22232,27134
"71","Hinds County, Mississippi","Rankin County, Mississippi",1,0.0495668304217543,245285,141617
"111","Simpson County, Mississippi","Rankin County, Mississippi",1,0.0493764316620005,27503,141617
"25","Simpson County, Mississippi","Hinds County, Mississippi",1,0.0489401156237501,27503,245285
"81","Hinds County, Mississippi","Madison County, Mississippi",1,0.0424730415638951,245285,95203
"36","Rankin County, Mississippi","Madison County, Mississippi",1,0.0399881370174485,141617,95203
"52","Madison County, Mississippi","Rankin County, Mississippi",1,0.0371311828408769,95203,141617
"44","Pearl River County, Mississippi","St. Tammany Parish, Louisiana",1,0.0331339327291614,55834,233740
"45","Tishomingo County, Mississippi","Alcorn County, Mississippi",1,0.033124074924718,19593,37057
"112","Newton County, Mississippi","Lauderdale County, Mississippi",1,0.0632136279926335,21720,80261
"48","Kemper County, Mississippi","Neshoba County, Mississippi",1,0.0307000765110941,10456,29676
"37","Monroe County, Mississippi","Lee County, Mississippi",1,0.0834842791100057,36989,82910
"114","Smith County, Mississippi","Jones County, Mississippi",1,0.0283791158813899,16491,67761
"55","Quitman County, Mississippi","Coahoma County, Mississippi",1,0.0282135473671409,8223,26151
"62","Benton County, Mississippi","Shelby County, Tennessee",1,0.0670179860235995,8729,927644
"116","Walthall County, Mississippi","Pike County, Mississippi",1,0.0523214401346889,15443,40404
"66","George County, Mississippi","Jackson County, Mississippi",1,0.0682079900788378,22578,139668
"67","Wilkinson County, Mississippi","West Feliciana Parish, Louisiana",1,0.0248025916177364,9878,15625
"68","Bolivar County, Mississippi","Sunflower County, Mississippi",1,0.0240445160345585,34145,29450
"69","Calhoun County, Mississippi","Chickasaw County, Mississippi",1,0.0237936104798824,14962,17392
"91","Copiah County, Mississippi","Hinds County, Mississippi",1,0.0757580902577337,29449,245285
"79","Leake County, Mississippi","Scott County, Mississippi",1,0.0216761184625079,23805,28264
"118","Prentiss County, Mississippi","Lee County, Mississippi",1,0.0814606741573034,25276,82910
"119","Issaquena County, Mississippi","Washington County, Mississippi",1,0.0334281650071124,1406,51137
"86","Adams County, Mississippi","Concordia Parish, Louisiana",1,0.0205901476917361,32297,20822
"87","Attala County, Mississippi","Holmes County, Mississippi",1,0.0199345737068084,19564,19198
"312","Carroll County, Mississippi","Grenada County, Mississippi",1,0.0291591959988676,10597,21906
"216","Montgomery County, Mississippi","Leflore County, Mississippi",1,0.0253546910755149,10925,32317
"93","Clay County, Mississippi","Lowndes County, Mississippi",1,0.0375109043326548,20634,59779
"313","Forrest County, Mississippi","Lamar County, Mississippi",1,0.0618277417460699,74934,55658
"410","Covington County, Mississippi","Forrest County, Mississippi",1,0.0451246933769419,19568,74934
"99","Panola County, Mississippi","Lafayette County, Mississippi",1,0.0254991788400035,34707,47351
"101","Jefferson County, Mississippi","Claiborne County, Mississippi",1,0.0353352316852187,7726,9604
"57","Kemper County, Mississippi","Lauderdale County, Mississippi",1,0.0612088752869166,10456,80261
"218","Newton County, Mississippi","Neshoba County, Mississippi",1,0.0209484346224678,21720,29676
"411","Neshoba County, Mississippi","Lauderdale County, Mississippi",1,0.0170508154737835,29676,80261
"123","Stone County, Mississippi","Harrison County, Mississippi",1,0.0591476442145508,17786,187105
"315","Harrison County, Mississippi","Jackson County, Mississippi",1,0.0204056545789797,187105,139668
"220","Yazoo County, Mississippi","Hinds County, Mississippi",1,0.0340281489399608,28065,245285
"124","Yazoo County, Mississippi","Madison County, Mississippi",1,0.0331017281311242,28065,95203
"222","Union County, Mississippi","Lee County, Mississippi",1,0.0745927618486032,27134,82910
"125","Union County, Mississippi","Pontotoc County, Mississippi",1,0.0361170487211616,27134,29957
"510","Pontotoc County, Mississippi","Union County, Mississippi",1,0.0210635243849518,29957,27134
"132","Greene County, Mississippi","Mobile County, Alabama",1,0.0126388888888889,14400,412992
"126","Wayne County, Mississippi","Jones County, Mississippi",1,0.0353786089555116,20747,67761
"318","Smith County, Mississippi","Jasper County, Mississippi",1,0.0276514462434055,16491,17062
"138","Wilkinson County, Mississippi","East Baton Rouge Parish, Louisiana",1,0.021866774650739,9878,440171
"319","Humphreys County, Mississippi","Sunflower County, Mississippi",1,0.0218666666666667,9375,29450
"127","Sunflower County, Mississippi","Bolivar County, Mississippi",1,0.0198641765704584,29450,34145
"142","Jefferson Davis County, Mississippi","Marion County, Mississippi",1,0.010651077120205,12487,27088
"75","Marion County, Mississippi","Forrest County, Mississippi",1,0.0244757826343768,27088,74934
"95","Jefferson Davis County, Mississippi","Forrest County, Mississippi",1,0.0215424041002643,12487,74934
"613","Marion County, Mississippi","Lamar County, Mississippi",1,0.0140652687536917,27088,55658
"85","Jefferson Davis County, Mississippi","Lamar County, Mississippi",1,0.0108112436934412,12487,55658
"416","Covington County, Mississippi","Lamar County, Mississippi",1,0.0103740801308258,19568,55658
"321","Choctaw County, Mississippi","Webster County, Mississippi",1,0.0374400374400374,8547,10253
"129","Winston County, Mississippi","Oktibbeha County, Mississippi",1,0.0201583498281071,19198,47671
