"","source","target","cluster","pct","srcpop","tarpop"
"1980","Andrew County, Missouri","Buchanan County, Missouri",1,0.288473772482794,17291,89201
"19080","Christian County, Missouri","Greene County, Missouri",1,0.239027666554726,77422,275174
"8819","Jefferson County, Missouri","St. Louis County, Missouri",1,0.20780129198612,218733,998954
"10801","Osage County, Missouri","Cole County, Missouri",1,0.205649228995532,13878,75990
"8102","St. Charles County, Missouri","St. Louis County, Missouri",1,0.193772279012996,360485,998954
"18721","Webster County, Missouri","Greene County, Missouri",1,0.192254571570631,36202,275174
"16201","Ralls County, Missouri","Marion County, Missouri",1,0.1863873315629,10167,28781
"1080","Cass County, Missouri","Jackson County, Missouri",1,0.173415227487485,99478,674158
"8640","St. Louis city, Missouri","St. Louis County, Missouri",1,0.163482558394458,319294,998954
"181","Ray County, Missouri","Clay County, Missouri",1,0.15344343236571,23494,221939
"7921","Warren County, Missouri","St. Charles County, Missouri",1,0.139175099191093,32513,360485
"20521","Newton County, Missouri","Jasper County, Missouri",1,0.136989365729428,58114,117404
"1259","Lafayette County, Missouri","Jackson County, Missouri",1,0.135436326053743,33381,674158
"363","Clay County, Missouri","Jackson County, Missouri",1,0.134320691721599,221939,674158
"8280","Lincoln County, Missouri","St. Charles County, Missouri",1,0.12829585663737,52566,360485
"25200","Bollinger County, Missouri","Cape Girardeau County, Missouri",1,0.124484348459112,12363,75674
"16561","Lewis County, Missouri","Adams County, Illinois",1,0.120164528449711,10211,67103
"11160","Callaway County, Missouri","Cole County, Missouri",1,0.11991338085356,44332,75990
"13681","Schuyler County, Missouri","Adair County, Missouri",1,0.118257729632137,4431,25607
"542","Platte County, Missouri","Jackson County, Missouri",1,0.113768164617899,89322,674158
"11339","Moniteau County, Missouri","Cole County, Missouri",1,0.110911770359454,15607,75990
"19259","Dallas County, Missouri","Greene County, Missouri",1,0.10746855814508,16777,275174
"8461","St. Louis County, Missouri","St. Louis city, Missouri",1,0.0976611535666307,998954,319294
"2330","Clinton County, Missouri","Clay County, Missouri",1,0.0967555319866943,20743,221939
"9177","Franklin County, Missouri","St. Louis County, Missouri",1,0.0965494817325503,101492,998954
"13320","Clark County, Missouri","Lee County, Iowa",1,0.093570528085166,7139,35862
"24304","Scott County, Missouri","Cape Girardeau County, Missouri",1,0.0925722742466383,39191,75674
"20340","Stone County, Missouri","Taney County, Missouri",1,0.0896838705670455,32202,51675
"12241","Miller County, Missouri","Camden County, Missouri",1,0.0887748504929691,24748,44002
"19617","Polk County, Missouri","Greene County, Missouri",1,0.0861033497125606,31137,275174
"11521","Howard County, Missouri","Boone County, Missouri",1,0.0858635646687697,10144,162642
"11880","Cooper County, Missouri","Boone County, Missouri",1,0.0827225725811033,17601,162642
"21241","Lawrence County, Missouri","Barry County, Missouri",1,0.0813790961329399,38634,35597
"1079","Cass County, Missouri","Johnson County, Kansas",1,0.0800076398801745,99478,544179
"19438","Dade County, Missouri","Greene County, Missouri",1,0.0799188126347837,7883,275174
"2159","DeKalb County, Missouri","Buchanan County, Missouri",1,0.0798169407384424,12892,89201
"7200","Madison County, Missouri","St. Francois County, Missouri",1,0.0785211843611974,12226,65359
"20881","McDonald County, Missouri","Benton County, Arkansas",1,0.0780661092578954,23083,221339
"540","Platte County, Missouri","Clay County, Missouri",1,0.0742930073218244,89322,221939
"15300","Monroe County, Missouri","Randolph County, Missouri",1,0.0726244343891403,8840,25414
"2701","Worth County, Missouri","Nodaway County, Missouri",1,0.0718562874251497,2171,23370
