"","source","target","cluster","pct","srcpop","tarpop"
"3240","Andrew County, Missouri","Buchanan County, Missouri",1,0.288473772482794,17291,89201
"14580","Christian County, Missouri","Greene County, Missouri",1,0.239027666554726,77422,275174
"5220","Jefferson County, Missouri","St. Louis County, Missouri",1,0.20780129198612,218733,998954
"7921","Osage County, Missouri","Cole County, Missouri",1,0.205649228995532,13878,75990
"5399","St. Charles County, Missouri","St. Louis County, Missouri",1,0.193772279012996,360485,998954
"14221","Webster County, Missouri","Greene County, Missouri",1,0.192254571570631,36202,275174
"11341","Ralls County, Missouri","Marion County, Missouri",1,0.1863873315629,10167,28781
"1440","Cass County, Missouri","Jackson County, Missouri",1,0.173415227487485,99478,674158
"5578","St. Louis city, Missouri","St. Louis County, Missouri",1,0.163482558394458,319294,998954
"721","Ray County, Missouri","Clay County, Missouri",1,0.15344343236571,23494,221939
"4863","Warren County, Missouri","St. Charles County, Missouri",1,0.139175099191093,32513,360485
"16381","Newton County, Missouri","Jasper County, Missouri",1,0.136989365729428,58114,117404
"1081","Lafayette County, Missouri","Jackson County, Missouri",1,0.135436326053743,33381,674158
"902","Clay County, Missouri","Jackson County, Missouri",1,0.134320691721599,221939,674158
"5759","Lincoln County, Missouri","St. Charles County, Missouri",1,0.12829585663737,52566,360485
"20160","Bollinger County, Missouri","Cape Girardeau County, Missouri",1,0.124484348459112,12363,75674
"11701","Lewis County, Missouri","Adams County, Illinois",1,0.120164528449711,10211,67103
"8280","Callaway County, Missouri","Cole County, Missouri",1,0.11991338085356,44332,75990
"10801","Schuyler County, Missouri","Adair County, Missouri",1,0.118257729632137,4431,25607
"1619","Platte County, Missouri","Jackson County, Missouri",1,0.113768164617899,89322,674158
"8459","Moniteau County, Missouri","Cole County, Missouri",1,0.110911770359454,15607,75990
"14759","Dallas County, Missouri","Greene County, Missouri",1,0.10746855814508,16777,275174
"5043","St. Louis County, Missouri","St. Louis city, Missouri",1,0.0976611535666307,998954,319294
"1796","Clinton County, Missouri","Clay County, Missouri",1,0.0967555319866943,20743,221939
"5936","Franklin County, Missouri","St. Louis County, Missouri",1,0.0965494817325503,101492,998954
"22500","Clark County, Missouri","Lee County, Iowa",1,0.093570528085166,7139,35862
"19801","Scott County, Missouri","Cape Girardeau County, Missouri",1,0.0925722742466383,39191,75674
"16020","Stone County, Missouri","Taney County, Missouri",1,0.0896838705670455,32202,51675
"9181","Miller County, Missouri","Camden County, Missouri",1,0.0887748504929691,24748,44002
"14938","Polk County, Missouri","Greene County, Missouri",1,0.0861033497125606,31137,275174
"8641","Howard County, Missouri","Boone County, Missouri",1,0.0858635646687697,10144,162642
"9000","Cooper County, Missouri","Boone County, Missouri",1,0.0827225725811033,17601,162642
"15301","Lawrence County, Missouri","Barry County, Missouri",1,0.0813790961329399,38634,35597
"1443","Cass County, Missouri","Johnson County, Kansas",1,0.0800076398801745,99478,544179
"15117","Dade County, Missouri","Greene County, Missouri",1,0.0799188126347837,7883,275174
"2881","DeKalb County, Missouri","Buchanan County, Missouri",1,0.0798169407384424,12892,89201
"4500","Madison County, Missouri","St. Francois County, Missouri",1,0.0785211843611974,12226,65359
"16741","McDonald County, Missouri","Benton County, Arkansas",1,0.0780661092578954,23083,221339
"1617","Platte County, Missouri","Clay County, Missouri",1,0.0742930073218244,89322,221939
"7020","Monroe County, Missouri","Randolph County, Missouri",1,0.0726244343891403,8840,25414
"181","Worth County, Missouri","Nodaway County, Missouri",1,0.0718562874251497,2171,23370
