"","source","target","cluster","pct","srcpop","tarpop"
"2046","Jefferson County, Montana","Lewis and Clark County, Montana",2,0.200508504295985,11406,63395
"66","Carbon County, Montana","Yellowstone County, Montana",2,0.122941059734074,10078,147972
"131","Stillwater County, Montana","Yellowstone County, Montana",2,0.108039925414062,9117,147972
"326","Golden Valley County, Montana","Yellowstone County, Montana",2,0.082579185520362,884,147972
"1453","Ravalli County, Montana","Missoula County, Montana",2,0.081144931861136,40212,109299
"196","Musselshell County, Montana","Yellowstone County, Montana",2,0.0718378140149846,4538,147972
"859","Teton County, Montana","Cascade County, Montana",2,0.0624073769142104,6073,81327
"2111","Broadwater County, Montana","Lewis and Clark County, Montana",2,0.0589807555238774,5612,63395
"3036","McCone County, Montana","Roosevelt County, Montana",2,0.0576701268742791,1734,10425
"1584","Mineral County, Montana","Missoula County, Montana",2,0.0471228984134501,4223,109299
"1783","Park County, Montana","Gallatin County, Montana",2,0.0457278076234331,15636,89513
"1056","Chouteau County, Montana","Hill County, Montana",2,0.0442112506451058,5813,16096
"1320","Deer Lodge County, Montana","Silver Bow County, Montana",2,0.0435577543557754,9298,34200
"1649","Granite County, Montana","Missoula County, Montana",2,0.0425462812601494,3079,109299
"1055","Chouteau County, Montana","Cascade County, Montana",2,0.0388783760536728,5813,81327
"3301","Wibaux County, Montana","Golden Valley County, North Dakota",2,0.0314650934119961,1017,1680
"3631","Treasure County, Montana","Rosebud County, Montana",2,0.0292479108635097,718,9233
"330","Golden Valley County, Montana","Wheatland County, Montana",2,0.0282805429864253,884,2168
"1914","Madison County, Montana","Gallatin County, Montana",2,0.0278247302041347,7691,89513
"2109","Broadwater County, Montana","Gallatin County, Montana",2,0.0274411974340698,5612,89513
"2311","Lake County, Montana","Flathead County, Montana",2,0.0255339873373687,28746,90928
"3762","Big Horn County, Montana","Rosebud County, Montana",2,0.0250291488534784,12865,9233
"727","Pondera County, Montana","Glacier County, Montana",2,0.0217779944742402,6153,13399
"1321","Deer Lodge County, Montana","Powell County, Montana",2,0.0196816519681652,9298,7027
"393","Sweet Grass County, Montana","Stillwater County, Montana",2,0.018898931799507,3651,9117
"529","Judith Basin County, Montana","Fergus County, Montana",2,0.0183397683397683,2072,11586
"1121","Blaine County, Montana","Hill County, Montana",2,0.0178708981666923,6491,16096
"1782","Park County, Montana","Park County, Wyoming",2,0.0163085188027629,15636,28205
"459","Petroleum County, Montana","Musselshell County, Montana",2,0.0161943319838057,494,4538
"2299","Lake County, Montana","Missoula County, Montana",2,0.0153064774229458,28746,109299
