"","source","target","cluster","pct","srcpop","tarpop"
"1321","Sarpy County, Nebraska","Douglas County, Nebraska",1,0.267640392848149,158840,517110
"10561","Stanton County, Nebraska","Madison County, Nebraska",1,0.245717082721488,6129,34876
"4621","Howard County, Nebraska","Hall County, Nebraska",1,0.181542875358623,6274,58607
"10824","Pierce County, Nebraska","Madison County, Nebraska",1,0.17065785851913,7266,34876
"1190","Washington County, Nebraska","Douglas County, Nebraska",1,0.162053968567757,20234,517110
"5545","Gosper County, Nebraska","Dawson County, Nebraska",1,0.158023483365949,2044,24326
"10164","Dakota County, Nebraska","Woodbury County, Iowa",1,0.152956298200514,21006,102172
"1584","Cass County, Nebraska","Douglas County, Nebraska",1,0.147458500059427,25241,517110
"4225","Kearney County, Nebraska","Buffalo County, Nebraska",1,0.139929110802897,6489,46102
"4490","Merrick County, Nebraska","Hall County, Nebraska",1,0.135500318674315,7845,58607
"1849","Seward County, Nebraska","Lancaster County, Nebraska",1,0.132537313432836,16750,285407
"8053","Sioux County, Nebraska","Scotts Bluff County, Nebraska",1,0.124332570556827,1311,36970
"4884","Hamilton County, Nebraska","Hall County, Nebraska",1,0.117163524769838,9124,58607
"9240","Hitchcock County, Nebraska","Red Willow County, Nebraska",1,0.113480055020633,2908,11055
"1715","Saunders County, Nebraska","Douglas County, Nebraska",1,0.107122232916266,20780,517110
"8316","Banner County, Nebraska","Scotts Bluff County, Nebraska",1,0.102898550724638,690,36970
"6337","Logan County, Nebraska","Lincoln County, Nebraska",1,0.102228047182176,763,36288
"6206","McPherson County, Nebraska","Lincoln County, Nebraska",1,0.100185528756957,539,36288
"528","Colfax County, Nebraska","Platte County, Nebraska",1,0.0988112220637185,10515,32237
"3829","Clay County, Nebraska","Adams County, Nebraska",1,0.0963008254356466,6542,31364
"4094","Sherman County, Nebraska","Buffalo County, Nebraska",1,0.0850253807106599,3152,46102
"2112","Otoe County, Nebraska","Lancaster County, Nebraska",1,0.0848792884371029,15740,285407
"265","Polk County, Nebraska","Platte County, Nebraska",1,0.0841657417684055,5406,32237
"1718","Saunders County, Nebraska","Lancaster County, Nebraska",1,0.0835899903753609,20780,285407
"6733","Deuel County, Nebraska","Cheyenne County, Nebraska",1,0.080370942812983,1941,9998
"659","Butler County, Nebraska","Platte County, Nebraska",1,0.0790946992257296,8395,32237
"8447","Morrill County, Nebraska","Scotts Bluff County, Nebraska",1,0.0787385957953193,5042,36970
"3698","Webster County, Nebraska","Adams County, Nebraska",1,0.0726652675760756,3812,31364
"1587","Cass County, Nebraska","Lancaster County, Nebraska",1,0.0719860544352443,25241,285407
"2243","Gage County, Nebraska","Lancaster County, Nebraska",1,0.0649007216171395,22311,285407
"10295","Dixon County, Nebraska","Woodbury County, Iowa",1,0.0648333333333333,6000,102172
"790","Nance County, Nebraska","Platte County, Nebraska",1,0.064524765729585,3735,32237
"2370","Dodge County, Nebraska","Douglas County, Nebraska",1,0.0644027145621542,36691,517110
"1583","Cass County, Nebraska","Sarpy County, Nebraska",1,0.0599025395190365,25241,158840
"2505","Saline County, Nebraska","Lancaster County, Nebraska",1,0.0596478873239437,14200,285407
"10955","Antelope County, Nebraska","Madison County, Nebraska",1,0.0566940912490651,6685,34876
"5412","Harlan County, Nebraska","Phelps County, Nebraska",1,0.0566754309085597,3423,9188
"9768","Cedar County, Nebraska","Yankton County, South Dakota",1,0.0516267510167194,8852,22438
"2636","Johnson County, Nebraska","Lancaster County, Nebraska",1,0.046578493387004,5217,285407
"4097","Sherman County, Nebraska","Hall County, Nebraska",1,0.0450507614213198,3152,58607
"264","Polk County, Nebraska","York County, Nebraska",1,0.0443951165371809,5406,13665
"10430","Wayne County, Nebraska","Madison County, Nebraska",1,0.0440854611776967,9595,34876
"10296","Dixon County, Nebraska","Dakota County, Nebraska",1,0.0433333333333333,6000,21006
"8713","Sheridan County, Nebraska","Shannon County, South Dakota",1,0.0427866154690071,5469,13586
"1721","Saunders County, Nebraska","Dodge County, Nebraska",1,0.0409528392685274,20780,36691
"2769","Jefferson County, Nebraska","Gage County, Nebraska",1,0.0406784152643435,7547,22311
"5808","Frontier County, Nebraska","Dawson County, Nebraska",1,0.0395500725689405,2756,24326
"7392","Garfield County, Nebraska","Valley County, Nebraska",1,0.038555392874573,2049,4260
"919","Fillmore County, Nebraska","York County, Nebraska",1,0.0368421052631579,5890,13665
"13465","Rock County, Nebraska","Brown County, Nebraska",1,0.036697247706422,1526,3145
"10297","Dixon County, Nebraska","Wayne County, Nebraska",1,0.0363333333333333,6000,9595
"1052","Boone County, Nebraska","Platte County, Nebraska",1,0.0361489554950045,5505,32237
"2894","Burt County, Nebraska","Douglas County, Nebraska",1,0.0357247010790318,6858,517110
"2892","Burt County, Nebraska","Washington County, Nebraska",1,0.0351414406532517,6858,20234
"5011","Franklin County, Nebraska","Kearney County, Nebraska",1,0.0347286821705426,3225,6489
"11616","Boyd County, Nebraska","Holt County, Nebraska",1,0.0343020485945688,2099,10435
"5146","Greeley County, Nebraska","Hall County, Nebraska",1,0.0342789598108747,2538,58607
"3966","Adams County, Nebraska","Hall County, Nebraska",1,0.0340198954215024,31364,58607
"3037","Richardson County, Nebraska","Nemaha County, Nebraska",1,0.0336003826378094,8363,7248
"5012","Franklin County, Nebraska","Buffalo County, Nebraska",1,0.0334883720930233,3225,46102
"7920","Blaine County, Nebraska","Custer County, Nebraska",1,0.0334728033472803,478,10939
"670","Butler County, Nebraska","Lancaster County, Nebraska",1,0.0324002382370459,8395,285407
"9899","Knox County, Nebraska","Yankton County, South Dakota",1,0.0321802091713596,8701,22438
"1452","Douglas County, Nebraska","Sarpy County, Nebraska",1,0.0321092224091586,517110,158840
"9371","Hayes County, Nebraska","Red Willow County, Nebraska",1,0.0320579110651499,967,11055
"6602","Kimball County, Nebraska","Cheyenne County, Nebraska",1,0.0314053912588328,3821,9998
"5941","Perkins County, Nebraska","Keith County, Nebraska",1,0.030976430976431,2970,8368
"11881","Dundy County, Nebraska","Chase County, Nebraska",1,0.0308764940239044,2008,3966
"6075","Keith County, Nebraska","Lincoln County, Nebraska",1,0.0303537284894837,8368,36288
"3161","Nemaha County, Nebraska","Otoe County, Nebraska",1,0.0303532008830022,7248,15740
"5543","Gosper County, Nebraska","Phelps County, Nebraska",1,0.0298434442270059,2044,9188
"2901","Burt County, Nebraska","Dodge County, Nebraska",1,0.0282881306503354,6858,36691
"12276","Nuckolls County, Nebraska","Thayer County, Nebraska",1,0.0266666666666667,4500,5228
"6728","Deuel County, Nebraska","Keith County, Nebraska",1,0.0257599175682638,1941,8368
"794","Nance County, Nebraska","Boone County, Nebraska",1,0.0257028112449799,3735,5505
"9502","Furnas County, Nebraska","Red Willow County, Nebraska",1,0.0254083484573503,4959,11055
"7524","Loup County, Nebraska","Garfield County, Nebraska",1,0.0253164556962025,632,2049
"3296","Pawnee County, Nebraska","Johnson County, Nebraska",1,0.0252434186801298,2773,5217
"7919","Blaine County, Nebraska","Thomas County, Nebraska",1,0.0251046025104603,478,647
"10171","Dakota County, Nebraska","Union County, South Dakota",1,0.0247072265067124,21006,14399
"4232","Kearney County, Nebraska","Phelps County, Nebraska",1,0.0246571120357528,6489,9188
"3425","Cuming County, Nebraska","Dodge County, Nebraska",1,0.024072655651603,9139,36691
"5813","Frontier County, Nebraska","Lincoln County, Nebraska",1,0.0239477503628447,2756,36288
"8056","Sioux County, Nebraska","Dawes County, Nebraska",1,0.0236460717009916,1311,9182
"8712","Sheridan County, Nebraska","Dawes County, Nebraska",1,0.023404644359115,5469,9182
"1714","Saunders County, Nebraska","Sarpy County, Nebraska",1,0.0225216554379211,20780,158840
"3040","Richardson County, Nebraska","Brown County, Kansas",1,0.0222408226712902,8363,9984
"5274","Phelps County, Nebraska","Buffalo County, Nebraska",1,0.0220940356987375,9188,46102
"542","Colfax County, Nebraska","Dodge County, Nebraska",1,0.0220637184973847,10515,36691
"6990","Arthur County, Nebraska","Keith County, Nebraska",1,0.0217391304347826,460,8368
"2638","Johnson County, Nebraska","Gage County, Nebraska",1,0.0214682767874257,5217,22311
"1197","Washington County, Nebraska","Dodge County, Nebraska",1,0.0213502026292379,20234,36691
"9773","Cedar County, Nebraska","Wayne County, Nebraska",1,0.0207862629914144,8852,9595
"11212","Thurston County, Nebraska","Woodbury County, Iowa",1,0.0206051873198847,6940,102172
"3293","Pawnee County, Nebraska","Gage County, Nebraska",1,0.0201947349441039,2773,22311
"2637","Johnson County, Nebraska","Otoe County, Nebraska",1,0.0197431474027219,5217,15740
"6735","Deuel County, Nebraska","Sedgwick County, Colorado",1,0.0195775373518805,1941,2379
"7526","Loup County, Nebraska","Custer County, Nebraska",1,0.0189873417721519,632,10939
"5164","Greeley County, Nebraska","Valley County, Nebraska",1,0.0189125295508274,2538,4260
"8304","Banner County, Nebraska","Kimball County, Nebraska",1,0.0188405797101449,690,3821
"660","Butler County, Nebraska","Colfax County, Nebraska",1,0.0188207266229899,8395,10515
"13201","Keya Paha County, Nebraska","Cherry County, Nebraska",1,0.0182038834951456,824,5713
"822","Nance County, Nebraska","Hall County, Nebraska",1,0.0176706827309237,3735,58607
"9372","Hayes County, Nebraska","Hitchcock County, Nebraska",1,0.0175801447776629,967,2908
"8059","Sioux County, Nebraska","Goshen County, Wyoming",1,0.0175438596491228,1311,13249
"9473","Furnas County, Nebraska","Phelps County, Nebraska",1,0.0175438596491228,4959,9188
"4491","Merrick County, Nebraska","Hamilton County, Nebraska",1,0.0173358827278521,7845,9124
"10428","Wayne County, Nebraska","Dixon County, Nebraska",1,0.0167795726941115,9595,6000
"4849","Hamilton County, Nebraska","York County, Nebraska",1,0.0167689609820254,9124,13665
"10615","Madison County, Nebraska","Platte County, Nebraska",1,0.0164296364261957,34876,32237
"2108","Otoe County, Nebraska","Douglas County, Nebraska",1,0.0163913595933926,15740,517110
"6072","Keith County, Nebraska","Perkins County, Nebraska",1,0.0162523900573614,8368,2970
"4116","Sherman County, Nebraska","Valley County, Nebraska",1,0.0161802030456853,3152,4260
"5145","Greeley County, Nebraska","Howard County, Nebraska",1,0.0161544523246651,2538,6274
"11306","Wheeler County, Nebraska","Greeley County, Nebraska",1,0.0158924205378973,818,2538
"5443","Harlan County, Nebraska","Furnas County, Nebraska",1,0.0157756354075373,3423,4959
"3299","Pawnee County, Nebraska","Richardson County, Nebraska",1,0.0155066714749369,2773,8363
"10960","Antelope County, Nebraska","Holt County, Nebraska",1,0.0149588631264024,6685,10435
"8473","Morrill County, Nebraska","Box Butte County, Nebraska",1,0.0148750495834986,5042,11308
"5667","Dawson County, Nebraska","Buffalo County, Nebraska",1,0.0145523308394311,24326,46102
"4458","Merrick County, Nebraska","Platte County, Nebraska",1,0.0145315487571702,7845,32237
"9392","Hayes County, Nebraska","Chase County, Nebraska",1,0.0144777662874871,967,3966
