"","source","target","cluster","pct","srcpop","tarpop"
"76","Storey County, Nevada","Washoe County, Nevada",1,0.187531172069825,4010,421407
"153","Douglas County, Nevada","Carson City, Nevada",1,0.0852820392791029,46997,55274
"116","Lyon County, Nevada","Carson City, Nevada",1,0.0673528280107734,51980,55274
"113","Lyon County, Nevada","Washoe County, Nevada",1,0.0632358599461331,51980,421407
"761","Nye County, Nevada","Clark County, Nevada",1,0.0498793974423156,43946,1951269
"570","Elko County, Nevada","Eureka County, Nevada",1,0.0496538162153304,48818,1987
"457","Lander County, Nevada","Humboldt County, Nevada",1,0.0451948051948052,5775,16528
"187","Carson City, Nevada","Washoe County, Nevada",1,0.0358577269602345,55274,421407
"77","Storey County, Nevada","Lyon County, Nevada",1,0.0319201995012469,4010,51980
"190","Carson City, Nevada","Douglas County, Nevada",1,0.0314614466114267,55274,46997
"79","Storey County, Nevada","Carson City, Nevada",1,0.0266832917705736,4010,55274
"836","Lincoln County, Nevada","Clark County, Nevada",1,0.0233863423760524,5345,1951269
"458","Lander County, Nevada","Eureka County, Nevada",1,0.0221645021645022,5775,1987
"420","Pershing County, Nevada","Humboldt County, Nevada",1,0.0192507033910854,6753,16528
"150","Douglas County, Nevada","Washoe County, Nevada",1,0.0172989765304168,46997,421407
"154","Douglas County, Nevada","El Dorado County, California",1,0.0148945677383663,46997,181058
"261","Churchill County, Nevada","Washoe County, Nevada",1,0.0139888250190939,24877,421407
"263","Churchill County, Nevada","Lyon County, Nevada",1,0.0125015074164891,24877,51980
"189","Carson City, Nevada","Lyon County, Nevada",1,0.00929912798060571,55274,51980
"459","Lander County, Nevada","Elko County, Nevada",1,0.00865800865800866,5775,48818
"115","Lyon County, Nevada","Douglas County, Nevada",1,0.00777222008464794,51980,46997
"42","Washoe County, Nevada","Carson City, Nevada",1,0.00750343492158412,421407,55274
"118","Lyon County, Nevada","Churchill County, Nevada",1,0.00652173913043478,51980,24877
"872","Esmeralda County, Nevada","Nye County, Nevada",1,0.00638569604086846,783,43946
"494","Humboldt County, Nevada","Lander County, Nevada",1,0.00477976766698935,16528,5775
"152","Douglas County, Nevada","Lyon County, Nevada",1,0.00321297104070473,46997,51980
"45","Washoe County, Nevada","Nevada County, California",1,0.00228994772274784,421407,98764
"157","Douglas County, Nevada","Mono County, California",1,0.00208523948337128,46997,14202
"158","Douglas County, Nevada","Alpine County, California",1,0.00202140562163542,46997,1175
"764","Nye County, Nevada","Inyo County, California",1,0.00179766076548491,43946,18546
"483","Humboldt County, Nevada","Washoe County, Nevada",1,0.00163359148112294,16528,421407
"53","Washoe County, Nevada","Placer County, California",1,0.00162550693272774,421407,348432
"40","Washoe County, Nevada","Lyon County, Nevada",1,0.00151872180576023,421407,51980
"572","Elko County, Nevada","Tooele County, Utah",1,0.0015158343234053,48818,58218
"191","Carson City, Nevada","El Dorado County, California",1,0.00142924340557948,55274,181058
"519","Eureka County, Nevada","White Pine County, Nevada",1,0.00100654252642174,1987,10030
"41","Washoe County, Nevada","Douglas County, Nevada",1,0.000999034187851649,421407,46997
"277","Churchill County, Nevada","Mineral County, Nevada",1,0.000803955460867468,24877,4772
"802","Clark County, Nevada","Los Angeles County, California",1,0.000771805425084906,1951269,9818605
"188","Carson City, Nevada","Storey County, Nevada",1,0.000723667547128849,55274,4010
"568","Elko County, Nevada","Lander County, Nevada",1,0.000594043180793969,48818,5775
"56","Washoe County, Nevada","Lassen County, California",1,0.000574266682803086,421407,34895
"798","Clark County, Nevada","Nye County, Nevada",1,0.000534011456134444,1951269,43946
"533","Eureka County, Nevada","Elko County, Nevada",1,0.000503271263210871,1987,48818
"496","Humboldt County, Nevada","Elko County, Nevada",1,0.000484027105517909,16528,48818
"119","Lyon County, Nevada","Nevada County, California",1,0.000461716044632551,51980,98764
"44","Washoe County, Nevada","Churchill County, Nevada",1,0.000429513510691564,421407,24877
"803","Clark County, Nevada","Mohave County, Arizona",1,0.00034490375237858,1951269,200186
"58","Washoe County, Nevada","Clark County, Nevada",1,0.000313236372438047,421407,1951269
"582","Elko County, Nevada","Salt Lake County, Utah",1,0.000307263714203777,48818,1029655
"65","Washoe County, Nevada","Sacramento County, California",1,0.000253911301900538,421407,1418788
"66","Washoe County, Nevada","Santa Clara County, California",1,0.000244419290614537,421407,1781642
"807","Clark County, Nevada","San Bernardino County, California",1,0.000233181585932027,1951269,2035210
"120","Lyon County, Nevada","Mono County, California",1,0.000230858022316276,51980,14202
"556","Elko County, Nevada","White Pine County, Nevada",1,0.000225326723749437,48818,10030
"68","Washoe County, Nevada","San Francisco County, California",1,0.00019933223700603,421407,805235
"809","Clark County, Nevada","Orange County, California",1,0.000149133717596087,1951269,3010232
"810","Clark County, Nevada","Maricopa County, Arizona",1,0.000145546308581749,1951269,3817117
"811","Clark County, Nevada","San Diego County, California",1,0.000143496360573555,1951269,3095313
"557","Elko County, Nevada","Washoe County, Nevada",1,0.000122905485681511,48818,421407
