"","source","target","cluster","pct","srcpop","tarpop"
"187","Strafford County, New Hampshire","Rockingham County, New Hampshire",1,0.1236692300821,123143,295223
"63","Sullivan County, New Hampshire","Grafton County, New Hampshire",1,0.0870787801197933,43742,89118
"311","Merrimack County, New Hampshire","Hillsborough County, New Hampshire",1,0.0799344463791867,146445,400721
"371","Belknap County, New Hampshire","Merrimack County, New Hampshire",1,0.0763213952869125,60088,146445
"218","Rockingham County, New Hampshire","Essex County, Massachusetts",1,0.0685312458717647,295223,743159
"221","Rockingham County, New Hampshire","Hillsborough County, New Hampshire",1,0.0541997066624213,295223,400721
"340","Hillsborough County, New Hampshire","Middlesex County, Massachusetts",1,0.0528522338484881,400721,1503085
"219","Rockingham County, New Hampshire","Middlesex County, Massachusetts",1,0.0444816291413609,295223,1503085
"496","Cheshire County, New Hampshire","Windham County, Vermont",1,0.0349209642491279,77117,44513
"338","Hillsborough County, New Hampshire","Rockingham County, New Hampshire",1,0.0346425567913835,400721,295223
"62","Sullivan County, New Hampshire","Windsor County, Vermont",1,0.0333318092451191,43742,56670
"124","Coos County, New Hampshire","Grafton County, New Hampshire",1,0.0319165027983664,33055,89118
"492","Cheshire County, New Hampshire","Hillsborough County, New Hampshire",1,0.025856814969462,77117,400721
"341","Hillsborough County, New Hampshire","Merrimack County, New Hampshire",1,0.0252769383186806,400721,146445
"181","Strafford County, New Hampshire","York County, Maine",1,0.0240046125236514,123143,197131
"70","Sullivan County, New Hampshire","Merrimack County, New Hampshire",1,0.0227470165973207,43742,146445
"312","Merrimack County, New Hampshire","Belknap County, New Hampshire",1,0.0210522721840964,146445,60088
"308","Merrimack County, New Hampshire","Rockingham County, New Hampshire",1,0.0197685137765031,146445,295223
"162","Carroll County, New Hampshire","Belknap County, New Hampshire",1,0.0196996946756452,47818,60088
"156","Carroll County, New Hampshire","Strafford County, New Hampshire",1,0.0175666067171358,47818,123143
"102","Grafton County, New Hampshire","Belknap County, New Hampshire",1,0.0174375547027537,89118,60088
"217","Rockingham County, New Hampshire","Strafford County, New Hampshire",1,0.0163774502664088,295223,123143
"76","Sullivan County, New Hampshire","Cheshire County, New Hampshire",1,0.0161858168350784,43742,77117
"364","Belknap County, New Hampshire","Grafton County, New Hampshire",1,0.0142790573825057,60088,89118
"92","Grafton County, New Hampshire","Windsor County, Vermont",1,0.0142395475661483,89118,56670
"100","Grafton County, New Hampshire","Merrimack County, New Hampshire",1,0.0139365784689962,89118,146445
"339","Hillsborough County, New Hampshire","Essex County, Massachusetts",1,0.0130389972075334,400721,743159
"372","Belknap County, New Hampshire","Hillsborough County, New Hampshire",1,0.0126148315803488,60088,400721
"220","Rockingham County, New Hampshire","Merrimack County, New Hampshire",1,0.012512575239734,295223,146445
"223","Rockingham County, New Hampshire","Suffolk County, Massachusetts",1,0.0120959410344045,295223,722023
"495","Cheshire County, New Hampshire","Worcester County, Massachusetts",1,0.011216722642219,77117,798552
"191","Strafford County, New Hampshire","Hillsborough County, New Hampshire",1,0.0104187814167269,123143,400721
"137","Coos County, New Hampshire","Essex County, Vermont",1,0.0102858871577674,33055,6306
"366","Belknap County, New Hampshire","Carroll County, New Hampshire",1,0.0101517773931567,60088,47818
"367","Belknap County, New Hampshire","Strafford County, New Hampshire",1,0.0101517773931567,60088,123143
"190","Strafford County, New Hampshire","Merrimack County, New Hampshire",1,0.00972040635683717,123143,146445
"304","Merrimack County, New Hampshire","Grafton County, New Hampshire",1,0.0091297073986821,146445,89118
"125","Coos County, New Hampshire","Carroll County, New Hampshire",1,0.00898502495840266,33055,47818
