"","source","target","cluster","pct","srcpop","tarpop"
"91","Sussex County, New Jersey","Morris County, New Jersey",1,0.129775901919405,149265,492276
"405","Hudson County, New Jersey","New York County, New York",1,0.116719168298474,634266,1585873
"271","Passaic County, New Jersey","Bergen County, New Jersey",1,0.0994441629125385,501226,905116
"539","Hunterdon County, New Jersey","Somerset County, New Jersey",1,0.0871607881635229,128349,323444
"903","Gloucester County, New Jersey","Camden County, New Jersey",1,0.081453268953269,288288,513657
"47","Warren County, New Jersey","Morris County, New Jersey",1,0.079067456666544,108692,492276
"451","Somerset County, New Jersey","Middlesex County, New Jersey",1,0.0727575716352754,323444,809858
"631","Ocean County, New Jersey","Monmouth County, New Jersey",1,0.0720575405807131,576567,630380
"316","Bergen County, New Jersey","New York County, New York",1,0.0713753817190283,905116,1585873
"856","Salem County, New Jersey","Gloucester County, New Jersey",1,0.0670369081306842,66083,288288
"1036","Camden County, New Jersey","Burlington County, New Jersey",1,0.0668481107042248,513657,448734
"181","Union County, New Jersey","Essex County, New Jersey",1,0.0609208964042803,536499,783969
"1035","Camden County, New Jersey","Philadelphia County, Pennsylvania",1,0.0606494216958009,513657,1526006
"1126","Cape May County, New Jersey","Atlantic County, New Jersey",1,0.0581195702462345,97265,274549
"1080","Burlington County, New Jersey","Camden County, New Jersey",1,0.0569580196731248,448734,513657
"902","Gloucester County, New Jersey","Philadelphia County, Pennsylvania",1,0.0524336774336774,288288,1526006
"1070","Burlington County, New Jersey","Mercer County, New Jersey",1,0.0481309640009449,448734,366513
"137","Morris County, New Jersey","Essex County, New Jersey",1,0.0479649627444767,492276,783969
"187","Union County, New Jersey","Middlesex County, New Jersey",1,0.0443188151329266,536499,809858
"404","Hudson County, New Jersey","Bergen County, New Jersey",1,0.0442401137693018,634266,905116
"56","Warren County, New Jersey","Hunterdon County, New Jersey",1,0.0439958782615096,108692,128349
"857","Salem County, New Jersey","Cumberland County, New Jersey",1,0.0431124494953316,66083,156898
"228","Essex County, New Jersey","New York County, New York",1,0.0420896744641689,783969,1585873
"584","Mercer County, New Jersey","Middlesex County, New Jersey",1,0.0409917247137209,366513,809858
"672","Monmouth County, New Jersey","Middlesex County, New Jersey",1,0.0398648434277737,630380,809858
"270","Passaic County, New Jersey","Essex County, New Jersey",1,0.0369434147470403,501226,783969
