"","source","target","cluster","pct","srcpop","tarpop"
"91","Sussex County, New Jersey","Morris County, New Jersey",1,0.129775901919405,149265,492276
"540","Hudson County, New Jersey","New York County, New York",1,0.116719168298474,634266,1585873
"406","Passaic County, New Jersey","Bergen County, New Jersey",1,0.0994441629125385,501226,905116
"315","Hunterdon County, New Jersey","Somerset County, New Jersey",1,0.0871607881635229,128349,323444
"631","Gloucester County, New Jersey","Camden County, New Jersey",1,0.081453268953269,288288,513657
"47","Warren County, New Jersey","Morris County, New Jersey",1,0.079067456666544,108692,492276
"272","Somerset County, New Jersey","Middlesex County, New Jersey",1,0.0727575716352754,323444,809858
"901","Ocean County, New Jersey","Monmouth County, New Jersey",1,0.0720575405807131,576567,630380
"451","Bergen County, New Jersey","New York County, New York",1,0.0713753817190283,905116,1585873
"586","Salem County, New Jersey","Gloucester County, New Jersey",1,0.0670369081306842,66083,288288
"676","Camden County, New Jersey","Burlington County, New Jersey",1,0.0668481107042248,513657,448734
"181","Union County, New Jersey","Essex County, New Jersey",1,0.0609208964042803,536499,783969
"677","Camden County, New Jersey","Philadelphia County, Pennsylvania",1,0.0606494216958009,513657,1526006
"1036","Cape May County, New Jersey","Atlantic County, New Jersey",1,0.0581195702462345,97265,274549
"720","Burlington County, New Jersey","Camden County, New Jersey",1,0.0569580196731248,448734,513657
"633","Gloucester County, New Jersey","Philadelphia County, Pennsylvania",1,0.0524336774336774,288288,1526006
"722","Burlington County, New Jersey","Mercer County, New Jersey",1,0.0481309640009449,448734,366513
"137","Morris County, New Jersey","Essex County, New Jersey",1,0.0479649627444767,492276,783969
"184","Union County, New Jersey","Middlesex County, New Jersey",1,0.0443188151329266,536499,809858
"539","Hudson County, New Jersey","Bergen County, New Jersey",1,0.0442401137693018,634266,905116
"51","Warren County, New Jersey","Hunterdon County, New Jersey",1,0.0439958782615096,108692,128349
"591","Salem County, New Jersey","Cumberland County, New Jersey",1,0.0431124494953316,66083,156898
"231","Essex County, New Jersey","New York County, New York",1,0.0420896744641689,783969,1585873
"801","Mercer County, New Jersey","Middlesex County, New Jersey",1,0.0409917247137209,366513,809858
"933","Monmouth County, New Jersey","Middlesex County, New Jersey",1,0.0398648434277737,630380,809858
"402","Passaic County, New Jersey","Essex County, New Jersey",1,0.0369434147470403,501226,783969
"936","Monmouth County, New Jersey","New York County, New York",1,0.0361686601732288,630380,1585873
"269","Somerset County, New Jersey","Union County, New Jersey",1,0.0357558031684001,323444,536499
"363","Middlesex County, New Jersey","New York County, New York",1,0.0348110409479193,809858,1585873
"721","Burlington County, New Jersey","Philadelphia County, Pennsylvania",1,0.0344948232137525,448734,1526006
"594","Salem County, New Jersey","New Castle County, Delaware",1,0.0343961381898522,66083,538479
"187","Union County, New Jersey","New York County, New York",1,0.0341268110471781,536499,1585873
"268","Somerset County, New Jersey","Morris County, New Jersey",1,0.0341017301294815,323444,492276
"675","Camden County, New Jersey","Gloucester County, New Jersey",1,0.0339584586601565,513657,288288
"534","Hudson County, New Jersey","Essex County, New Jersey",1,0.0338233485635364,634266,783969
"400","Passaic County, New Jersey","Morris County, New Jersey",1,0.0332684258198896,501226,492276
"50","Warren County, New Jersey","Somerset County, New Jersey",1,0.0328451035954808,108692,323444
"359","Middlesex County, New Jersey","Somerset County, New Jersey",1,0.031368462125459,809858,323444
"224","Essex County, New Jersey","Morris County, New Jersey",1,0.0304922771181003,783969,492276
"357","Middlesex County, New Jersey","Union County, New Jersey",1,0.0301991213274426,809858,536499
"225","Essex County, New Jersey","Union County, New Jersey",1,0.0293838149212533,783969,536499
"452","Bergen County, New Jersey","Hudson County, New Jersey",1,0.0285433027368868,905116,634266
