"","source","target","cluster","pct","srcpop","tarpop"
"1","Rensselaer County, New York","Albany County, New York",1,0.193333709676408,159429,304204
"2","Putnam County, New York","Westchester County, New York",1,0.187864807943035,99710,949113
"3","Queens County, New York","New York County, New York",1,0.164309133993389,2230722,1585873
"4","Wayne County, New York","Monroe County, New York",1,0.156293989677089,93772,744344
"5","Niagara County, New York","Erie County, New York",1,0.151730732807007,216469,919040
"6","Herkimer County, New York","Oneida County, New York",1,0.147739425595561,64519,234878
"7","Oswego County, New York","Onondaga County, New York",1,0.142839594133111,122109,467026
"8","Tioga County, New York","Broome County, New York",1,0.128136919315403,51125,200600
"9","Washington County, New York","Warren County, New York",1,0.105637813211845,63216,65707
"11","Kings County, New York","New York County, New York",1,0.154265181458857,2504700,1585873
"12","Schuyler County, New York","Tompkins County, New York",1,0.0882625524723328,18343,101564
"13","Yates County, New York","Ontario County, New York",1,0.0861211929935301,25348,107931
"14","Schenectady County, New York","Albany County, New York",1,0.149825175955069,154727,304204
"16","Lewis County, New York","Jefferson County, New York",1,0.0799645586443681,27087,116229
"18","Livingston County, New York","Monroe County, New York",1,0.151805239092869,65393,744344
"19","Fulton County, New York","Montgomery County, New York",1,0.0647025985485585,55531,50219
"211","Madison County, New York","Onondaga County, New York",1,0.125473162495575,73442,467026
"22","Sullivan County, New York","Orange County, New York",1,0.0637548841347828,77547,372813
"15","Richmond County, New York","New York County, New York",1,0.109288929660999,468730,1585873
"23","Richmond County, New York","Kings County, New York",1,0.0612911484223327,468730,2504700
"32","Saratoga County, New York","Albany County, New York",1,0.10913586543234,219607,304204
"30","Suffolk County, New York","Nassau County, New York",1,0.0569337395787993,1493350,1339532
"311","Ulster County, New York","Dutchess County, New York",1,0.0506265993764144,182493,297488
"321","Delaware County, New York","Otsego County, New York",1,0.048728636932055,47980,62259
"33","Allegany County, New York","Cattaraugus County, New York",1,0.0481142483553304,48946,80317
"36","Orleans County, New York","Monroe County, New York",1,0.135997947904764,42883,744344
"51","Bronx County, New York","New York County, New York",1,0.136107798092279,1385108,1585873
"421","Wyoming County, New York","Genesee County, New York",1,0.0413711303522714,42155,60079
"44","Seneca County, New York","Ontario County, New York",1,0.0770190916569743,35251,107931
"45","Rockland County, New York","Bergen County, New Jersey",1,0.0366104457356258,311687,905116
"46","Chemung County, New York","Steuben County, New York",1,0.0348080603399752,88830,98990
"47","Greene County, New York","Columbia County, New York",1,0.0340708234290242,49221,63096
"50","Cayuga County, New York","Onondaga County, New York",1,0.0941943868242821,80026,467026
"26","Wyoming County, New York","Erie County, New York",1,0.0733958012098209,42155,919040
"38","Genesee County, New York","Erie County, New York",1,0.051049451555452,60079,919040
"55","Essex County, New York","Clinton County, New York",1,0.0294640589281179,39370,82128
"39","Hamilton County, New York","Fulton County, New York",1,0.0490074441687345,4836,55531
"113","Montgomery County, New York","Fulton County, New York",1,0.0487863159361994,50219,55531
"60","Cortland County, New York","Tompkins County, New York",1,0.0579495702934976,49336,101564
"28","Schoharie County, New York","Albany County, New York",1,0.0615591315765367,32749,304204
"61","Saratoga County, New York","Schenectady County, New York",1,0.0430086472653422,219607,154727
"114","Schoharie County, New York","Schenectady County, New York",1,0.0356346758679654,32749,154727
"52","Albany County, New York","Rensselaer County, New York",1,0.0290397233435458,304204,159429
"69","Chenango County, New York","Broome County, New York",1,0.0422964914713632,50477,200600
"711","Putnam County, New York","Fairfield County, Connecticut",1,0.0221241600641861,99710,916829
"53","Nassau County, New York","New York County, New York",1,0.0694653057933666,1339532,1585873
"412","Nassau County, New York","Queens County, New York",1,0.05114323510002,1339532,2230722
"312","Nassau County, New York","Suffolk County, New York",1,0.0381386932152423,1339532,1493350
"101","Queens County, New York","Kings County, New York",1,0.037103233840882,2230722,2504700
"81","Queens County, New York","Nassau County, New York",1,0.0327015199563191,2230722,1339532
"116","Kings County, New York","Queens County, New York",1,0.0269541262426638,2504700,2230722
"29","Suffolk County, New York","New York County, New York",1,0.0260139953795159,1493350,1585873
"85","Franklin County, New York","St. Lawrence County, New York",1,0.0191864183414407,51599,111944
"313","Schuyler County, New York","Chemung County, New York",1,0.0550073597557651,18343,88830
"210","Schuyler County, New York","Steuben County, New York",1,0.042468516600338,18343,98990
"54","Steuben County, New York","Chemung County, New York",1,0.0330841499141327,98990,88830
"212","Ulster County, New York","Orange County, New York",1,0.0495471059163913,182493,372813
"315","Ontario County, New York","Monroe County, New York",1,0.109208661089029,107931,744344
"56","Wayne County, New York","Ontario County, New York",1,0.0385296250479887,93772,107931
"213","Ontario County, New York","Wayne County, New York",1,0.0203833930937358,107931,93772
"57","Warren County, New York","Saratoga County, New York",1,0.0546060541494818,65707,219607
"316","Washington County, New York","Saratoga County, New York",1,0.0501929891166793,63216,219607
"141","Saratoga County, New York","Warren County, New York",1,0.0250902749001626,219607,65707
"92","Schenectady County, New York","Saratoga County, New York",1,0.0248114420883233,154727,219607
"415","Warren County, New York","Washington County, New York",1,0.0240309251677903,65707,63216
"122","Albany County, New York","Schenectady County, New York",1,0.021771574338273,304204,154727
"1110","Rensselaer County, New York","Saratoga County, New York",1,0.0202221678615559,159429,219607
"214","Washington County, New York","Albany County, New York",1,0.0200740318906606,63216,304204
"161","Saratoga County, New York","Rensselaer County, New York",1,0.0182052484665789,219607,159429
"123","Cattaraugus County, New York","Chautauqua County, New York",1,0.0222493370021291,80317,134905
"216","Lewis County, New York","Oneida County, New York",1,0.0369180787831801,27087,234878
"75","Otsego County, New York","Delaware County, New York",1,0.0287026775245346,62259,47980
"58","Chenango County, New York","Delaware County, New York",1,0.0260316579828437,50477,47980
"416","Chenango County, New York","Otsego County, New York",1,0.0158289914218357,50477,62259
"217","Broome County, New York","Tioga County, New York",1,0.0153589232303091,200600,51125
"66","Otsego County, New York","Chenango County, New York",1,0.0132029104225895,62259,50477
"84","Delaware County, New York","Broome County, New York",1,0.0126719466444352,47980,200600
"218","Westchester County, New York","New York County, New York",1,0.0854787575346666,949113,1585873
"67","Putnam County, New York","New York County, New York",1,0.0379299969912747,99710,1585873
"319","Westchester County, New York","Bronx County, New York",1,0.0301270765440996,949113,1385108
"261","Bronx County, New York","Westchester County, New York",1,0.0261329802441398,1385108,949113
"142","Nassau County, New York","Kings County, New York",1,0.0179450733539774,1339532,2504700
"127","Westchester County, New York","Fairfield County, Connecticut",1,0.0175458559728926,949113,916829
"231","New York County, New York","Bronx County, New York",1,0.0162503554824377,1585873,1385108
"94","Suffolk County, New York","Queens County, New York",1,0.0160665617571232,1493350,2230722
"76","Putnam County, New York","Bronx County, New York",1,0.0149734229264868,99710,1385108
"271","Bronx County, New York","Queens County, New York",1,0.0146364038038911,1385108,2230722
"221","New York County, New York","Kings County, New York",1,0.0142451507781518,1585873,2504700
"291","Bronx County, New York","Kings County, New York",1,0.0136350378454243,1385108,2504700
"219","New York County, New York","Queens County, New York",1,0.0118899811018915,1585873,2230722
"152","Richmond County, New York","Queens County, New York",1,0.0108420625946707,468730,2230722
"232","Greene County, New York","Albany County, New York",1,0.0595477540074359,49221,304204
"262","Columbia County, New York","Albany County, New York",1,0.0368327627741854,63096,304204
"252","Columbia County, New York","Rensselaer County, New York",1,0.0143273741600101,63096,159429
"104","Schenectady County, New York","Rensselaer County, New York",1,0.014257369431321,154727,159429
"610","Warren County, New York","Albany County, New York",1,0.0135449799869116,65707,304204
"182","Albany County, New York","Saratoga County, New York",1,0.0129091004720517,304204,219607
