"","source","target","cluster","pct","srcpop","tarpop"
"5201","Rensselaer County, New York","Albany County, New York",1,0.193333709676408,159429,304204
"3400","Putnam County, New York","Westchester County, New York",1,0.187864807943035,99710,949113
"3601","Queens County, New York","New York County, New York",1,0.164309133993389,2230722,1585873
"101","Wayne County, New York","Monroe County, New York",1,0.156293989677089,93772,744344
"3800","Kings County, New York","New York County, New York",1,0.154265181458857,2504700,1585873
"300","Livingston County, New York","Monroe County, New York",1,0.151805239092869,65393,744344
"901","Niagara County, New York","Erie County, New York",1,0.151730732807007,216469,919040
"5102","Schenectady County, New York","Albany County, New York",1,0.149825175955069,154727,304204
"2600","Herkimer County, New York","Oneida County, New York",1,0.147739425595561,64519,234878
"2101","Oswego County, New York","Onondaga County, New York",1,0.142839594133111,122109,467026
"3899","Bronx County, New York","New York County, New York",1,0.136107798092279,1385108,1585873
"399","Orleans County, New York","Monroe County, New York",1,0.135997947904764,42883,744344
"1701","Tioga County, New York","Broome County, New York",1,0.128136919315403,51125,200600
"2300","Madison County, New York","Onondaga County, New York",1,0.125473162495575,73442,467026
"3502","Richmond County, New York","New York County, New York",1,0.109288929660999,468730,1585873
"498","Ontario County, New York","Monroe County, New York",1,0.109208661089029,107931,744344
"5400","Saratoga County, New York","Albany County, New York",1,0.10913586543234,219607,304204
"4801","Washington County, New York","Warren County, New York",1,0.105637813211845,63216,65707
"2399","Cayuga County, New York","Onondaga County, New York",1,0.0941943868242821,80026,467026
"1400","Schuyler County, New York","Tompkins County, New York",1,0.0882625524723328,18343,101564
"5","Yates County, New York","Ontario County, New York",1,0.0861211929935301,25348,107931
"3304","Westchester County, New York","New York County, New York",1,0.0854787575346666,949113,1585873
"597","Genesee County, New York","Monroe County, New York",1,0.0820752675643736,60079,744344
"2701","Lewis County, New York","Jefferson County, New York",1,0.0799645586443681,27087,116229
"699","Seneca County, New York","Ontario County, New York",1,0.0770190916569743,35251,107931
"802","Wyoming County, New York","Erie County, New York",1,0.0733958012098209,42155,919040
"3998","Nassau County, New York","New York County, New York",1,0.0694653057933666,1339532,1585873
"5700","Fulton County, New York","Montgomery County, New York",1,0.0647025985485585,55531,50219
"4401","Sullivan County, New York","Orange County, New York",1,0.0637548841347828,77547,372813
"5003","Schoharie County, New York","Albany County, New York",1,0.0615591315765367,32749,304204
"3503","Richmond County, New York","Kings County, New York",1,0.0612911484223327,468730,2504700
"5499","Greene County, New York","Albany County, New York",1,0.0595477540074359,49221,304204
"1100","Cattaraugus County, New York","Erie County, New York",1,0.0590659511684948,80317,919040
"1499","Cortland County, New York","Tompkins County, New York",1,0.0579495702934976,49336,101564
"4100","Suffolk County, New York","Nassau County, New York",1,0.0569337395787993,1493350,1339532
"1402","Schuyler County, New York","Chemung County, New York",1,0.0550073597557651,18343,88830
"4905","Warren County, New York","Saratoga County, New York",1,0.0546060541494818,65707,219607
"2302","Madison County, New York","Oneida County, New York",1,0.0537703221589826,73442,234878
"3997","Nassau County, New York","Queens County, New York",1,0.05114323510002,1339532,2230722
"604","Genesee County, New York","Erie County, New York",1,0.051049451555452,60079,919040
"4201","Ulster County, New York","Dutchess County, New York",1,0.0506265993764144,182493,297488
"4806","Washington County, New York","Saratoga County, New York",1,0.0501929891166793,63216,219607
"4203","Ulster County, New York","Orange County, New York",1,0.0495471059163913,182493,372813
"1697","Tioga County, New York","Tompkins County, New York",1,0.0494865525672372,51125,101564
"4291","Dutchess County, New York","Westchester County, New York",1,0.049390227504975,297488,949113
"5800","Hamilton County, New York","Fulton County, New York",1,0.0490074441687345,4836,55531
"5601","Montgomery County, New York","Fulton County, New York",1,0.0487863159361994,50219,55531
"3100","Delaware County, New York","Otsego County, New York",1,0.048728636932055,47980,62259
"1200","Allegany County, New York","Cattaraugus County, New York",1,0.0481142483553304,48946,80317
"4592","Rockland County, New York","New York County, New York",1,0.0449296890791082,311687,1585873
"5398","Saratoga County, New York","Schenectady County, New York",1,0.0430086472653422,219607,154727
"1405","Schuyler County, New York","Steuben County, New York",1,0.042468516600338,18343,98990
"1999","Chenango County, New York","Broome County, New York",1,0.0422964914713632,50477,200600
"5598","Montgomery County, New York","Albany County, New York",1,0.0417172783209542,50219,304204
"799","Wyoming County, New York","Genesee County, New York",1,0.0413711303522714,42155,60079
"104","Wayne County, New York","Ontario County, New York",1,0.0385296250479887,93772,107931
"4001","Nassau County, New York","Suffolk County, New York",1,0.0381386932152423,1339532,1493350
"5596","Montgomery County, New York","Schenectady County, New York",1,0.0380334136482208,50219,154727
"3403","Putnam County, New York","New York County, New York",1,0.0379299969912747,99710,1585873
"3602","Queens County, New York","Kings County, New York",1,0.037103233840882,2230722,2504700
"2699","Lewis County, New York","Oneida County, New York",1,0.0369180787831801,27087,234878
"5895","Columbia County, New York","Albany County, New York",1,0.0368327627741854,63096,304204
"4601","Rockland County, New York","Bergen County, New Jersey",1,0.0366104457356258,311687,905116
"5885","Columbia County, New York","Dutchess County, New York",1,0.0360244706479016,63096,297488
"5001","Schoharie County, New York","Schenectady County, New York",1,0.0356346758679654,32749,154727
"1507","Cortland County, New York","Onondaga County, New York",1,0.0351872871736663,49336,467026
"1603","Chemung County, New York","Steuben County, New York",1,0.0348080603399752,88830,98990
"5504","Greene County, New York","Columbia County, New York",1,0.0340708234290242,49221,63096
"1898","Steuben County, New York","Chemung County, New York",1,0.0330841499141327,98990,88830
"3604","Queens County, New York","Nassau County, New York",1,0.0327015199563191,2230722,1339532
"706","Seneca County, New York","Tompkins County, New York",1,0.0312047885166378,35251,101564
"3306","Westchester County, New York","Bronx County, New York",1,0.0301270765440996,949113,1385108
"4588","Rockland County, New York","Westchester County, New York",1,0.0295841661666993,311687,949113
"6501","Essex County, New York","Clinton County, New York",1,0.0294640589281179,39370,82128
"5300","Albany County, New York","Rensselaer County, New York",1,0.0290397233435458,304204,159429
"3001","Otsego County, New York","Delaware County, New York",1,0.0287026775245346,62259,47980
"4493","Orange County, New York","New York County, New York",1,0.0276251096394171,372813,1585873
"1712","Tioga County, New York","Bradford County, Pennsylvania",1,0.0269731051344743,51125,62622
"3799","Kings County, New York","Queens County, New York",1,0.0269541262426638,2504700,2230722
"6401","Franklin County, New York","Essex County, New York",1,0.026434620825985,51599,39370
"3895","Bronx County, New York","Westchester County, New York",1,0.0261329802441398,1385108,949113
"2011","Chenango County, New York","Delaware County, New York",1,0.0260316579828437,50477,47980
"4097","Suffolk County, New York","New York County, New York",1,0.0260139953795159,1493350,1585873
"1207","Allegany County, New York","Steuben County, New York",1,0.0252523188820333,48946,98990
"5396","Saratoga County, New York","Warren County, New York",1,0.0250902749001626,219607,65707
"5103","Schenectady County, New York","Saratoga County, New York",1,0.0248114420883233,154727,219607
"4501","Orange County, New York","Rockland County, New York",1,0.0245163124676446,372813,311687
"4900","Warren County, New York","Washington County, New York",1,0.0240309251677903,65707,63216
"6500","Essex County, New York","Franklin County, New York",1,0.0235204470408941,39370,51599
"5488","Greene County, New York","Ulster County, New York",1,0.0229170476016334,49221,182493
"1121","Cattaraugus County, New York","Chautauqua County, New York",1,0.0222493370021291,80317,134905
"3426","Putnam County, New York","Fairfield County, Connecticut",1,0.0221241600641861,99710,916829
"2390","Cayuga County, New York","Tompkins County, New York",1,0.021780421363057,80026,101564
"5299","Albany County, New York","Schenectady County, New York",1,0.021771574338273,304204,154727
"796","Wyoming County, New York","Livingston County, New York",1,0.0206143992408967,42155,65393
"5695","Fulton County, New York","Schenectady County, New York",1,0.0204210260935333,55531,154727
"497","Ontario County, New York","Wayne County, New York",1,0.0203833930937358,107931,93772
"4502","Orange County, New York","Bergen County, New Jersey",1,0.0202621689694297,372813,905116
"5202","Rensselaer County, New York","Saratoga County, New York",1,0.0202221678615559,159429,219607
"4805","Washington County, New York","Albany County, New York",1,0.0200740318906606,63216,304204
"5697","Fulton County, New York","Albany County, New York",1,0.0200068430246169,55531,304204
"6400","Franklin County, New York","St. Lawrence County, New York",1,0.0191864183414407,51599,111944
"795","Wyoming County, New York","Monroe County, New York",1,0.0186691970110307,42155,744344
"5399","Saratoga County, New York","Rensselaer County, New York",1,0.0182052484665789,219607,159429
"3999","Nassau County, New York","Kings County, New York",1,0.0179450733539774,1339532,2504700
"5902","Columbia County, New York","Berkshire County, Massachusetts",1,0.0176873335869152,63096,131219
"3327","Westchester County, New York","Fairfield County, Connecticut",1,0.0175458559728926,949113,916829
"4489","Orange County, New York","Westchester County, New York",1,0.0169629277948999,372813,949113
"4295","Dutchess County, New York","New York County, New York",1,0.0167905932340128,297488,1585873
"4594","Rockland County, New York","Bronx County, New York",1,0.016490902732549,311687,1385108
"4292","Dutchess County, New York","Putnam County, New York",1,0.0164409993008121,297488,99710
"3179","Chautauqua County, New York","Erie County, New York",1,0.0163003595122494,134905,919040
"3702","New York County, New York","Bronx County, New York",1,0.0162503554824377,1585873,1385108
"402","Orleans County, New York","Genesee County, New York",1,0.0161602499825106,42883,60079
"4096","Suffolk County, New York","Queens County, New York",1,0.0160665617571232,1493350,2230722
"2010","Chenango County, New York","Otsego County, New York",1,0.0158289914218357,50477,62259
"717","Seneca County, New York","Cayuga County, New York",1,0.0155172902896372,35251,80026
"1800","Broome County, New York","Tioga County, New York",1,0.0153589232303091,200600,51125
"4814","Washington County, New York","Bennington County, Vermont",1,0.0150911161731207,63216,37125
"4982","Schoharie County, New York","Delaware County, New York",1,0.0150233594918929,32749,47980
"3405","Putnam County, New York","Bronx County, New York",1,0.0149734229264868,99710,1385108
"5879","Columbia County, New York","New York County, New York",1,0.0148979333079752,63096,1585873
"3898","Bronx County, New York","Queens County, New York",1,0.0146364038038911,1385108,2230722
"695","Seneca County, New York","Wayne County, New York",1,0.0146095146236986,35251,93772
"6266","St. Lawrence County, New York","Jefferson County, New York",1,0.0144089902093904,111944,116229
"2","Yates County, New York","Monroe County, New York",1,0.0143995581505444,25348,744344
"2499","Oneida County, New York","Madison County, New York",1,0.0143947070393992,234878,73442
"5894","Columbia County, New York","Rensselaer County, New York",1,0.0143273741600101,63096,159429
"5101","Schenectady County, New York","Rensselaer County, New York",1,0.014257369431321,154727,159429
"6301","St. Lawrence County, New York","Franklin County, New York",1,0.0142571285642821,111944,51599
"3701","New York County, New York","Kings County, New York",1,0.0142451507781518,1585873,2504700
"1700","Tioga County, New York","Chemung County, New York",1,0.0140831295843521,51125,88830
"1098","Cattaraugus County, New York","Wyoming County, New York",1,0.0138077866454175,80317,42155
"1000","Erie County, New York","Niagara County, New York",1,0.0137752437325905,919040,216469
"3900","Bronx County, New York","Kings County, New York",1,0.0136350378454243,1385108,2504700
"4904","Warren County, New York","Albany County, New York",1,0.0135449799869116,65707,304204
"302","Livingston County, New York","Ontario County, New York",1,0.0134723900111633,65393,107931
"5698","Fulton County, New York","Saratoga County, New York",1,0.0134519457600259,55531,219607
"4499","Orange County, New York","Dutchess County, New York",1,0.0134088671800608,372813,297488
"4302","Dutchess County, New York","Orange County, New York",1,0.0133719679449255,297488,372813
"2991","Otsego County, New York","Chenango County, New York",1,0.0132029104225895,62259,50477
"1302","Tompkins County, New York","Cortland County, New York",1,0.0131936512937655,101564,49336
"5301","Albany County, New York","Saratoga County, New York",1,0.0129091004720517,304204,219607
"3088","Delaware County, New York","Broome County, New York",1,0.0126719466444352,47980,200600
"5769","Hamilton County, New York","Herkimer County, New York",1,0.0124069478908189,4836,64519
"4300","Dutchess County, New York","Ulster County, New York",1,0.0123433550260851,297488,182493
"405","Orleans County, New York","Niagara County, New York",1,0.0121260173028939,42883,216469
"3409","Putnam County, New York","Dutchess County, New York",1,0.0119747267074516,99710,297488
"3700","New York County, New York","Queens County, New York",1,0.0118899811018915,1585873,2230722
"1598","Chemung County, New York","Tompkins County, New York",1,0.0117978160531352,88830,101564
"5792","Hamilton County, New York","Warren County, New York",1,0.0117866004962779,4836,65707
"4819","Washington County, New York","Rutland County, Vermont",1,0.0117375348013161,63216,61642
"5200","Rensselaer County, New York","Schenectady County, New York",1,0.0115098256904327,159429,154727
"5897","Columbia County, New York","Greene County, New York",1,0.0113794852288576,63096,49221
"502","Ontario County, New York","Seneca County, New York",1,0.0113220483457023,107931,35251
"406","Orleans County, New York","Erie County, New York",1,0.0111466082130448,42883,919040
"1885","Steuben County, New York","Livingston County, New York",1,0.0111223355894535,98990,65393
"1387","Schuyler County, New York","Yates County, New York",1,0.0109033418742845,18343,25348
"3501","Richmond County, New York","Queens County, New York",1,0.0108420625946707,468730,2230722
"5599","Montgomery County, New York","Saratoga County, New York",1,0.01063342559589,50219,219607
"2498","Oneida County, New York","Onondaga County, New York",1,0.0104564923066443,234878,467026
"803","Wyoming County, New York","Cattaraugus County, New York",1,0.0102478946744158,42155,80317
"4981","Schoharie County, New York","Otsego County, New York",1,0.0101987846957159,32749,62259
"602","Genesee County, New York","Wyoming County, New York",1,0.0101699429085038,60079,42155
"4196","Ulster County, New York","New York County, New York",1,0.00997846492742187,182493,1585873
"3113","Delaware County, New York","Sullivan County, New York",1,0.00987911629845769,47980,77547
"4804","Washington County, New York","Rensselaer County, New York",1,0.00972854973424449,63216,159429
"5799","Hamilton County, New York","Montgomery County, New York",1,0.00971877584780811,4836,50219
"19","Yates County, New York","Steuben County, New York",1,0.00966545684077639,25348,98990
"316","Livingston County, New York","Steuben County, New York",1,0.00957289006468582,65393,98990
"6600","Clinton County, New York","Essex County, New York",1,0.00955825053574907,82128,39370
"4495","Orange County, New York","Bronx County, New York",1,0.00945782470031893,372813,1385108
"2003","Chenango County, New York","Madison County, New York",1,0.00933098242764031,50477,73442
"5595","Montgomery County, New York","Schoharie County, New York",1,0.00931918198291483,50219,32749
"3603","Queens County, New York","Bronx County, New York",1,0.00896750020845269,2230722,1385108
"599","Genesee County, New York","Orleans County, New York",1,0.00893823132875048,60079,42883
"6485","Essex County, New York","Warren County, New York",1,0.00883921767843536,39370,65707
"696","Seneca County, New York","Monroe County, New York",1,0.00876570877421917,35251,744344
"203","Monroe County, New York","Ontario County, New York",1,0.00876342121384736,744344,107931
"1157","Cattaraugus County, New York","McKean County, Pennsylvania",1,0.00875281696278496,80317,43450
"598","Genesee County, New York","Livingston County, New York",1,0.00873849431581751,60079,65393
"715","Seneca County, New York","Onondaga County, New York",1,0.00870897279509801,35251,467026
"1192","Allegany County, New York","Livingston County, New York",1,0.00862174641441589,48946,65393
"3090","Delaware County, New York","Chenango County, New York",1,0.00856606919549812,47980,50477
"1197","Allegany County, New York","Wyoming County, New York",1,0.00851959302088015,48946,42155
"2604","Herkimer County, New York","Otsego County, New York",1,0.00846262341325811,64519,62259
"4399","Sullivan County, New York","Ulster County, New York",1,0.00845938592079642,77547,182493
"1503","Cortland County, New York","Broome County, New York",1,0.00837116912599319,49336,200600
"5395","Saratoga County, New York","Washington County, New York",1,0.00833306770731352,219607,63216
"1894","Steuben County, New York","Allegany County, New York",1,0.0081119304980301,98990,48946
"14","Yates County, New York","Schuyler County, New York",1,0.00800852138235758,25348,18343
"3534","Richmond County, New York","Hudson County, New Jersey",1,0.00800247477225695,468730,634266
"303","Livingston County, New York","Genesee County, New York",1,0.00789075283287202,65393,60079
"3238","Chautauqua County, New York","Erie County, Pennsylvania",1,0.00762758978540454,134905,280566
"3020","Otsego County, New York","Schoharie County, New York",1,0.0075972951701762,62259,32749
"2501","Oneida County, New York","Herkimer County, New York",1,0.00759117499297508,234878,64519
"1613","Chemung County, New York","Bradford County, Pennsylvania",1,0.00754249690419903,88830,62622
"2378","Cayuga County, New York","Wayne County, New York",1,0.00737260390373129,80026,93772
"2996","Otsego County, New York","Oneida County, New York",1,0.0072921184085835,62259,234878
"2298","Madison County, New York","Chenango County, New York",1,0.00721657906919746,73442,50477
"2384","Cayuga County, New York","Seneca County, New York",1,0.0072101566990728,80026,35251
"4394","Sullivan County, New York","New York County, New York",1,0.00720853160019085,77547,1585873
"5884","Columbia County, New York","Ulster County, New York",1,0.00698934956257132,63096,182493
