"","source","target","cluster","pct","srcpop","tarpop"
"305","Union County, North Carolina","Mecklenburg County, North Carolina",1,0.180513880333048,201292,919628
"6385","Stokes County, North Carolina","Forsyth County, North Carolina",1,0.170903567435286,47401,350670
"8208","Johnston County, North Carolina","Wake County, North Carolina",1,0.166374542569192,168878,900993
"3345","Madison County, North Carolina","Buncombe County, North Carolina",1,0.166345598150645,20764,238318
"8359","Franklin County, North Carolina","Wake County, North Carolina",1,0.165624639139544,60619,900993
"14593","Pender County, North Carolina","New Hanover County, North Carolina",1,0.163816381638164,52217,202667
"10337","Hoke County, North Carolina","Cumberland County, North Carolina",1,0.162208212642699,46952,319431
"608","Cabarrus County, North Carolina","Mecklenburg County, North Carolina",1,0.15573194914921,178011,919628
"6993","Randolph County, North Carolina","Guilford County, North Carolina",1,0.138523618714374,141752,488406
"6688","Davie County, North Carolina","Forsyth County, North Carolina",1,0.129970902036857,41240,350670
"6083","Yadkin County, North Carolina","Forsyth County, North Carolina",1,0.123053689527678,38406,350670
"16872","Camden County, North Carolina","Pasquotank County, North Carolina",1,0.122745490981964,9980,40661
"1363","Gaston County, North Carolina","Mecklenburg County, North Carolina",1,0.12084760730957,206086,919628
"1976","Alexander County, North Carolina","Catawba County, North Carolina",1,0.120517232109253,37198,154358
"13681","Pamlico County, North Carolina","Craven County, North Carolina",1,0.118685331710286,13144,103505
"8665","Orange County, North Carolina","Durham County, North Carolina",1,0.117435594651759,133801,267587
"6842","Rockingham County, North Carolina","Guilford County, North Carolina",1,0.113099751182683,93643,488406
"8514","Person County, North Carolina","Durham County, North Carolina",1,0.109846949118184,39464,267587
"16569","Perquimans County, North Carolina","Pasquotank County, North Carolina",1,0.10926930796105,13453,40661
"1212","Lincoln County, North Carolina","Mecklenburg County, North Carolina",1,0.104618922890181,78265,919628
"13984","Jones County, North Carolina","Craven County, North Carolina",1,0.103516202107751,10153,103505
"11400","Edgecombe County, North Carolina","Nash County, North Carolina",1,0.0979629367661621,56552,95840
"7296","Davidson County, North Carolina","Guilford County, North Carolina",1,0.0916330013875416,162878,488406
"3648","Henderson County, North Carolina","Buncombe County, North Carolina",1,0.0905845980888139,106740,238318
"14896","Brunswick County, North Carolina","New Hanover County, North Carolina",1,0.0904766780538206,107431,202667
"11553","Northampton County, North Carolina","Halifax County, North Carolina",1,0.0814063984795692,22099,54691
"2127","Caldwell County, North Carolina","Catawba County, North Carolina",1,0.0812848522805285,83029,154358
"10186","Harnett County, North Carolina","Cumberland County, North Carolina",1,0.0790997401419627,114678,319431
"7292","Davidson County, North Carolina","Forsyth County, North Carolina",1,0.0769962794238633,162878,350670
"2278","Burke County, North Carolina","Catawba County, North Carolina",1,0.0759855684618092,90912,154358
"7910","Granville County, North Carolina","Durham County, North Carolina",1,0.0737532545563789,59916,267587
"8967","Chatham County, North Carolina","Orange County, North Carolina",1,0.0710337768679632,63505,133801
"4104","Polk County, North Carolina","Spartanburg County, South Carolina",1,0.0700146270112141,20510,284307
"10171","Harnett County, North Carolina","Wake County, North Carolina",1,0.0692809431625944,114678,900993
"13224","Greene County, North Carolina","Pitt County, North Carolina",1,0.0691882782511001,21362,168148
"16112","Currituck County, North Carolina","Dare County, North Carolina",1,0.0656559221981569,23547,33920
"9425","Caswell County, North Carolina","Alamance County, North Carolina",1,0.064125806315612,23719,151131
"8812","Durham County, North Carolina","Wake County, North Carolina",1,0.0638147593119247,267587,900993
"1061","Iredell County, North Carolina","Mecklenburg County, North Carolina",1,0.0633102730232004,159437,919628
"3799","Haywood County, North Carolina","Buncombe County, North Carolina",1,0.062334846534318,59036,238318
"16111","Currituck County, North Carolina","Virginia Beach city, Virginia",1,0.0621310570348664,23547,437994
"17480","Gates County, North Carolina","Suffolk city, Virginia",1,0.0607526440928097,12197,84585
"760","Rowan County, North Carolina","Cabarrus County, North Carolina",1,0.0584419337128327,138428,178011
"13225","Greene County, North Carolina","Lenoir County, North Carolina",1,0.058421496114596,21362,59495
"1664","Anson County, North Carolina","Union County, North Carolina",1,0.0581119192518925,26948,201292
"7905","Granville County, North Carolina","Wake County, North Carolina",1,0.0570298417784899,59916,900993
"6234","Surry County, North Carolina","Forsyth County, North Carolina",1,0.056465733715201,73673,350670
"19153","Clay County, North Carolina","Cherokee County, North Carolina",1,0.0549730801926891,10587,27444
"16113","Currituck County, North Carolina","Chesapeake city, Virginia",1,0.0549114536883679,23547,222209
"16414","Tyrrell County, North Carolina","Dare County, North Carolina",1,0.0544588155207624,4407,33920
"910","Stanly County, North Carolina","Mecklenburg County, North Carolina",1,0.0544359164809771,60585,919628
"12008","Bertie County, North Carolina","Hertford County, North Carolina",1,0.0543182031763932,21282,24669
"14286","Carteret County, North Carolina","Craven County, North Carolina",1,0.0530322405933593,66469,103505
"6540","Forsyth County, North Carolina","Guilford County, North Carolina",1,0.0516496991473465,350670,488406
"8061","Wake County, North Carolina","Durham County, North Carolina",1,0.0516230425763574,900993,267587
"1520","Cleveland County, North Carolina","Gaston County, North Carolina",1,0.0515813944003752,98078,206086
"7601","Warren County, North Carolina","Vance County, North Carolina",1,0.0515449170322334,20972,45422
"1220","Lincoln County, North Carolina","Catawba County, North Carolina",1,0.0457292531783045,78265,154358
"8816","Durham County, North Carolina","Orange County, North Carolina",1,0.045360948028118,267587,133801
"9561","Alamance County, North Carolina","Guilford County, North Carolina",1,0.0450139283138469,151131,488406
"7753","Vance County, North Carolina","Granville County, North Carolina",1,0.0445599048919026,45422,59916
"13985","Jones County, North Carolina","Onslow County, North Carolina",1,0.0442233822515513,10153,177772
"1971","Alexander County, North Carolina","Iredell County, North Carolina",1,0.0441421581805473,37198,159437
"2737","Yancey County, North Carolina","Mitchell County, North Carolina",1,0.0428779885509036,17818,15579
"13526","Beaufort County, North Carolina","Pitt County, North Carolina",1,0.0422956929583953,47759,168148
"8963","Chatham County, North Carolina","Wake County, North Carolina",1,0.0420281867569483,63505,900993
"5623","Ashe County, North Carolina","Watauga County, North Carolina",1,0.0409075913639529,27281,51079
"12921","Martin County, North Carolina","Pitt County, North Carolina",1,0.0406447663742093,24505,168148
"10184","Harnett County, North Carolina","Lee County, North Carolina",1,0.0403303161896789,114678,57866
"11249","Nash County, North Carolina","Edgecombe County, North Carolina",1,0.0395033388981636,95840,56552
"13981","Jones County, North Carolina","Lenoir County, North Carolina",1,0.0382153058209396,10153,59495
"16868","Camden County, North Carolina","Currituck County, North Carolina",1,0.0380761523046092,9980,23547
"9571","Alamance County, North Carolina","Orange County, North Carolina",1,0.0377553248506263,151131,133801
"12601","Sampson County, North Carolina","Harnett County, North Carolina",1,0.0374580252557898,63431,114678
"911","Stanly County, North Carolina","Cabarrus County, North Carolina",1,0.0371709168936205,60585,178011
"12603","Sampson County, North Carolina","Cumberland County, North Carolina",1,0.0370166007157384,63431,319431
"8968","Chatham County, North Carolina","Durham County, North Carolina",1,0.0365325564916148,63505,267587
"3043","McDowell County, North Carolina","Buncombe County, North Carolina",1,0.0356698373188728,44996,238318
"9424","Caswell County, North Carolina","Danville city, Virginia",1,0.0355832876596821,23719,43055
"10020","Lee County, North Carolina","Wake County, North Carolina",1,0.0352365810666022,57866,900993
"15352","Bladen County, North Carolina","Columbus County, North Carolina",1,0.0349246945154874,35190,58098
"16571","Perquimans County, North Carolina","Chowan County, North Carolina",1,0.0347877796773954,13453,14793
"5472","Avery County, North Carolina","Watauga County, North Carolina",1,0.033488790245547,17797,51079
"4561","Swain County, North Carolina","Jackson County, North Carolina",1,0.0332594235033259,13981,40271
"1217","Lincoln County, North Carolina","Gaston County, North Carolina",1,0.0331821376094039,78265,206086
"15200","Columbus County, North Carolina","Horry County, South Carolina",1,0.0325656649110124,58098,269291
"2889","Mitchell County, North Carolina","McDowell County, North Carolina",1,0.0324796200012838,15579,44996
"11702","Halifax County, North Carolina","Nash County, North Carolina",1,0.0324367811888611,54691,95840
"759","Rowan County, North Carolina","Mecklenburg County, North Carolina",1,0.0321538995001011,138428,919628
"6389","Stokes County, North Carolina","Guilford County, North Carolina",1,0.0320246408303622,47401,488406
"6081","Yadkin County, North Carolina","Surry County, North Carolina",1,0.0319220955059105,38406,73673
"2741","Yancey County, North Carolina","Buncombe County, North Carolina",1,0.0317656302615333,17818,238318
