"","source","target","cluster","pct","srcpop","tarpop"
"1","Delaware County, Ohio","Franklin County, Ohio",1,0.24739687969968,174214,1163414
"2","Clermont County, Ohio","Hamilton County, Ohio",1,0.197884101883332,197363,802374
"3","Geauga County, Ohio","Cuyahoga County, Ohio",1,0.167118183083661,93389,1280122
"4","Carroll County, Ohio","Stark County, Ohio",1,0.15986960743515,28836,375586
"5","Greene County, Ohio","Montgomery County, Ohio",1,0.144015398612392,161573,535153
"6","Wood County, Ohio","Lucas County, Ohio",1,0.140491521101619,125488,441815
"7","Portage County, Ohio","Summit County, Ohio",1,0.110786214757866,161419,541781
"9","Fairfield County, Ohio","Franklin County, Ohio",1,0.20415172829032,146156,1163414
"11","Lake County, Ohio","Cuyahoga County, Ohio",1,0.156832912393878,230041,1280122
"12","Lawrence County, Ohio","Cabell County, West Virginia",1,0.101857485988791,62450,96319
"13","Putnam County, Ohio","Allen County, Ohio",1,0.0950462332241514,34499,106331
"14","Washington County, Ohio","Wood County, West Virginia",1,0.0899673022758911,61778,86956
"15","Belmont County, Ohio","Ohio County, West Virginia",1,0.0817897727272727,70400,44443
"17","Brown County, Ohio","Clermont County, Ohio",1,0.100031217945859,44846,197363
"18","Highland County, Ohio","Clinton County, Ohio",1,0.0709582692881231,43589,42040
"19","Crawford County, Ohio","Richland County, Ohio",1,0.068518180157135,43784,124475
"211","Fulton County, Ohio","Lucas County, Ohio",1,0.120801911096538,42698,441815
"22","Huron County, Ohio","Erie County, Ohio",1,0.0670512863515916,59626,77079
"23","Paulding County, Ohio","Defiance County, Ohio",1,0.0659223003976751,19614,39037
"110","Pickaway County, Ohio","Franklin County, Ohio",1,0.185015619950447,55698,1163414
"27","Columbiana County, Ohio","Mahoning County, Ohio",1,0.0627405161302288,107841,238823
"28","Auglaize County, Ohio","Shelby County, Ohio",1,0.0595225140917104,45949,49423
"29","Wyandot County, Ohio","Hancock County, Ohio",1,0.0595180190139288,22615,74782
"30","Harrison County, Ohio","Jefferson County, Ohio",1,0.0586232980332829,15864,69709
"311","Noble County, Ohio","Guernsey County, Ohio",1,0.0562649368385114,14645,40087
"32","Champaign County, Ohio","Clark County, Ohio",1,0.0560141656483029,40097,138333
"33","Vinton County, Ohio","Jackson County, Ohio",1,0.0547822850762933,13435,33225
"111","Medina County, Ohio","Cuyahoga County, Ohio",1,0.161595060696795,172332,1280122
"37","Preble County, Ohio","Butler County, Ohio",1,0.0534658149988171,42270,368130
"39","Miami County, Ohio","Montgomery County, Ohio",1,0.093818898405947,102506,535153
"40","Perry County, Ohio","Licking County, Ohio",1,0.0505574352432193,36058,166492
"112","Warren County, Ohio","Hamilton County, Ohio",1,0.116331990239453,212693,802374
"35","Brown County, Ohio","Hamilton County, Ohio",1,0.059737769254783,44846,802374
"45","Logan County, Ohio","Union County, Ohio",1,0.0468620524226962,45858,52300
"46","Seneca County, Ohio","Sandusky County, Ohio",1,0.0458366375892149,56745,60944
"42","Madison County, Ohio","Franklin County, Ohio",1,0.167583745827098,43435,1163414
"114","Tuscarawas County, Ohio","Stark County, Ohio",1,0.0578838219092264,92582,375586
"53","Morrow County, Ohio","Marion County, Ohio",1,0.0433571654176357,34827,66501
"54","Holmes County, Ohio","Wayne County, Ohio",1,0.0416843695416136,42366,114520
"55","Pike County, Ohio","Ross County, Ohio",1,0.041554913093455,28709,78064
"56","Meigs County, Ohio","Athens County, Ohio",1,0.0414387883887253,23770,64757
"57","Morgan County, Ohio","Muskingum County, Ohio",1,0.0408529294539657,15054,86074
"115","Van Wert County, Ohio","Allen County, Ohio",1,0.070066796548845,28744,106331
"51","Lorain County, Ohio","Cuyahoga County, Ohio",1,0.136021847914095,301356,1280122
"310","Geauga County, Ohio","Lake County, Ohio",1,0.0469969696645215,93389,230041
"44","Henry County, Ohio","Fulton County, Ohio",1,0.0535530746057062,28215,42698
"215","Lucas County, Ohio","Wood County, Ohio",1,0.0372599391147879,441815,125488
"70","Mercer County, Ohio","Auglaize County, Ohio",1,0.0570392512373205,40814,45949
"72","Paulding County, Ohio","Allen County, Indiana",1,0.0593453655552157,19614,355329
"118","Trumbull County, Ohio","Mahoning County, Ohio",1,0.058864924493134,210312,238823
"216","Mahoning County, Ohio","Trumbull County, Ohio",1,0.0492959220845563,238823,210312
"61","Hocking County, Ohio","Fairfield County, Ohio",1,0.0734513274336283,29380,146156
"52","Hocking County, Ohio","Franklin County, Ohio",1,0.0729067392784207,29380,1163414
"58","Darke County, Ohio","Miami County, Ohio",1,0.0425801091410336,52959,102506
"120","Montgomery County, Ohio","Greene County, Ohio",1,0.0412667031671316,535153,161573
"48","Darke County, Ohio","Montgomery County, Ohio",1,0.0378783587303386,52959,535153
"88","Fayette County, Ohio","Clinton County, Ohio",1,0.0339304168101964,29030,42040
"10","Licking County, Ohio","Franklin County, Ohio",1,0.159010643154025,166492,1163414
"81","Perry County, Ohio","Fairfield County, Ohio",1,0.0633701259082589,36058,146156
"73","Perry County, Ohio","Franklin County, Ohio",1,0.0571579122524821,36058,1163414
"82","Butler County, Ohio","Hamilton County, Ohio",1,0.121323988808301,368130,802374
"220","Warren County, Ohio","Butler County, Ohio",1,0.0467481299337543,212693,368130
"74","Butler County, Ohio","Warren County, Ohio",1,0.0361122429576508,368130,212693
"75","Ottawa County, Ohio","Lucas County, Ohio",1,0.0683112870522352,41428,441815
"64","Ottawa County, Ohio","Wood County, Ohio",1,0.0315487110167037,41428,125488
"411","Henry County, Ohio","Lucas County, Ohio",1,0.030976430976431,28215,441815
"1151","Ashland County, Ohio","Richland County, Ohio",1,0.0456162140800542,53139,124475
"319","Portage County, Ohio","Cuyahoga County, Ohio",1,0.0759080405652371,161419,1280122
"124","Summit County, Ohio","Cuyahoga County, Ohio",1,0.0641716856072841,541781,1280122
"412","Medina County, Ohio","Summit County, Ohio",1,0.0554453032518627,172332,541781
"126","Lawrence County, Ohio","Boyd County, Kentucky",1,0.044515612489992,62450,49542
"127","Monroe County, Ohio","Wetzel County, West Virginia",1,0.020215817511269,14642,16583
"129","Hardin County, Ohio","Logan County, Ohio",1,0.0247364152473642,32058,45858
"320","Seneca County, Ohio","Hancock County, Ohio",1,0.0475636619966517,56745,74782
"223","Wyandot County, Ohio","Seneca County, Ohio",1,0.0267963740879947,22615,56745
"134","Gallia County, Ohio","Mason County, West Virginia",1,0.0193638068145083,30934,27324
"321","Meigs County, Ohio","Gallia County, Ohio",1,0.0352965923432899,23770,30934
"224","Meigs County, Ohio","Mason County, West Virginia",1,0.0327724021876315,23770,27324
"225","Vinton County, Ohio","Ross County, Ohio",1,0.0295496836620767,13435,78064
"322","Jackson County, Ohio","Ross County, Ohio",1,0.0247404063205418,33225,78064
"145","Defiance County, Ohio","Williams County, Ohio",1,0.0403207213669083,39037,37642
"66","Clark County, Ohio","Montgomery County, Ohio",1,0.0474001142171427,138333,535153
"77","Clark County, Ohio","Greene County, Ohio",1,0.0324506806040496,138333,161573
"324","Harrison County, Ohio","Belmont County, Ohio",1,0.0209909228441755,15864,70400
"227","Jefferson County, Ohio","Belmont County, Ohio",1,0.016568879197808,69709,70400
"159","Guernsey County, Ohio","Muskingum County, Ohio",1,0.0438047247237259,40087,86074
"1210","Ashtabula County, Ohio","Lake County, Ohio",1,0.0474201207917475,101497,230041
"141","Ashtabula County, Ohio","Cuyahoga County, Ohio",1,0.0225819482349232,101497,1280122
"136","Summit County, Ohio","Portage County, Ohio",1,0.0178780725053112,541781,161419
"137","Ashtabula County, Ohio","Geauga County, Ohio",1,0.0174192340660315,101497,93389
"78","Lake County, Ohio","Geauga County, Ohio",1,0.0139627283832013,230041,93389
"515","Morrow County, Ohio","Richland County, Ohio",1,0.0385907485571539,34827,124475
"326","Crawford County, Ohio","Marion County, Ohio",1,0.0230677873195688,43784,66501
"138","Richland County, Ohio","Ashland County, Ohio",1,0.0154649528017674,124475,53139
"68","Morrow County, Ohio","Crawford County, Ohio",1,0.0133517098802653,34827,43784
"420","Auglaize County, Ohio","Allen County, Ohio",1,0.0757579055039283,45949,106331
"327","Shelby County, Ohio","Auglaize County, Ohio",1,0.0213463367258159,49423,45949
"610","Auglaize County, Ohio","Mercer County, Ohio",1,0.0169971054865177,45949,40814
"710","Mercer County, Ohio","Shelby County, Ohio",1,0.0121036899103249,40814,49423
"142","Knox County, Ohio","Franklin County, Ohio",1,0.053659657589337,60921,1163414
"161","Knox County, Ohio","Licking County, Ohio",1,0.0201736675366458,60921,166492
"231","Franklin County, Ohio","Delaware County, Ohio",1,0.0200392981346279,1163414,174214
"151","Knox County, Ohio","Delaware County, Ohio",1,0.0155447218528914,60921,174214
"517","Fairfield County, Ohio","Licking County, Ohio",1,0.0149703057007581,146156,166492
"711","Hocking County, Ohio","Pickaway County, Ohio",1,0.0146698434309054,29380,55698
"329","Coshocton County, Ohio","Holmes County, Ohio",1,0.0186986802525677,36901,42366
"146","Wayne County, Ohio","Holmes County, Ohio",1,0.0108190709046455,114520,42366
"518","Hamilton County, Ohio","Butler County, Ohio",1,0.0248749336344398,802374,368130
"152","Adams County, Ohio","Clermont County, Ohio",1,0.0224168126094571,28550,197363
"612","Clermont County, Ohio","Warren County, Ohio",1,0.0188991857643023,197363,212693
"148","Adams County, Ohio","Hamilton County, Ohio",1,0.0181786339754816,28550,802374
"810","Clermont County, Ohio","Butler County, Ohio",1,0.0159908392150504,197363,368130
"162","Adams County, Ohio","Brown County, Ohio",1,0.013800350262697,28550,44846
"330","Hamilton County, Ohio","Warren County, Ohio",1,0.0135672392176217,802374,212693
"422","Hamilton County, Ohio","Clermont County, Ohio",1,0.00932981377761493,802374,197363
"811","Carroll County, Ohio","Tuscarawas County, Ohio",1,0.0296157580801776,28836,92582
"519","Coshocton County, Ohio","Tuscarawas County, Ohio",1,0.0277770250128723,36901,92582
"613","Tuscarawas County, Ohio","Holmes County, Ohio",1,0.0194638266617701,92582,42366
"234","Wayne County, Ohio","Stark County, Ohio",1,0.0163377575969263,114520,375586
"97","Scioto County, Ohio","Pike County, Ohio",1,0.0208681870212204,79499,28709
"812","Pike County, Ohio","Scioto County, Ohio",1,0.0169284893239054,28709,79499
"520","Ross County, Ohio","Pike County, Ohio",1,0.0147955523672884,78064,28709
"424","Jackson County, Ohio","Pike County, Ohio",1,0.0135139202407825,33225,28709
"614","Pike County, Ohio","Jackson County, Ohio",1,0.013166602807482,28709,33225
"715","Morgan County, Ohio","Washington County, Ohio",1,0.0414507772020725,15054,61778
"236","Noble County, Ohio","Washington County, Ohio",1,0.0132468419255719,14645,61778
"615","Muskingum County, Ohio","Guernsey County, Ohio",1,0.00852754606501382,86074,40087
"425","Guernsey County, Ohio","Noble County, Ohio",1,0.00798263776286577,40087,14645
"522","Columbiana County, Ohio","Beaver County, Pennsylvania",1,0.0204838604983262,107841,170539
