"","source","target","cluster","pct","srcpop","tarpop"
"3536","Delaware County, Ohio","Franklin County, Ohio",1,0.24739687969968,174214,1163414
"3671","Fairfield County, Ohio","Franklin County, Ohio",1,0.20415172829032,146156,1163414
"1768","Clermont County, Ohio","Hamilton County, Ohio",1,0.197884101883332,197363,802374
"3265","Pickaway County, Ohio","Franklin County, Ohio",1,0.185015619950447,55698,1163414
"3806","Madison County, Ohio","Franklin County, Ohio",1,0.167583745827098,43435,1163414
"8841","Geauga County, Ohio","Cuyahoga County, Ohio",1,0.167118183083661,93389,1280122
"8706","Medina County, Ohio","Cuyahoga County, Ohio",1,0.161595060696795,172332,1280122
"8296","Carroll County, Ohio","Stark County, Ohio",1,0.15986960743515,28836,375586
"3941","Licking County, Ohio","Franklin County, Ohio",1,0.159010643154025,166492,1163414
"9112","Lake County, Ohio","Cuyahoga County, Ohio",1,0.156832912393878,230041,1280122
"2448","Greene County, Ohio","Montgomery County, Ohio",1,0.144015398612392,161573,535153
"5441","Wood County, Ohio","Lucas County, Ohio",1,0.140491521101619,125488,441815
"9247","Lorain County, Ohio","Cuyahoga County, Ohio",1,0.136021847914095,301356,1280122
"3130","Union County, Ohio","Franklin County, Ohio",1,0.129560229445507,52300,1163414
"1903","Butler County, Ohio","Hamilton County, Ohio",1,0.121323988808301,368130,802374
"5712","Fulton County, Ohio","Lucas County, Ohio",1,0.120801911096538,42698,441815
"1497","Warren County, Ohio","Hamilton County, Ohio",1,0.116331990239453,212693,802374
"8568","Portage County, Ohio","Summit County, Ohio",1,0.110786214757866,161419,541781
"14281","Lawrence County, Ohio","Cabell County, West Virginia",1,0.101857485988791,62450,96319
"2039","Brown County, Ohio","Clermont County, Ohio",1,0.100031217945859,44846,197363
"409","Putnam County, Ohio","Allen County, Ohio",1,0.0950462332241514,34499,106331
"2583","Miami County, Ohio","Montgomery County, Ohio",1,0.093818898405947,102506,535153
"6800","Washington County, Ohio","Wood County, West Virginia",1,0.0899673022758911,61778,86956
"2177","Preble County, Ohio","Montgomery County, Ohio",1,0.0882422521883132,42270,535153
"4076","Morrow County, Ohio","Franklin County, Ohio",1,0.0834697217675941,34827,1163414
"12104","Belmont County, Ohio","Ohio County, West Virginia",1,0.0817897727272727,70400,44443
"8571","Portage County, Ohio","Cuyahoga County, Ohio",1,0.0759080405652371,161419,1280122
"680","Auglaize County, Ohio","Allen County, Ohio",1,0.0757579055039283,45949,106331
"4213","Hocking County, Ohio","Fairfield County, Ohio",1,0.0734513274336283,29380,146156
"4211","Hocking County, Ohio","Franklin County, Ohio",1,0.0729067392784207,29380,1163414
"7481","Highland County, Ohio","Clinton County, Ohio",1,0.0709582692881231,43589,42040
"274","Van Wert County, Ohio","Allen County, Ohio",1,0.070066796548845,28744,106331
"5168","Crawford County, Ohio","Richland County, Ohio",1,0.068518180157135,43784,124475
"5847","Ottawa County, Ohio","Lucas County, Ohio",1,0.0683112870522352,41428,441815
"9793","Huron County, Ohio","Erie County, Ohio",1,0.0670512863515916,59626,77079
"6257","Paulding County, Ohio","Defiance County, Ohio",1,0.0659223003976751,19614,39037
"4077","Morrow County, Ohio","Delaware County, Ohio",1,0.0644614810348293,34827,174214
"8436","Summit County, Ohio","Cuyahoga County, Ohio",1,0.0641716856072841,541781,1280122
"4348","Perry County, Ohio","Fairfield County, Ohio",1,0.0633701259082589,36058,146156
"10472","Columbiana County, Ohio","Mahoning County, Ohio",1,0.0627405161302288,107841,238823
"2038","Brown County, Ohio","Hamilton County, Ohio",1,0.059737769254783,44846,802374
"681","Auglaize County, Ohio","Shelby County, Ohio",1,0.0595225140917104,45949,49423
"1","Wyandot County, Ohio","Hancock County, Ohio",1,0.0595180190139288,22615,74782
"6258","Paulding County, Ohio","Allen County, Indiana",1,0.0593453655552157,19614,355329
"10201","Trumbull County, Ohio","Mahoning County, Ohio",1,0.058864924493134,210312,238823
"9520","Harrison County, Ohio","Jefferson County, Ohio",1,0.0586232980332829,15864,69709
"8025","Tuscarawas County, Ohio","Stark County, Ohio",1,0.0578838219092264,92582,375586
"8162","Stark County, Ohio","Summit County, Ohio",1,0.0575873435112065,375586,541781
"1502","Warren County, Ohio","Montgomery County, Ohio",1,0.0575148218324063,212693,535153
"4346","Perry County, Ohio","Franklin County, Ohio",1,0.0571579122524821,36058,1163414
"9510","Harrison County, Ohio","Tuscarawas County, Ohio",1,0.0571104387291982,15864,92582
"951","Mercer County, Ohio","Auglaize County, Ohio",1,0.0570392512373205,40814,45949
"7073","Noble County, Ohio","Guernsey County, Ohio",1,0.0562649368385114,14645,40087
"2856","Champaign County, Ohio","Clark County, Ohio",1,0.0560141656483029,40097,138333
"8703","Medina County, Ohio","Summit County, Ohio",1,0.0554453032518627,172332,541781
"10745","Vinton County, Ohio","Jackson County, Ohio",1,0.0547822850762933,13435,33225
"4481","Knox County, Ohio","Franklin County, Ohio",1,0.053659657589337,60921,1163414
"5983","Henry County, Ohio","Fulton County, Ohio",1,0.0535530746057062,28215,42698
"2175","Preble County, Ohio","Butler County, Ohio",1,0.0534658149988171,42270,368130
"4350","Perry County, Ohio","Licking County, Ohio",1,0.0505574352432193,36058,166492
"407","Putnam County, Ohio","Hancock County, Ohio",1,0.0495376677584858,34499,74782
"10336","Mahoning County, Ohio","Trumbull County, Ohio",1,0.0492959220845563,238823,210312
"1082","Seneca County, Ohio","Hancock County, Ohio",1,0.0475636619966517,56745,74782
"9653","Ashtabula County, Ohio","Lake County, Ohio",1,0.0474201207917475,101497,230041
"2718","Clark County, Ohio","Montgomery County, Ohio",1,0.0474001142171427,138333,535153
"8842","Geauga County, Ohio","Lake County, Ohio",1,0.0469969696645215,93389,230041
"4614","Logan County, Ohio","Union County, Ohio",1,0.0468620524226962,45858,52300
"1499","Warren County, Ohio","Butler County, Ohio",1,0.0467481299337543,212693,368130
"1089","Seneca County, Ohio","Sandusky County, Ohio",1,0.0458366375892149,56745,60944
"5303","Ashland County, Ohio","Richland County, Ohio",1,0.0456162140800542,53139,124475
"14282","Lawrence County, Ohio","Boyd County, Kentucky",1,0.044515612489992,62450,49542
"7209","Guernsey County, Ohio","Muskingum County, Ohio",1,0.0438047247237259,40087,86074
"1355","Hardin County, Ohio","Allen County, Ohio",1,0.0436396531287042,32058,106331
"4085","Morrow County, Ohio","Marion County, Ohio",1,0.0433571654176357,34827,66501
"2990","Darke County, Ohio","Miami County, Ohio",1,0.0425801091410336,52959,102506
