"","source","target","cluster","pct","srcpop","tarpop"
"1","Wagoner County, Oklahoma","Tulsa County, Oklahoma",1,0.262954094547445,73085,603403
"2","Canadian County, Oklahoma","Oklahoma County, Oklahoma",1,0.253459810803092,115541,718633
"4","Rogers County, Oklahoma","Tulsa County, Oklahoma",1,0.232104021632817,86905,603403
"6","Logan County, Oklahoma","Oklahoma County, Oklahoma",1,0.217358057732747,41848,718633
"7","Cotton County, Oklahoma","Comanche County, Oklahoma",1,0.109801388664621,6193,124098
"8","Beaver County, Oklahoma","Seward County, Kansas",1,0.105926188786373,5636,22952
"9","Sequoyah County, Oklahoma","Sebastian County, Arkansas",1,0.095232478592154,42391,125744
"10","Love County, Oklahoma","Carter County, Oklahoma",1,0.0919027910431922,9423,47557
"11","McClain County, Oklahoma","Cleveland County, Oklahoma",1,0.090911725497015,34506,255755
"12","Grant County, Oklahoma","Garfield County, Oklahoma",1,0.090346808040645,4527,60580
"13","Noble County, Oklahoma","Payne County, Oklahoma",1,0.0860652192716893,11561,77350
"14","Ellis County, Oklahoma","Woodward County, Oklahoma",1,0.0831125030113226,4151,20081
"15","Nowata County, Oklahoma","Montgomery County, Kansas",1,0.078872437357631,10536,35471
"16","Roger Mills County, Oklahoma","Beckham County, Oklahoma",1,0.0784206196874143,3647,22119
"19","Creek County, Oklahoma","Tulsa County, Oklahoma",1,0.197021452970686,69967,603403
"51","Cleveland County, Oklahoma","Oklahoma County, Oklahoma",1,0.206447576782468,255755,718633
"31","McClain County, Oklahoma","Oklahoma County, Oklahoma",1,0.12189184489654,34506,718633
"25","Washita County, Oklahoma","Custer County, Oklahoma",1,0.0548628428927681,11629,27469
"26","Bryan County, Oklahoma","Grayson County, Texas",1,0.052315164089023,42416,120877
"27","Coal County, Oklahoma","Pontotoc County, Oklahoma",1,0.050464135021097,5925,37492
"28","McIntosh County, Oklahoma","Muskogee County, Oklahoma",1,0.0504147738494963,20252,70990
"29","Delaware County, Oklahoma","Benton County, Arkansas",1,0.0491720297924651,41487,221339
"33","Osage County, Oklahoma","Tulsa County, Oklahoma",1,0.168920626895854,47472,603403
"35","Le Flore County, Oklahoma","Sebastian County, Arkansas",1,0.0845704985709749,50384,125744
"36","Greer County, Oklahoma","Jackson County, Oklahoma",1,0.0431158839557621,6239,26446
"37","Lincoln County, Oklahoma","Pottawatomie County, Oklahoma",1,0.0415195635047997,34273,69442
"38","Latimer County, Oklahoma","Pittsburg County, Oklahoma",1,0.0405235789851174,11154,45837
"39","Jefferson County, Oklahoma","Stephens County, Oklahoma",1,0.0363102595797281,6472,45048
"411","Harper County, Oklahoma","Woodward County, Oklahoma",1,0.0691994572591588,3685,20081
"61","Grady County, Oklahoma","Oklahoma County, Oklahoma",1,0.107894184738037,52431,718633
"48","Major County, Oklahoma","Blaine County, Oklahoma",1,0.0294938222399362,7527,11943
"49","Adair County, Oklahoma","Cherokee County, Oklahoma",1,0.0292289379711678,22683,46987
"54","Pawnee County, Oklahoma","Tulsa County, Oklahoma",1,0.111479761114798,16577,603403
"112","Nowata County, Oklahoma","Washington County, Oklahoma",1,0.0475512528473804,10536,50976
"57","Pushmataha County, Oklahoma","Choctaw County, Oklahoma",1,0.0253197372969236,11572,15205
"58","Alfalfa County, Oklahoma","Woods County, Oklahoma",1,0.0223325062034739,5642,8878
"113","Tillman County, Oklahoma","Comanche County, Oklahoma",1,0.041041041041041,7992,124098
"611","Cimarron County, Oklahoma","Texas County, Oklahoma",1,0.0218181818181818,2475,20640
"62","Ottawa County, Oklahoma","Jasper County, Missouri",1,0.0213200200954534,31848,117404
"210","Washita County, Oklahoma","Beckham County, Oklahoma",1,0.0668157193223837,11629,22119
"211","Cotton County, Oklahoma","Wichita County, Texas",1,0.0421443565315679,6193,131500
"69","Okfuskee County, Oklahoma","Okmulgee County, Oklahoma",1,0.0196046263637109,12191,40069
"116","Seminole County, Oklahoma","Pottawatomie County, Oklahoma",1,0.0372812181147477,25482,69442
"73","Atoka County, Oklahoma","Bryan County, Oklahoma",1,0.0326470173459315,14182,42416
