"","source","target","cluster","pct","srcpop","tarpop"
"2269","Wagoner County, Oklahoma","Tulsa County, Oklahoma",1,0.262954094547445,73085,603403
"4410","Canadian County, Oklahoma","Oklahoma County, Oklahoma",1,0.253459810803092,115541,718633
"2520","Rogers County, Oklahoma","Tulsa County, Oklahoma",1,0.232104021632817,86905,603403
"4535","Logan County, Oklahoma","Oklahoma County, Oklahoma",1,0.217358057732747,41848,718633
"4660","Cleveland County, Oklahoma","Oklahoma County, Oklahoma",1,0.206447576782468,255755,718633
"2645","Creek County, Oklahoma","Tulsa County, Oklahoma",1,0.197021452970686,69967,603403
"2770","Osage County, Oklahoma","Tulsa County, Oklahoma",1,0.168920626895854,47472,603403
"4785","McClain County, Oklahoma","Oklahoma County, Oklahoma",1,0.12189184489654,34506,718633
"2895","Pawnee County, Oklahoma","Tulsa County, Oklahoma",1,0.111479761114798,16577,603403
"5797","Cotton County, Oklahoma","Comanche County, Oklahoma",1,0.109801388664621,6193,124098
"4910","Grady County, Oklahoma","Oklahoma County, Oklahoma",1,0.107894184738037,52431,718633
"12222","Beaver County, Oklahoma","Seward County, Kansas",1,0.105926188786373,5636,22952
"3020","Okmulgee County, Oklahoma","Tulsa County, Oklahoma",1,0.095260675335047,40069,603403
"9199","Sequoyah County, Oklahoma","Sebastian County, Arkansas",1,0.095232478592154,42391,125744
"5035","Lincoln County, Oklahoma","Oklahoma County, Oklahoma",1,0.0950310740232836,34273,718633
"6427","Love County, Oklahoma","Carter County, Oklahoma",1,0.0919027910431922,9423,47557
"4788","McClain County, Oklahoma","Cleveland County, Oklahoma",1,0.090911725497015,34506,255755
"1261","Grant County, Oklahoma","Garfield County, Oklahoma",1,0.090346808040645,4527,60580
"5418","Noble County, Oklahoma","Payne County, Oklahoma",1,0.0860652192716893,11561,77350
"9450","Le Flore County, Oklahoma","Sebastian County, Arkansas",1,0.0845704985709749,50384,125744
"126","Ellis County, Oklahoma","Woodward County, Oklahoma",1,0.0831125030113226,4151,20081
"2017","Nowata County, Oklahoma","Montgomery County, Kansas",1,0.078872437357631,10536,35471
"757","Roger Mills County, Oklahoma","Beckham County, Oklahoma",1,0.0784206196874143,3647,22119
"4159","Pottawatomie County, Oklahoma","Oklahoma County, Oklahoma",1,0.0738746003859336,69442,718633
"251","Harper County, Oklahoma","Woodward County, Oklahoma",1,0.0691994572591588,3685,20081
"632","Washita County, Oklahoma","Beckham County, Oklahoma",1,0.0668157193223837,11629,22119
"633","Washita County, Oklahoma","Custer County, Oklahoma",1,0.0548628428927681,11629,27469
"1136","Major County, Oklahoma","Garfield County, Oklahoma",1,0.0546034276604225,7527,60580
"8190","Bryan County, Oklahoma","Grayson County, Texas",1,0.052315164089023,42416,120877
"7812","Coal County, Oklahoma","Pontotoc County, Oklahoma",1,0.050464135021097,5925,37492
"3402","McIntosh County, Oklahoma","Muskogee County, Oklahoma",1,0.0504147738494963,20252,70990
"3145","Mayes County, Oklahoma","Tulsa County, Oklahoma",1,0.0496618919508471,41259,603403
"3655","Delaware County, Oklahoma","Benton County, Arkansas",1,0.0491720297924651,41487,221339
"2016","Nowata County, Oklahoma","Washington County, Oklahoma",1,0.0475512528473804,10536,50976
"5160","Kingfisher County, Oklahoma","Oklahoma County, Oklahoma",1,0.044632167087934,15034,718633
"7560","Greer County, Oklahoma","Jackson County, Oklahoma",1,0.0431158839557621,6239,26446
"5796","Cotton County, Oklahoma","Wichita County, Texas",1,0.0421443565315679,6193,131500
"5034","Lincoln County, Oklahoma","Pottawatomie County, Oklahoma",1,0.0415195635047997,34273,69442
"6048","Tillman County, Oklahoma","Comanche County, Oklahoma",1,0.041041041041041,7992,124098
"6678","Jefferson County, Oklahoma","Carter County, Oklahoma",1,0.0407911001236094,6472,47557
"9702","Latimer County, Oklahoma","Pittsburg County, Oklahoma",1,0.0405235789851174,11154,45837
"3906","Adair County, Oklahoma","Benton County, Arkansas",1,0.0379138561918617,22683,221339
"4033","Seminole County, Oklahoma","Pottawatomie County, Oklahoma",1,0.0372812181147477,25482,69442
"3527","Cherokee County, Oklahoma","Muskogee County, Oklahoma",1,0.0364994572966991,46987,70990
"6676","Jefferson County, Oklahoma","Stephens County, Oklahoma",1,0.0363102595797281,6472,45048
