"","source","target","cluster","pct","srcpop","tarpop"
"337","Polk County, Oregon","Marion County, Oregon",2,0.169224036178932,75403,315335
"168","Clackamas County, Oregon","Multnomah County, Oregon",2,0.140080108087406,375992,735334
"57","Washington County, Oregon","Multnomah County, Oregon",2,0.100951464008608,529710,735334
"2240","Morrow County, Oregon","Umatilla County, Oregon",2,0.100778662847937,11173,75889
"223","Columbia County, Oregon","Multnomah County, Oregon",2,0.0960872120119147,49351,735334
"1904","Crook County, Oregon","Deschutes County, Oregon",2,0.0804652493087997,20978,157733
"1","Yamhill County, Oregon","Washington County, Oregon",2,0.0656699565493533,99193,529710
"1793","Jefferson County, Oregon","Deschutes County, Oregon",2,0.0627532228360958,21720,157733
"222","Columbia County, Oregon","Washington County, Oregon",2,0.0534740937367024,49351,529710
"167","Clackamas County, Oregon","Washington County, Oregon",2,0.0516553543692419,375992,529710
"449","Linn County, Oregon","Benton County, Oregon",2,0.0501748491497532,116672,85579
"504","Benton County, Oregon","Linn County, Oregon",2,0.0495565500882226,85579,116672
"112","Multnomah County, Oregon","Washington County, Oregon",2,0.0432728528804598,735334,529710
"113","Multnomah County, Oregon","Clackamas County, Oregon",2,0.037782830659265,735334,375992
"448","Linn County, Oregon","Marion County, Oregon",2,0.0359983543609435,116672,315335
"672","Sherman County, Oregon","Wasco County, Oregon",2,0.0356940509915014,1765,25213
"1289","Josephine County, Oregon","Jackson County, Oregon",2,0.0356292239430319,82713,203206
"58","Washington County, Oregon","Clackamas County, Oregon",2,0.0253893639916181,529710,375992
"618","Wasco County, Oregon","Hood River County, Oregon",2,0.0253837306151588,25213,22346
"450","Linn County, Oregon","Lane County, Oregon",2,0.02394747668678,116672,351715
"2184","Umatilla County, Oregon","Walla Walla County, Washington",2,0.0216500415079919,75889,58781
"225","Columbia County, Oregon","Cowlitz County, Washington",2,0.0205061700877388,49351,102410
"2","Yamhill County, Oregon","Multnomah County, Oregon",2,0.0190436825179196,99193,735334
"1232","Curry County, Oregon","Del Norte County, California",2,0.018780182436058,22364,28610
"7","Yamhill County, Oregon","Marion County, Oregon",2,0.0178339197322392,99193,315335
"727","Hood River County, Oregon","Wasco County, Oregon",2,0.0175870401861631,22346,25213
"389","Marion County, Oregon","Clackamas County, Oregon",2,0.0175337339654653,315335,375992
"2576","Malheur County, Oregon","Payette County, Idaho",2,0.0159039376616741,31313,22623
"331","Polk County, Oregon","Yamhill County, Oregon",2,0.0149463549195655,75403,99193
"387","Marion County, Oregon","Washington County, Oregon",2,0.0145749758193667,315335,529710
"3","Yamhill County, Oregon","Clackamas County, Oregon",2,0.0142953635841239,99193,375992
"1513","Wheeler County, Oregon","Gilliam County, Oregon",2,0.0131852879944483,1441,1871
"718","Hood River County, Oregon","Multnomah County, Oregon",2,0.0130672156090576,22346,735334
"503","Benton County, Oregon","Marion County, Oregon",2,0.0127718248635763,85579,315335
"172","Clackamas County, Oregon","Marion County, Oregon",2,0.0118140811506628,375992,315335
"392","Marion County, Oregon","Polk County, Oregon",2,0.0109375743257171,315335,75403
"505","Benton County, Oregon","Lane County, Oregon",2,0.0108204115495624,85579,351715
"1344","Jackson County, Oregon","Josephine County, Oregon",2,0.0107821619440371,203206,82713
"388","Marion County, Oregon","Multnomah County, Oregon",2,0.0107694991041274,315335,735334
"2185","Umatilla County, Oregon","Morrow County, Oregon",2,0.0103967636943431,75889,11173
"339","Polk County, Oregon","Benton County, Oregon",2,0.0101985332148588,75403,85579
"781","Douglas County, Oregon","Lane County, Oregon",2,0.0100123529029322,107667,351715
"2577","Malheur County, Oregon","Canyon County, Idaho",2,0.00986810589850861,31313,188923
"125","Multnomah County, Oregon","Clark County, Washington",2,0.00984586596023032,735334,425363
"6","Yamhill County, Oregon","Polk County, Oregon",2,0.00900265139677195,99193,75403
"338","Polk County, Oregon","Linn County, Oregon",2,0.00869991910136201,75403,116672
"1794","Jefferson County, Oregon","Crook County, Oregon",2,0.00842541436464088,21720,20978
"1009","Tillamook County, Oregon","Lincoln County, Oregon",2,0.00835643564356436,25250,46034
"393","Marion County, Oregon","Linn County, Oregon",2,0.0079788161796185,315335,116672
"2186","Umatilla County, Oregon","Benton County, Washington",2,0.00768227279315843,75889,175177
"731","Hood River County, Oregon","Klickitat County, Washington",2,0.00729437035711089,22346,20318
"1961","Wallowa County, Oregon","Union County, Oregon",2,0.00713470319634703,7008,25748
"2578","Malheur County, Oregon","Ada County, Idaho",2,0.00696196467920672,31313,392365
"2017","Union County, Oregon","Baker County, Oregon",2,0.00679664439956501,25748,16134
"237","Columbia County, Oregon","Clatsop County, Oregon",2,0.00613969321796924,49351,37039
"621","Wasco County, Oregon","Klickitat County, Washington",2,0.00598897394201404,25213,20318
"1008","Tillamook County, Oregon","Clatsop County, Oregon",2,0.00574257425742574,25250,37039
"333","Polk County, Oregon","Multnomah County, Oregon",2,0.00541092529474955,75403,735334
"180","Clackamas County, Oregon","Clark County, Washington",2,0.00513840720015319,375992,425363
"224","Columbia County, Oregon","Clackamas County, Oregon",2,0.00504549046625195,49351,375992
"70","Washington County, Oregon","Clark County, Washington",2,0.00473655396348946,529710,425363
"940","Clatsop County, Oregon","Columbia County, Oregon",2,0.00469775101919598,37039,49351
"235","Columbia County, Oregon","Clark County, Washington",2,0.00453891511823469,49351,425363
"676","Sherman County, Oregon","Klickitat County, Washington",2,0.00453257790368272,1765,20318
"1738","Klamath County, Oregon","Deschutes County, Oregon",2,0.00450436878577885,66380,157733
"1849","Deschutes County, Oregon","Crook County, Oregon",2,0.00435546144433949,157733,20978
"1736","Klamath County, Oregon","Siskiyou County, California",2,0.00424826755046701,66380,44900
"1115","Coos County, Oregon","Douglas County, Oregon",2,0.00423520454293102,63043,107667
"332","Polk County, Oregon","Washington County, Oregon",2,0.00416429054546901,75403,529710
"1514","Wheeler County, Oregon","Grant County, Oregon",2,0.00416377515614157,1441,7445
"608","Wasco County, Oregon","Multnomah County, Oregon",2,0.00412485622496331,25213,735334
"56","Washington County, Oregon","Yamhill County, Oregon",2,0.00394933076589077,529710,99193
"2241","Morrow County, Oregon","Benton County, Washington",2,0.00393806497807214,11173,175177
"1231","Curry County, Oregon","Coos County, Oregon",2,0.003934895367555,22364,63043
"1903","Crook County, Oregon","Jefferson County, Oregon",2,0.00367051196491563,20978,21720
"386","Marion County, Oregon","Yamhill County, Oregon",2,0.00360568918768928,315335,99193
"2072","Baker County, Oregon","Union County, Oregon",2,0.00359489277302591,16134,25748
"559","Lane County, Oregon","Linn County, Oregon",2,0.00358813243677409,351715,116672
"2575","Malheur County, Oregon","Washington County, Idaho",2,0.00354485357519241,31313,10198
"334","Polk County, Oregon","Clackamas County, Oregon",2,0.00354097317082875,75403,375992
"1848","Deschutes County, Oregon","Jefferson County, Oregon",2,0.00344252629443427,157733,21720
"1280","Josephine County, Oregon","Douglas County, Oregon",2,0.00317966945945619,82713,107667
"953","Clatsop County, Oregon","Tillamook County, Oregon",2,0.00313183401279732,37039,25250
"62","Washington County, Oregon","Marion County, Oregon",2,0.00307337977383852,529710,315335
"1055","Lincoln County, Oregon","Benton County, Oregon",2,0.00280227657818134,46034,85579
"1519","Wheeler County, Oregon","Crook County, Oregon",2,0.00277585010409438,1441,20978
"2019","Union County, Oregon","Umatilla County, Oregon",2,0.00267981979182849,25748,75889
"937","Clatsop County, Oregon","Washington County, Oregon",2,0.00234887550959799,37039,529710
"514","Benton County, Oregon","Lincoln County, Oregon",2,0.00233702193295084,85579,46034
"558","Lane County, Oregon","Marion County, Oregon",2,0.0022859417426041,351715,315335
"117","Multnomah County, Oregon","Marion County, Oregon",2,0.00223707866085344,735334,315335
"790","Douglas County, Oregon","Coos County, Oregon",2,0.00216407998736846,107667,63043
"394","Marion County, Oregon","Benton County, Oregon",2,0.00211203957695784,315335,85579
"993","Tillamook County, Oregon","Multnomah County, Oregon",2,0.00201980198019802,25250,735334
"938","Clatsop County, Oregon","Multnomah County, Oregon",2,0.00199789411161208,37039,735334
"740","Hood River County, Oregon","Skamania County, Washington",2,0.00196903248903607,22346,11066
"497","Benton County, Oregon","Washington County, Oregon",2,0.00195141331401395,85579,529710
"961","Clatsop County, Oregon","Pacific County, Washington",2,0.00167391128270202,37039,20920
"447","Linn County, Oregon","Polk County, Oregon",2,0.00162849698299506,116672,75403
"560","Lane County, Oregon","Benton County, Oregon",2,0.00162631676215117,351715,85579
"1580","Gilliam County, Oregon","Morrow County, Oregon",2,0.00160342063067878,1871,11173
"502","Benton County, Oregon","Polk County, Oregon",2,0.00151906425641805,85579,75403
"166","Clackamas County, Oregon","Yamhill County, Oregon",2,0.00146013744973297,375992,99193
"498","Benton County, Oregon","Multnomah County, Oregon",2,0.00136715783077624,85579,735334
"991","Tillamook County, Oregon","Yamhill County, Oregon",2,0.00134653465346535,25250,99193
"1730","Klamath County, Oregon","Jackson County, Oregon",2,0.00132570051220247,66380,203206
"1056","Lincoln County, Oregon","Lane County, Oregon",2,0.00132510752921753,46034,351715
"637","Wasco County, Oregon","Jefferson County, Oregon",2,0.00126918653075794,25213,21720
"2187","Umatilla County, Oregon","Franklin County, Washington",2,0.00122547404762219,75889,78163
"1631","Grant County, Oregon","Union County, Oregon",2,0.00120886501007387,7445,25748
"1111","Coos County, Oregon","Lane County, Oregon",2,0.00118966419745253,63043,351715
"994","Tillamook County, Oregon","Clackamas County, Oregon",2,0.00118811881188119,25250,375992
"442","Linn County, Oregon","Washington County, Oregon",2,0.00117423203510697,116672,529710
"553","Lane County, Oregon","Multnomah County, Oregon",2,0.00115434371579262,351715,735334
"1064","Lincoln County, Oregon","Tillamook County, Oregon",2,0.00112959986097232,46034,25250
"1053","Lincoln County, Oregon","Marion County, Oregon",2,0.00108615371247339,46034,315335
"227","Columbia County, Oregon","Marion County, Oregon",2,0.0010739397377966,49351,315335
"1568","Gilliam County, Oregon","Wheeler County, Oregon",2,0.00106894708711919,1871,1441
"1054","Lincoln County, Oregon","Linn County, Oregon",2,0.00104270756397445,46034,116672
"395","Marion County, Oregon","Lane County, Oregon",2,0.00101479379073049,315335,351715
"2229","Morrow County, Oregon","Gilliam County, Oregon",2,0.000984516244518035,11173,1871
"564","Lane County, Oregon","Douglas County, Oregon",2,0.000958162148330324,351715,107667
"1826","Deschutes County, Oregon","Lane County, Oregon",2,0.00091293514990522,157733,351715
"793","Douglas County, Oregon","Josephine County, Oregon",2,0.000910213900266563,107667,82713
"941","Clatsop County, Oregon","Cowlitz County, Washington",2,0.000890952779502686,37039,102410
"340","Polk County, Oregon","Lane County, Oregon",2,0.000742676020847977,75403,351715
"2579","Malheur County, Oregon","Owyhee County, Idaho",2,0.000670647973685051,31313,11526
"612","Wasco County, Oregon","Polk County, Oregon",2,0.000634593265378971,25213,75403
"444","Linn County, Oregon","Clackamas County, Oregon",2,0.000608543609434997,116672,375992
"617","Wasco County, Oregon","Sherman County, Oregon",2,0.000594931186292785,25213,1765
"15","Yamhill County, Oregon","Clark County, Washington",2,0.000574637323198209,99193,425363
"349","Polk County, Oregon","Lincoln County, Oregon",2,0.000570269087436839,75403,46034
"499","Benton County, Oregon","Clackamas County, Oregon",2,0.000560885263908202,85579,375992
"1772","Jefferson County, Oregon","Wasco County, Oregon",2,0.000552486187845304,21720,25213
"263","Columbia County, Oregon","King County, Washington",2,0.000547101375858645,49351,1931249
"1350","Jackson County, Oregon","Siskiyou County, California",2,0.000541322598742163,203206,44900
"569","Lane County, Oregon","Lincoln County, Oregon",2,0.000531680479934037,351715,46034
"2081","Baker County, Oregon","Malheur County, Oregon",2,0.000495847279038056,16134,31313
"1847","Deschutes County, Oregon","Klamath County, Oregon",2,0.000475487057242302,157733,66380
"939","Clatsop County, Oregon","Clackamas County, Oregon",2,0.000458975674289263,37039,375992
"794","Douglas County, Oregon","Jackson County, Oregon",2,0.000455106950133281,107667,203206
"111","Multnomah County, Oregon","Yamhill County, Oregon",2,0.000441976027220284,735334,99193
"1988","Union County, Oregon","Marion County, Oregon",2,0.000427217647972658,25748,315335
"1632","Grant County, Oregon","Baker County, Oregon",2,0.000402955003357959,7445,16134
"719","Hood River County, Oregon","Clackamas County, Oregon",2,0.00040275664548465,22346,375992
"98","Washington County, Oregon","King County, Washington",2,0.000400218987748013,529710,1931249
"496","Benton County, Oregon","Yamhill County, Oregon",2,0.000385608618936889,85579,99193
"114","Multnomah County, Oregon","Columbia County, Oregon",2,0.000383499199003446,735334,49351
"443","Linn County, Oregon","Multnomah County, Oregon",2,0.000377125617114646,116672,735334
"1818","Deschutes County, Oregon","Multnomah County, Oregon",2,0.000361370163504149,157733,735334
"609","Wasco County, Oregon","Clackamas County, Oregon",2,0.000356958711775671,25213,375992
"2016","Union County, Oregon","Wallowa County, Oregon",2,0.000349541711977629,25748,7008
"1755","Klamath County, Oregon","Modoc County, California",2,0.000346489906598373,66380,9686
"115","Multnomah County, Oregon","Cowlitz County, Washington",2,0.000344061338113021,735334,102410
"59","Washington County, Oregon","Columbia County, Oregon",2,0.000337920749089124,529710,49351
"459","Linn County, Oregon","Lincoln County, Oregon",2,0.000334270433351618,116672,46034
"1817","Deschutes County, Oregon","Washington County, Oregon",2,0.000329671026354663,157733,529710
"153","Multnomah County, Oregon","King County, Washington",2,0.00032774222326181,735334,1931249
"9","Yamhill County, Oregon","Benton County, Oregon",2,0.000322603409514784,99193,85579
"65","Washington County, Oregon","Lane County, Oregon",2,0.000309603367880538,529710,351715
"1052","Lincoln County, Oregon","Polk County, Oregon",2,0.000304123039492549,46034,75403
"400","Marion County, Oregon","Clark County, Washington",2,0.000298095676027082,315335,425363
"1819","Deschutes County, Oregon","Clackamas County, Oregon",2,0.000297971889205176,157733,375992
"173","Clackamas County, Oregon","Linn County, Oregon",2,0.00029787867826975,375992,116672
"1048","Lincoln County, Oregon","Multnomah County, Oregon",2,0.000282399965243081,46034,735334
"552","Lane County, Oregon","Washington County, Oregon",2,0.000261575423283056,351715,529710
"1287","Josephine County, Oregon","Del Norte County, California",2,0.000253889956838707,82713,28610
"1351","Jackson County, Oregon","Klamath County, Oregon",2,0.000250976841235003,203206,66380
"208","Clackamas County, Oregon","King County, Washington",2,0.000242026426094172,375992,1931249
"1323","Jackson County, Oregon","Multnomah County, Oregon",2,0.000241134612166964,203206,735334
"583","Lane County, Oregon","Deschutes County, Oregon",2,0.000235986523179279,351715,157733
"73","Washington County, Oregon","Tillamook County, Oregon",2,0.000226539049668687,529710,25250
"2568","Malheur County, Oregon","Baker County, Oregon",2,0.000223549324561683,31313,16134
"1335","Jackson County, Oregon","Douglas County, Oregon",2,0.000221450154030885,203206,107667
"216","Clackamas County, Oregon","Los Angeles County, California",2,0.000215430115534373,375992,9818605
"473","Linn County, Oregon","Deschutes County, Oregon",2,0.00021427591881514,116672,157733
"1120","Coos County, Oregon","Lincoln County, Oregon",2,0.000206208460891772,63043,46034
"1122","Coos County, Oregon","Curry County, Oregon",2,0.000206208460891772,63043,22364
"43","Yamhill County, Oregon","King County, Washington",2,0.00020162713094674,99193,1931249
"123","Multnomah County, Oregon","Hood River County, Oregon",2,0.000194469451976925,735334,22346
"2197","Umatilla County, Oregon","Yakima County, Washington",2,0.000184479964158178,75889,243231
"1273","Josephine County, Oregon","Marion County, Oregon",2,0.000181349969170505,82713,315335
"171","Clackamas County, Oregon","Polk County, Oregon",2,0.000178195280750654,375992,75403
"120","Multnomah County, Oregon","Lane County, Oregon",2,0.000178150337125714,735334,351715
"1716","Klamath County, Oregon","Lane County, Oregon",2,0.000165712564025309,66380,351715
"175","Clackamas County, Oregon","Lane County, Oregon",2,0.000162237494414775,375992,351715
"607","Wasco County, Oregon","Washington County, Oregon",2,0.000158648316344743,25213,529710
"773","Douglas County, Oregon","Multnomah County, Oregon",2,0.000157894248005424,107667,735334
"554","Lane County, Oregon","Clackamas County, Oregon",2,0.000147846978377379,351715,375992
"593","Lane County, Oregon","King County, Washington",2,0.000142160556132096,351715,1931249
"404","Marion County, Oregon","Lincoln County, Oregon",2,0.00013636291562941,315335,46034
"72","Washington County, Oregon","Clatsop County, Oregon",2,0.000130259953559495,529710,37039
"2583","Malheur County, Oregon","Humboldt County, Nevada",2,0.000127742471178105,31313,16528
"127","Multnomah County, Oregon","Clatsop County, Oregon",2,0.000123753287621679,735334,37039
"19","Yamhill County, Oregon","Lincoln County, Oregon",2,0.000120976278568044,99193,46034
"1830","Deschutes County, Oregon","Douglas County, Oregon",2,0.00012045672116805,157733,107667
"633","Wasco County, Oregon","Gilliam County, Oregon",2,0.000118986237258557,25213,1871
"128","Multnomah County, Oregon","Tillamook County, Oregon",2,0.000112873877720872,735334,25250
"1823","Deschutes County, Oregon","Marion County, Oregon",2,0.000107777066308255,157733,315335
"1331","Jackson County, Oregon","Lane County, Oregon",2,0.000103343405214413,203206,351715
"439","Marion County, Oregon","Pierce County, Washington",2,0.000101479379073049,315335,795225
"418","Marion County, Oregon","Deschutes County, Oregon",2,0.000101479379073049,315335,157733
"161","Multnomah County, Oregon","Los Angeles County, California",2,9.79146891072628e-05,735334,9818605
"88","Washington County, Oregon","Deschutes County, Oregon",2,9.62790961091918e-05,529710,157733
"1792","Jefferson County, Oregon","Klamath County, Oregon",2,9.20810313075507e-05,21720,66380
"428","Marion County, Oregon","King County, Washington",2,8.87944566889181e-05,315335,1931249
"1329","Jackson County, Oregon","Linn County, Oregon",2,8.36589470783343e-05,203206,116672
"198","Clackamas County, Oregon","Deschutes County, Oregon",2,7.97889316793974e-05,375992,157733
"60","Washington County, Oregon","Cowlitz County, Washington",2,7.92886673840403e-05,529710,102410
"997","Tillamook County, Oregon","Polk County, Oregon",2,7.92079207920791e-05,25250,75403
"2182","Umatilla County, Oregon","Union County, Oregon",2,7.90628417820765e-05,75889,25748
"219","Clackamas County, Oregon","Pierce County, Washington",2,7.71293006234175e-05,375992,795225
"64","Washington County, Oregon","Benton County, Oregon",2,7.17373657284174e-05,529710,85579
"601","Lane County, Oregon","Los Angeles County, California",2,6.82370669434059e-05,351715,9818605
"574","Lane County, Oregon","Jackson County, Oregon",2,6.5393855820764e-05,351715,203206
"164","Multnomah County, Oregon","Pierce County, Washington",2,6.52764594048419e-05,735334,795225
"119","Multnomah County, Oregon","Benton County, Oregon",2,6.3916533167241e-05,735334,85579
"1840","Deschutes County, Oregon","Jackson County, Oregon",2,6.33982742989736e-05,157733,203206
"455","Linn County, Oregon","Clark County, Washington",2,5.99972572682392e-05,116672,425363
"176","Clackamas County, Oregon","Wasco County, Oregon",2,5.85118832315581e-05,375992,25213
"170","Clackamas County, Oregon","Cowlitz County, Washington",2,5.58522521755782e-05,375992,102410
"803","Douglas County, Oregon","Deschutes County, Oregon",2,5.57273816489732e-05,107667,157733
"61","Washington County, Oregon","Polk County, Oregon",2,5.47469370032659e-05,529710,75403
"978","Clatsop County, Oregon","King County, Washington",2,5.39971381516781e-05,37039,1931249
"1103","Coos County, Oregon","Multnomah County, Oregon",2,4.75865678981013e-05,63043,735334
"63","Washington County, Oregon","Linn County, Oregon",2,4.7195635347643e-05,529710,116672
"1763","Jefferson County, Oregon","Multnomah County, Oregon",2,4.60405156537753e-05,21720,735334
"570","Lane County, Oregon","Coos County, Oregon",2,4.54913779622706e-05,351715,63043
"189","Clackamas County, Oregon","Jackson County, Oregon",2,4.25540968956786e-05,375992,203206
"174","Clackamas County, Oregon","Benton County, Oregon",2,4.25540968956786e-05,375992,85579
"143","Multnomah County, Oregon","Deschutes County, Oregon",2,4.21577133656271e-05,735334,157733
"118","Multnomah County, Oregon","Linn County, Oregon",2,4.07977871280262e-05,735334,116672
"557","Lane County, Oregon","Polk County, Oregon",2,3.98049557169868e-05,351715,75403
"1328","Jackson County, Oregon","Marion County, Oregon",2,3.93689162721573e-05,203206,315335
"1824","Deschutes County, Oregon","Linn County, Oregon",2,3.80389645793841e-05,157733,116672
"1288","Josephine County, Oregon","Curry County, Oregon",2,3.62699938341011e-05,82713,22364
"121","Multnomah County, Oregon","Wasco County, Oregon",2,3.53580821776227e-05,735334,25213
"424","Marion County, Oregon","Umatilla County, Oregon",2,3.48835365563607e-05,315335,75889
"454","Linn County, Oregon","Douglas County, Oregon",2,3.42841470104224e-05,116672,107667
"75","Washington County, Oregon","Coos County, Oregon",2,3.02052066224916e-05,529710,63043
"1760","Klamath County, Oregon","Lake County, Oregon",2,3.01295570955107e-05,66380,7895
"1371","Jackson County, Oregon","Los Angeles County, California",2,2.9526687204118e-05,203206,9818605
"79","Washington County, Oregon","Jackson County, Oregon",2,2.83173812085858e-05,529710,203206
"74","Washington County, Oregon","Lincoln County, Oregon",2,2.83173812085858e-05,529710,46034
"403","Marion County, Oregon","Tillamook County, Oregon",2,2.53698447682623e-05,315335,25250
"169","Clackamas County, Oregon","Columbia County, Oregon",2,2.39366795038192e-05,375992,49351
"510","Benton County, Oregon","Clark County, Washington",2,2.33702193295084e-05,85579,425363
"1047","Lincoln County, Oregon","Washington County, Oregon",2,2.17230742494678e-05,46034,529710
"591","Lane County, Oregon","Benton County, Washington",2,1.99024778584934e-05,351715,175177
"399","Marion County, Oregon","Douglas County, Oregon",2,1.90273835761967e-05,315335,107667
"1827","Deschutes County, Oregon","Wasco County, Oregon",2,1.90194822896921e-05,157733,25213
"785","Douglas County, Oregon","Clark County, Washington",2,1.8575793882991e-05,107667,425363
"129","Multnomah County, Oregon","Lincoln County, Oregon",2,1.76790410888113e-05,735334,46034
"581","Lane County, Oregon","Klamath County, Oregon",2,1.70592667358515e-05,351715,66380
"213","Clackamas County, Oregon","Ada County, Idaho",2,1.59577863358795e-05,375992,392365
"1268","Josephine County, Oregon","Multnomah County, Oregon",2,1.20899979447004e-05,82713,735334
"604","Lane County, Oregon","Pierce County, Washington",2,1.13728444905676e-05,351715,795225
"183","Clackamas County, Oregon","Tillamook County, Oregon",2,1.06385242239197e-05,375992,25250
"188","Clackamas County, Oregon","Josephine County, Oregon",2,1.06385242239197e-05,375992,82713
"779","Douglas County, Oregon","Linn County, Oregon",2,9.28789694149554e-06,107667,116672
"551","Lane County, Oregon","Yamhill County, Oregon",2,8.52963336792573e-06,351715,99193
"116","Multnomah County, Oregon","Polk County, Oregon",2,8.15955742560523e-06,735334,75403
"151","Multnomah County, Oregon","Benton County, Washington",2,6.79963118800436e-06,735334,175177
"405","Marion County, Oregon","Coos County, Oregon",2,6.34246119206559e-06,315335,63043
"179","Clackamas County, Oregon","Douglas County, Oregon",2,5.31926211195984e-06,375992,107667
"410","Marion County, Oregon","Skamania County, Washington",2,3.17123059603277e-06,315335,11066
"4","Yamhill County, Oregon","Columbia County, Oregon",2,0,99193,49351
"5","Yamhill County, Oregon","Cowlitz County, Washington",2,0,99193,102410
"8","Yamhill County, Oregon","Linn County, Oregon",2,0,99193,116672
"10","Yamhill County, Oregon","Lane County, Oregon",2,0,99193,351715
"11","Yamhill County, Oregon","Wasco County, Oregon",2,0,99193,25213
"12","Yamhill County, Oregon","Sherman County, Oregon",2,0,99193,1765
"13","Yamhill County, Oregon","Hood River County, Oregon",2,0,99193,22346
"14","Yamhill County, Oregon","Douglas County, Oregon",2,0,99193,107667
"16","Yamhill County, Oregon","Klickitat County, Washington",2,0,99193,20318
"17","Yamhill County, Oregon","Clatsop County, Oregon",2,0,99193,37039
"18","Yamhill County, Oregon","Tillamook County, Oregon",2,0,99193,25250
"20","Yamhill County, Oregon","Coos County, Oregon",2,0,99193,63043
"21","Yamhill County, Oregon","Del Norte County, California",2,0,99193,28610
"22","Yamhill County, Oregon","Curry County, Oregon",2,0,99193,22364
"23","Yamhill County, Oregon","Josephine County, Oregon",2,0,99193,82713
"24","Yamhill County, Oregon","Jackson County, Oregon",2,0,99193,203206
"25","Yamhill County, Oregon","Skamania County, Washington",2,0,99193,11066
"26","Yamhill County, Oregon","Pacific County, Washington",2,0,99193,20920
"27","Yamhill County, Oregon","Wheeler County, Oregon",2,0,99193,1441
"28","Yamhill County, Oregon","Gilliam County, Oregon",2,0,99193,1871
"29","Yamhill County, Oregon","Grant County, Oregon",2,0,99193,7445
"30","Yamhill County, Oregon","Siskiyou County, California",2,0,99193,44900
"31","Yamhill County, Oregon","Klamath County, Oregon",2,0,99193,66380
"32","Yamhill County, Oregon","Jefferson County, Oregon",2,0,99193,21720
"33","Yamhill County, Oregon","Deschutes County, Oregon",2,0,99193,157733
"34","Yamhill County, Oregon","Crook County, Oregon",2,0,99193,20978
"35","Yamhill County, Oregon","Wallowa County, Oregon",2,0,99193,7008
"36","Yamhill County, Oregon","Union County, Oregon",2,0,99193,25748
"37","Yamhill County, Oregon","Baker County, Oregon",2,0,99193,16134
"38","Yamhill County, Oregon","Walla Walla County, Washington",2,0,99193,58781
"39","Yamhill County, Oregon","Umatilla County, Oregon",2,0,99193,75889
"40","Yamhill County, Oregon","Morrow County, Oregon",2,0,99193,11173
"41","Yamhill County, Oregon","Benton County, Washington",2,0,99193,175177
"42","Yamhill County, Oregon","Franklin County, Washington",2,0,99193,78163
"44","Yamhill County, Oregon","Washington County, Idaho",2,0,99193,10198
"45","Yamhill County, Oregon","Payette County, Idaho",2,0,99193,22623
"46","Yamhill County, Oregon","Malheur County, Oregon",2,0,99193,31313
"47","Yamhill County, Oregon","Canyon County, Idaho",2,0,99193,188923
"48","Yamhill County, Oregon","Ada County, Idaho",2,0,99193,392365
"49","Yamhill County, Oregon","Owyhee County, Idaho",2,0,99193,11526
"50","Yamhill County, Oregon","Modoc County, California",2,0,99193,9686
