"","source","target","cluster","pct","srcpop","tarpop"
"1","Perry County, Pennsylvania","Cumberland County, Pennsylvania",1,0.153690530574953,45969,235406
"2","Beaver County, Pennsylvania","Allegheny County, Pennsylvania",1,0.133089791777834,170539,1223348
"4","Perry County, Pennsylvania","Dauphin County, Pennsylvania",1,0.124148882942853,45969,268100
"5","Adams County, Pennsylvania","York County, Pennsylvania",1,0.10599859970219,101407,434972
"6","Northampton County, Pennsylvania","Lehigh County, Pennsylvania",1,0.105640922296673,297735,349497
"7","Wyoming County, Pennsylvania","Lackawanna County, Pennsylvania",1,0.10040316876503,28276,214437
"8","Delaware County, Pennsylvania","Philadelphia County, Pennsylvania",1,0.0893003136074879,558979,1526006
"9","Susquehanna County, Pennsylvania","Broome County, New York",1,0.079158593966233,43356,200600
"11","Butler County, Pennsylvania","Allegheny County, Pennsylvania",1,0.124653272563118,183862,1223348
"12","Jefferson County, Pennsylvania","Clearfield County, Pennsylvania",1,0.0775221238938053,45200,81642
"13","Bucks County, Pennsylvania","Montgomery County, Pennsylvania",1,0.0741288670593635,625249,799874
"14","Clinton County, Pennsylvania","Lycoming County, Pennsylvania",1,0.0707477445333605,39238,116111
"15","Fulton County, Pennsylvania","Washington County, Maryland",1,0.0693836308521388,14845,147430
"16","Somerset County, Pennsylvania","Cambria County, Pennsylvania",1,0.0659489079262175,77742,143679
"18","Fulton County, Pennsylvania","Franklin County, Pennsylvania",1,0.0606264735601212,14845,149618
"19","Greene County, Pennsylvania","Washington County, Pennsylvania",1,0.0548518844026263,38686,207820
"20","Fayette County, Pennsylvania","Westmoreland County, Pennsylvania",1,0.054236270734814,136606,365169
"211","Bedford County, Pennsylvania","Blair County, Pennsylvania",1,0.0520276516217194,49762,127089
"31","Carbon County, Pennsylvania","Lehigh County, Pennsylvania",1,0.0684914711336572,65249,349497
"22","Lehigh County, Pennsylvania","Northampton County, Pennsylvania",1,0.0591392773042401,349497,297735
"25","Montour County, Pennsylvania","Columbia County, Pennsylvania",1,0.0516231455630372,18267,67295
"27","Wyoming County, Pennsylvania","Luzerne County, Pennsylvania",1,0.0701655113877493,28276,320918
"28","Crawford County, Pennsylvania","Erie County, Pennsylvania",1,0.0481834056215851,88765,280566
"29","Sullivan County, Pennsylvania","Bradford County, Pennsylvania",1,0.0449595519601742,6428,62622
"30","Union County, Pennsylvania","Northumberland County, Pennsylvania",1,0.0447638329588182,44947,94528
"32","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania",1,0.0734440674406219,799874,1526006
"41","Bucks County, Pennsylvania","Philadelphia County, Pennsylvania",1,0.0522591799427108,625249,1526006
"23","Delaware County, Pennsylvania","Montgomery County, Pennsylvania",1,0.0494920202726757,558979,799874
"37","Snyder County, Pennsylvania","Union County, Pennsylvania",1,0.0435494433529797,39702,44947
"42","Armstrong County, Pennsylvania","Allegheny County, Pennsylvania",1,0.0754268142324596,68941,1223348
"33","Armstrong County, Pennsylvania","Butler County, Pennsylvania",1,0.0413396962620211,68941,183862
"421","Huntingdon County, Pennsylvania","Centre County, Pennsylvania",1,0.0388560974016074,45913,153990
"34","Cumberland County, Pennsylvania","Dauphin County, Pennsylvania",1,0.0990331597325472,235406,268100
"52","Lebanon County, Pennsylvania","Dauphin County, Pennsylvania",1,0.0980399496885482,133568,268100
"43","Dauphin County, Pennsylvania","Cumberland County, Pennsylvania",1,0.0561133905259232,268100,235406
"48","Pike County, Pennsylvania","Orange County, New York",1,0.035855601457233,57369,372813
"49","Warren County, Pennsylvania","Chautauqua County, New York",1,0.0340786798995576,41815,134905
"50","Cameron County, Pennsylvania","Elk County, Pennsylvania",1,0.031858407079646,5085,31946
"114","Chester County, Pennsylvania","Montgomery County, Pennsylvania",1,0.0588651515576705,498886,799874
"115","Philadelphia County, Pennsylvania","Montgomery County, Pennsylvania",1,0.0382593515359704,1526006,799874
"10","Chester County, Pennsylvania","Delaware County, Pennsylvania",1,0.0358759315755503,498886,558979
"44","Delaware County, Pennsylvania","Chester County, Pennsylvania",1,0.0338581592510631,558979,498886
"61","Montgomery County, Pennsylvania","Bucks County, Pennsylvania",1,0.031611228768531,799874,625249
