"","source","target","cluster","pct","srcpop","tarpop"
"299","Perry County, Pennsylvania","Cumberland County, Pennsylvania",1,0.153690530574953,45969,235406
"9388","Beaver County, Pennsylvania","Allegheny County, Pennsylvania",1,0.133089791777834,170539,1223348
"9240","Washington County, Pennsylvania","Allegheny County, Pennsylvania",1,0.127302473294197,207820,1223348
"9685","Butler County, Pennsylvania","Allegheny County, Pennsylvania",1,0.124653272563118,183862,1223348
"300","Perry County, Pennsylvania","Dauphin County, Pennsylvania",1,0.124148882942853,45969,268100
"9092","Westmoreland County, Pennsylvania","Allegheny County, Pennsylvania",1,0.117167667573096,365169,1223348
"149","Adams County, Pennsylvania","York County, Pennsylvania",1,0.10599859970219,101407,434972
"2981","Northampton County, Pennsylvania","Lehigh County, Pennsylvania",1,0.105640922296673,297735,349497
"1342","Wyoming County, Pennsylvania","Lackawanna County, Pennsylvania",1,0.10040316876503,28276,214437
"448","Cumberland County, Pennsylvania","Dauphin County, Pennsylvania",1,0.0990331597325472,235406,268100
"745","Lebanon County, Pennsylvania","Dauphin County, Pennsylvania",1,0.0980399496885482,133568,268100
"5364","Delaware County, Pennsylvania","Philadelphia County, Pennsylvania",1,0.0893003136074879,558979,1526006
"1789","Susquehanna County, Pennsylvania","Broome County, New York",1,0.079158593966233,43356,200600
"4024","Jefferson County, Pennsylvania","Clearfield County, Pennsylvania",1,0.0775221238938053,45200,81642
"9833","Armstrong County, Pennsylvania","Allegheny County, Pennsylvania",1,0.0754268142324596,68941,1223348
"5662","Bucks County, Pennsylvania","Montgomery County, Pennsylvania",1,0.0741288670593635,625249,799874
"5512","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania",1,0.0734440674406219,799874,1526006
"3874","Clinton County, Pennsylvania","Lycoming County, Pennsylvania",1,0.0707477445333605,39238,116111
"1343","Wyoming County, Pennsylvania","Luzerne County, Pennsylvania",1,0.0701655113877493,28276,320918
"8344","Fulton County, Pennsylvania","Washington County, Maryland",1,0.0693836308521388,14845,147430
"3278","Carbon County, Pennsylvania","Lehigh County, Pennsylvania",1,0.0684914711336572,65249,349497
"7004","Somerset County, Pennsylvania","Cambria County, Pennsylvania",1,0.0659489079262175,77742,143679
"8345","Fulton County, Pennsylvania","Franklin County, Pennsylvania",1,0.0606264735601212,14845,149618
"3129","Lehigh County, Pennsylvania","Northampton County, Pennsylvania",1,0.0591392773042401,349497,297735
"5810","Chester County, Pennsylvania","Montgomery County, Pennsylvania",1,0.0588651515576705,498886,799874
