"","source","target","cluster","pct","srcpop","tarpop"
"63","Kent County, Rhode Island","Providence County, Rhode Island",1,0.164861156248872,166158,626667
"103","Bristol County, Rhode Island","Providence County, Rhode Island",1,0.145022556390977,49875,626667
"22","Washington County, Rhode Island","Providence County, Rhode Island",1,0.069570558911316,126979,626667
"23","Washington County, Rhode Island","Kent County, Rhode Island",1,0.0558517550146087,126979,166158
"105","Bristol County, Rhode Island","Newport County, Rhode Island",1,0.0482406015037594,49875,82888
"83","Newport County, Rhode Island","Providence County, Rhode Island",1,0.0391009555062253,82888,626667
"62","Kent County, Rhode Island","Washington County, Rhode Island",1,0.0386018127324595,166158,126979
"27","Washington County, Rhode Island","New London County, Connecticut",1,0.037754274328826,126979,274055
"86","Newport County, Rhode Island","Bristol County, Massachusetts",1,0.0361089663159927,82888,548285
"43","Providence County, Rhode Island","Kent County, Rhode Island",1,0.0341840243701998,626667,166158
"106","Bristol County, Rhode Island","Bristol County, Massachusetts",1,0.0313984962406015,49875,548285
"46","Providence County, Rhode Island","Bristol County, Massachusetts",1,0.0255861566031082,626667,548285
"24","Washington County, Rhode Island","Newport County, Rhode Island",1,0.0226179131982454,126979,82888
"48","Providence County, Rhode Island","Norfolk County, Massachusetts",1,0.0181037137746203,626667,670850
"104","Bristol County, Rhode Island","Kent County, Rhode Island",1,0.0164411027568922,49875,166158
"85","Newport County, Rhode Island","Bristol County, Rhode Island",1,0.0138620789499083,82888,49875
"82","Newport County, Rhode Island","Washington County, Rhode Island",1,0.0134518868835055,82888,126979
"66","Kent County, Rhode Island","Bristol County, Massachusetts",1,0.00813081524813731,166158,548285
"42","Providence County, Rhode Island","Washington County, Rhode Island",1,0.00757659171457887,626667,126979
"64","Kent County, Rhode Island","Newport County, Rhode Island",1,0.00736648250460405,166158,82888
"84","Newport County, Rhode Island","Kent County, Rhode Island",1,0.0072990058874626,82888,166158
"49","Providence County, Rhode Island","Suffolk County, Massachusetts",1,0.00637340086521231,626667,722023
"41","Providence County, Rhode Island","Worcester County, Massachusetts",1,0.00632872003791487,626667,798552
"50","Providence County, Rhode Island","Middlesex County, Massachusetts",1,0.00565850762845339,626667,1503085
"67","Kent County, Rhode Island","New London County, Connecticut",1,0.00530820062831763,166158,274055
"68","Kent County, Rhode Island","Norfolk County, Massachusetts",1,0.00453183114866573,166158,670850
"108","Bristol County, Rhode Island","Norfolk County, Massachusetts",1,0.00388972431077694,49875,670850
"45","Providence County, Rhode Island","Bristol County, Rhode Island",1,0.00355850874547407,626667,49875
"109","Bristol County, Rhode Island","Suffolk County, Massachusetts",1,0.00304761904761905,49875,722023
"110","Bristol County, Rhode Island","Middlesex County, Massachusetts",1,0.00260651629072682,49875,1503085
"102","Bristol County, Rhode Island","Washington County, Rhode Island",1,0.00256641604010025,49875,126979
"90","Newport County, Rhode Island","Middlesex County, Massachusetts",1,0.00232844320046328,82888,1503085
