"","source","target","cluster","pct","srcpop","tarpop"
"1","Dorchester County, South Carolina","Charleston County, South Carolina",1,0.196843762586504,136555,350209
"2","Lexington County, South Carolina","Richland County, South Carolina",1,0.175661512780545,262391,384504
"3","Jasper County, South Carolina","Beaufort County, South Carolina",1,0.132986237236146,24777,162233
"4","York County, South Carolina","Mecklenburg County, North Carolina",1,0.123707828887129,226073,919628
"6","Berkeley County, South Carolina","Charleston County, South Carolina",1,0.195655718808162,177843,350209
"7","Darlington County, South Carolina","Florence County, South Carolina",1,0.107569779123775,68681,136885
"8","Edgefield County, South Carolina","Aiken County, South Carolina",1,0.107207707985918,26985,160099
"9","Pickens County, South Carolina","Greenville County, South Carolina",1,0.107058981413138,119224,451225
"10","Calhoun County, South Carolina","Orangeburg County, South Carolina",1,0.0982537067545305,15175,92501
"11","Union County, South Carolina","Spartanburg County, South Carolina",1,0.0903283726390663,28961,284307
"12","Abbeville County, South Carolina","Greenwood County, South Carolina",1,0.0871857418263367,25417,69661
"14","Kershaw County, South Carolina","Richland County, South Carolina",1,0.138839813929364,61697,384504
"15","Georgetown County, South Carolina","Horry County, South Carolina",1,0.06516174074936,60158,269291
"17","Chester County, South Carolina","York County, South Carolina",1,0.0896197948098974,33140,226073
"19","Aiken County, South Carolina","Richmond County, Georgia",1,0.0589447779186628,160099,200549
"20","Clarendon County, South Carolina","Sumter County, South Carolina",1,0.0562180092076292,34971,107456
"22","Anderson County, South Carolina","Greenville County, South Carolina",1,0.0790910937015701,187126,451225
"41","Fairfield County, South Carolina","Richland County, South Carolina",1,0.131658039739522,23956,384504
"110","Richland County, South Carolina","Lexington County, South Carolina",1,0.0632945300959158,384504,262391
"29","Lancaster County, South Carolina","Mecklenburg County, North Carolina",1,0.0724051557689297,76652,919628
"311","Hampton County, South Carolina","Beaufort County, South Carolina",1,0.0548601232811759,21090,162233
"32","Chesterfield County, South Carolina","Union County, North Carolina",1,0.0375101639063637,46734,201292
"34","Cherokee County, South Carolina","Spartanburg County, South Carolina",1,0.0631166202883886,55342,284307
"35","Laurens County, South Carolina","Greenville County, South Carolina",1,0.0956310022994725,66537,451225
"112","Marion County, South Carolina","Florence County, South Carolina",1,0.057074587139314,33062,136885
"113","McCormick County, South Carolina","Greenwood County, South Carolina",1,0.0433890354734682,10233,69661
"61","Newberry County, South Carolina","Lexington County, South Carolina",1,0.0506825210621734,37508,262391
"51","Newberry County, South Carolina","Richland County, South Carolina",1,0.0398581635917671,37508,384504
"211","Dorchester County, South Carolina","Berkeley County, South Carolina",1,0.0507341364285453,136555,177843
"62","Colleton County, South Carolina","Charleston County, South Carolina",1,0.0398539545407796,38892,350209
"43","Berkeley County, South Carolina","Dorchester County, South Carolina",1,0.0269619833223686,177843,136555
"37","Charleston County, South Carolina","Berkeley County, South Carolina",1,0.0260901347481076,350209,177843
"116","Saluda County, South Carolina","Lexington County, South Carolina",1,0.0734591194968554,19875,262391
"212","Saluda County, South Carolina","Newberry County, South Carolina",1,0.0245031446540881,19875,37508
"631","Bamberg County, South Carolina","Orangeburg County, South Carolina",1,0.0434102708450616,15987,92501
"64","Marlboro County, South Carolina","Scotland County, North Carolina",1,0.0212905678636851,28933,36157
"117","Williamsburg County, South Carolina","Georgetown County, South Carolina",1,0.0352090172268541,34423,60158
"54","Dillon County, South Carolina","Florence County, South Carolina",1,0.0320628781735388,32062,136885
"45","Dillon County, South Carolina","Marion County, South Carolina",1,0.0230179028132992,32062,33062
"214","Florence County, South Carolina","Darlington County, South Carolina",1,0.0201482996676042,136885,68681
"72","Oconee County, South Carolina","Pickens County, South Carolina",1,0.0407415884641794,74273,119224
"215","Pickens County, South Carolina","Anderson County, South Carolina",1,0.0313779104878213,119224,187126
"310","Pickens County, South Carolina","Oconee County, South Carolina",1,0.0208179561162182,119224,74273
"46","Anderson County, South Carolina","Pickens County, South Carolina",1,0.0192383741436251,187126,119224
"82","Oconee County, South Carolina","Anderson County, South Carolina",1,0.0184993200759361,74273,187126
"811","Lee County, South Carolina","Sumter County, South Carolina",1,0.0338189386056191,19220,107456
"821","Barnwell County, South Carolina","Allendale County, South Carolina",1,0.015339728570797,22621,10419
"216","Jasper County, South Carolina","Chatham County, Georgia",1,0.0297049683173911,24777,265128
"312","Hampton County, South Carolina","Jasper County, South Carolina",1,0.0235182550972025,21090,24777
