"","source","target","cluster","pct","srcpop","tarpop"
"3793","Dorchester County, South Carolina","Charleston County, South Carolina",1,0.196843762586504,136555,350209
"3950","Berkeley County, South Carolina","Charleston County, South Carolina",1,0.195655718808162,177843,350209
"1580","Lexington County, South Carolina","Richland County, South Carolina",1,0.175661512780545,262391,384504
"1658","Kershaw County, South Carolina","Richland County, South Carolina",1,0.138839813929364,61697,384504
"2450","Jasper County, South Carolina","Beaufort County, South Carolina",1,0.132986237236146,24777,162233
"1736","Fairfield County, South Carolina","Richland County, South Carolina",1,0.131658039739522,23956,384504
"1","York County, South Carolina","Mecklenburg County, North Carolina",1,0.123707828887129,226073,919628
"553","Darlington County, South Carolina","Florence County, South Carolina",1,0.107569779123775,68681,136885
"2213","Edgefield County, South Carolina","Aiken County, South Carolina",1,0.107207707985918,26985,160099
"3082","Pickens County, South Carolina","Greenville County, South Carolina",1,0.107058981413138,119224,451225
"1896","Calhoun County, South Carolina","Orangeburg County, South Carolina",1,0.0982537067545305,15175,92501
"3239","Laurens County, South Carolina","Greenville County, South Carolina",1,0.0956310022994725,66537,451225
"2845","Union County, South Carolina","Spartanburg County, South Carolina",1,0.0903283726390663,28961,284307
"157","Chester County, South Carolina","York County, South Carolina",1,0.0896197948098974,33140,226073
"3476","Abbeville County, South Carolina","Greenwood County, South Carolina",1,0.0871857418263367,25417,69661
"3317","Anderson County, South Carolina","Greenville County, South Carolina",1,0.0790910937015701,187126,451225
"1892","Calhoun County, South Carolina","Richland County, South Carolina",1,0.0769028006589786,15175,384504
"1424","Saluda County, South Carolina","Lexington County, South Carolina",1,0.0734591194968554,19875,262391
"236","Lancaster County, South Carolina","Mecklenburg County, North Carolina",1,0.0724051557689297,76652,919628
"711","Georgetown County, South Carolina","Horry County, South Carolina",1,0.06516174074936,60158,269291
"1502","Richland County, South Carolina","Lexington County, South Carolina",1,0.0632945300959158,384504,262391
"3002","Cherokee County, South Carolina","Spartanburg County, South Carolina",1,0.0631166202883886,55342,284307
"2290","Aiken County, South Carolina","Richmond County, Georgia",1,0.0589447779186628,160099,200549
"396","Marion County, South Carolina","Florence County, South Carolina",1,0.057074587139314,33062,136885
"1264","Clarendon County, South Carolina","Sumter County, South Carolina",1,0.0562180092076292,34971,107456
"2607","Hampton County, South Carolina","Beaufort County, South Carolina",1,0.0548601232811759,21090,162233
"2212","Edgefield County, South Carolina","Richmond County, Georgia",1,0.0538447285528998,26985,200549
"2926","Spartanburg County, South Carolina","Greenville County, South Carolina",1,0.0528478018480023,284307,451225
"3475","Abbeville County, South Carolina","Anderson County, South Carolina",1,0.0528386512963764,25417,187126
"3794","Dorchester County, South Carolina","Berkeley County, South Carolina",1,0.0507341364285453,136555,177843
"1971","Newberry County, South Carolina","Lexington County, South Carolina",1,0.0506825210621734,37508,262391
"2370","Barnwell County, South Carolina","Aiken County, South Carolina",1,0.0439414703151938,22621,160099
"398","Marion County, South Carolina","Horry County, South Carolina",1,0.0437662573347045,33062,269291
"2052","Bamberg County, South Carolina","Orangeburg County, South Carolina",1,0.0434102708450616,15987,92501
"3554","McCormick County, South Carolina","Greenwood County, South Carolina",1,0.0433890354734682,10233,69661
"1893","Calhoun County, South Carolina","Lexington County, South Carolina",1,0.0421087314662273,15175,262391
"3628","Oconee County, South Carolina","Pickens County, South Carolina",1,0.0407415884641794,74273,119224
"1970","Newberry County, South Carolina","Richland County, South Carolina",1,0.0398581635917671,37508,384504
"4028","Colleton County, South Carolina","Charleston County, South Carolina",1,0.0398539545407796,38892,350209
"318","Williamsburg County, South Carolina","Florence County, South Carolina",1,0.0393922667983616,34423,136885
"869","Chesterfield County, South Carolina","Union County, North Carolina",1,0.0375101639063637,46734,201292
"321","Williamsburg County, South Carolina","Georgetown County, South Carolina",1,0.0352090172268541,34423,60158
"235","Lancaster County, South Carolina","York County, South Carolina",1,0.0349110264572353,76652,226073
"1342","Lee County, South Carolina","Sumter County, South Carolina",1,0.0338189386056191,19220,107456
"866","Chesterfield County, South Carolina","Darlington County, South Carolina",1,0.0328026704326614,46734,68681
"943","Dillon County, South Carolina","Florence County, South Carolina",1,0.0320628781735388,32062,136885
"3084","Pickens County, South Carolina","Anderson County, South Carolina",1,0.0313779104878213,119224,187126
"3158","Greenville County, South Carolina","Spartanburg County, South Carolina",1,0.0310864867859715,451225,284307
"2452","Jasper County, South Carolina","Chatham County, Georgia",1,0.0297049683173911,24777,265128
"3949","Berkeley County, South Carolina","Dorchester County, South Carolina",1,0.0269619833223686,177843,136555
"3872","Charleston County, South Carolina","Berkeley County, South Carolina",1,0.0260901347481076,350209,177843
"158","Chester County, South Carolina","Mecklenburg County, North Carolina",1,0.0255582377791189,33140,919628
"1347","Lee County, South Carolina","Kershaw County, South Carolina",1,0.0255463059313215,19220,61697
"1429","Saluda County, South Carolina","Newberry County, South Carolina",1,0.0245031446540881,19875,37508
"2606","Hampton County, South Carolina","Jasper County, South Carolina",1,0.0235182550972025,21090,24777
"942","Dillon County, South Carolina","Marion County, South Carolina",1,0.0230179028132992,32062,33062
"2764","Allendale County, South Carolina","Hampton County, South Carolina",1,0.0229388616949803,10419,21090
"4027","Colleton County, South Carolina","Dorchester County, South Carolina",1,0.0224210634577805,38892,136555
"3241","Laurens County, South Carolina","Greenwood County, South Carolina",1,0.0223184093061004,66537,69661
"1106","Marlboro County, South Carolina","Scotland County, North Carolina",1,0.0212905678636851,28933,36157
"3088","Pickens County, South Carolina","Oconee County, South Carolina",1,0.0208179561162182,119224,74273
"1104","Marlboro County, South Carolina","Chesterfield County, South Carolina",1,0.0202536895586355,28933,46734
"475","Florence County, South Carolina","Darlington County, South Carolina",1,0.0201482996676042,136885,68681
"3316","Anderson County, South Carolina","Pickens County, South Carolina",1,0.0192383741436251,187126,119224
"3236","Laurens County, South Carolina","Spartanburg County, South Carolina",1,0.0192073583119167,66537,284307
