"","source","target","cluster","pct","srcpop","tarpop"
"10098","Fayette County, Tennessee","Shelby County, Tennessee",1,0.250982740218155,38413,927644
"459","Cheatham County, Tennessee","Davidson County, Tennessee",1,0.231453778289221,39105,626681
"9793","Tipton County, Tennessee","Shelby County, Tennessee",1,0.22443967845975,61081,927644
"154","Wilson County, Tennessee","Davidson County, Tennessee",1,0.182853333099401,113993,626681
"5662","Union County, Tennessee","Knox County, Tennessee",1,0.167303364906589,19109,432226
"611","Sumner County, Tennessee","Davidson County, Tennessee",1,0.162438918111364,160645,626681
"763","Robertson County, Tennessee","Davidson County, Tennessee",1,0.159980688864415,66283,626681
"915","Williamson County, Tennessee","Davidson County, Tennessee",1,0.152400345012064,183182,626681
"1224","Cannon County, Tennessee","Rutherford County, Tennessee",1,0.152162886747337,13801,262604
"14076","Jackson County, Tennessee","Putnam County, Tennessee",1,0.147791716789826,11638,72321
"5049","Carter County, Tennessee","Washington County, Tennessee",1,0.13367233212594,57424,122979
"14228","Overton County, Tennessee","Putnam County, Tennessee",1,0.126975501517004,22083,72321
"10710","Chester County, Tennessee","Madison County, Tennessee",1,0.117623022590625,17131,98294
"5508","Hawkins County, Tennessee","Sullivan County, Tennessee",1,0.116727957348723,56833,156823
"7804","Sequatchie County, Tennessee","Hamilton County, Tennessee",1,0.114654195011338,14112,336463
"8263","Polk County, Tennessee","Bradley County, Tennessee",1,0.112570579494799,16825,98963
"8109","Marion County, Tennessee","Hamilton County, Tennessee",1,0.112051563551369,28237,336463
"5967","Anderson County, Tennessee","Knox County, Tennessee",1,0.111075616606104,75129,432226
"5201","Unicoi County, Tennessee","Washington County, Tennessee",1,0.110304155517938,18313,122979
"1067","Rutherford County, Tennessee","Davidson County, Tennessee",1,0.109617522962331,262604,626681
"2602","Franklin County, Tennessee","Coffee County, Tennessee",1,0.107984994640943,41052,52796
"6119","Blount County, Tennessee","Knox County, Tennessee",1,0.107836761238924,123010,432226
"10862","Crockett County, Tennessee","Madison County, Tennessee",1,0.107774578362814,14586,98294
"1371","Dickson County, Tennessee","Davidson County, Tennessee",1,0.104316836467604,49666,626681
"1522","Trousdale County, Tennessee","Wilson County, Tennessee",1,0.0980940279542567,7870,113993
"6271","Grainger County, Tennessee","Knox County, Tennessee",1,0.0968795515734652,22657,432226
"2450","Moore County, Tennessee","Coffee County, Tennessee",1,0.0963533480037724,6362,52796
"6423","Loudon County, Tennessee","Knox County, Tennessee",1,0.0949625175055606,48556,432226
"4285","Montgomery County, Tennessee","Christian County, Kentucky",1,0.0928561895422182,172331,73955
"11014","Gibson County, Tennessee","Madison County, Tennessee",1,0.0923253426725439,49683,98294
"11166","Henderson County, Tennessee","Madison County, Tennessee",1,0.0875076524181641,27769,98294
"13158","Lincoln County, Tennessee","Madison County, Alabama",1,0.0863283474715986,33361,334811
"1679","Maury County, Tennessee","Williamson County, Tennessee",1,0.0850461979346806,80956,183182
"6575","Jefferson County, Tennessee","Knox County, Tennessee",1,0.0810589997471162,51407,432226
"13771","White County, Tennessee","Putnam County, Tennessee",1,0.0777059711311482,25841,72321
"1826","Smith County, Tennessee","Wilson County, Tennessee",1,0.0750286966503183,19166,113993
"6728","Roane County, Tennessee","Anderson County, Tennessee",1,0.0734943984053451,54181,75129
"6879","Sevier County, Tennessee","Knox County, Tennessee",1,0.0730567700163535,89889,432226
"1979","Hickman County, Tennessee","Davidson County, Tennessee",1,0.0679627379505873,24690,626681
"1986","Hickman County, Tennessee","Dickson County, Tennessee",1,0.0668691778047793,24690,49666
"6727","Roane County, Tennessee","Knox County, Tennessee",1,0.0661301932411731,54181,432226
"2133","Macon County, Tennessee","Sumner County, Tennessee",1,0.064769866954333,22248,160645
"7032","Morgan County, Tennessee","Anderson County, Tennessee",1,0.0635375449129031,21987,75129
"6279","Grainger County, Tennessee","Hamblen County, Tennessee",1,0.0612172838416383,22657,62544
"4132","Stewart County, Tennessee","Montgomery County, Tennessee",1,0.0607925547883518,13324,172331
"12088","Weakley County, Tennessee","Obion County, Tennessee",1,0.0583078724194055,35021,31807
"8413","Bradley County, Tennessee","Hamilton County, Tennessee",1,0.0580519992320362,98963,336463
"4899","Washington County, Tennessee","Sullivan County, Tennessee",1,0.0570991795347173,122979,156823
"4589","Houston County, Tennessee","Montgomery County, Tennessee",1,0.0554236885829575,8426,172331
"11318","Haywood County, Tennessee","Madison County, Tennessee",1,0.0531218395699154,18787,98294
"6583","Jefferson County, Tennessee","Hamblen County, Tennessee",1,0.0526776509035734,51407,62544
"7342","Cocke County, Tennessee","Sevier County, Tennessee",1,0.0502495653636924,35662,89889
"2451","Moore County, Tennessee","Bedford County, Tennessee",1,0.0501414649481295,6362,45058
"2290","Humphreys County, Tennessee","Dickson County, Tennessee",1,0.0496277915632754,18538,49666
"1525","Trousdale County, Tennessee","Sumner County, Tennessee",1,0.0487928843710292,7870,160645
"5353","Sullivan County, Tennessee","Washington County, Tennessee",1,0.04755042308845,156823,122979
