"","source","target","cluster","pct","srcpop","tarpop"
"1","Grand Isle County, Vermont","Chittenden County, Vermont",1,0.252510760401722,6970,156545
"2","Orange County, Vermont","Washington County, Vermont",1,0.102260160353884,28936,59534
"3","Windsor County, Vermont","Grafton County, New Hampshire",1,0.0998941238750662,56670,89118
"4","Essex County, Vermont","Coos County, New Hampshire",1,0.09895337773549,6306,33055
"6","Franklin County, Vermont","Chittenden County, Vermont",1,0.151426297490889,47746,156545
"8","Essex County, Vermont","Caledonia County, Vermont",1,0.0876942594354583,6306,31227
"31","Orange County, Vermont","Grafton County, New Hampshire",1,0.100324854852087,28936,89118
"21","Orange County, Vermont","Windsor County, Vermont",1,0.0494539673762787,28936,56670
"42","Addison County, Vermont","Chittenden County, Vermont",1,0.102903234567231,36821,156545
"22","Grand Isle County, Vermont","Franklin County, Vermont",1,0.0358680057388809,6970,47746
"17","Windham County, Vermont","Cheshire County, New Hampshire",1,0.0289802978905039,44513,77117
"18","Bennington County, Vermont","Berkshire County, Massachusetts",1,0.0235420875420875,37125,131219
"13","Lamoille County, Vermont","Chittenden County, Vermont",1,0.0732584269662921,24475,156545
"14","Orleans County, Vermont","Caledonia County, Vermont",1,0.0209687488524109,27231,31227
"24","Essex County, Vermont","Orleans County, Vermont",1,0.0168093878845544,6306,27231
"52","Caledonia County, Vermont","Orleans County, Vermont",1,0.0135139462644506,31227,27231
"15","Rutland County, Vermont","Bennington County, Vermont",1,0.0136919632717952,61642,37125
"9","Essex County, Vermont","Grafton County, New Hampshire",1,0.0339359340310815,6306,89118
"131","Caledonia County, Vermont","Grafton County, New Hampshire",1,0.0268997982515131,31227,89118
"141","Caledonia County, Vermont","Washington County, Vermont",1,0.0209434143529638,31227,59534
"26","Windsor County, Vermont","Orange County, Vermont",1,0.0150344097406035,56670,28936
"151","Caledonia County, Vermont","Orange County, Vermont",1,0.0103115893297467,31227,28936
"35","Washington County, Vermont","Orange County, Vermont",1,0.00876809890146807,59534,28936
"71","Orleans County, Vermont","Washington County, Vermont",1,0.00785869046307517,27231,59534
"48","Windham County, Vermont","Franklin County, Massachusetts",1,0.00802012895109294,44513,71372
"62","Washington County, Vermont","Chittenden County, Vermont",1,0.037356804515067,59534,156545
"241","Lamoille County, Vermont","Washington County, Vermont",1,0.0343615934627171,24475,59534
"132","Orleans County, Vermont","Lamoille County, Vermont",1,0.0149462010208953,27231,24475
"30","Chittenden County, Vermont","Washington County, Vermont",1,0.0119709987543518,156545,59534
"231","Caledonia County, Vermont","Lamoille County, Vermont",1,0.0112082492714638,31227,24475
"54","Washington County, Vermont","Lamoille County, Vermont",1,0.0101790573453825,59534,24475
"331","Franklin County, Vermont","Lamoille County, Vermont",1,0.00823105600469149,47746,24475
"311","Chittenden County, Vermont","Franklin County, Vermont",1,0.00724392347248395,156545,47746
"101","Orange County, Vermont","Chittenden County, Vermont",1,0.00635886093447608,28936,156545
"351","Addison County, Vermont","Washington County, Vermont",1,0.00630075228809647,36821,59534
"27","Lamoille County, Vermont","Franklin County, Vermont",1,0.00490296220633299,24475,47746
"321","Chittenden County, Vermont","Addison County, Vermont",1,0.00489954965026031,156545,36821
"251","Lamoille County, Vermont","Caledonia County, Vermont",1,0.00478038815117467,24475,31227
"142","Orleans County, Vermont","Chittenden County, Vermont",1,0.00455363372626786,27231,156545
"46","Washington County, Vermont","Caledonia County, Vermont",1,0.00324184499613666,59534,31227
"49","Bennington County, Vermont","Rensselaer County, New York",1,0.00775757575757576,37125,159429
"212","Bennington County, Vermont","Rutland County, Vermont",1,0.00565656565656566,37125,61642
"114","Rutland County, Vermont","Washington County, New York",1,0.00596995554978748,61642,63216
"56","Windsor County, Vermont","Sullivan County, New Hampshire",1,0.0130404093876831,56670,43742
"143","Orange County, Vermont","Caledonia County, Vermont",1,0.00283384019905999,28936,31227
"431","Chittenden County, Vermont","Lamoille County, Vermont",1,0.00272126225685905,156545,24475
"352","Lamoille County, Vermont","Orleans County, Vermont",1,0.0024923391215526,24475,27231
"491","Addison County, Vermont","Windsor County, Vermont",1,0.00244425735314087,36821,56670
"214","Windsor County, Vermont","Washington County, Vermont",1,0.00206458443620963,56670,59534
"312","Caledonia County, Vermont","Essex County, Vermont",1,0.00198546129951644,31227,6306
"332","Caledonia County, Vermont","Chittenden County, Vermont",1,0.0019534377301694,31227,156545
"461","Franklin County, Vermont","Washington County, Vermont",1,0.00159175637749759,47746,59534
"215","Orleans County, Vermont","Franklin County, Vermont",1,0.00157908266314127,27231,47746
"412","Windsor County, Vermont","Chittenden County, Vermont",1,0.00146461972825128,56670,156545
"391","Grand Isle County, Vermont","Washington County, Vermont",1,0.00143472022955524,6970,59534
"63","Washington County, Vermont","Windsor County, Vermont",1,0.00120939295192663,59534,56670
"172","Orleans County, Vermont","Essex County, Vermont",1,0.00113840843156696,27231,6306
"262","Caledonia County, Vermont","Windsor County, Vermont",1,0.00108880135779934,31227,56670
"313","Windham County, Vermont","Bennington County, Vermont",1,0.0122660795722598,44513,37125
"74","Bennington County, Vermont","Windham County, Vermont",1,0.00921212121212121,37125,44513
"413","Rutland County, Vermont","Windham County, Vermont",1,0.0010058077284968,61642,44513
