"","source","target","cluster","pct","srcpop","tarpop"
"223","Grand Isle County, Vermont","Chittenden County, Vermont",1,0.252510760401722,6970,156545
"296","Franklin County, Vermont","Chittenden County, Vermont",1,0.151426297490889,47746,156545
"332","Addison County, Vermont","Chittenden County, Vermont",1,0.102903234567231,36821,156545
"111","Orange County, Vermont","Washington County, Vermont",1,0.102260160353884,28936,59534
"112","Orange County, Vermont","Grafton County, New Hampshire",1,0.100324854852087,28936,89118
"40","Windsor County, Vermont","Grafton County, New Hampshire",1,0.0998941238750662,56670,89118
"371","Essex County, Vermont","Coos County, New Hampshire",1,0.09895337773549,6306,33055
"372","Essex County, Vermont","Caledonia County, Vermont",1,0.0876942594354583,6306,31227
"187","Lamoille County, Vermont","Chittenden County, Vermont",1,0.0732584269662921,24475,156545
"110","Orange County, Vermont","Windsor County, Vermont",1,0.0494539673762787,28936,56670
"79","Washington County, Vermont","Chittenden County, Vermont",1,0.037356804515067,59534,156545
"224","Grand Isle County, Vermont","Franklin County, Vermont",1,0.0358680057388809,6970,47746
"183","Lamoille County, Vermont","Washington County, Vermont",1,0.0343615934627171,24475,59534
"365","Essex County, Vermont","Grafton County, New Hampshire",1,0.0339359340310815,6306,89118
"556","Windham County, Vermont","Cheshire County, New Hampshire",1,0.0289802978905039,44513,77117
"437","Caledonia County, Vermont","Grafton County, New Hampshire",1,0.0268997982515131,31227,89118
"666","Bennington County, Vermont","Berkshire County, Massachusetts",1,0.0235420875420875,37125,131219
"481","Orleans County, Vermont","Caledonia County, Vermont",1,0.0209687488524109,27231,31227
"435","Caledonia County, Vermont","Washington County, Vermont",1,0.0209434143529638,31227,59534
"338","Addison County, Vermont","Rutland County, Vermont",1,0.0202330192009994,36821,61642
"373","Essex County, Vermont","Orleans County, Vermont",1,0.0168093878845544,6306,27231
"39","Windsor County, Vermont","Orange County, Vermont",1,0.0150344097406035,56670,28936
"474","Orleans County, Vermont","Lamoille County, Vermont",1,0.0149462010208953,27231,24475
"542","Windham County, Vermont","Windsor County, Vermont",1,0.014849594500483,44513,56670
"522","Rutland County, Vermont","Bennington County, Vermont",1,0.0136919632717952,61642,37125
"445","Caledonia County, Vermont","Orleans County, Vermont",1,0.0135139462644506,31227,27231
"506","Rutland County, Vermont","Windsor County, Vermont",1,0.0134648453976185,61642,56670
"55","Windsor County, Vermont","Sullivan County, New Hampshire",1,0.0130404093876831,56670,43742
"558","Windham County, Vermont","Bennington County, Vermont",1,0.0122660795722598,44513,37125
"255","Chittenden County, Vermont","Washington County, Vermont",1,0.0119709987543518,156545,59534
"514","Rutland County, Vermont","Addison County, Vermont",1,0.0115992342883099,61642,36821
