"","source","target","cluster","pct","srcpop","tarpop"
"13680","Arlington County, Virginia","District of Columbia, District of Columbia",1,0.221406657130335,207627,601723
"13110","Fairfax city, Virginia","Fairfax County, Virginia",1,0.216264125858631,22565,1081726
"26791","Roanoke County, Virginia","Roanoke city, Virginia",1,0.209556594786525,92376,97032
"27930","Campbell County, Virginia","Lynchburg city, Virginia",1,0.204952408737829,54842,75568
"30781","Covington city, Virginia","Alleghany County, Virginia",1,0.204663647039087,5961,16250
"22040","Norton city, Virginia","Wise County, Virginia",1,0.186710459828196,3958,41452
"16911","Charlottesville city, Virginia","Albemarle County, Virginia",1,0.18617596319724,43475,98970
"13869","Alexandria city, Virginia","District of Columbia, District of Columbia",1,0.17897918065816,139966,601723
"12731","Loudoun County, Virginia","Fairfax County, Virginia",1,0.171908770424353,312311,1081726
"15961","Rockingham County, Virginia","Harrisonburg city, Virginia",1,0.168815682574626,76314,48914
"16722","Greene County, Virginia","Albemarle County, Virginia",1,0.166168559473999,18403,98970
"12542","Manassas Park city, Virginia","Fairfax County, Virginia",1,0.154137182092062,14273,1081726
"28119","Amherst County, Virginia","Lynchburg city, Virginia",1,0.153216085061664,32353,75568
"27170","Botetourt County, Virginia","Roanoke city, Virginia",1,0.148696753951973,33148,97032
"24321","Pittsylvania County, Virginia","Danville city, Virginia",1,0.142159795924795,63506,43055
"23751","Martinsville city, Virginia","Henry County, Virginia",1,0.138991389913899,13821,54151
"15581","Staunton city, Virginia","Augusta County, Virginia",1,0.138296976332856,23746,73750
"30209","Buena Vista city, Virginia","Rockbridge County, Virginia",1,0.137443609022556,6650,22307
"21470","Scott County, Virginia","Sullivan County, Tennessee",1,0.136169478362169,23177,156823
"17290","Fluvanna County, Virginia","Albemarle County, Virginia",1,0.135455996263283,25691,98970
"4940","Hanover County, Virginia","Henrico County, Virginia",1,0.13533540951103,99863,306935
"12164","Prince William County, Virginia","Fairfax County, Virginia",1,0.134865000671638,402002,1081726
"10261","Winchester city, Virginia","Frederick County, Virginia",1,0.132771056749227,26203,78305
"17100","Albemarle County, Virginia","Charlottesville city, Virginia",1,0.132504799434172,98970,43475
