"","source","target","cluster","pct","srcpop","tarpop"
"929","Douglas County, Washington","Chelan County, Washington",1,0.214358200411126,38431,72453
"1334","Asotin County, Washington","Nez Perce County, Idaho",1,0.187763030106831,21623,39265
"1567","Snohomish County, Washington","King County, Washington",1,0.160258504068916,713335,1931249
"291","Franklin County, Washington","Benton County, Washington",1,0.116474546780446,78163,175177
"1796","Pierce County, Washington","King County, Washington",1,0.104489924235279,795225,1931249
"2842","Clark County, Washington","Multnomah County, Oregon",1,0.102458370850309,425363,735334
"465","Stevens County, Washington","Spokane County, Washington",1,0.0992166502033034,43531,471221
"232","Columbia County, Washington","Walla Walla County, Washington",1,0.0882785679254537,4078,58781
"2728","Skamania County, Washington","Clark County, Washington",1,0.0813302006144948,11066,425363
"1741","Thurston County, Washington","Pierce County, Washington",1,0.0760393873085339,252264,795225
"580","Pend Oreille County, Washington","Spokane County, Washington",1,0.0720713791246827,13001,471221
"637","Lincoln County, Washington","Spokane County, Washington",1,0.0641438032166509,10570,471221
"1681","Island County, Washington","Snohomish County, Washington",1,0.0587216263725066,78506,713335
"348","Benton County, Washington","Franklin County, Washington",1,0.0579242708803096,175177,78163
"1912","Mason County, Washington","Thurston County, Washington",1,0.0515164994480963,60699,252264
"1967","Kitsap County, Washington","King County, Washington",1,0.0453146340783569,251133,1931249
"1915","Mason County, Washington","Kitsap County, Washington",1,0.0425707178042472,60699,251133
"1855","Lewis County, Washington","Thurston County, Washington",1,0.0413093897024717,75455,252264
"2611","Wahkiakum County, Washington","Cowlitz County, Washington",1,0.0409753645047763,3978,102410
"2494","Klickitat County, Washington","Wasco County, Oregon",1,0.0377989959641697,20318,25213
"986","Chelan County, Washington","Douglas County, Washington",1,0.0354712710308752,72453,38431
"1509","Skagit County, Washington","Snohomish County, Washington",1,0.0353033763611945,116901,713335
"2727","Skamania County, Washington","Multnomah County, Oregon",1,0.0349719862642328,11066,735334
"2671","Cowlitz County, Washington","Clark County, Washington",1,0.0299482472414803,102410,425363
"2197","Grays Harbor County, Washington","Thurston County, Washington",1,0.027446185969202,72797,252264
"2147","Pacific County, Washington","Grays Harbor County, Washington",1,0.0259082217973231,20920,72797
"1680","Island County, Washington","Skagit County, Washington",1,0.0246095839808422,78506,116901
"1682","Island County, Washington","King County, Washington",1,0.0235905535882608,78506,1931249
"2495","Klickitat County, Washington","Hood River County, Oregon",1,0.0231321980509893,20318,22346
"142","Kittitas County, Washington","King County, Washington",1,0.0226322864475131,40915,1931249
"1102","Adams County, Washington","Grant County, Washington",1,0.0223729175565997,18728,89120
"582","Pend Oreille County, Washington","Bonner County, Idaho",1,0.0217675563418199,13001,40877
"1970","Kitsap County, Washington","Pierce County, Washington",1,0.0212954888445565,251133,795225
"1508","Skagit County, Washington","Whatcom County, Washington",1,0.0208124823568661,116901,201140
"2723","Skamania County, Washington","Klickitat County, Washington",1,0.0206036508223387,11066,20318
