"","source","target","cluster","pct","srcpop","tarpop"
"1","Putnam County, West Virginia","Kanawha County, West Virginia",1,0.180532026096673,55486,193063
"2","Wirt County, West Virginia","Wood County, West Virginia",1,0.147454958894525,5717,86956
"3","Wayne County, West Virginia","Cabell County, West Virginia",1,0.134224712224289,42481,96319
"4","Doddridge County, West Virginia","Harrison County, West Virginia",1,0.117654230675445,8202,69099
"5","Mineral County, West Virginia","Allegany County, Maryland",1,0.116191691478803,28212,75087
"6","Marshall County, West Virginia","Ohio County, West Virginia",1,0.112332739299846,33107,44443
"7","Preston County, West Virginia","Monongalia County, West Virginia",1,0.103937947494033,33520,96189
"8","Grant County, West Virginia","Hardy County, West Virginia",1,0.0965066599648153,11937,14025
"9","Tyler County, West Virginia","Wetzel County, West Virginia",1,0.0647263249348393,9208,16583
"10","Monroe County, West Virginia","Greenbrier County, West Virginia",1,0.0642127092282625,13502,35480
"11","Fayette County, West Virginia","Raleigh County, West Virginia",1,0.0592758313603684,46039,78859
"12","Hancock County, West Virginia","Allegheny County, Pennsylvania",1,0.0590689790063894,30676,1223348
"13","Hampshire County, West Virginia","Frederick County, Virginia",1,0.056918711400434,23964,78305
"14","Webster County, West Virginia","Nicholas County, West Virginia",1,0.055713349355473,9154,26233
"15","Jefferson County, West Virginia","Loudoun County, Virginia",1,0.0534973270028786,53498,312311
"16","Barbour County, West Virginia","Randolph County, West Virginia",1,0.0529869190427392,16589,29405
"18","Brooke County, West Virginia","Allegheny County, Pennsylvania",1,0.050105945406955,24069,1223348
"19","Berkeley County, West Virginia","Washington County, Maryland",1,0.0460885676160854,104169,147430
"110","Taylor County, West Virginia","Harrison County, West Virginia",1,0.0896715004439183,16895,69099
"23","Boone County, West Virginia","Kanawha County, West Virginia",1,0.0853465426935726,24629,193063
"24","Mingo County, West Virginia","Pike County, Kentucky",1,0.042587279704907,26839,65024
"25","Mason County, West Virginia","Gallia County, Ohio",1,0.0394158981115503,27324,30934
