"","source","target","cluster","pct","srcpop","tarpop"
"1","Oconto County, Wisconsin","Brown County, Wisconsin",1,0.18874137015401,37660,248007
"2","Florence County, Wisconsin","Dickinson County, Michigan",1,0.179968347275605,4423,26168
"3","Columbia County, Wisconsin","Dane County, Wisconsin",1,0.175215103900903,56833,488073
"4","Ozaukee County, Wisconsin","Milwaukee County, Wisconsin",1,0.16075004340529,86395,947735
"5","Douglas County, Wisconsin","St. Louis County, Minnesota",1,0.155823274983582,44159,200226
"6","Calumet County, Wisconsin","Outagamie County, Wisconsin",1,0.148700251169059,48971,176695
"7","Chippewa County, Wisconsin","Eau Claire County, Wisconsin",1,0.126876552110871,62415,98736
"8","Bayfield County, Wisconsin","Ashland County, Wisconsin",1,0.122685493539363,15014,16157
"9","Lincoln County, Wisconsin","Marathon County, Wisconsin",1,0.108269839613123,28743,134063
"10","Iron County, Wisconsin","Gogebic County, Michigan",1,0.100574712643678,5916,16427
"11","Kenosha County, Wisconsin","Lake County, Illinois",1,0.0979654621273118,166426,703462
"12","Waukesha County, Wisconsin","Milwaukee County, Wisconsin",1,0.154353396205606,389891,947735
"14","Vernon County, Wisconsin","La Crosse County, Wisconsin",1,0.0901823800087327,29773,114638
"15","Buffalo County, Wisconsin","Winona County, Minnesota",1,0.0871421211452123,13587,51461
"16","Vilas County, Wisconsin","Oneida County, Wisconsin",1,0.0867008866075595,21430,35998
"17","Green Lake County, Wisconsin","Fond du Lac County, Wisconsin",1,0.0859272479134953,19051,101633
"22","Outagamie County, Wisconsin","Winnebago County, Wisconsin",1,0.0893347293358612,176695,166994
"13","Winnebago County, Wisconsin","Outagamie County, Wisconsin",1,0.0855300190426003,166994,176695
"221","Kewaunee County, Wisconsin","Brown County, Wisconsin",1,0.165840381063478,20574,248007
"23","Pierce County, Wisconsin","St. Croix County, Wisconsin",1,0.0781589019722568,41019,84345
"41","Washington County, Wisconsin","Milwaukee County, Wisconsin",1,0.102064646250199,131887,947735
"32","Washington County, Wisconsin","Waukesha County, Wisconsin",1,0.0935270345068127,131887,389891
"19","Iowa County, Wisconsin","Dane County, Wisconsin",1,0.139696880145227,23687,488073
"30","Juneau County, Wisconsin","Sauk County, Wisconsin",1,0.0633438343834384,26664,61976
"311","Lafayette County, Wisconsin","Green County, Wisconsin",1,0.0621287716797339,16836,36842
"110","St. Croix County, Wisconsin","Washington County, Minnesota",1,0.0724287153951035,84345,238136
"34","Clark County, Wisconsin","Wood County, Wisconsin",1,0.0500720668780628,34690,74749
"35","Grant County, Wisconsin","Dubuque County, Iowa",1,0.0463599437587877,51208,93653
"36","Washburn County, Wisconsin","Sawyer County, Wisconsin",1,0.044057570234429,15911,16557
"37","Manitowoc County, Wisconsin","Sheboygan County, Wisconsin",1,0.0417352226124113,81442,115507
"111","Marquette County, Wisconsin","Columbia County, Wisconsin",1,0.0900415476499611,15404,56833
"411","Dodge County, Wisconsin","Jefferson County, Wisconsin",1,0.0396016178641039,88759,83686
"43","Buffalo County, Wisconsin","Trempealeau County, Wisconsin",1,0.0506366379627585,13587,28816
"38","Dunn County, Wisconsin","Eau Claire County, Wisconsin",1,0.0629774038351916,43857,98736
"112","Eau Claire County, Wisconsin","Chippewa County, Wisconsin",1,0.0484220547723221,98736,62415
"29","St. Croix County, Wisconsin","Ramsey County, Minnesota",1,0.0739344359475962,84345,508640
"39","Pierce County, Wisconsin","Washington County, Minnesota",1,0.0515370925668593,41019,238136
"51","Pierce County, Wisconsin","Ramsey County, Minnesota",1,0.0395426509666252,41019,508640
"310","Calumet County, Wisconsin","Winnebago County, Wisconsin",1,0.0811296481591146,48971,166994
"52","Waupaca County, Wisconsin","Outagamie County, Wisconsin",1,0.0752337340202252,52410,176695
"58","Monroe County, Wisconsin","La Crosse County, Wisconsin",1,0.0425312828778009,44673,114638
"59","Burnett County, Wisconsin","Polk County, Wisconsin",1,0.0307951090120981,15457,44205
"60","Rusk County, Wisconsin","Barron County, Wisconsin",1,0.0299559471365639,14755,45870
"62","Richland County, Wisconsin","Sauk County, Wisconsin",1,0.0557682703512569,18021,61976
"81","Green County, Wisconsin","Dane County, Wisconsin",1,0.137641821833777,36842,488073
"53","Lafayette County, Wisconsin","Iowa County, Wisconsin",1,0.0403302447137087,16836,23687
"63","Lafayette County, Wisconsin","Dane County, Wisconsin",1,0.0345093846519363,16836,488073
"115","Marquette County, Wisconsin","Dane County, Wisconsin",1,0.0304466372370813,15404,488073
"213","Kenosha County, Wisconsin","Racine County, Wisconsin",1,0.043376635862185,166426,195408
"116","Racine County, Wisconsin","Kenosha County, Wisconsin",1,0.0313497912060919,195408,166426
"74","Marinette County, Wisconsin","Menominee County, Michigan",1,0.0251742556707945,41749,24029
"117","Shawano County, Wisconsin","Brown County, Wisconsin",1,0.0593101146630432,41949,248007
"78","Rock County, Wisconsin","Winnebago County, Illinois",1,0.0237820508822374,160331,295266
"82","Jefferson County, Wisconsin","Waukesha County, Wisconsin",1,0.0791410749707239,83686,389891
"47","Milwaukee County, Wisconsin","Waukesha County, Wisconsin",1,0.058621872147805,947735,389891
"101","Dodge County, Wisconsin","Washington County, Wisconsin",1,0.040570533692358,88759,131887
"91","Dodge County, Wisconsin","Waukesha County, Wisconsin",1,0.0383623069209883,88759,389891
"215","Ozaukee County, Wisconsin","Waukesha County, Wisconsin",1,0.03350888361595,86395,389891
"64","Washington County, Wisconsin","Ozaukee County, Wisconsin",1,0.0319212659321995,131887,86395
"90","Walworth County, Wisconsin","McHenry County, Illinois",1,0.0225769847791212,102228,308760
"120","Pepin County, Wisconsin","Eau Claire County, Wisconsin",1,0.0452537153568081,7469,98736
"121","Waushara County, Wisconsin","Green Lake County, Wisconsin",1,0.0326583932070542,24496,19051
"122","Wood County, Wisconsin","Portage County, Wisconsin",1,0.0382747595285556,74749,70019
"317","Portage County, Wisconsin","Wood County, Wisconsin",1,0.0334766277724618,70019,74749
"318","Crawford County, Wisconsin","Grant County, Wisconsin",1,0.037971641432348,16644,51208
"219","Grant County, Wisconsin","Crawford County, Wisconsin",1,0.0206217778472114,51208,16644
"105","Adams County, Wisconsin","Sauk County, Wisconsin",1,0.0414850299401198,20875,61976
"106","Price County, Wisconsin","Taylor County, Wisconsin",1,0.0177272406243379,14159,20689
"319","St. Croix County, Wisconsin","Hennepin County, Minnesota",1,0.0384729385262908,84345,1152425
"73","Pierce County, Wisconsin","Hennepin County, Minnesota",1,0.0277919988298106,41019,1152425
"1151","Langlade County, Wisconsin","Marathon County, Wisconsin",1,0.0259798768583871,19977,134063
"1171","Washburn County, Wisconsin","Barron County, Wisconsin",1,0.042297781409088,15911,45870
"83","Waushara County, Wisconsin","Winnebago County, Wisconsin",1,0.049518288700196,24496,166994
"1110","Green Lake County, Wisconsin","Winnebago County, Wisconsin",1,0.0340139625216524,19051,166994
