"","source","target","cluster","pct","srcpop","tarpop"
"5391","Oconto County, Wisconsin","Brown County, Wisconsin",1,0.18874137015401,37660,248007
"8141","Florence County, Wisconsin","Dickinson County, Michigan",1,0.179968347275605,4423,26168
"2420","Columbia County, Wisconsin","Dane County, Wisconsin",1,0.175215103900903,56833,488073
"5610","Kewaunee County, Wisconsin","Brown County, Wisconsin",1,0.165840381063478,20574,248007
"1431","Ozaukee County, Wisconsin","Milwaukee County, Wisconsin",1,0.16075004340529,86395,947735
"9460","Douglas County, Wisconsin","St. Louis County, Minnesota",1,0.155823274983582,44159,200226
"1322","Waukesha County, Wisconsin","Milwaukee County, Wisconsin",1,0.154353396205606,389891,947735
"4950","Calumet County, Wisconsin","Outagamie County, Wisconsin",1,0.148700251169059,48971,176695
"2201","Iowa County, Wisconsin","Dane County, Wisconsin",1,0.139696880145227,23687,488073
"2529","Green County, Wisconsin","Dane County, Wisconsin",1,0.137641821833777,36842,488073
"4290","Chippewa County, Wisconsin","Eau Claire County, Wisconsin",1,0.126876552110871,62415,98736
"9021","Bayfield County, Wisconsin","Ashland County, Wisconsin",1,0.122685493539363,15014,16157
"550","Lincoln County, Wisconsin","Marathon County, Wisconsin",1,0.108269839613123,28743,134063
"1650","Washington County, Wisconsin","Milwaukee County, Wisconsin",1,0.102064646250199,131887,947735
"8691","Iron County, Wisconsin","Gogebic County, Michigan",1,0.100574712643678,5916,16427
"3410","Kenosha County, Wisconsin","Lake County, Illinois",1,0.0979654621273118,166426,703462
"1648","Washington County, Wisconsin","Waukesha County, Wisconsin",1,0.0935270345068127,131887,389891
"881","Vernon County, Wisconsin","La Crosse County, Wisconsin",1,0.0901823800087327,29773,114638
"2093","Marquette County, Wisconsin","Columbia County, Wisconsin",1,0.0900415476499611,15404,56833
"4840","Outagamie County, Wisconsin","Winnebago County, Wisconsin",1,0.0893347293358612,176695,166994
"770","Buffalo County, Wisconsin","Winona County, Minnesota",1,0.0871421211452123,13587,51461
"8361","Vilas County, Wisconsin","Oneida County, Wisconsin",1,0.0867008866075595,21430,35998
"3631","Green Lake County, Wisconsin","Fond du Lac County, Wisconsin",1,0.0859272479134953,19051,101633
"4731","Winnebago County, Wisconsin","Outagamie County, Wisconsin",1,0.0855300190426003,166994,176695
"4949","Calumet County, Wisconsin","Winnebago County, Wisconsin",1,0.0811296481591146,48971,166994
"1757","Jefferson County, Wisconsin","Waukesha County, Wisconsin",1,0.0791410749707239,83686,389891
"6160","Pierce County, Wisconsin","St. Croix County, Wisconsin",1,0.0781589019722568,41019,84345
"5059","Waupaca County, Wisconsin","Outagamie County, Wisconsin",1,0.0752337340202252,52410,176695
"6052","St. Croix County, Wisconsin","Ramsey County, Minnesota",1,0.0739344359475962,84345,508640
"1868","Racine County, Wisconsin","Milwaukee County, Wisconsin",1,0.0738864324899697,195408,947735
"6050","St. Croix County, Wisconsin","Washington County, Minnesota",1,0.0724287153951035,84345,238136
"1983","Sauk County, Wisconsin","Dane County, Wisconsin",1,0.0651542532593262,61976,488073
"2635","Juneau County, Wisconsin","Sauk County, Wisconsin",1,0.0633438343834384,26664,61976
"4399","Dunn County, Wisconsin","Eau Claire County, Wisconsin",1,0.0629774038351916,43857,98736
"2749","Lafayette County, Wisconsin","Green County, Wisconsin",1,0.0621287716797339,16836,36842
"5282","Shawano County, Wisconsin","Brown County, Wisconsin",1,0.0593101146630432,41949,248007
"1539","Milwaukee County, Wisconsin","Waukesha County, Wisconsin",1,0.058621872147805,947735,389891
"1765","Jefferson County, Wisconsin","Dane County, Wisconsin",1,0.0567119948378462,83686,488073
"2853","Richland County, Wisconsin","Sauk County, Wisconsin",1,0.0557682703512569,18021,61976
"6159","Pierce County, Wisconsin","Washington County, Minnesota",1,0.0515370925668593,41019,238136
"1100","Trempealeau County, Wisconsin","La Crosse County, Wisconsin",1,0.0509439200444198,28816,114638
"773","Buffalo County, Wisconsin","Trempealeau County, Wisconsin",1,0.0506366379627585,13587,28816
"220","Clark County, Wisconsin","Wood County, Wisconsin",1,0.0500720668780628,34690,74749
"2965","Rock County, Wisconsin","Dane County, Wisconsin",1,0.0495412615152403,160331,488073
"5167","Waushara County, Wisconsin","Winnebago County, Wisconsin",1,0.049518288700196,24496,166994
"4181","Eau Claire County, Wisconsin","Chippewa County, Wisconsin",1,0.0484220547723221,98736,62415
"2753","Lafayette County, Wisconsin","Grant County, Wisconsin",1,0.0466856735566643,16836,51208
"3081","Grant County, Wisconsin","Dubuque County, Iowa",1,0.0463599437587877,51208,93653
"4071","Pepin County, Wisconsin","Eau Claire County, Wisconsin",1,0.0452537153568081,7469,98736
"6162","Pierce County, Wisconsin","Dakota County, Minnesota",1,0.0449547770545357,41019,398552
"6163","Pierce County, Wisconsin","Goodhue County, Minnesota",1,0.0443209244496453,41019,46183
"7481","Washburn County, Wisconsin","Sawyer County, Wisconsin",1,0.044057570234429,15911,16557
"3397","Kenosha County, Wisconsin","Racine County, Wisconsin",1,0.043376635862185,166426,195408
"1209","Monroe County, Wisconsin","La Crosse County, Wisconsin",1,0.0425312828778009,44673,114638
"4846","Outagamie County, Wisconsin","Brown County, Wisconsin",1,0.0425139364441552,176695,248007
"7482","Washburn County, Wisconsin","Barron County, Wisconsin",1,0.042297781409088,15911,45870
"7260","Manitowoc County, Wisconsin","Sheboygan County, Wisconsin",1,0.0417352226124113,81442,115507
"3507","Adams County, Wisconsin","Sauk County, Wisconsin",1,0.0414850299401198,20875,61976
"2628","Juneau County, Wisconsin","Monroe County, Wisconsin",1,0.0414041404140414,26664,44673
"3741","Fond du Lac County, Wisconsin","Dodge County, Wisconsin",1,0.0408135152952289,101633,88759
"3831","Dodge County, Wisconsin","Washington County, Wisconsin",1,0.040570533692358,88759,131887
"2746","Lafayette County, Wisconsin","Iowa County, Wisconsin",1,0.0403302447137087,16836,23687
"6596","Polk County, Wisconsin","St. Croix County, Wisconsin",1,0.0400407193756362,44205,84345
"3832","Dodge County, Wisconsin","Jefferson County, Wisconsin",1,0.0396016178641039,88759,83686
"6161","Pierce County, Wisconsin","Ramsey County, Minnesota",1,0.0395426509666252,41019,508640
"6056","St. Croix County, Wisconsin","Hennepin County, Minnesota",1,0.0384729385262908,84345,1152425
"3828","Dodge County, Wisconsin","Waukesha County, Wisconsin",1,0.0383623069209883,88759,389891
"112","Wood County, Wisconsin","Portage County, Wisconsin",1,0.0382747595285556,74749,70019
"3953","Crawford County, Wisconsin","Grant County, Wisconsin",1,0.037971641432348,16644,51208
"801","Buffalo County, Wisconsin","Eau Claire County, Wisconsin",1,0.0376830794141459,13587,98736
"4480","Jackson County, Wisconsin","Trempealeau County, Wisconsin",1,0.0376057508924642,20449,28816
"222","Clark County, Wisconsin","Marathon County, Wisconsin",1,0.0365811473046988,34690,134063
"2747","Lafayette County, Wisconsin","Dane County, Wisconsin",1,0.0345093846519363,16836,488073
"4591","Walworth County, Wisconsin","Waukesha County, Wisconsin",1,0.0343056696795399,102228,389891
"3640","Green Lake County, Wisconsin","Winnebago County, Wisconsin",1,0.0340139625216524,19051,166994
