"source","target","cluster","pct","srcpop","tarpop"
"Calaveras County, California","Calaveras County, California",1,0.199482206327614,45578,45578
"Calaveras County, California","Amador County, California",1,0.033503005836149,45578,38091
"Calaveras County, California","Alpine County, California",1,0.00155776909912677,45578,1175
"Amador County, California","Calaveras County, California",1,0.00606442466724423,38091,45578
"Amador County, California","Amador County, California",1,0.241579375705547,38091,38091
"Amador County, California","Alpine County, California",1,0.000236276285736788,38091,1175
"Alpine County, California","Calaveras County, California",1,0,1175,45578
"Alpine County, California","Amador County, California",1,0,1175,38091
"Alpine County, California","Alpine County, California",1,0.170212765957447,1175,1175
"Carson City, Nevada","Carson City, Nevada",2,0,55274,55274
"Del Norte County, California","Del Norte County, California",3,0.273610625655365,28610,28610
"Del Norte County, California","Curry County, Oregon",3,0.00492834673191192,28610,22364
"Curry County, Oregon","Del Norte County, California",3,0,22364,28610
"Curry County, Oregon","Curry County, Oregon",3,0,22364,22364
"El Dorado County, California","El Dorado County, California",4,0.241795446762916,181058,181058
"El Dorado County, California","Douglas County, Nevada",4,0.0195406996653006,181058,46997
"Douglas County, Nevada","El Dorado County, California",4,0,46997,181058
"Douglas County, Nevada","Douglas County, Nevada",4,0,46997,46997
"Glenn County, California","Glenn County, California",5,0.270962235971837,28122,28122
"Glenn County, California","Butte County, California",5,0.0504587155963303,28122,220000
"Glenn County, California","Colusa County, California",5,0.00732522580186331,28122,21419
"Butte County, California","Glenn County, California",5,0.00375,220000,28122
"Butte County, California","Butte County, California",5,0.348781818181818,220000,220000
"Butte County, California","Colusa County, California",5,0.00095,220000,21419
"Colusa County, California","Glenn County, California",5,0.00261450114384425,21419,28122
"Colusa County, California","Butte County, California",5,0.00280125122554741,21419,220000
"Colusa County, California","Colusa County, California",5,0.278631121901116,21419,21419
"Jackson County, Oregon","Jackson County, Oregon",6,0,203206,203206
"Maricopa County, Arizona","Maricopa County, Arizona",7,0,3817117,3817117
"Merced County, California","Merced County, California",8,0.261371499611014,255793,255793
"Merced County, California","Madera County, California",8,0.00362402411324782,255793,150865
"Merced County, California","Fresno County, California",8,0.00426516753781378,255793,930450
"Merced County, California","Kings County, California",8,-3.90941112540219e-06,255793,152982
"Madera County, California","Merced County, California",8,0.00705266297683359,150865,255793
"Madera County, California","Madera County, California",8,0.195598714082126,150865,150865
"Madera County, California","Fresno County, California",8,0.0713949557551453,150865,930450
"Madera County, California","Kings County, California",8,0.0003844496735492,150865,152982
"Fresno County, California","Merced County, California",8,0.000777043366113171,930450,255793
"Fresno County, California","Madera County, California",8,0.00963082379493793,930450,150865
"Fresno County, California","Fresno County, California",8,0.345443602557902,930450,930450
"Fresno County, California","Kings County, California",8,0.00312107044978236,930450,152982
"Kings County, California","Merced County, California",8,-5.88304506412519e-05,152982,255793
"Kings County, California","Madera County, California",8,0.000536010772509184,152982,150865
"Kings County, California","Fresno County, California",8,0.0293890784536743,152982,930450
"Kings County, California","Kings County, California",8,0.285523787112209,152982,152982
"Mono County, California","Mono County, California",9,0.467187720039431,14202,14202
"Mono County, California","Inyo County, California",9,0.0363329108576257,14202,18546
"Inyo County, California","Mono County, California",9,0.0283079909414429,18546,14202
"Inyo County, California","Inyo County, California",9,0.391944354577807,18546,18546
"Pierce County, Washington","Pierce County, Washington",10,0,795225,795225
"Santa Barbara County, California","Santa Barbara County, California",11,0.411177296264405,423895,423895
"Santa Barbara County, California","San Luis Obispo County, California",11,0.0154802486464808,423895,269637
"Santa Barbara County, California","San Benito County, California",11,0,423895,55269
"Santa Barbara County, California","Monterey County, California",11,5.42587197301218e-05,423895,415057
"San Luis Obispo County, California","Santa Barbara County, California",11,0.0280302777437815,269637,423895
"San Luis Obispo County, California","San Luis Obispo County, California",11,0.38275533402315,269637,269637
"San Luis Obispo County, California","San Benito County, California",11,-2.96695186491468e-05,269637,55269
"San Luis Obispo County, California","Monterey County, California",11,0.00359742913620905,269637,415057
"San Benito County, California","Santa Barbara County, California",11,0,55269,423895
"San Benito County, California","San Luis Obispo County, California",11,0,55269,269637
"San Benito County, California","San Benito County, California",11,0.206010602688668,55269,55269
"San Benito County, California","Monterey County, California",11,0.0376160234489497,55269,415057
"Monterey County, California","Santa Barbara County, California",11,2.16837687353785e-05,415057,423895
"Monterey County, California","San Luis Obispo County, California",11,0.00104082089929817,415057,269637
"Monterey County, California","San Benito County, California",11,0.00267433147736335,415057,55269
"Monterey County, California","Monterey County, California",11,0.376097740792229,415057,415057
"Siskiyou County, California","Siskiyou County, California",12,0.329933184855234,44900,44900
"Siskiyou County, California","Klamath County, Oregon",12,0.00342984409799555,44900,66380
"Klamath County, Oregon","Siskiyou County, California",12,0,66380,44900
"Klamath County, Oregon","Klamath County, Oregon",12,0,66380,66380
"Solano County, California","Solano County, California",13,0.259384435240381,413344,413344
"Solano County, California","Napa County, California",13,0.0241348610358442,413344,136484
"Solano County, California","Mendocino County, California",13,-7.25787721607185e-06,413344,87841
"Solano County, California","Lake County, California",13,-7.25787721607184e-06,413344,64665
"Napa County, California","Solano County, California",13,0.0291682541543331,136484,413344
"Napa County, California","Napa County, California",13,0.345293221183435,136484,136484
"Napa County, California","Mendocino County, California",13,7.32686615280913e-06,136484,87841
"Napa County, California","Lake County, California",13,0.000857243339878667,136484,64665
"Mendocino County, California","Solano County, California",13,-9.10736444257238e-05,87841,413344
"Mendocino County, California","Napa County, California",13,-0.000159378877745017,87841,136484
"Mendocino County, California","Mendocino County, California",13,0.391867123552783,87841,87841
"Mendocino County, California","Lake County, California",13,0.00171901503853554,87841,64665
"Lake County, California","Solano County, California",13,0.000262893373540555,64665,413344
"Lake County, California","Napa County, California",13,0.0148148148148148,64665,136484
"Lake County, California","Mendocino County, California",13,0.0171963194927704,64665,87841
"Lake County, California","Lake County, California",13,0.259305652207531,64665,64665
"Stanislaus County, California","Stanislaus County, California",14,0.300381181565663,514453,514453
"Stanislaus County, California","San Joaquin County, California",14,0.0312040166934589,514453,685306
"Stanislaus County, California","Contra Costa County, California",14,0.00230341741616824,514453,1049025
"Stanislaus County, California","Alameda County, California",14,0.0141937164327937,514453,1510271
"Stanislaus County, California","Santa Cruz County, California",14,7.77524866217127e-06,514453,262382
"Stanislaus County, California","Santa Clara County, California",14,0.0067819606455789,514453,1781642
"Stanislaus County, California","Sonoma County, California",14,1.94381216554282e-05,514453,483878
"Stanislaus County, California","Marin County, California",14,2.72133703175995e-05,514453,252409
"Stanislaus County, California","San Mateo County, California",14,0.00175137476115408,514453,718451
"Stanislaus County, California","San Francisco County, California",14,0.00123432072511969,514453,805235
"San Joaquin County, California","Stanislaus County, California",14,0.0136668874925945,685306,514453
"San Joaquin County, California","San Joaquin County, California",14,0.278840401222228,685306,685306
"San Joaquin County, California","Contra Costa County, California",14,0.0069224550784613,685306,1049025
"San Joaquin County, California","Alameda County, California",14,0.0362538778297578,685306,1510271
"San Joaquin County, California","Santa Cruz County, California",14,5.3990480165065e-05,685306,262382
"San Joaquin County, California","Santa Clara County, California",14,0.0107455647550145,685306,1781642
"San Joaquin County, California","Sonoma County, California",14,8.9011332164026e-05,685306,483878
"San Joaquin County, California","Marin County, California",14,0.000300595646324416,685306,252409
"San Joaquin County, California","San Mateo County, California",14,0.00229386580593195,685306,718451
"San Joaquin County, California","San Francisco County, California",14,0.0031650094994061,685306,805235
"Contra Costa County, California","Stanislaus County, California",14,0.00021162508043183,1049025,514453
"Contra Costa County, California","San Joaquin County, California",14,0.00147088963561402,1049025,685306
"Contra Costa County, California","Contra Costa County, California",14,0.264150997354687,1049025,1049025
"Contra Costa County, California","Alameda County, California",14,0.086229594146946,1049025,1510271
"Contra Costa County, California","Santa Cruz County, California",14,0.000107719072472057,1049025,262382
"Contra Costa County, California","Santa Clara County, California",14,0.0102457043445104,1049025,1781642
"Contra Costa County, California","Sonoma County, California",14,0.000798837015323753,1049025,483878
"Contra Costa County, California","Marin County, California",14,0.00580253092157003,1049025,252409
"Contra Costa County, California","San Mateo County, California",14,0.00890827196682634,1049025,718451
"Contra Costa County, California","San Francisco County, California",14,0.0439646338266486,1049025,805235
"Alameda County, California","Stanislaus County, California",14,0.000217179565786538,1510271,514453
"Alameda County, California","San Joaquin County, California",14,0.00103888639853377,1510271,685306
"Alameda County, California","Contra Costa County, California",14,0.025396104407752,1510271,1049025
"Alameda County, California","Alameda County, California",14,0.307014436481929,1510271,1510271
"Alameda County, California","Santa Cruz County, California",14,0.000241016347397255,1510271,262382
"Alameda County, California","Santa Clara County, California",14,0.0416024673717498,1510271,1781642
"Alameda County, California","Sonoma County, California",14,0.000399928224802039,1510271,483878
"Alameda County, California","Marin County, California",14,0.00218834897842837,1510271,252409
"Alameda County, California","San Mateo County, California",14,0.0219146100269422,1510271,718451
"Alameda County, California","San Francisco County, California",14,0.0462460048560821,1510271,805235
"Santa Cruz County, California","Stanislaus County, California",14,-4.19236075645433e-05,262382,514453
"Santa Cruz County, California","San Joaquin County, California",14,-4.95460816671875e-05,262382,685306
"Santa Cruz County, California","Contra Costa County, California",14,0.000663155246930049,262382,1049025
"Santa Cruz County, California","Alameda County, California",14,0.00307566830041695,262382,1510271
"Santa Cruz County, California","Santa Cruz County, California",14,0.346982643626468,262382,262382
"Santa Cruz County, California","Santa Clara County, California",14,0.0630950293846377,262382,1781642
"Santa Cruz County, California","Sonoma County, California",14,0.000137204533847596,262382,483878
"Santa Cruz County, California","Marin County, California",14,0.000118148348590986,262382,252409
"Santa Cruz County, California","San Mateo County, California",14,0.003963686533375,262382,718451
"Santa Cruz County, California","San Francisco County, California",14,0.00238964563117897,262382,805235
"Santa Clara County, California","Stanislaus County, California",14,4.99539189130027e-05,1781642,514453
"Santa Clara County, California","San Joaquin County, California",14,0.000194764155761932,1781642,685306
"Santa Clara County, California","Contra Costa County, California",14,0.00166363388379933,1781642,1049025
"Santa Clara County, California","Alameda County, California",14,0.0206696968302274,1781642,1510271
"Santa Clara County, California","Santa Cruz County, California",14,0.00188309435902387,1781642,262382
"Santa Clara County, California","Santa Clara County, California",14,0.397089314239337,1781642,1781642
"Santa Clara County, California","Sonoma County, California",14,0.000122359037337467,1781642,483878
"Santa Clara County, California","Marin County, California",14,0.000303652473392522,1781642,252409
"Santa Clara County, California","San Mateo County, California",14,0.0224607412712543,1781642,718451
"Santa Clara County, California","San Francisco County, California",14,0.00498416629154454,1781642,805235
"Sonoma County, California","Stanislaus County, California",14,-4.13327326309524e-06,483878,514453
"Sonoma County, California","San Joaquin County, California",14,2.06663663154763e-06,483878,685306
"Sonoma County, California","Contra Costa County, California",14,0.00196330479997024,483878,1049025
"Sonoma County, California","Alameda County, California",14,0.00381501122183691,483878,1510271
"Sonoma County, California","Santa Cruz County, California",14,0.000227330029470238,483878,262382
"Sonoma County, California","Santa Clara County, California",14,0.00110358396124643,483878,1781642
"Sonoma County, California","Sonoma County, California",14,0.384836673707009,483878,483878
"Sonoma County, California","Marin County, California",14,0.0341780366125346,483878,252409
"Sonoma County, California","San Mateo County, California",14,0.00262876179532857,483878,718451
"Sonoma County, California","San Francisco County, California",14,0.0120298918322387,483878,805235
"Marin County, California","Stanislaus County, California",14,-3.16945909218768e-05,252409,514453
"Marin County, California","San Joaquin County, California",14,-5.9427357978519e-05,252409,685306
"Marin County, California","Contra Costa County, California",14,0.00810192980440476,252409,1049025
"Marin County, California","Alameda County, California",14,0.0156729752108681,252409,1510271
"Marin County, California","Santa Cruz County, California",14,-1.9809119326173e-05,252409,262382
"Marin County, California","Santa Clara County, California",14,0.00267819293289859,252409,1781642
"Marin County, California","Sonoma County, California",14,0.0147498702502684,252409,483878
"Marin County, California","Marin County, California",14,0.306126168242812,252409,252409
"Marin County, California","San Mateo County, California",14,0.00662416950267225,252409,718451
"Marin County, California","San Francisco County, California",14,0.0986058341818239,252409,805235
"San Mateo County, California","Stanislaus County, California",14,4.31483845105651e-05,718451,514453
"San Mateo County, California","San Joaquin County, California",14,2.50539006835539e-05,718451,685306
"San Mateo County, California","Contra Costa County, California",14,0.00228964814580257,718451,1049025
"San Mateo County, California","Alameda County, California",14,0.0176462973814498,718451,1510271
"San Mateo County, California","Santa Cruz County, California",14,0.000424524428249108,718451,262382
"San Mateo County, California","Santa Clara County, California",14,0.0677234773143889,718451,1781642
"San Mateo County, California","Sonoma County, California",14,0.000378592276995926,718451,483878
"San Mateo County, California","Marin County, California",14,0.00123042490023676,718451,252409
"San Mateo County, California","San Mateo County, California",14,0.281615586866745,718451,718451
"San Mateo County, California","San Francisco County, California",14,0.102293684607579,718451,805235
"San Francisco County, California","Stanislaus County, California",14,6.20936745173769e-06,805235,514453
"San Francisco County, California","San Joaquin County, California",14,1.73862288648655e-05,805235,685306
"San Francisco County, California","Contra Costa County, California",14,0.00544561525517395,805235,1049025
"San Francisco County, California","Alameda County, California",14,0.0260756176768273,805235,1510271
"San Francisco County, California","Santa Cruz County, California",14,0.000130396716486491,805235,262382
"San Francisco County, California","Santa Clara County, California",14,0.022294112898719,805235,1781642
"San Francisco County, California","Sonoma County, California",14,0.000818394630139028,805235,483878
"San Francisco County, California","Marin County, California",14,0.00824479810241731,805235,252409
"San Francisco County, California","San Mateo County, California",14,0.0519041025290754,805235,718451
"San Francisco County, California","San Francisco County, California",14,0.407194173129583,805235,805235
"Trinity County, California","Trinity County, California",15,0.297838386769186,13786,13786
"Trinity County, California","Humboldt County, California",15,0.0166835920499057,13786,134623
"Trinity County, California","Tehama County, California",15,0,13786,63463
"Trinity County, California","Shasta County, California",15,0.0110982155810242,13786,177223
"Trinity County, California","Plumas County, California",15,0,13786,20007
"Trinity County, California","Modoc County, California",15,0,13786,9686
"Trinity County, California","Lassen County, California",15,-7.25373567387204e-05,13786,34895
"Humboldt County, California","Trinity County, California",15,0.000155991175356366,134623,13786
"Humboldt County, California","Humboldt County, California",15,0.418353476003357,134623,134623
"Humboldt County, California","Tehama County, California",15,-0.00011142226811169,134623,63463
"Humboldt County, California","Shasta County, California",15,0.000200560082601041,134623,177223
"Humboldt County, California","Plumas County, California",15,0,134623,20007
"Humboldt County, California","Modoc County, California",15,0,134623,9686
"Humboldt County, California","Lassen County, California",15,0,134623,34895
"Tehama County, California","Trinity County, California",15,0.00033090147014796,63463,13786
"Tehama County, California","Humboldt County, California",15,-3.15144257283772e-05,63463,134623
"Tehama County, California","Tehama County, California",15,0.241621102059468,63463,63463
"Tehama County, California","Shasta County, California",15,0.0406536091896065,63463,177223
"Tehama County, California","Plumas County, California",15,0.000267872618691206,63463,20007
"Tehama County, California","Modoc County, California",15,-7.87860643209429e-05,63463,9686
"Tehama County, California","Lassen County, California",15,-9.45432771851315e-05,63463,34895
"Shasta County, California","Trinity County, California",15,1.69278253951236e-05,177223,13786
"Shasta County, California","Humboldt County, California",15,0.000293415640182143,177223,134623
